Year,Geography,Type of work,National Occupational Classification (NOC),Age,GeoCode,Value
2015,Newfoundland and Labrador,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,10,0.76
2015,Newfoundland and Labrador,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,10,0.48
2015,Newfoundland and Labrador,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,10,0.65
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,10,0.58
2015,Newfoundland and Labrador,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,10,0.69
2015,Newfoundland and Labrador,Full-time employees,"Total employees, all occupations",15 years and over,10,0.77
2015,Newfoundland and Labrador,Full-time employees,"Total employees, all occupations",15 to 24 years,10,0.85
2015,Newfoundland and Labrador,Full-time employees,"Total employees, all occupations",25 to 54 years,10,0.78
2015,Newfoundland and Labrador,Full-time employees,"Total employees, all occupations",55 years and over,10,0.65
2015,Newfoundland and Labrador,Full-time employees,Management occupations,15 years and over,10,0.82
2015,Newfoundland and Labrador,Full-time employees,Management occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,Management occupations,25 to 54 years,10,0.88
2015,Newfoundland and Labrador,Full-time employees,Management occupations,55 years and over,10,0.71
2015,Newfoundland and Labrador,Full-time employees,"Business, finance and administration occupations",15 years and over,10,0.86
2015,Newfoundland and Labrador,Full-time employees,"Business, finance and administration occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Business, finance and administration occupations",25 to 54 years,10,0.86
2015,Newfoundland and Labrador,Full-time employees,"Business, finance and administration occupations",55 years and over,10,0.62
2015,Newfoundland and Labrador,Full-time employees,Natural and applied sciences and related occupations,15 years and over,10,0.93
2015,Newfoundland and Labrador,Full-time employees,Natural and applied sciences and related occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,Natural and applied sciences and related occupations,25 to 54 years,10,0.94
2015,Newfoundland and Labrador,Full-time employees,Natural and applied sciences and related occupations,55 years and over,10,
2015,Newfoundland and Labrador,Full-time employees,Health occupations,15 years and over,10,1.07
2015,Newfoundland and Labrador,Full-time employees,Health occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,Health occupations,25 to 54 years,10,1.11
2015,Newfoundland and Labrador,Full-time employees,Health occupations,55 years and over,10,
2015,Newfoundland and Labrador,Full-time employees,"Occupations in education, law and social, community and government services",15 years and over,10,0.67
2015,Newfoundland and Labrador,Full-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,10,1.05
2015,Newfoundland and Labrador,Full-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,10,0.73
2015,Newfoundland and Labrador,Full-time employees,"Occupations in education, law and social, community and government services",55 years and over,10,0.56
2015,Newfoundland and Labrador,Full-time employees,"Occupations in art, culture, recreation and sport",15 years and over,10,0.6
2015,Newfoundland and Labrador,Full-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Occupations in art, culture, recreation and sport",55 years and over,10,
2015,Newfoundland and Labrador,Full-time employees,Sales and service occupations,15 years and over,10,0.78
2015,Newfoundland and Labrador,Full-time employees,Sales and service occupations,15 to 24 years,10,0.96
2015,Newfoundland and Labrador,Full-time employees,Sales and service occupations,25 to 54 years,10,0.78
2015,Newfoundland and Labrador,Full-time employees,Sales and service occupations,55 years and over,10,0.72
2015,Newfoundland and Labrador,Full-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,10,0.77
2015,Newfoundland and Labrador,Full-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,10,0.74
2015,Newfoundland and Labrador,Full-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,10,
2015,Newfoundland and Labrador,Full-time employees,"Natural resources, agriculture and related production occupations",15 years and over,10,0.48
2015,Newfoundland and Labrador,Full-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,10,
2015,Newfoundland and Labrador,Full-time employees,"Natural resources, agriculture and related production occupations",55 years and over,10,
2015,Newfoundland and Labrador,Full-time employees,Occupations in manufacturing and utilities,15 years and over,10,0.62
2015,Newfoundland and Labrador,Full-time employees,Occupations in manufacturing and utilities,15 to 24 years,10,
2015,Newfoundland and Labrador,Full-time employees,Occupations in manufacturing and utilities,25 to 54 years,10,0.58
2015,Newfoundland and Labrador,Full-time employees,Occupations in manufacturing and utilities,55 years and over,10,0.68
2015,Newfoundland and Labrador,Part-time employees,"Total employees, all occupations",15 years and over,10,1.02
2015,Newfoundland and Labrador,Part-time employees,"Total employees, all occupations",15 to 24 years,10,0.96
2015,Newfoundland and Labrador,Part-time employees,"Total employees, all occupations",25 to 54 years,10,0.66
2015,Newfoundland and Labrador,Part-time employees,"Total employees, all occupations",55 years and over,10,0.86
2015,Newfoundland and Labrador,Part-time employees,Management occupations,15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Management occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,Management occupations,25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,Management occupations,55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Business, finance and administration occupations",15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Business, finance and administration occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Business, finance and administration occupations",25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Business, finance and administration occupations",55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Natural and applied sciences and related occupations,15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Natural and applied sciences and related occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,Natural and applied sciences and related occupations,25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,Natural and applied sciences and related occupations,55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Health occupations,15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Health occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,Health occupations,25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,Health occupations,55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in education, law and social, community and government services",15 years and over,10,0.33
2015,Newfoundland and Labrador,Part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,10,0.36
2015,Newfoundland and Labrador,Part-time employees,"Occupations in education, law and social, community and government services",55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Sales and service occupations,15 years and over,10,0.98
2015,Newfoundland and Labrador,Part-time employees,Sales and service occupations,15 to 24 years,10,0.97
2015,Newfoundland and Labrador,Part-time employees,Sales and service occupations,25 to 54 years,10,0.98
2015,Newfoundland and Labrador,Part-time employees,Sales and service occupations,55 years and over,10,0.87
2015,Newfoundland and Labrador,Part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Occupations in manufacturing and utilities,15 years and over,10,
2015,Newfoundland and Labrador,Part-time employees,Occupations in manufacturing and utilities,15 to 24 years,10,
2015,Newfoundland and Labrador,Part-time employees,Occupations in manufacturing and utilities,25 to 54 years,10,
2015,Newfoundland and Labrador,Part-time employees,Occupations in manufacturing and utilities,55 years and over,10,
2015,Prince Edward Island,Both full- and part-time employees,"Total employees, all occupations",15 years and over,11,0.95
2015,Prince Edward Island,Both full- and part-time employees,"Total employees, all occupations",15 to 24 years,11,1.01
2015,Prince Edward Island,Both full- and part-time employees,"Total employees, all occupations",25 to 54 years,11,0.96
2015,Prince Edward Island,Both full- and part-time employees,"Total employees, all occupations",55 years and over,11,0.91
2015,Prince Edward Island,Both full- and part-time employees,Management occupations,15 years and over,11,0.84
2015,Prince Edward Island,Both full- and part-time employees,Management occupations,15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,Management occupations,25 to 54 years,11,0.84
2015,Prince Edward Island,Both full- and part-time employees,Management occupations,55 years and over,11,0.8
2015,Prince Edward Island,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,11,0.92
2015,Prince Edward Island,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,11,0.93
2015,Prince Edward Island,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,11,0.92
2015,Prince Edward Island,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,11,0.88
2015,Prince Edward Island,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,11,1.01
2015,Prince Edward Island,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,11,0.95
2015,Prince Edward Island,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,11,
2015,Prince Edward Island,Both full- and part-time employees,Health occupations,15 years and over,11,0.89
2015,Prince Edward Island,Both full- and part-time employees,Health occupations,15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,Health occupations,25 to 54 years,11,0.93
2015,Prince Edward Island,Both full- and part-time employees,Health occupations,55 years and over,11,
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,11,0.79
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,11,0.81
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,11,0.85
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,11,0.73
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,11,0.69
2015,Prince Edward Island,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,11,
2015,Prince Edward Island,Both full- and part-time employees,Sales and service occupations,15 years and over,11,0.95
2015,Prince Edward Island,Both full- and part-time employees,Sales and service occupations,15 to 24 years,11,1.01
2015,Prince Edward Island,Both full- and part-time employees,Sales and service occupations,25 to 54 years,11,0.87
2015,Prince Edward Island,Both full- and part-time employees,Sales and service occupations,55 years and over,11,0.74
2015,Prince Edward Island,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,11,0.87
2015,Prince Edward Island,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,11,0.79
2015,Prince Edward Island,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,11,1.0
2015,Prince Edward Island,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,11,0.91
2015,Prince Edward Island,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,11,0.88
2015,Prince Edward Island,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,11,
2015,Prince Edward Island,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,11,0.86
2015,Prince Edward Island,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,11,
2015,Prince Edward Island,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,11,0.8
2015,Prince Edward Island,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,11,0.93
