Year,Géographie,Centres de population,GeoCode,Value
2022,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,36.83
2016,Territoires du Nord-Ouest,Réserves des Premières Nations,61,
2017,Territoires du Nord-Ouest,Réserves des Premières Nations,61,
2018,Territoires du Nord-Ouest,Réserves des Premières Nations,61,
2019,Territoires du Nord-Ouest,Réserves des Premières Nations,61,
2020,Territoires du Nord-Ouest,Réserves des Premières Nations,61,74.89
2021,Territoires du Nord-Ouest,Réserves des Premières Nations,61,74.89
2022,Territoires du Nord-Ouest,Réserves des Premières Nations,61,73.59
2016,Yukon,Réserves des Premières Nations,60,
2017,Yukon,Réserves des Premières Nations,60,
2018,Yukon,Réserves des Premières Nations,60,
2019,Yukon,Réserves des Premières Nations,60,
2020,Yukon,Réserves des Premières Nations,60,
2021,Yukon,Réserves des Premières Nations,60,0.0
2022,Yukon,Réserves des Premières Nations,60,
2016,Nunavut,Réserves des Premières Nations,62,
2017,Nunavut,Réserves des Premières Nations,62,
2018,Nunavut,Réserves des Premières Nations,62,
2019,Nunavut,Réserves des Premières Nations,62,
2020,Nunavut,Réserves des Premières Nations,62,
2021,Nunavut,Réserves des Premières Nations,62,
2022,Nunavut,Réserves des Premières Nations,62,
2016,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,27.91
2017,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,31.7
2018,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,39.41
2019,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,41.88
2020,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,46.1
2021,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,48.15
2022,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,49.76
2016,Alberta,Réserves des Premières Nations Régions rurales,48,1.13
2017,Alberta,Réserves des Premières Nations Régions rurales,48,0.3
2018,Alberta,Réserves des Premières Nations Régions rurales,48,12.02
2019,Alberta,Réserves des Premières Nations Régions rurales,48,19.6
2020,Alberta,Réserves des Premières Nations Régions rurales,48,17.13
2021,Alberta,Réserves des Premières Nations Régions rurales,48,26.91
2022,Alberta,Réserves des Premières Nations Régions rurales,48,29.74
2016,Saskatchewan,Réserves des Premières Nations Régions rurales,47,
2017,Saskatchewan,Réserves des Premières Nations Régions rurales,47,
2018,Saskatchewan,Réserves des Premières Nations Régions rurales,47,
2019,Saskatchewan,Réserves des Premières Nations Régions rurales,47,1.8
2020,Saskatchewan,Réserves des Premières Nations Régions rurales,47,3.82
2021,Saskatchewan,Réserves des Premières Nations Régions rurales,47,10.36
2022,Saskatchewan,Réserves des Premières Nations Régions rurales,47,8.83
2016,Manitoba,Réserves des Premières Nations Régions rurales,46,2.08
2017,Manitoba,Réserves des Premières Nations Régions rurales,46,1.53
2018,Manitoba,Réserves des Premières Nations Régions rurales,46,1.91
2019,Manitoba,Réserves des Premières Nations Régions rurales,46,2.12
2020,Manitoba,Réserves des Premières Nations Régions rurales,46,4.46
2021,Manitoba,Réserves des Premières Nations Régions rurales,46,15.3
2022,Manitoba,Réserves des Premières Nations Régions rurales,46,25.77
2016,Ontario,Réserves des Premières Nations Régions rurales,35,18.79
2017,Ontario,Réserves des Premières Nations Régions rurales,35,15.35
2018,Ontario,Réserves des Premières Nations Régions rurales,35,17.67
2019,Ontario,Réserves des Premières Nations Régions rurales,35,16.76
2020,Ontario,Réserves des Premières Nations Régions rurales,35,26.89
2021,Ontario,Réserves des Premières Nations Régions rurales,35,35.13
2022,Ontario,Réserves des Premières Nations Régions rurales,35,38.01
2016,Québec,Réserves des Premières Nations Régions rurales,24,14.45
2017,Québec,Réserves des Premières Nations Régions rurales,24,26.93
2018,Québec,Réserves des Premières Nations Régions rurales,24,30.83
2019,Québec,Réserves des Premières Nations Régions rurales,24,46.76
2020,Québec,Réserves des Premières Nations Régions rurales,24,52.44
2021,Québec,Réserves des Premières Nations Régions rurales,24,50.45
2022,Québec,Réserves des Premières Nations Régions rurales,24,80.18
2016,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,83.99
2017,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,83.18
2018,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,83.18
2019,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,90.68
2020,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,96.52
2021,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,94.45
2022,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,94.79
2016,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,29.72
2017,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,29.74
2018,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,29.74
2019,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,30.43
2020,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,50.38
2021,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,97.61
2022,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,97.99
2016,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,42.87
2017,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,41.25
2018,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,41.25
2019,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,41.6
2020,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,62.95
2021,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,42.77
2022,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,80.63
2016,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,26.74
2017,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,24.4
2018,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,
2019,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,
2020,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,0.0
2021,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,25.92
2022,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,4.11
2016,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,
2017,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,
2018,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,
2019,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,
2020,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,74.89
2021,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,74.89
2022,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,73.59
2016,Yukon,Réserves des Premières Nations Régions rurales,60,
2017,Yukon,Réserves des Premières Nations Régions rurales,60,
2018,Yukon,Réserves des Premières Nations Régions rurales,60,
2019,Yukon,Réserves des Premières Nations Régions rurales,60,
2020,Yukon,Réserves des Premières Nations Régions rurales,60,0.0
2021,Yukon,Réserves des Premières Nations Régions rurales,60,0.0
2022,Yukon,Réserves des Premières Nations Régions rurales,60,
2016,Nunavut,Réserves des Premières Nations Régions rurales,62,
2017,Nunavut,Réserves des Premières Nations Régions rurales,62,
2018,Nunavut,Réserves des Premières Nations Régions rurales,62,
2019,Nunavut,Réserves des Premières Nations Régions rurales,62,
2020,Nunavut,Réserves des Premières Nations Régions rurales,62,
2021,Nunavut,Réserves des Premières Nations Régions rurales,62,
2022,Nunavut,Réserves des Premières Nations Régions rurales,62,
2016,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,97.46
2017,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,97.65
2018,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,98.51
2019,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,99.17
2020,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,99.48
2021,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,98.79
2022,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,99.18
2016,Alberta,Réserves des Premières Nations Régions urbaines,48,
2017,Alberta,Réserves des Premières Nations Régions urbaines,48,
2018,Alberta,Réserves des Premières Nations Régions urbaines,48,
2019,Alberta,Réserves des Premières Nations Régions urbaines,48,
2020,Alberta,Réserves des Premières Nations Régions urbaines,48,
2021,Alberta,Réserves des Premières Nations Régions urbaines,48,
2022,Alberta,Réserves des Premières Nations Régions urbaines,48,
2016,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,
2017,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,
2018,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,
2019,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,
2020,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,6.56
2021,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,6.56
2022,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,30.16
2016,Manitoba,Réserves des Premières Nations Régions urbaines,46,6.58
2017,Manitoba,Réserves des Premières Nations Régions urbaines,46,0.43
2018,Manitoba,Réserves des Premières Nations Régions urbaines,46,
2019,Manitoba,Réserves des Premières Nations Régions urbaines,46,0.43
2020,Manitoba,Réserves des Premières Nations Régions urbaines,46,0.41
2021,Manitoba,Réserves des Premières Nations Régions urbaines,46,0.0
2022,Manitoba,Réserves des Premières Nations Régions urbaines,46,13.05
2016,Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2017,Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2018,Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2019,Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2020,Ontario,Réserves des Premières Nations Régions urbaines,35,43.66
2021,Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2022,Ontario,Réserves des Premières Nations Régions urbaines,35,3.55
2016,Québec,Réserves des Premières Nations Régions urbaines,24,51.04
2017,Québec,Réserves des Premières Nations Régions urbaines,24,51.04
2018,Québec,Réserves des Premières Nations Régions urbaines,24,60.15
2019,Québec,Réserves des Premières Nations Régions urbaines,24,80.53
2020,Québec,Réserves des Premières Nations Régions urbaines,24,80.53
2021,Québec,Réserves des Premières Nations Régions urbaines,24,84.75
2022,Québec,Réserves des Premières Nations Régions urbaines,24,83.48
2016,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2017,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2018,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2019,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2020,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2021,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2022,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2016,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2017,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2018,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2019,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2020,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2021,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2022,Île-du-Prince-Édouard,Réserves des Premières Nations Régions urbaines,11,
2016,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.59
2017,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.33
2018,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.33
2019,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.33
2020,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,75.49
2021,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.33
2022,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,78.18
2016,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2017,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2018,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2019,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2020,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2021,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,
2022,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions urbaines,10,100.0
2016,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2017,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2018,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2019,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2020,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2021,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2022,Territoires du Nord-Ouest,Réserves des Premières Nations Régions urbaines,61,
2016,Yukon,Réserves des Premières Nations Régions urbaines,60,
2017,Yukon,Réserves des Premières Nations Régions urbaines,60,
2018,Yukon,Réserves des Premières Nations Régions urbaines,60,
2019,Yukon,Réserves des Premières Nations Régions urbaines,60,
2020,Yukon,Réserves des Premières Nations Régions urbaines,60,
2021,Yukon,Réserves des Premières Nations Régions urbaines,60,
2022,Yukon,Réserves des Premières Nations Régions urbaines,60,
2016,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2017,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2018,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2019,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2020,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2021,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2022,Nunavut,Réserves des Premières Nations Régions urbaines,62,
2016,Colombie-Britannique,Régions rurales,59,54.19
2017,Colombie-Britannique,Régions rurales,59,52.96
2018,Colombie-Britannique,Régions rurales,59,58.36
2019,Colombie-Britannique,Régions rurales,59,62.5
2020,Colombie-Britannique,Régions rurales,59,63.24
2021,Colombie-Britannique,Régions rurales,59,65.79
2022,Colombie-Britannique,Régions rurales,59,66.24
2016,Alberta,Régions rurales,48,9.86
2017,Alberta,Régions rurales,48,8.76
2018,Alberta,Régions rurales,48,21.06
2019,Alberta,Régions rurales,48,33.24
2020,Alberta,Régions rurales,48,33.69
2021,Alberta,Régions rurales,48,40.74
2022,Alberta,Régions rurales,48,42.2
2016,Saskatchewan,Régions rurales,47,1.15
2017,Saskatchewan,Régions rurales,47,1.36
2018,Saskatchewan,Régions rurales,47,1.53
2019,Saskatchewan,Régions rurales,47,23.95
2020,Saskatchewan,Régions rurales,47,38.99
2021,Saskatchewan,Régions rurales,47,48.09
2022,Saskatchewan,Régions rurales,47,43.07
2016,Manitoba,Régions rurales,46,6.78
2017,Manitoba,Régions rurales,46,10.27
2018,Manitoba,Régions rurales,46,12.97
2019,Manitoba,Régions rurales,46,14.41
2020,Manitoba,Régions rurales,46,28.09
2021,Manitoba,Régions rurales,46,38.78
2022,Manitoba,Régions rurales,46,45.96
2016,Ontario,Régions rurales,35,31.79
2017,Ontario,Régions rurales,35,27.77
2018,Ontario,Régions rurales,35,29.5
2019,Ontario,Régions rurales,35,30.46
2020,Ontario,Régions rurales,35,41.3
2021,Ontario,Régions rurales,35,57.1
2022,Ontario,Régions rurales,35,62.87
2016,Québec,Régions rurales,24,52.11
2017,Québec,Régions rurales,24,53.45
2018,Québec,Régions rurales,24,58.73
2019,Québec,Régions rurales,24,62.25
2020,Québec,Régions rurales,24,73.38
2021,Québec,Régions rurales,24,76.88
2022,Québec,Régions rurales,24,84.51
2016,Nouveau-Brunswick,Régions rurales,13,67.61
2017,Nouveau-Brunswick,Régions rurales,13,63.45
2018,Nouveau-Brunswick,Régions rurales,13,63.42
2019,Nouveau-Brunswick,Régions rurales,13,63.61
2020,Nouveau-Brunswick,Régions rurales,13,85.79
2021,Nouveau-Brunswick,Régions rurales,13,78.91
2022,Nouveau-Brunswick,Régions rurales,13,82.43
2016,Île-du-Prince-Édouard,Régions rurales,11,42.92
2017,Île-du-Prince-Édouard,Régions rurales,11,30.72
2018,Île-du-Prince-Édouard,Régions rurales,11,31.41
2019,Île-du-Prince-Édouard,Régions rurales,11,33.26
2020,Île-du-Prince-Édouard,Régions rurales,11,64.17
2021,Île-du-Prince-Édouard,Régions rurales,11,79.12
2022,Île-du-Prince-Édouard,Régions rurales,11,84.08
2016,Nouvelle-Écosse,Régions rurales,12,57.45
2017,Nouvelle-Écosse,Régions rurales,12,51.28
2018,Nouvelle-Écosse,Régions rurales,12,51.63
2019,Nouvelle-Écosse,Régions rurales,12,52.41
2020,Nouvelle-Écosse,Régions rurales,12,58.37
2021,Nouvelle-Écosse,Régions rurales,12,65.55
2022,Nouvelle-Écosse,Régions rurales,12,79.0
2016,Terre-Neuve-et-Labrador,Régions rurales,10,49.03
2017,Terre-Neuve-et-Labrador,Régions rurales,10,46.53
2018,Terre-Neuve-et-Labrador,Régions rurales,10,46.15
2019,Terre-Neuve-et-Labrador,Régions rurales,10,49.62
2020,Terre-Neuve-et-Labrador,Régions rurales,10,48.77
2021,Terre-Neuve-et-Labrador,Régions rurales,10,53.98
2022,Terre-Neuve-et-Labrador,Régions rurales,10,63.52
2016,Territoires du Nord-Ouest,Régions rurales,61,
2017,Territoires du Nord-Ouest,Régions rurales,61,
2018,Territoires du Nord-Ouest,Régions rurales,61,
2019,Territoires du Nord-Ouest,Régions rurales,61,
2020,Territoires du Nord-Ouest,Régions rurales,61,16.89
2021,Territoires du Nord-Ouest,Régions rurales,61,17.66
2022,Territoires du Nord-Ouest,Régions rurales,61,50.38
2016,Yukon,Régions rurales,60,
2017,Yukon,Régions rurales,60,
2018,Yukon,Régions rurales,60,
2019,Yukon,Régions rurales,60,
2020,Yukon,Régions rurales,60,12.49
2021,Yukon,Régions rurales,60,23.98
2022,Yukon,Régions rurales,60,34.19
2016,Nunavut,Régions rurales,62,
2017,Nunavut,Régions rurales,62,
2018,Nunavut,Régions rurales,62,
2019,Nunavut,Régions rurales,62,
2020,Nunavut,Régions rurales,62,
2021,Nunavut,Régions rurales,62,0.0
2022,Nunavut,Régions rurales,62,0.0
2016,Colombie-Britannique,Régions urbaines,59,97.95
2017,Colombie-Britannique,Régions urbaines,59,98.06
2018,Colombie-Britannique,Régions urbaines,59,98.94
2019,Colombie-Britannique,Régions urbaines,59,99.3
2020,Colombie-Britannique,Régions urbaines,59,99.45
2021,Colombie-Britannique,Régions urbaines,59,99.43
2022,Colombie-Britannique,Régions urbaines,59,99.44
2016,Alberta,Régions urbaines,48,97.06
2017,Alberta,Régions urbaines,48,94.59
2018,Alberta,Régions urbaines,48,97.62
2019,Alberta,Régions urbaines,48,98.69
2020,Alberta,Régions urbaines,48,98.51
2021,Alberta,Régions urbaines,48,98.65
2022,Alberta,Régions urbaines,48,99.34
2016,Saskatchewan,Régions urbaines,47,65.5
2017,Saskatchewan,Régions urbaines,47,69.47
2018,Saskatchewan,Régions urbaines,47,75.18
2019,Saskatchewan,Régions urbaines,47,96.98
2020,Saskatchewan,Régions urbaines,47,98.29
2021,Saskatchewan,Régions urbaines,47,99.02
2022,Saskatchewan,Régions urbaines,47,98.62
2016,Manitoba,Régions urbaines,46,85.63
2017,Manitoba,Régions urbaines,46,92.61
2018,Manitoba,Régions urbaines,46,94.68
2019,Manitoba,Régions urbaines,46,95.51
2020,Manitoba,Régions urbaines,46,98.54
2021,Manitoba,Régions urbaines,46,97.39
2022,Manitoba,Régions urbaines,46,97.78
2016,Ontario,Régions urbaines,35,98.71
2017,Ontario,Régions urbaines,35,98.27
2018,Ontario,Régions urbaines,35,98.31
2019,Ontario,Régions urbaines,35,98.78
2020,Ontario,Régions urbaines,35,99.2
2021,Ontario,Régions urbaines,35,99.22
2022,Ontario,Régions urbaines,35,99.55
2016,Québec,Régions urbaines,24,96.94
2017,Québec,Régions urbaines,24,98.12
2018,Québec,Régions urbaines,24,98.59
2019,Québec,Régions urbaines,24,99.09
2020,Québec,Régions urbaines,24,99.67
2021,Québec,Régions urbaines,24,99.74
2022,Québec,Régions urbaines,24,99.72
2016,Nouveau-Brunswick,Régions urbaines,13,100.0
2017,Nouveau-Brunswick,Régions urbaines,13,99.77
2018,Nouveau-Brunswick,Régions urbaines,13,99.7
2019,Nouveau-Brunswick,Régions urbaines,13,99.71
2020,Nouveau-Brunswick,Régions urbaines,13,99.89
2021,Nouveau-Brunswick,Régions urbaines,13,99.85
2022,Nouveau-Brunswick,Régions urbaines,13,99.99
2016,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2017,Île-du-Prince-Édouard,Régions urbaines,11,99.98
2018,Île-du-Prince-Édouard,Régions urbaines,11,99.98
2019,Île-du-Prince-Édouard,Régions urbaines,11,99.98
2020,Île-du-Prince-Édouard,Régions urbaines,11,99.98
2021,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2022,Île-du-Prince-Édouard,Régions urbaines,11,99.99
2016,Nouvelle-Écosse,Régions urbaines,12,99.49
2017,Nouvelle-Écosse,Régions urbaines,12,99.28
2018,Nouvelle-Écosse,Régions urbaines,12,99.29
2019,Nouvelle-Écosse,Régions urbaines,12,99.4
2020,Nouvelle-Écosse,Régions urbaines,12,99.42
2021,Nouvelle-Écosse,Régions urbaines,12,99.28
2022,Nouvelle-Écosse,Régions urbaines,12,99.64
2016,Terre-Neuve-et-Labrador,Régions urbaines,10,93.71
2017,Terre-Neuve-et-Labrador,Régions urbaines,10,93.25
