Year,Units,data.Geography,data.Type of event,Value
2019,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,117.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,10.6
2020,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,230.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,20.4
2016,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,88.0
2016,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,6.8
2017,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,106.0
2017,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,8.1
2018,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,93.0
2018,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,7.0
2019,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,26.0
2019,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,2.0
2020,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,
2020,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,
2016,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,867.0
2016,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,6.3
2017,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,1265.0
2017,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,9.0
2018,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,1477.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,10.4
2019,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,1517.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,10.5
2020,data.Number,data.Ontario,data.Apparent opioid toxicity deaths,2425.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Apparent opioid toxicity deaths,16.6
2016,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,258.0
2016,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,3.1
2017,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,281.0
2017,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,3.4
2018,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,208.0
2018,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,2.5
2019,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,414.0
2019,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,4.9
2020,data.Number,data.Quebec,data.Apparent opioid toxicity deaths,547.0
2020,"data.Rate per 100,000 population",data.Quebec,data.Apparent opioid toxicity deaths,6.5
2016,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,34.0
2016,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,4.4
2017,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,38.0
2017,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,5.1
2018,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,30.0
2018,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,3.9
2019,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,35.0
2019,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,4.6
2020,data.Number,data.New Brunswick,data.Apparent opioid toxicity deaths,38.0
2020,"data.Rate per 100,000 population",data.New Brunswick,data.Apparent opioid toxicity deaths,5.1
2016,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,53.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,5.7
2017,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,64.0
2017,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,6.9
2018,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,54.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,5.8
2019,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,57.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,5.9
2020,data.Number,data.Nova Scotia,data.Apparent opioid toxicity deaths,51.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent opioid toxicity deaths,5.5
2016,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,5.0
2016,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,3.2
2017,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,5.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,3.6
2018,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,8.0
2018,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,5.4
2019,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,5.0
2019,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,3.3
2020,data.Number,data.Prince Edward Island,data.Apparent opioid toxicity deaths,8.0
2020,"data.Rate per 100,000 population",data.Prince Edward Island,data.Apparent opioid toxicity deaths,5.1
2016,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,18.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,3.6
2017,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,33.0
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,6.5
2018,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,12.0
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,2.3
2019,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,18.0
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,3.5
2020,data.Number,data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,24.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Apparent opioid toxicity deaths,4.9
2016,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,7.0
2016,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,17.5
2017,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,7.0
2017,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,16.5
2018,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,5.0
2018,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,12.4
2019,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,4.0
2019,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,10.1
2020,data.Number,data.Yukon,data.Apparent opioid toxicity deaths,6.0
2020,"data.Rate per 100,000 population",data.Yukon,data.Apparent opioid toxicity deaths,14.6
2016,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,5.0
2016,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,12.2
2017,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,1.0
2017,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,1.9
2018,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,2.0
2018,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,3.8
2019,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,1.0
2019,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,2.1
2020,data.Number,data.Northwest Territories,data.Apparent opioid toxicity deaths,3.0
2020,"data.Rate per 100,000 population",data.Northwest Territories,data.Apparent opioid toxicity deaths,5.7
2016,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,
2016,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,
2017,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,
2017,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,
2018,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,
2018,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,
2019,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,
2019,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,
2020,data.Number,data.Nunavut,data.Apparent opioid toxicity deaths,
2020,"data.Rate per 100,000 population",data.Nunavut,data.Apparent opioid toxicity deaths,
2016,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,4687.0
2016,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,16.8
2017,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,5203.0
2017,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,18.4
2018,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,5052.0
2018,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,17.6
2019,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,4514.0
2019,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,15.5
2020,data.Number,data.Canada,data.Opioid-related poisoning hospitalizations,5215.0
2020,"data.Rate per 100,000 population",data.Canada,data.Opioid-related poisoning hospitalizations,17.7
2016,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,1156.0
2016,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,23.4
2017,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,1407.0
2017,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,28.2
2018,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,1418.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,28.0
2019,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,1196.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,23.2
2020,data.Number,data.British Columbia,data.Opioid-related poisoning hospitalizations,1575.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Opioid-related poisoning hospitalizations,30.3
2016,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,930.0
2016,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,23.3
2017,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,947.0
2017,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,23.1
2018,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,922.0
2018,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,22.1
2019,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,709.0
2019,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,16.8
2020,data.Number,data.Alberta,data.Opioid-related poisoning hospitalizations,890.0
2020,"data.Rate per 100,000 population",data.Alberta,data.Opioid-related poisoning hospitalizations,20.5
2016,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,264.0
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,23.9
2017,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,244.0
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,21.9
2018,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,229.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,20.4
2019,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,264.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,23.0
2020,data.Number,data.Saskatchewan,data.Opioid-related poisoning hospitalizations,313.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Opioid-related poisoning hospitalizations,27.5
2016,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,123.0
2016,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,9.7
2017,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,161.0
2017,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,12.4
2018,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,108.0
2018,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,8.3
2019,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,84.0
2019,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,6.3
2020,data.Number,data.Manitoba,data.Opioid-related poisoning hospitalizations,124.0
2020,"data.Rate per 100,000 population",data.Manitoba,data.Opioid-related poisoning hospitalizations,9.3
2016,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,1875.0
2016,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,13.5
2017,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,2124.0
2017,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,15.1
2018,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,2095.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,14.6
2019,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,1981.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,13.5
2020,data.Number,data.Ontario,data.Opioid-related poisoning hospitalizations,2040.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Opioid-related poisoning hospitalizations,13.8
2016,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,
2016,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,
2017,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,
2017,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,
2018,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,
2018,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,
2019,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,
2019,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,
2020,data.Number,data.Quebec,data.Opioid-related poisoning hospitalizations,
2020,"data.Rate per 100,000 population",data.Quebec,data.Opioid-related poisoning hospitalizations,
2016,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,129.0
2016,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,17.0
2017,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,101.0
2017,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,12.9
2018,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,87.0
2018,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,11.7
2019,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,104.0
2019,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,13.4
2020,data.Number,data.New Brunswick,data.Opioid-related poisoning hospitalizations,100.0
2020,"data.Rate per 100,000 population",data.New Brunswick,data.Opioid-related poisoning hospitalizations,12.0
2016,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,101.0
2016,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,10.1
2017,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,83.0
2017,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,8.5
2018,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,80.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,8.0
2019,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,79.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,7.8
2020,data.Number,data.Nova Scotia,data.Opioid-related poisoning hospitalizations,72.0
2020,"data.Rate per 100,000 population",data.Nova Scotia,data.Opioid-related poisoning hospitalizations,6.8
2016,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,22.0
2016,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,14.9
2017,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,16.0
2017,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,9.8
2018,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,20.0
2018,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,12.3
2019,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,24.0
2019,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,14.1
2020,data.Number,data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,17.0
2020,"data.Rate per 100,000 population",data.Prince Edward Island,data.Opioid-related poisoning hospitalizations,10.1
2016,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,56.0
2016,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,10.3
2017,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,90.0
2017,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,16.6
2018,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,67.0
2018,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,12.8
2019,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,52.0
2019,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,9.9
2020,data.Number,data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,63.0
2020,"data.Rate per 100,000 population",data.Newfoundland and Labrador,data.Opioid-related poisoning hospitalizations,12.0
2016,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,31.0
2016,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,29.9
2017,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,30.0
2017,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,25.6
2018,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,26.0
2018,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,21.8
2019,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,21.0
2019,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,17.6
2020,data.Number,data.Territories,data.Opioid-related poisoning hospitalizations,21.0
2020,"data.Rate per 100,000 population",data.Territories,data.Opioid-related poisoning hospitalizations,17.6
2017,data.Number,data.British Columbia,data.EMS responses to suspected opioid-related overdoses,12961.0
2018,data.Number,data.British Columbia,data.EMS responses to suspected opioid-related overdoses,13365.0
2019,data.Number,data.British Columbia,data.EMS responses to suspected opioid-related overdoses,13486.0
2020,data.Number,data.British Columbia,data.EMS responses to suspected opioid-related overdoses,17159.0
2017,data.Number,data.Alberta,data.EMS responses to suspected opioid-related overdoses,2643.0
2018,data.Number,data.Alberta,data.EMS responses to suspected opioid-related overdoses,4206.0
2019,data.Number,data.Alberta,data.EMS responses to suspected opioid-related overdoses,3536.0
2020,data.Number,data.Alberta,data.EMS responses to suspected opioid-related overdoses,5188.0
2018,data.Number,data.Saskatchewan,data.EMS responses to suspected opioid-related overdoses,201.0
2019,data.Number,data.Saskatchewan,data.EMS responses to suspected opioid-related overdoses,329.0
2020,data.Number,data.Saskatchewan,data.EMS responses to suspected opioid-related overdoses,649.0
2017,data.Number,data.Winnipeg Manitoba,data.EMS responses to suspected opioid-related overdoses,736.0
2018,data.Number,data.Winnipeg Manitoba,data.EMS responses to suspected opioid-related overdoses,592.0
2019,data.Number,data.Winnipeg Manitoba,data.EMS responses to suspected opioid-related overdoses,774.0
2020,data.Number,data.Winnipeg Manitoba,data.EMS responses to suspected opioid-related overdoses,1543.0
2017,data.Number,data.Northern and Rural Manitoba,data.EMS responses to suspected opioid-related overdoses,32.0
2018,data.Number,data.Northern and Rural Manitoba,data.EMS responses to suspected opioid-related overdoses,21.0
2019,data.Number,data.Northern and Rural Manitoba,data.EMS responses to suspected opioid-related overdoses,21.0
2020,data.Number,data.Northern and Rural Manitoba,data.EMS responses to suspected opioid-related overdoses,53.0
2018,data.Number,data.Ontario,data.EMS responses to suspected opioid-related overdoses,1804.0
2019,data.Number,data.Ontario,data.EMS responses to suspected opioid-related overdoses,2629.0
2020,data.Number,data.Ontario,data.EMS responses to suspected opioid-related overdoses,3809.0
2017,data.Number,data.New Brunswick,data.EMS responses to suspected opioid-related overdoses,152.0
2018,data.Number,data.New Brunswick,data.EMS responses to suspected opioid-related overdoses,110.0
2019,data.Number,data.New Brunswick,data.EMS responses to suspected opioid-related overdoses,127.0
2020,data.Number,data.New Brunswick,data.EMS responses to suspected opioid-related overdoses,125.0
2018,data.Number,data.Nova Scotia,data.EMS responses to suspected opioid-related overdoses,111.0
2019,data.Number,data.Nova Scotia,data.EMS responses to suspected opioid-related overdoses,188.0
2020,data.Number,data.Nova Scotia,data.EMS responses to suspected opioid-related overdoses,182.0
2017,data.Number,data.Newfoundland and Labrador,data.EMS responses to suspected opioid-related overdoses,46.0
2018,data.Number,data.Newfoundland and Labrador,data.EMS responses to suspected opioid-related overdoses,
2017,data.Number,data.Whitehorse Yukon,data.EMS responses to suspected opioid-related overdoses,59.0
2018,data.Number,data.Whitehorse Yukon,data.EMS responses to suspected opioid-related overdoses,78.0
2019,data.Number,data.Whitehorse Yukon,data.EMS responses to suspected opioid-related overdoses,48.0
2020,data.Number,data.Whitehorse Yukon,data.EMS responses to suspected opioid-related overdoses,104.0
2017,data.Number,data.Yellowknife Northwest Territories,data.EMS responses to suspected opioid-related overdoses,
2018,data.Number,data.Yellowknife Northwest Territories,data.EMS responses to suspected opioid-related overdoses,
2019,data.Number,data.Yellowknife Northwest Territories,data.EMS responses to suspected opioid-related overdoses,
2020,data.Number,data.Yellowknife Northwest Territories,data.EMS responses to suspected opioid-related overdoses,
2018,data.Number,data.British Columbia,data.Apparent stimulant toxicity deaths,826.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Apparent stimulant toxicity deaths,16.5
2019,data.Number,data.British Columbia,data.Apparent stimulant toxicity deaths,381.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Apparent stimulant toxicity deaths,7.5
2020,data.Number,data.British Columbia,data.Apparent stimulant toxicity deaths,373.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Apparent stimulant toxicity deaths,7.3
2018,data.Number,data.Saskatchewan,data.Apparent stimulant toxicity deaths,83.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent stimulant toxicity deaths,7.4
2019,data.Number,data.Saskatchewan,data.Apparent stimulant toxicity deaths,95.0
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent stimulant toxicity deaths,8.3
2020,data.Number,data.Saskatchewan,data.Apparent stimulant toxicity deaths,163.0
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent stimulant toxicity deaths,14.3
2018,data.Number,data.Ontario,data.Apparent stimulant toxicity deaths,913.0
2018,"data.Rate per 100,000 population",data.Ontario,data.Apparent stimulant toxicity deaths,6.4
2019,data.Number,data.Ontario,data.Apparent stimulant toxicity deaths,1004.0
2019,"data.Rate per 100,000 population",data.Ontario,data.Apparent stimulant toxicity deaths,6.9
2020,data.Number,data.Ontario,data.Apparent stimulant toxicity deaths,1671.0
2020,"data.Rate per 100,000 population",data.Ontario,data.Apparent stimulant toxicity deaths,11.5
2018,data.Number,data.Quebec,data.Apparent stimulant toxicity deaths,162.0
2018,"data.Rate per 100,000 population",data.Quebec,data.Apparent stimulant toxicity deaths,2.0
2018,data.Number,data.Nova Scotia,data.Apparent stimulant toxicity deaths,25.0
2018,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent stimulant toxicity deaths,2.7
2019,data.Number,data.Nova Scotia,data.Apparent stimulant toxicity deaths,29.0
2019,"data.Rate per 100,000 population",data.Nova Scotia,data.Apparent stimulant toxicity deaths,3.1
