Year,Géographie,Groupe d'âge,Genre,Progress,GeoCode,Value
2022,Québec,45 à 54 ans,"Total, toutes les personnes",1.29203539823009,24,12.9
2022,Québec,45 à 54 ans,Hommes+,,24,11.3
2022,Québec,45 à 54 ans,Femmes+,,24,14.6
2022,Québec,55 à 64 ans,"Total, toutes les personnes",1.232,24,14.2
2022,Québec,55 à 64 ans,Hommes+,,24,12.5
2022,Québec,55 à 64 ans,Femmes+,,24,15.4
2022,Québec,65 ans et plus,"Total, toutes les personnes",1.136,24,13.3
2022,Québec,65 ans et plus,Hommes+,,24,12.5
2022,Québec,65 ans et plus,Femmes+,,24,14.2
2022,Ontario,"Total, 15 ans et plus","Total, toutes les personnes",1.50925925925926,35,13.8
2022,Ontario,"Total, 15 ans et plus",Hommes+,,35,10.8
2022,Ontario,"Total, 15 ans et plus",Femmes+,,35,16.3
2022,Ontario,15 à 24 ans,"Total, toutes les personnes",,35,5.0
2022,Ontario,15 à 24 ans,Hommes+,,35,
2022,Ontario,15 à 24 ans,Femmes+,,35,
2022,Ontario,25 à 54 ans,"Total, toutes les personnes",1.51239669421488,35,15.0
2022,Ontario,25 à 54 ans,Hommes+,,35,12.1
2022,Ontario,25 à 54 ans,Femmes+,,35,18.3
2022,Ontario,25 à 34 ans,"Total, toutes les personnes",1.60416666666667,35,12.5
2022,Ontario,25 à 34 ans,Hommes+,,35,9.6
2022,Ontario,25 à 34 ans,Femmes+,,35,15.4
2022,Ontario,35 à 44 ans,"Total, toutes les personnes",1.63157894736842,35,17.5
2022,Ontario,35 à 44 ans,Hommes+,,35,13.3
2022,Ontario,35 à 44 ans,Femmes+,,35,21.7
2022,Ontario,45 à 54 ans,"Total, toutes les personnes",1.32608695652174,35,16.3
2022,Ontario,45 à 54 ans,Hommes+,,35,13.8
2022,Ontario,45 à 54 ans,Femmes+,,35,18.3
2022,Ontario,55 à 64 ans,"Total, toutes les personnes",1.23913043478261,35,15.4
2022,Ontario,55 à 64 ans,Hommes+,,35,13.8
2022,Ontario,55 à 64 ans,Femmes+,,35,17.1
2022,Ontario,65 ans et plus,"Total, toutes les personnes",1.26356589147287,35,14.6
2022,Ontario,65 ans et plus,Hommes+,,35,12.9
2022,Ontario,65 ans et plus,Femmes+,,35,16.3
2022,Prairies,"Total, 15 ans et plus","Total, toutes les personnes",1.47787610619469,4,14.2
2022,Prairies,"Total, 15 ans et plus",Hommes+,,4,11.3
2022,Prairies,"Total, 15 ans et plus",Femmes+,,4,16.7
2022,Prairies,15 à 24 ans,"Total, toutes les personnes",,4,
2022,Prairies,15 à 24 ans,Hommes+,,4,
2022,Prairies,15 à 24 ans,Femmes+,,4,
2022,Prairies,25 à 54 ans,"Total, toutes les personnes",1.73451327433628,4,15.4
2022,Prairies,25 à 54 ans,Hommes+,,4,11.3
2022,Prairies,25 à 54 ans,Femmes+,,4,19.6
2022,Prairies,25 à 34 ans,"Total, toutes les personnes",2.31325301204819,4,13.8
2022,Prairies,25 à 34 ans,Hommes+,,4,8.3
2022,Prairies,25 à 34 ans,Femmes+,,4,19.2
2022,Prairies,35 à 44 ans,"Total, toutes les personnes",1.75187969924812,4,17.9
2022,Prairies,35 à 44 ans,Hommes+,,4,13.3
2022,Prairies,35 à 44 ans,Femmes+,,4,23.3
2022,Prairies,45 à 54 ans,"Total, toutes les personnes",1.35042735042735,4,13.8
2022,Prairies,45 à 54 ans,Hommes+,,4,11.7
2022,Prairies,45 à 54 ans,Femmes+,,4,15.8
2022,Prairies,55 à 64 ans,"Total, toutes les personnes",1.30578512396694,4,14.2
2022,Prairies,55 à 64 ans,Hommes+,,4,12.1
2022,Prairies,55 à 64 ans,Femmes+,,4,15.8
2022,Prairies,65 ans et plus,"Total, toutes les personnes",1.14788732394366,4,15.4
2022,Prairies,65 ans et plus,Hommes+,,4,14.2
2022,Prairies,65 ans et plus,Femmes+,,4,16.3
2022,Colombie-Britannique,"Total, 15 ans et plus","Total, toutes les personnes",1.36538461538462,59,12.5
2022,Colombie-Britannique,"Total, 15 ans et plus",Hommes+,,59,10.4
2022,Colombie-Britannique,"Total, 15 ans et plus",Femmes+,,59,14.2
2022,Colombie-Britannique,15 à 24 ans,"Total, toutes les personnes",,59,
2022,Colombie-Britannique,15 à 24 ans,Hommes+,,59,
2022,Colombie-Britannique,15 à 24 ans,Femmes+,,59,
2022,Colombie-Britannique,25 à 54 ans,"Total, toutes les personnes",1.64583333333333,59,12.9
2022,Colombie-Britannique,25 à 54 ans,Hommes+,,59,9.6
2022,Colombie-Britannique,25 à 54 ans,Femmes+,,59,15.8
2022,Colombie-Britannique,25 à 34 ans,"Total, toutes les personnes",2.05633802816901,59,10.8
2022,Colombie-Britannique,25 à 34 ans,Hommes+,,59,7.1
2022,Colombie-Britannique,25 à 34 ans,Femmes+,,59,14.6
2022,Colombie-Britannique,35 à 44 ans,"Total, toutes les personnes",1.62037037037037,59,14.2
2022,Colombie-Britannique,35 à 44 ans,Hommes+,,59,10.8
2022,Colombie-Britannique,35 à 44 ans,Femmes+,,59,17.5
2022,Colombie-Britannique,45 à 54 ans,"Total, toutes les personnes",1.27272727272727,59,13.8
2022,Colombie-Britannique,45 à 54 ans,Hommes+,,59,12.1
2022,Colombie-Britannique,45 à 54 ans,Femmes+,,59,15.4
2022,Colombie-Britannique,55 à 64 ans,"Total, toutes les personnes",1.368,59,15.0
2022,Colombie-Britannique,55 à 64 ans,Hommes+,,59,12.5
2022,Colombie-Britannique,55 à 64 ans,Femmes+,,59,17.1
2022,Colombie-Britannique,65 ans et plus,"Total, toutes les personnes",1.17605633802817,59,15.4
2022,Colombie-Britannique,65 ans et plus,Hommes+,,59,14.2
2022,Colombie-Britannique,65 ans et plus,Femmes+,,59,16.7
