Year,Géographie,Type de boissons,GeoCode,Value
2016/2017,Terre-Neuve-et-Labrador,Vins,10,1.2
2016/2017,Terre-Neuve-et-Labrador,Bière,10,4.5
2016/2017,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2016/2017,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.2
2016/2017,Île-du-Prince-Édouard,Spiritueux,11,2.4
2016/2017,Île-du-Prince-Édouard,Vins,11,1.5
2016/2017,Île-du-Prince-Édouard,Bière,11,3.9
2016/2017,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.3
2016/2017,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.7
2016/2017,Nouvelle-Écosse,Spiritueux,12,2.3
2016/2017,Nouvelle-Écosse,Vins,12,1.5
2016/2017,Nouvelle-Écosse,Bière,12,3.6
2016/2017,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.4
2016/2017,Nouveau-Brunswick,Total des boissons alcoolisées,13,7.0
2016/2017,Nouveau-Brunswick,Spiritueux,13,1.8
2016/2017,Nouveau-Brunswick,Vins,13,1.3
2016/2017,Nouveau-Brunswick,Bière,13,3.6
2016/2017,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.3
2016/2017,Québec,Total des boissons alcoolisées,24,8.4
2016/2017,Québec,Spiritueux,24,1.3
2016/2017,Québec,Vins,24,3.0
2016/2017,Québec,Bière,24,4.1
2016/2017,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2016/2017,Ontario,Total des boissons alcoolisées,35,7.7
2016/2017,Ontario,Spiritueux,35,2.1
2016/2017,Ontario,Vins,35,2.0
2016/2017,Ontario,Bière,35,3.3
2016/2017,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.3
2016/2017,Manitoba,Total des boissons alcoolisées,46,7.8
2016/2017,Manitoba,Spiritueux,46,2.6
2016/2017,Manitoba,Vins,46,1.4
2016/2017,Manitoba,Bière,46,3.5
2016/2017,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.3
2016/2017,Saskatchewan,Total des boissons alcoolisées,47,8.3
2016/2017,Saskatchewan,Spiritueux,47,3.0
2016/2017,Saskatchewan,Vins,47,1.1
2016/2017,Saskatchewan,Bière,47,3.7
2016/2017,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.5
2016/2017,Alberta,Total des boissons alcoolisées,48,8.9
2016/2017,Alberta,Spiritueux,48,3.0
2016/2017,Alberta,Vins,48,1.6
2016/2017,Alberta,Bière,48,3.8
2016/2017,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.5
2016/2017,Colombie-Britannique,Total des boissons alcoolisées,59,8.8
2016/2017,Colombie-Britannique,Spiritueux,59,2.4
2016/2017,Colombie-Britannique,Vins,59,2.3
2016/2017,Colombie-Britannique,Bière,59,3.5
2016/2017,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.6
2016/2017,Yukon,Total des boissons alcoolisées,60,13.3
2016/2017,Yukon,Spiritueux,60,4.2
2016/2017,Yukon,Vins,60,2.3
2016/2017,Yukon,Bière,60,5.9
2016/2017,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.0
2016/2017,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.5
2016/2017,Territoires du Nord-Ouest,Spiritueux,61,4.9
2016/2017,Territoires du Nord-Ouest,Vins,61,1.5
2016/2017,Territoires du Nord-Ouest,Bière,61,4.6
2016/2017,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.5
2016/2017,Nunavut,Total des boissons alcoolisées,62,1.7
2016/2017,Nunavut,Spiritueux,62,0.5
2016/2017,Nunavut,Vins,62,0.2
2016/2017,Nunavut,Bière,62,1.0
2016/2017,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.0
2017/2018,Canada,Spiritueux,,2.1
2017/2018,Canada,Vins,,2.1
2017/2018,Canada,Bière,,3.6
2017/2018,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.3
2017/2018,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.1
2017/2018,Terre-Neuve-et-Labrador,Spiritueux,10,3.2
2017/2018,Terre-Neuve-et-Labrador,Vins,10,1.3
2017/2018,Terre-Neuve-et-Labrador,Bière,10,4.4
2017/2018,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2017/2018,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.1
2017/2018,Île-du-Prince-Édouard,Spiritueux,11,2.4
2017/2018,Île-du-Prince-Édouard,Vins,11,1.5
2017/2018,Île-du-Prince-Édouard,Bière,11,3.8
2017/2018,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.3
2017/2018,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.8
2017/2018,Nouvelle-Écosse,Spiritueux,12,2.3
2017/2018,Nouvelle-Écosse,Vins,12,1.5
2017/2018,Nouvelle-Écosse,Bière,12,3.5
2017/2018,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.4
2017/2018,Nouveau-Brunswick,Total des boissons alcoolisées,13,6.9
2017/2018,Nouveau-Brunswick,Spiritueux,13,1.8
2017/2018,Nouveau-Brunswick,Vins,13,1.3
2017/2018,Nouveau-Brunswick,Bière,13,3.4
2017/2018,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.4
2017/2018,Québec,Total des boissons alcoolisées,24,8.5
2017/2018,Québec,Spiritueux,24,1.3
2017/2018,Québec,Vins,24,3.1
2017/2018,Québec,Bière,24,4.0
2017/2018,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2017/2018,Ontario,Total des boissons alcoolisées,35,7.7
2017/2018,Ontario,Spiritueux,35,2.1
2017/2018,Ontario,Vins,35,1.9
2017/2018,Ontario,Bière,35,3.3
2017/2018,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.3
2017/2018,Manitoba,Total des boissons alcoolisées,46,7.7
2017/2018,Manitoba,Spiritueux,46,2.6
2017/2018,Manitoba,Vins,46,1.4
2017/2018,Manitoba,Bière,46,3.4
2017/2018,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.3
2017/2018,Saskatchewan,Total des boissons alcoolisées,47,8.0
2017/2018,Saskatchewan,Spiritueux,47,2.9
2017/2018,Saskatchewan,Vins,47,1.1
2017/2018,Saskatchewan,Bière,47,3.5
2017/2018,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.5
2017/2018,Alberta,Total des boissons alcoolisées,48,8.8
2017/2018,Alberta,Spiritueux,48,2.9
2017/2018,Alberta,Vins,48,1.6
2017/2018,Alberta,Bière,48,3.7
2017/2018,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.5
2017/2018,Colombie-Britannique,Total des boissons alcoolisées,59,8.9
2017/2018,Colombie-Britannique,Spiritueux,59,2.4
2017/2018,Colombie-Britannique,Vins,59,2.3
2017/2018,Colombie-Britannique,Bière,59,3.5
2017/2018,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.7
2017/2018,Yukon,Total des boissons alcoolisées,60,13.1
2017/2018,Yukon,Spiritueux,60,4.1
2017/2018,Yukon,Vins,60,2.2
2017/2018,Yukon,Bière,60,5.7
2017/2018,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.0
2017/2018,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,12.1
2017/2018,Territoires du Nord-Ouest,Spiritueux,61,5.3
2017/2018,Territoires du Nord-Ouest,Vins,61,1.6
2017/2018,Territoires du Nord-Ouest,Bière,61,4.7
2017/2018,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.5
2017/2018,Nunavut,Total des boissons alcoolisées,62,2.8
2017/2018,Nunavut,Spiritueux,62,0.5
2017/2018,Nunavut,Vins,62,0.7
2017/2018,Nunavut,Bière,62,1.6
2017/2018,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.0
2018/2019,Canada,Spiritueux,,2.1
2018/2019,Canada,Vins,,2.0
2018/2019,Canada,Bière,,3.5
2018/2019,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.4
2018/2019,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,8.8
2018/2019,Terre-Neuve-et-Labrador,Spiritueux,10,3.0
2018/2019,Terre-Neuve-et-Labrador,Vins,10,1.2
2018/2019,Terre-Neuve-et-Labrador,Bière,10,4.3
2018/2019,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2018/2019,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.0
2018/2019,Île-du-Prince-Édouard,Spiritueux,11,2.3
2018/2019,Île-du-Prince-Édouard,Vins,11,1.5
2018/2019,Île-du-Prince-Édouard,Bière,11,3.8
2018/2019,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.4
2018/2019,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.7
2018/2019,Nouvelle-Écosse,Spiritueux,12,2.3
2018/2019,Nouvelle-Écosse,Vins,12,1.5
2018/2019,Nouvelle-Écosse,Bière,12,3.5
2018/2019,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.4
2018/2019,Nouveau-Brunswick,Total des boissons alcoolisées,13,6.8
2018/2019,Nouveau-Brunswick,Spiritueux,13,1.8
2018/2019,Nouveau-Brunswick,Vins,13,1.3
2018/2019,Nouveau-Brunswick,Bière,13,3.4
2018/2019,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.4
2018/2019,Québec,Total des boissons alcoolisées,24,8.4
2018/2019,Québec,Spiritueux,24,1.3
2018/2019,Québec,Vins,24,3.0
2018/2019,Québec,Bière,24,4.0
2018/2019,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2018/2019,Ontario,Total des boissons alcoolisées,35,7.5
2018/2019,Ontario,Spiritueux,35,2.1
2018/2019,Ontario,Vins,35,1.8
2018/2019,Ontario,Bière,35,3.3
2018/2019,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.4
2018/2019,Manitoba,Total des boissons alcoolisées,46,7.5
2018/2019,Manitoba,Spiritueux,46,2.5
2018/2019,Manitoba,Vins,46,1.3
2018/2019,Manitoba,Bière,46,3.3
2018/2019,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.4
2018/2019,Saskatchewan,Total des boissons alcoolisées,47,7.8
2018/2019,Saskatchewan,Spiritueux,47,2.9
2018/2019,Saskatchewan,Vins,47,1.1
2018/2019,Saskatchewan,Bière,47,3.3
2018/2019,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.5
2018/2019,Alberta,Total des boissons alcoolisées,48,8.6
2018/2019,Alberta,Spiritueux,48,3.0
2018/2019,Alberta,Vins,48,1.6
2018/2019,Alberta,Bière,48,3.5
2018/2019,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.5
2018/2019,Colombie-Britannique,Total des boissons alcoolisées,59,8.8
2018/2019,Colombie-Britannique,Spiritueux,59,2.4
2018/2019,Colombie-Britannique,Vins,59,2.2
2018/2019,Colombie-Britannique,Bière,59,3.4
2018/2019,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.8
2018/2019,Yukon,Total des boissons alcoolisées,60,13.0
2018/2019,Yukon,Spiritueux,60,4.2
2018/2019,Yukon,Vins,60,2.2
2018/2019,Yukon,Bière,60,5.6
2018/2019,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.1
2018/2019,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.9
2018/2019,Territoires du Nord-Ouest,Spiritueux,61,5.3
2018/2019,Territoires du Nord-Ouest,Vins,61,1.6
2018/2019,Territoires du Nord-Ouest,Bière,61,4.5
2018/2019,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.5
2018/2019,Nunavut,Total des boissons alcoolisées,62,3.6
2018/2019,Nunavut,Spiritueux,62,0.5
2018/2019,Nunavut,Vins,62,0.8
2018/2019,Nunavut,Bière,62,2.3
2018/2019,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.0
2019/2020,Canada,Spiritueux,,2.2
2019/2020,Canada,Vins,,2.1
2019/2020,Canada,Bière,,3.4
2019/2020,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.4
2019/2020,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,8.8
2019/2020,Terre-Neuve-et-Labrador,Spiritueux,10,3.1
2019/2020,Terre-Neuve-et-Labrador,Vins,10,1.2
2019/2020,Terre-Neuve-et-Labrador,Bière,10,4.2
2019/2020,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2019/2020,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.0
2019/2020,Île-du-Prince-Édouard,Spiritueux,11,2.3
2019/2020,Île-du-Prince-Édouard,Vins,11,1.5
2019/2020,Île-du-Prince-Édouard,Bière,11,3.7
2019/2020,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.5
2019/2020,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.8
2019/2020,Nouvelle-Écosse,Spiritueux,12,2.3
2019/2020,Nouvelle-Écosse,Vins,12,1.5
2019/2020,Nouvelle-Écosse,Bière,12,3.4
2019/2020,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.5
2019/2020,Nouveau-Brunswick,Total des boissons alcoolisées,13,6.9
2019/2020,Nouveau-Brunswick,Spiritueux,13,1.8
2019/2020,Nouveau-Brunswick,Vins,13,1.3
2019/2020,Nouveau-Brunswick,Bière,13,3.3
2019/2020,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.5
2019/2020,Québec,Total des boissons alcoolisées,24,8.5
2019/2020,Québec,Spiritueux,24,1.4
2019/2020,Québec,Vins,24,3.1
2019/2020,Québec,Bière,24,3.9
2019/2020,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2019/2020,Ontario,Total des boissons alcoolisées,35,7.6
2019/2020,Ontario,Spiritueux,35,2.1
2019/2020,Ontario,Vins,35,1.9
2019/2020,Ontario,Bière,35,3.2
2019/2020,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.4
2019/2020,Manitoba,Total des boissons alcoolisées,46,7.5
2019/2020,Manitoba,Spiritueux,46,2.6
2019/2020,Manitoba,Vins,46,1.4
2019/2020,Manitoba,Bière,46,3.1
2019/2020,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.4
2019/2020,Saskatchewan,Total des boissons alcoolisées,47,7.4
2019/2020,Saskatchewan,Spiritueux,47,2.8
2019/2020,Saskatchewan,Vins,47,1.0
2019/2020,Saskatchewan,Bière,47,3.0
2019/2020,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.5
2019/2020,Alberta,Total des boissons alcoolisées,48,8.6
2019/2020,Alberta,Spiritueux,48,3.0
2019/2020,Alberta,Vins,48,1.6
2019/2020,Alberta,Bière,48,3.3
2019/2020,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.6
2019/2020,Colombie-Britannique,Total des boissons alcoolisées,59,8.8
2019/2020,Colombie-Britannique,Spiritueux,59,2.4
2019/2020,Colombie-Britannique,Vins,59,2.3
2019/2020,Colombie-Britannique,Bière,59,3.2
2019/2020,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.9
2019/2020,Yukon,Total des boissons alcoolisées,60,13.0
2019/2020,Yukon,Spiritueux,60,4.2
2019/2020,Yukon,Vins,60,2.2
2019/2020,Yukon,Bière,60,5.5
2019/2020,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,1.2
2019/2020,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.7
2019/2020,Territoires du Nord-Ouest,Spiritueux,61,5.4
2019/2020,Territoires du Nord-Ouest,Vins,61,1.6
2019/2020,Territoires du Nord-Ouest,Bière,61,4.2
2019/2020,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.6
2019/2020,Nunavut,Total des boissons alcoolisées,62,3.8
2019/2020,Nunavut,Spiritueux,62,0.5
2019/2020,Nunavut,Vins,62,0.6
2019/2020,Nunavut,Bière,62,2.6
2019/2020,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.2
2020/2021,Canada,Spiritueux,,2.2
2020/2021,Canada,Vins,,2.1
2020/2021,Canada,Bière,,3.3
2020/2021,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.6
2020/2021,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.2
2020/2021,Terre-Neuve-et-Labrador,Spiritueux,10,3.2
2020/2021,Terre-Neuve-et-Labrador,Vins,10,1.2
2020/2021,Terre-Neuve-et-Labrador,Bière,10,4.3
2020/2021,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.5
2020/2021,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.1
2020/2021,Île-du-Prince-Édouard,Spiritueux,11,2.3
2020/2021,Île-du-Prince-Édouard,Vins,11,1.4
2020/2021,Île-du-Prince-Édouard,Bière,11,3.5
2020/2021,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.9
2020/2021,Nouvelle-Écosse,Total des boissons alcoolisées,12,8.2
2020/2021,Nouvelle-Écosse,Spiritueux,12,2.5
2020/2021,Nouvelle-Écosse,Vins,12,1.5
2020/2021,Nouvelle-Écosse,Bière,12,3.3
2020/2021,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.8
2020/2021,Nouveau-Brunswick,Total des boissons alcoolisées,13,7.7
2020/2021,Nouveau-Brunswick,Spiritueux,13,2.0
2020/2021,Nouveau-Brunswick,Vins,13,1.4
2020/2021,Nouveau-Brunswick,Bière,13,3.6
2020/2021,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.7
2020/2021,Québec,Total des boissons alcoolisées,24,8.4
2020/2021,Québec,Spiritueux,24,1.5
2020/2021,Québec,Vins,24,3.1
2020/2021,Québec,Bière,24,3.7
2020/2021,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2020/2021,Ontario,Total des boissons alcoolisées,35,7.8
