Year,Géographie,Niveau de scolarité,Genre,Groupe d'âge,Caractéristiques de la population,GeoCode,Value
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,30 à 34 ans,Population totale,,23.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,30 à 34 ans,Population totale,,31.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,35 à 44 ans,Population totale,,26.0
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,35 à 44 ans,Population totale,,22.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,35 à 44 ans,Population totale,,30.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,45 à 54 ans,Population totale,,24.0
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,45 à 54 ans,Population totale,,20.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,45 à 54 ans,Population totale,,28.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,55 à 64 ans,Population totale,,20.0
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,55 à 64 ans,Population totale,,17.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,55 à 64 ans,Population totale,,24.0
2010,Canada,Baccalauréat,Total - Genre,"Total, 25 à 64 ans",Population totale,,18.0
2010,Canada,Baccalauréat,Hommes+,"Total, 25 à 64 ans",Population totale,,16.0
2010,Canada,Baccalauréat,Femmes+,"Total, 25 à 64 ans",Population totale,,19.0
2010,Canada,Baccalauréat,Total - Genre,25 à 34 ans,Population totale,,23.0
2010,Canada,Baccalauréat,Hommes+,25 à 34 ans,Population totale,,19.0
2010,Canada,Baccalauréat,Femmes+,25 à 34 ans,Population totale,,26.0
2010,Canada,Baccalauréat,Total - Genre,30 à 34 ans,Population totale,,22.0
2010,Canada,Baccalauréat,Hommes+,30 à 34 ans,Population totale,,19.0
2010,Canada,Baccalauréat,Femmes+,30 à 34 ans,Population totale,,25.0
2010,Canada,Baccalauréat,Total - Genre,35 à 44 ans,Population totale,,21.0
2010,Canada,Baccalauréat,Hommes+,35 à 44 ans,Population totale,,19.0
2010,Canada,Baccalauréat,Femmes+,35 à 44 ans,Population totale,,23.0
2010,Canada,Baccalauréat,Total - Genre,45 à 54 ans,Population totale,,15.0
2010,Canada,Baccalauréat,Hommes+,45 à 54 ans,Population totale,,14.0
2010,Canada,Baccalauréat,Femmes+,45 à 54 ans,Population totale,,15.0
2010,Canada,Baccalauréat,Total - Genre,55 à 64 ans,Population totale,,13.0
2010,Canada,Baccalauréat,Hommes+,55 à 64 ans,Population totale,,14.0
2010,Canada,Baccalauréat,Femmes+,55 à 64 ans,Population totale,,13.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,"Total, 25 à 64 ans",Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Hommes+,"Total, 25 à 64 ans",Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Femmes+,"Total, 25 à 64 ans",Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,25 à 34 ans,Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Hommes+,25 à 34 ans,Population totale,,7.0
2010,Canada,Maîtrise ou doctorat,Femmes+,25 à 34 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,30 à 34 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Hommes+,30 à 34 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Femmes+,30 à 34 ans,Population totale,,10.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,35 à 44 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Hommes+,35 à 44 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Femmes+,35 à 44 ans,Population totale,,9.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,45 à 54 ans,Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Hommes+,45 à 54 ans,Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Femmes+,45 à 54 ans,Population totale,,7.0
2010,Canada,Maîtrise ou doctorat,Total - Genre,55 à 64 ans,Population totale,,8.0
2010,Canada,Maîtrise ou doctorat,Hommes+,55 à 64 ans,Population totale,,10.0
2010,Canada,Maîtrise ou doctorat,Femmes+,55 à 64 ans,Population totale,,6.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,"Total, 25 à 64 ans",Population totale,10,36.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,"Total, 25 à 64 ans",Population totale,10,30.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,"Total, 25 à 64 ans",Population totale,10,41.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,25 à 34 ans,Population totale,10,47.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,25 à 34 ans,Population totale,10,38.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,25 à 34 ans,Population totale,10,55.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,30 à 34 ans,Population totale,10,48.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,30 à 34 ans,Population totale,10,41.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,30 à 34 ans,Population totale,10,55.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,35 à 44 ans,Population totale,10,43.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,35 à 44 ans,Population totale,10,35.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,35 à 44 ans,Population totale,10,51.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,45 à 54 ans,Population totale,10,31.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,45 à 54 ans,Population totale,10,26.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,45 à 54 ans,Population totale,10,35.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Total - Genre,55 à 64 ans,Population totale,10,26.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Hommes+,55 à 64 ans,Population totale,10,23.0
2010,Terre-Neuve-et-Labrador,Études tertiaires,Femmes+,55 à 64 ans,Population totale,10,28.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,"Total, 25 à 64 ans",Population totale,10,21.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,"Total, 25 à 64 ans",Population totale,10,17.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,"Total, 25 à 64 ans",Population totale,10,25.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,25 à 34 ans,Population totale,10,24.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,25 à 34 ans,Population totale,10,21.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,25 à 34 ans,Population totale,10,27.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,30 à 34 ans,Population totale,10,26.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,30 à 34 ans,Population totale,10,24.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,30 à 34 ans,Population totale,10,29.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,35 à 44 ans,Population totale,10,28.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,35 à 44 ans,Population totale,10,22.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,35 à 44 ans,Population totale,10,33.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,45 à 54 ans,Population totale,10,19.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,45 à 54 ans,Population totale,10,15.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,45 à 54 ans,Population totale,10,23.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Total - Genre,55 à 64 ans,Population totale,10,14.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Hommes+,55 à 64 ans,Population totale,10,10.0
2010,Terre-Neuve-et-Labrador,Enseignement tertiaire de cycle court,Femmes+,55 à 64 ans,Population totale,10,18.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,"Total, 25 à 64 ans",Population totale,10,10.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,"Total, 25 à 64 ans",Population totale,10,9.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,"Total, 25 à 64 ans",Population totale,10,12.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,25 à 34 ans,Population totale,10,18.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,25 à 34 ans,Population totale,10,13.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,25 à 34 ans,Population totale,10,23.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,30 à 34 ans,Population totale,10,15.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,30 à 34 ans,Population totale,10,11.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,30 à 34 ans,Population totale,10,19.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,35 à 44 ans,Population totale,10,11.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,35 à 44 ans,Population totale,10,9.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,35 à 44 ans,Population totale,10,13.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,45 à 54 ans,Population totale,10,7.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,45 à 54 ans,Population totale,10,6.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,45 à 54 ans,Population totale,10,7.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Total - Genre,55 à 64 ans,Population totale,10,8.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Hommes+,55 à 64 ans,Population totale,10,7.0
2010,Terre-Neuve-et-Labrador,Baccalauréat,Femmes+,55 à 64 ans,Population totale,10,8.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,"Total, 25 à 64 ans",Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,"Total, 25 à 64 ans",Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,"Total, 25 à 64 ans",Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,25 à 34 ans,Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,25 à 34 ans,Population totale,10,4.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,25 à 34 ans,Population totale,10,6.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,30 à 34 ans,Population totale,10,7.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,30 à 34 ans,Population totale,10,6.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,30 à 34 ans,Population totale,10,7.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,35 à 44 ans,Population totale,10,4.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,35 à 44 ans,Population totale,10,4.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,35 à 44 ans,Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,45 à 54 ans,Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,45 à 54 ans,Population totale,10,4.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,45 à 54 ans,Population totale,10,5.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Total - Genre,55 à 64 ans,Population totale,10,4.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Hommes+,55 à 64 ans,Population totale,10,6.0
2010,Terre-Neuve-et-Labrador,Maîtrise ou doctorat,Femmes+,55 à 64 ans,Population totale,10,3.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,"Total, 25 à 64 ans",Population totale,11,48.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,"Total, 25 à 64 ans",Population totale,11,40.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,"Total, 25 à 64 ans",Population totale,11,56.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,25 à 34 ans,Population totale,11,57.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,25 à 34 ans,Population totale,11,47.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,25 à 34 ans,Population totale,11,67.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,30 à 34 ans,Population totale,11,58.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,30 à 34 ans,Population totale,11,49.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,30 à 34 ans,Population totale,11,66.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,35 à 44 ans,Population totale,11,56.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,35 à 44 ans,Population totale,11,47.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,35 à 44 ans,Population totale,11,65.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,45 à 54 ans,Population totale,11,45.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,45 à 54 ans,Population totale,11,37.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,45 à 54 ans,Population totale,11,53.0
2010,Île-du-Prince-Édouard,Études tertiaires,Total - Genre,55 à 64 ans,Population totale,11,38.0
2010,Île-du-Prince-Édouard,Études tertiaires,Hommes+,55 à 64 ans,Population totale,11,32.0
2010,Île-du-Prince-Édouard,Études tertiaires,Femmes+,55 à 64 ans,Population totale,11,43.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,"Total, 25 à 64 ans",Population totale,11,26.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,"Total, 25 à 64 ans",Population totale,11,20.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,"Total, 25 à 64 ans",Population totale,11,32.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,25 à 34 ans,Population totale,11,29.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,25 à 34 ans,Population totale,11,25.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,25 à 34 ans,Population totale,11,32.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,30 à 34 ans,Population totale,11,30.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,30 à 34 ans,Population totale,11,28.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,30 à 34 ans,Population totale,11,32.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,35 à 44 ans,Population totale,11,30.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,35 à 44 ans,Population totale,11,26.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,35 à 44 ans,Population totale,11,34.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,45 à 54 ans,Population totale,11,28.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,45 à 54 ans,Population totale,11,20.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,45 à 54 ans,Population totale,11,36.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Total - Genre,55 à 64 ans,Population totale,11,19.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Hommes+,55 à 64 ans,Population totale,11,12.0
2010,Île-du-Prince-Édouard,Enseignement tertiaire de cycle court,Femmes+,55 à 64 ans,Population totale,11,25.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,"Total, 25 à 64 ans",Population totale,11,15.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,"Total, 25 à 64 ans",Population totale,11,14.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,"Total, 25 à 64 ans",Population totale,11,17.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,25 à 34 ans,Population totale,11,22.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,25 à 34 ans,Population totale,11,18.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,25 à 34 ans,Population totale,11,26.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,30 à 34 ans,Population totale,11,21.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,30 à 34 ans,Population totale,11,17.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,30 à 34 ans,Population totale,11,24.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,35 à 44 ans,Population totale,11,17.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,35 à 44 ans,Population totale,11,15.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,35 à 44 ans,Population totale,11,20.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,45 à 54 ans,Population totale,11,12.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,45 à 54 ans,Population totale,11,11.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,45 à 54 ans,Population totale,11,13.0
2010,Île-du-Prince-Édouard,Baccalauréat,Total - Genre,55 à 64 ans,Population totale,11,12.0
2010,Île-du-Prince-Édouard,Baccalauréat,Hommes+,55 à 64 ans,Population totale,11,13.0
2010,Île-du-Prince-Édouard,Baccalauréat,Femmes+,55 à 64 ans,Population totale,11,12.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,"Total, 25 à 64 ans",Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,"Total, 25 à 64 ans",Population totale,11,6.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,"Total, 25 à 64 ans",Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,25 à 34 ans,Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,25 à 34 ans,Population totale,11,4.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,25 à 34 ans,Population totale,11,9.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,30 à 34 ans,Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,30 à 34 ans,Population totale,11,
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,30 à 34 ans,Population totale,11,10.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,35 à 44 ans,Population totale,11,9.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,35 à 44 ans,Population totale,11,6.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,35 à 44 ans,Population totale,11,11.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,45 à 54 ans,Population totale,11,5.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,45 à 54 ans,Population totale,11,6.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,45 à 54 ans,Population totale,11,4.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Total - Genre,55 à 64 ans,Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Hommes+,55 à 64 ans,Population totale,11,7.0
2010,Île-du-Prince-Édouard,Maîtrise ou doctorat,Femmes+,55 à 64 ans,Population totale,11,6.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,"Total, 25 à 64 ans",Population totale,12,48.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,"Total, 25 à 64 ans",Population totale,12,42.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,"Total, 25 à 64 ans",Population totale,12,55.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,25 à 34 ans,Population totale,12,60.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,25 à 34 ans,Population totale,12,51.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,25 à 34 ans,Population totale,12,68.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,30 à 34 ans,Population totale,12,61.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,30 à 34 ans,Population totale,12,53.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,30 à 34 ans,Population totale,12,68.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,35 à 44 ans,Population totale,12,54.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,35 à 44 ans,Population totale,12,46.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,35 à 44 ans,Population totale,12,62.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,45 à 54 ans,Population totale,12,43.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,45 à 54 ans,Population totale,12,37.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,45 à 54 ans,Population totale,12,49.0
2010,Nouvelle-Écosse,Études tertiaires,Total - Genre,55 à 64 ans,Population totale,12,40.0
2010,Nouvelle-Écosse,Études tertiaires,Hommes+,55 à 64 ans,Population totale,12,35.0
2010,Nouvelle-Écosse,Études tertiaires,Femmes+,55 à 64 ans,Population totale,12,45.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,"Total, 25 à 64 ans",Population totale,12,25.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,"Total, 25 à 64 ans",Population totale,12,21.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,"Total, 25 à 64 ans",Population totale,12,29.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,25 à 34 ans,Population totale,12,29.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,25 à 34 ans,Population totale,12,28.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,25 à 34 ans,Population totale,12,30.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,30 à 34 ans,Population totale,12,30.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,30 à 34 ans,Population totale,12,30.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,30 à 34 ans,Population totale,12,31.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,35 à 44 ans,Population totale,12,28.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,35 à 44 ans,Population totale,12,24.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,35 à 44 ans,Population totale,12,32.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,45 à 54 ans,Population totale,12,25.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,45 à 54 ans,Population totale,12,20.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,45 à 54 ans,Population totale,12,29.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Total - Genre,55 à 64 ans,Population totale,12,19.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Hommes+,55 à 64 ans,Population totale,12,14.0
2010,Nouvelle-Écosse,Enseignement tertiaire de cycle court,Femmes+,55 à 64 ans,Population totale,12,24.0
2010,Nouvelle-Écosse,Baccalauréat,Total - Genre,"Total, 25 à 64 ans",Population totale,12,15.0
2010,Nouvelle-Écosse,Baccalauréat,Hommes+,"Total, 25 à 64 ans",Population totale,12,12.0
2010,Nouvelle-Écosse,Baccalauréat,Femmes+,"Total, 25 à 64 ans",Population totale,12,17.0
2010,Nouvelle-Écosse,Baccalauréat,Total - Genre,25 à 34 ans,Population totale,12,21.0
2010,Nouvelle-Écosse,Baccalauréat,Hommes+,25 à 34 ans,Population totale,12,16.0
2010,Nouvelle-Écosse,Baccalauréat,Femmes+,25 à 34 ans,Population totale,12,27.0
2010,Nouvelle-Écosse,Baccalauréat,Total - Genre,30 à 34 ans,Population totale,12,20.0
2010,Nouvelle-Écosse,Baccalauréat,Hommes+,30 à 34 ans,Population totale,12,15.0
2010,Nouvelle-Écosse,Baccalauréat,Femmes+,30 à 34 ans,Population totale,12,25.0
