Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2015,Térajoules,Canada,Total charbon,Agriculture,
2016,Térajoules,Canada,Total charbon,Agriculture,
2017,Térajoules,Canada,Total charbon,Agriculture,
2018,Térajoules,Canada,Total charbon,Agriculture,
2015,Térajoules,Canada,Total charbon,Résidentiel,55.0
2016,Térajoules,Canada,Total charbon,Résidentiel,
2017,Térajoules,Canada,Total charbon,Résidentiel,
2018,Térajoules,Canada,Total charbon,Résidentiel,0.0
2015,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2016,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2017,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2018,Térajoules,Canada,Total charbon,Commerces et autres institutions,0.0
2019,Térajoules,Canada,Total charbon,Commerces et autres institutions,0.0
2015,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2875528.0
2016,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2785651.0
2017,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2939389.0
2018,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,3146045.0
2019,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,3170754.0
2015,Térajoules,Canada,Gaz naturel,Total industriel,1485959.0
2016,Térajoules,Canada,Gaz naturel,Total industriel,1414041.0
2017,Térajoules,Canada,Gaz naturel,Total industriel,1488661.0
2018,Térajoules,Canada,Gaz naturel,Total industriel,1614300.0
2019,Térajoules,Canada,Gaz naturel,Total industriel,1627365.0
2015,Térajoules,Canada,Gaz naturel,Total transport,167166.0
2016,Térajoules,Canada,Gaz naturel,Total transport,170861.0
2017,Térajoules,Canada,Gaz naturel,Total transport,151132.0
2018,Térajoules,Canada,Gaz naturel,Total transport,167409.0
2019,Térajoules,Canada,Gaz naturel,Total transport,169080.0
2015,Térajoules,Canada,Gaz naturel,Agriculture,39125.0
2016,Térajoules,Canada,Gaz naturel,Agriculture,41293.0
2017,Térajoules,Canada,Gaz naturel,Agriculture,39621.0
2018,Térajoules,Canada,Gaz naturel,Agriculture,43077.0
2019,Térajoules,Canada,Gaz naturel,Agriculture,43438.0
2015,Térajoules,Canada,Gaz naturel,Résidentiel,676325.0
2016,Térajoules,Canada,Gaz naturel,Résidentiel,649265.0
2017,Térajoules,Canada,Gaz naturel,Résidentiel,696843.0
2018,Térajoules,Canada,Gaz naturel,Résidentiel,734933.0
2019,Térajoules,Canada,Gaz naturel,Résidentiel,731054.0
2015,Térajoules,Canada,Gaz naturel,Administrations publiques,23260.0
2016,Térajoules,Canada,Gaz naturel,Administrations publiques,24475.0
2017,Térajoules,Canada,Gaz naturel,Administrations publiques,28425.0
2018,Térajoules,Canada,Gaz naturel,Administrations publiques,29102.0
2019,Térajoules,Canada,Gaz naturel,Administrations publiques,31167.0
2015,Térajoules,Canada,Gaz naturel,Commerces et autres institutions,483693.0
2016,Térajoules,Canada,Gaz naturel,Commerces et autres institutions,485716.0
2017,Térajoules,Canada,Gaz naturel,Commerces et autres institutions,534707.0
2018,Térajoules,Canada,Gaz naturel,Commerces et autres institutions,557225.0
2019,Térajoules,Canada,Gaz naturel,Commerces et autres institutions,568649.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,126133.0
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,130540.0
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,139562.0
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,147619.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,148907.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,57444.0
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,52922.0
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,60254.0
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,71476.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,71829.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total transport,10716.0
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total transport,12076.0
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total transport,11960.0
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total transport,11699.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Total transport,11605.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,9065.0
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,10301.0
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,9810.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,10456.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,15019.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,16258.0
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,
2016,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,38208.0
2017,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,36005.0
2018,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,34212.0
2019,Térajoules,Canada,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,38306.0
2015,Térajoules,Canada,Hydroélectricité,Consommation énergétique finale,1496685.577
2016,Térajoules,Canada,Hydroélectricité,Consommation énergétique finale,1510145.029
2017,Térajoules,Canada,Hydroélectricité,Consommation énergétique finale,1551668.578
2018,Térajoules,Canada,Hydroélectricité,Consommation énergétique finale,1575462.146
2019,Térajoules,Canada,Hydroélectricité,Consommation énergétique finale,1580194.533
2015,Térajoules,Canada,Hydroélectricité,Total industriel,567375.2568
2016,Térajoules,Canada,Hydroélectricité,Total industriel,590262.9629
2017,Térajoules,Canada,Hydroélectricité,Total industriel,592545.69
2018,Térajoules,Canada,Hydroélectricité,Total industriel,595744.651
2019,Térajoules,Canada,Hydroélectricité,Total industriel,602506.7001
2015,Térajoules,Canada,Hydroélectricité,Total transport,18678.91905
2016,Térajoules,Canada,Hydroélectricité,Total transport,20997.12379
2017,Térajoules,Canada,Hydroélectricité,Total transport,22750.07515
2018,Térajoules,Canada,Hydroélectricité,Total transport,22952.34342
2019,Térajoules,Canada,Hydroélectricité,Total transport,22047.66442
2015,Térajoules,Canada,Hydroélectricité,Agriculture,29073.99792
2016,Térajoules,Canada,Hydroélectricité,Agriculture,27565.47122
2017,Térajoules,Canada,Hydroélectricité,Agriculture,28303.00901
2018,Térajoules,Canada,Hydroélectricité,Agriculture,29618.61371
2019,Térajoules,Canada,Hydroélectricité,Agriculture,30282.64173
2015,Térajoules,Canada,Hydroélectricité,Résidentiel,489246.664
2016,Térajoules,Canada,Hydroélectricité,Résidentiel,478268.4416
2017,Térajoules,Canada,Hydroélectricité,Résidentiel,485559.9142
2018,Térajoules,Canada,Hydroélectricité,Résidentiel,497318.6597
2019,Térajoules,Canada,Hydroélectricité,Résidentiel,494629.7733
2015,Térajoules,Canada,Hydroélectricité,Administrations publiques,38295.81192
2016,Térajoules,Canada,Hydroélectricité,Administrations publiques,38727.26431
2017,Térajoules,Canada,Hydroélectricité,Administrations publiques,38071.86588
2018,Térajoules,Canada,Hydroélectricité,Administrations publiques,39891.10879
2019,Térajoules,Canada,Hydroélectricité,Administrations publiques,39317.5108
2015,Térajoules,Canada,Hydroélectricité,Commerces et autres institutions,354015.7247
2016,Térajoules,Canada,Hydroélectricité,Commerces et autres institutions,354322.9659
2017,Térajoules,Canada,Hydroélectricité,Commerces et autres institutions,384438.0237
2018,Térajoules,Canada,Hydroélectricité,Commerces et autres institutions,389936.7697
2019,Térajoules,Canada,Hydroélectricité,Commerces et autres institutions,391410.2422
2015,Térajoules,Canada,Nucléaire,Consommation énergétique finale,379808.4232
2016,Térajoules,Canada,Nucléaire,Consommation énergétique finale,378585.9707
2017,Térajoules,Canada,Nucléaire,Consommation énergétique finale,379487.422
2018,Térajoules,Canada,Nucléaire,Consommation énergétique finale,391776.8537
2019,Térajoules,Canada,Nucléaire,Consommation énergétique finale,401242.4675
2015,Térajoules,Canada,Nucléaire,Total industriel,143980.7432
2016,Térajoules,Canada,Nucléaire,Total industriel,147976.0371
2017,Térajoules,Canada,Nucléaire,Total industriel,144917.31
2018,Térajoules,Canada,Nucléaire,Total industriel,148146.349
2019,Térajoules,Canada,Nucléaire,Total industriel,152988.2999
2015,Térajoules,Canada,Nucléaire,Total transport,4740.08095
2016,Térajoules,Canada,Nucléaire,Total transport,5263.876209
2017,Térajoules,Canada,Nucléaire,Total transport,5563.924854
2018,Térajoules,Canada,Nucléaire,Total transport,5707.656582
2019,Térajoules,Canada,Nucléaire,Total transport,5598.335579
2015,Térajoules,Canada,Nucléaire,Agriculture,7378.002084
2016,Térajoules,Canada,Nucléaire,Agriculture,6910.528776
2017,Térajoules,Canada,Nucléaire,Agriculture,6921.990993
2018,Térajoules,Canada,Nucléaire,Agriculture,7365.386289
2019,Térajoules,Canada,Nucléaire,Agriculture,7689.358266
2015,Térajoules,Canada,Nucléaire,Résidentiel,124154.336
2016,Térajoules,Canada,Nucléaire,Résidentiel,119899.5584
2017,Térajoules,Canada,Nucléaire,Résidentiel,118752.0858
2018,Térajoules,Canada,Nucléaire,Résidentiel,123670.3403
2019,Térajoules,Canada,Nucléaire,Résidentiel,125596.2267
2015,Térajoules,Canada,Nucléaire,Administrations publiques,9718.188084
2016,Térajoules,Canada,Nucléaire,Administrations publiques,9708.735695
2017,Térajoules,Canada,Nucléaire,Administrations publiques,9311.134116
2018,Térajoules,Canada,Nucléaire,Administrations publiques,9919.891208
2019,Térajoules,Canada,Nucléaire,Administrations publiques,9983.489199
2015,Térajoules,Canada,Nucléaire,Commerces et autres institutions,89837.27529
2016,Térajoules,Canada,Nucléaire,Commerces et autres institutions,88827.03409
2017,Térajoules,Canada,Nucléaire,Commerces et autres institutions,94020.97626
2018,Térajoules,Canada,Nucléaire,Commerces et autres institutions,96967.2303
2019,Térajoules,Canada,Nucléaire,Commerces et autres institutions,99386.75784
2015,Térajoules,Canada,Vapeur,Consommation énergétique finale,26828.0
2016,Térajoules,Canada,Vapeur,Consommation énergétique finale,25351.0
2017,Térajoules,Canada,Vapeur,Consommation énergétique finale,27505.0
2018,Térajoules,Canada,Vapeur,Consommation énergétique finale,27679.0
2019,Térajoules,Canada,Vapeur,Consommation énergétique finale,24576.0
2015,Térajoules,Canada,Vapeur,Total industriel,24566.0
2016,Térajoules,Canada,Vapeur,Total industriel,23395.0
2017,Térajoules,Canada,Vapeur,Total industriel,26060.0
2018,Térajoules,Canada,Vapeur,Total industriel,26375.0
2019,Térajoules,Canada,Vapeur,Total industriel,24284.0
2015,Térajoules,Canada,Vapeur,Agriculture,3.0
2016,Térajoules,Canada,Vapeur,Agriculture,
2017,Térajoules,Canada,Vapeur,Agriculture,1.0
2018,Térajoules,Canada,Vapeur,Agriculture,0.0
2019,Térajoules,Canada,Vapeur,Agriculture,0.0
2015,Térajoules,Canada,Vapeur,Résidentiel,0.0
2016,Térajoules,Canada,Vapeur,Résidentiel,0.0
2017,Térajoules,Canada,Vapeur,Résidentiel,0.0
2018,Térajoules,Canada,Vapeur,Résidentiel,0.0
2019,Térajoules,Canada,Vapeur,Résidentiel,0.0
2015,Térajoules,Canada,Vapeur,Administrations publiques,0.0
2016,Térajoules,Canada,Vapeur,Administrations publiques,0.0
2017,Térajoules,Canada,Vapeur,Administrations publiques,0.0
2018,Térajoules,Canada,Vapeur,Administrations publiques,0.0
2019,Térajoules,Canada,Vapeur,Administrations publiques,0.0
2015,Térajoules,Canada,Vapeur,Commerces et autres institutions,2260.0
2016,Térajoules,Canada,Vapeur,Commerces et autres institutions,1954.0
2017,Térajoules,Canada,Vapeur,Commerces et autres institutions,1444.0
2018,Térajoules,Canada,Vapeur,Commerces et autres institutions,1304.0
2019,Térajoules,Canada,Vapeur,Commerces et autres institutions,292.0
2015,Térajoules,Canada,Coke,Consommation énergétique finale,73871.0
2016,Térajoules,Canada,Coke,Consommation énergétique finale,81829.0
2017,Térajoules,Canada,Coke,Consommation énergétique finale,83205.0
2018,Térajoules,Canada,Coke,Consommation énergétique finale,90661.0
2019,Térajoules,Canada,Coke,Consommation énergétique finale,84156.0
2015,Térajoules,Canada,Coke,Total industriel,73871.0
2016,Térajoules,Canada,Coke,Total industriel,81829.0
2017,Térajoules,Canada,Coke,Total industriel,
2018,Térajoules,Canada,Coke,Total industriel,90661.0
2019,Térajoules,Canada,Coke,Total industriel,84156.0
2015,Térajoules,Canada,Gaz de cokerie,Consommation énergétique finale,21181.0
2016,Térajoules,Canada,Gaz de cokerie,Consommation énergétique finale,19994.0
2017,Térajoules,Canada,Gaz de cokerie,Consommation énergétique finale,19744.0
2018,Térajoules,Canada,Gaz de cokerie,Consommation énergétique finale,23235.0
2019,Térajoules,Canada,Gaz de cokerie,Consommation énergétique finale,22119.0
2015,Térajoules,Canada,Gaz de cokerie,Total industriel,21181.0
2016,Térajoules,Canada,Gaz de cokerie,Total industriel,19994.0
2017,Térajoules,Canada,Gaz de cokerie,Total industriel,19744.0
2018,Térajoules,Canada,Gaz de cokerie,Total industriel,23235.0
2019,Térajoules,Canada,Gaz de cokerie,Total industriel,22119.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Consommation énergétique finale,3200543.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Consommation énergétique finale,3182887.0
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Consommation énergétique finale,3292346.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Consommation énergétique finale,3410601.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Consommation énergétique finale,3435410.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Total industriel,295720.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Total industriel,296507.0
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Total industriel,328818.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Total industriel,335328.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Total industriel,344520.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Total transport,2488883.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Total transport,2476074.0
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Total transport,2531706.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Total transport,2627385.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Total transport,2651233.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Agriculture,213018.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Agriculture,214533.0
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Agriculture,221481.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Agriculture,228148.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Agriculture,216034.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Résidentiel,69779.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Résidentiel,63494.0
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Résidentiel,57868.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Résidentiel,58671.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Résidentiel,54552.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Administrations publiques,50670.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Administrations publiques,
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Administrations publiques,54286.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Administrations publiques,55258.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Administrations publiques,54510.0
2015,Térajoules,Canada,Total des produits pétroliers raffinés,Commerces et autres institutions,82474.0
2016,Térajoules,Canada,Total des produits pétroliers raffinés,Commerces et autres institutions,
2017,Térajoules,Canada,Total des produits pétroliers raffinés,Commerces et autres institutions,98188.0
2018,Térajoules,Canada,Total des produits pétroliers raffinés,Commerces et autres institutions,105812.0
2019,Térajoules,Canada,Total des produits pétroliers raffinés,Commerces et autres institutions,114561.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Consommation énergétique finale,125892.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Consommation énergétique finale,126046.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Consommation énergétique finale,125286.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Consommation énergétique finale,127159.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Consommation énergétique finale,127535.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total industriel,29455.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total industriel,27647.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total industriel,27712.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total industriel,29865.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total industriel,31245.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total transport,52475.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total transport,53222.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total transport,53746.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total transport,53278.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Total transport,52382.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Agriculture,352.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Agriculture,368.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Agriculture,304.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Agriculture,298.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Agriculture,394.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Résidentiel,19717.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Résidentiel,20040.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Résidentiel,21128.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Résidentiel,20820.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Résidentiel,20442.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Administrations publiques,4789.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Administrations publiques,4151.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Administrations publiques,4149.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Administrations publiques,3617.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Administrations publiques,3404.0
2015,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Commerces et autres institutions,19105.0
2016,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Commerces et autres institutions,20619.0
2017,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Commerces et autres institutions,18259.0
2018,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Commerces et autres institutions,19282.0
2019,Térajoules,Terre-Neuve-et-Labrador,Énergie primaire et secondaire totale,Commerces et autres institutions,19668.0
2015,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Consommation énergétique finale,
2016,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Consommation énergétique finale,
2017,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Consommation énergétique finale,
2018,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Consommation énergétique finale,2749.0
2019,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Consommation énergétique finale,3687.0
2015,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Total industriel,
2016,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Total industriel,
2017,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Total industriel,
2018,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Total industriel,2749.0
2019,Térajoules,Terre-Neuve-et-Labrador,Total charbon,Total industriel,3687.0
2015,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Consommation énergétique finale,0.0
2016,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Consommation énergétique finale,
2017,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Consommation énergétique finale,
2018,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Consommation énergétique finale,304.0
2019,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Consommation énergétique finale,392.0
2015,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Total industriel,0.0
2016,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Total industriel,
2017,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Total industriel,
2018,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Total industriel,304.0
2019,Térajoules,Terre-Neuve-et-Labrador,Gaz naturel,Total industriel,392.0
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1723.0
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,
2017,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1583.0
2018,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1636.0
2019,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,1572.0
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,122.0
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,138.0
2017,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,132.0
2018,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,113.0
2019,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,184.0
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total transport,15.0
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total transport,13.0
2017,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total transport,15.0
2018,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total transport,16.0
2019,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Total transport,14.0
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,6.0
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,6.0
