Year,Région,Biens et services (produits),Value
2016,Amérique Centrale,Produits de technologies propres,3.388
2016,Antilles,Produits environnementaux et de technologies propres,14.376
2016,Antilles,Produits environnementaux,0.578
2016,Antilles,Produits de technologies propres,13.797
2016,Moyen-Orient,Produits environnementaux et de technologies propres,3.32
2016,Moyen-Orient,Produits environnementaux,0.062
2016,Moyen-Orient,Produits de technologies propres,3.257
2016,Océanie,Produits environnementaux et de technologies propres,0.375
2016,Océanie,Produits environnementaux,0.0
2016,Océanie,Produits de technologies propres,0.375
2016,Asie,Produits environnementaux et de technologies propres,763.607
2016,Asie,Produits environnementaux,609.211
2016,Asie,Produits de technologies propres,154.396
2017,Europe,Produits environnementaux et de technologies propres,1.316
2017,Europe,Produits environnementaux,0.018
2017,Europe,Produits de technologies propres,1.298
2017,Amérique du Nord,Produits environnementaux et de technologies propres,75.979
2017,Amérique du Nord,Produits environnementaux,35.163
2017,Amérique du Nord,Produits de technologies propres,40.816
2017,Afrique,Produits environnementaux et de technologies propres,64.181
2017,Afrique,Produits environnementaux,10.007
2017,Afrique,Produits de technologies propres,54.175
2017,Amérique du Sud,Produits environnementaux et de technologies propres,42.546
2017,Amérique du Sud,Produits environnementaux,1.989
2017,Amérique du Sud,Produits de technologies propres,40.557
2017,Amérique Centrale,Produits environnementaux et de technologies propres,3.469
2017,Amérique Centrale,Produits environnementaux,0.024
2017,Amérique Centrale,Produits de technologies propres,3.445
2017,Antilles,Produits environnementaux et de technologies propres,11.562
2017,Antilles,Produits environnementaux,0.699
2017,Antilles,Produits de technologies propres,10.863
2017,Moyen-Orient,Produits environnementaux et de technologies propres,2.927
2017,Moyen-Orient,Produits environnementaux,0.114
2017,Moyen-Orient,Produits de technologies propres,2.814
2017,Océanie,Produits environnementaux et de technologies propres,0.231
2017,Océanie,Produits environnementaux,0.0
2017,Océanie,Produits de technologies propres,0.231
2017,Asie,Produits environnementaux et de technologies propres,824.322
2017,Asie,Produits environnementaux,669.999
2017,Asie,Produits de technologies propres,154.326
2018,Europe,Produits environnementaux et de technologies propres,1.352
2018,Europe,Produits environnementaux,0.289
2018,Europe,Produits de technologies propres,1.063
2018,Amérique du Nord,Produits environnementaux et de technologies propres,90.869
2018,Amérique du Nord,Produits environnementaux,32.112
2018,Amérique du Nord,Produits de technologies propres,58.758
2018,Afrique,Produits environnementaux et de technologies propres,46.096
2018,Afrique,Produits environnementaux,12.791
2018,Afrique,Produits de technologies propres,33.306
2018,Amérique du Sud,Produits environnementaux et de technologies propres,79.344
2018,Amérique du Sud,Produits environnementaux,29.302
2018,Amérique du Sud,Produits de technologies propres,50.043
2018,Amérique Centrale,Produits environnementaux et de technologies propres,9.303
2018,Amérique Centrale,Produits environnementaux,6.642
2018,Amérique Centrale,Produits de technologies propres,2.662
2018,Antilles,Produits environnementaux et de technologies propres,12.359
2018,Antilles,Produits environnementaux,0.933
2018,Antilles,Produits de technologies propres,11.426
2018,Moyen-Orient,Produits environnementaux et de technologies propres,4.439
2018,Moyen-Orient,Produits environnementaux,0.167
2018,Moyen-Orient,Produits de technologies propres,4.273
2018,Océanie,Produits environnementaux et de technologies propres,0.766
2018,Océanie,Produits environnementaux,0.0
2018,Océanie,Produits de technologies propres,0.766
2018,Asie,Produits environnementaux et de technologies propres,732.722
2018,Asie,Produits environnementaux,565.344
2018,Asie,Produits de technologies propres,167.377
2019,Europe,Produits environnementaux et de technologies propres,1.834
2019,Europe,Produits environnementaux,1.027
2019,Europe,Produits de technologies propres,0.807
2019,Amérique du Nord,Produits environnementaux et de technologies propres,80.283
2019,Amérique du Nord,Produits environnementaux,15.752
2019,Amérique du Nord,Produits de technologies propres,64.531
2019,Afrique,Produits environnementaux et de technologies propres,162.128
2019,Afrique,Produits environnementaux,49.979
2019,Afrique,Produits de technologies propres,112.151
2019,Amérique du Sud,Produits environnementaux et de technologies propres,82.364
2019,Amérique du Sud,Produits environnementaux,24.256
2019,Amérique du Sud,Produits de technologies propres,58.108
2019,Amérique Centrale,Produits environnementaux et de technologies propres,3.312
2019,Amérique Centrale,Produits environnementaux,0.135
2019,Amérique Centrale,Produits de technologies propres,3.178
2019,Antilles,Produits environnementaux et de technologies propres,10.82
2019,Antilles,Produits environnementaux,0.245
2019,Antilles,Produits de technologies propres,10.573
2019,Moyen-Orient,Produits environnementaux et de technologies propres,23.491
2019,Moyen-Orient,Produits environnementaux,0.472
2019,Moyen-Orient,Produits de technologies propres,23.019
2019,Océanie,Produits environnementaux et de technologies propres,0.516
2019,Océanie,Produits environnementaux,0.0
2019,Océanie,Produits de technologies propres,0.516
2019,Asie,Produits environnementaux et de technologies propres,757.074
2019,Asie,Produits environnementaux,494.843
2019,Asie,Produits de technologies propres,262.231
2020,Europe,Produits environnementaux et de technologies propres,5.535
2020,Europe,Produits environnementaux,0.61
2020,Europe,Produits de technologies propres,4.926
2020,Amérique du Nord,Produits environnementaux et de technologies propres,73.004
2020,Amérique du Nord,Produits environnementaux,24.946
2020,Amérique du Nord,Produits de technologies propres,48.057
2020,Afrique,Produits environnementaux et de technologies propres,175.968
2020,Afrique,Produits environnementaux,53.152
2020,Afrique,Produits de technologies propres,122.815
2020,Amérique du Sud,Produits environnementaux et de technologies propres,137.326
2020,Amérique du Sud,Produits environnementaux,54.71
2020,Amérique du Sud,Produits de technologies propres,82.616
2020,Amérique Centrale,Produits environnementaux et de technologies propres,6.893
2020,Amérique Centrale,Produits environnementaux,2.627
2020,Amérique Centrale,Produits de technologies propres,4.267
2020,Antilles,Produits environnementaux et de technologies propres,44.182
2020,Antilles,Produits environnementaux,0.285
2020,Antilles,Produits de technologies propres,43.898
2020,Moyen-Orient,Produits environnementaux et de technologies propres,14.285
2020,Moyen-Orient,Produits environnementaux,0.25
2020,Moyen-Orient,Produits de technologies propres,14.034
2020,Océanie,Produits environnementaux et de technologies propres,1.035
2020,Océanie,Produits environnementaux,0.027
2020,Océanie,Produits de technologies propres,1.008
2020,Asie,Produits environnementaux et de technologies propres,592.016
2020,Asie,Produits environnementaux,364.218
2020,Asie,Produits de technologies propres,227.798
2021,Europe,Produits environnementaux et de technologies propres,6.423
2021,Europe,Produits environnementaux,0.1
2021,Europe,Produits de technologies propres,6.322
2021,Amérique du Nord,Produits environnementaux et de technologies propres,93.083
2021,Amérique du Nord,Produits environnementaux,32.344
2021,Amérique du Nord,Produits de technologies propres,60.739
2021,Afrique,Produits environnementaux et de technologies propres,165.529
2021,Afrique,Produits environnementaux,1.092
2021,Afrique,Produits de technologies propres,164.438
2021,Amérique du Sud,Produits environnementaux et de technologies propres,100.352
2021,Amérique du Sud,Produits environnementaux,19.714
2021,Amérique du Sud,Produits de technologies propres,80.638
2021,Amérique Centrale,Produits environnementaux et de technologies propres,3.984
2021,Amérique Centrale,Produits environnementaux,0.516
2021,Amérique Centrale,Produits de technologies propres,3.467
2021,Antilles,Produits environnementaux et de technologies propres,84.198
2021,Antilles,Produits environnementaux,0.888
2021,Antilles,Produits de technologies propres,83.31
2021,Moyen-Orient,Produits environnementaux et de technologies propres,9.824
2021,Moyen-Orient,Produits environnementaux,0.104
2021,Moyen-Orient,Produits de technologies propres,9.721
2021,Océanie,Produits environnementaux et de technologies propres,0.485
2021,Océanie,Produits environnementaux,0.0
2021,Océanie,Produits de technologies propres,0.485
2021,Asie,Produits environnementaux et de technologies propres,675.34
2021,Asie,Produits environnementaux,486.023
2021,Asie,Produits de technologies propres,189.316
2022,Europe,Produits environnementaux et de technologies propres,0.836
2022,Europe,Produits environnementaux,0.0
2022,Europe,Produits de technologies propres,0.835
2022,Amérique du Nord,Produits environnementaux et de technologies propres,110.377
2022,Amérique du Nord,Produits environnementaux,26.218
2022,Amérique du Nord,Produits de technologies propres,84.159
2022,Afrique,Produits environnementaux et de technologies propres,110.545
2022,Afrique,Produits environnementaux,0.793
2022,Afrique,Produits de technologies propres,109.752
2022,Amérique du Sud,Produits environnementaux et de technologies propres,96.382
2022,Amérique du Sud,Produits environnementaux,12.972
2022,Amérique du Sud,Produits de technologies propres,83.411
2022,Amérique Centrale,Produits environnementaux et de technologies propres,4.472
2022,Amérique Centrale,Produits environnementaux,0.872
2022,Amérique Centrale,Produits de technologies propres,3.601
2022,Antilles,Produits environnementaux et de technologies propres,19.455
2022,Antilles,Produits environnementaux,0.013
2022,Antilles,Produits de technologies propres,19.441
2022,Moyen-Orient,Produits environnementaux et de technologies propres,23.166
2022,Moyen-Orient,Produits environnementaux,0.014
2022,Moyen-Orient,Produits de technologies propres,23.152
2022,Océanie,Produits environnementaux et de technologies propres,0.538
2022,Océanie,Produits environnementaux,0.0
2022,Océanie,Produits de technologies propres,0.538
2022,Asie,Produits environnementaux et de technologies propres,974.954
2022,Asie,Produits environnementaux,763.572
2022,Asie,Produits de technologies propres,211.378
2023,Europe,Produits environnementaux et de technologies propres,1.081
2023,Europe,Produits environnementaux,0.0
2023,Europe,Produits de technologies propres,1.081
2023,Amérique du Nord,Produits environnementaux et de technologies propres,128.397
2023,Amérique du Nord,Produits environnementaux,51.419
2023,Amérique du Nord,Produits de technologies propres,76.977
2023,Afrique,Produits environnementaux et de technologies propres,125.335
2023,Afrique,Produits environnementaux,26.035
2023,Afrique,Produits de technologies propres,99.3
2023,Amérique du Sud,Produits environnementaux et de technologies propres,124.683
2023,Amérique du Sud,Produits environnementaux,52.3
2023,Amérique du Sud,Produits de technologies propres,72.383
2023,Amérique Centrale,Produits environnementaux et de technologies propres,4.132
2023,Amérique Centrale,Produits environnementaux,0.778
2023,Amérique Centrale,Produits de technologies propres,3.355
2023,Antilles,Produits environnementaux et de technologies propres,19.756
2023,Antilles,Produits environnementaux,0.154
2023,Antilles,Produits de technologies propres,19.601
2023,Moyen-Orient,Produits environnementaux et de technologies propres,10.932
2023,Moyen-Orient,Produits environnementaux,0.082
2023,Moyen-Orient,Produits de technologies propres,10.85
2023,Océanie,Produits environnementaux et de technologies propres,0.515
2023,Océanie,Produits environnementaux,0.0
2023,Océanie,Produits de technologies propres,0.515
2023,Asie,Produits environnementaux et de technologies propres,995.334
2023,Asie,Produits environnementaux,783.82
2023,Asie,Produits de technologies propres,211.516
