Year,Géographie,Groupe d'âge,Sexe,Value
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,25.9
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,21.0
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,21.2
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,25.8
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,17.0
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,16.5
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,32.8
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,34.4
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,34.3
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,25.2
2015,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,25.6
2016,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,30.6
2017,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,22.6
2018,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,20.2
2015,Île-du-Prince-Édouard,12 à 17 ans,Hommes,22.6
2016,Île-du-Prince-Édouard,12 à 17 ans,Hommes,21.5
2017,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2018,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2015,Île-du-Prince-Édouard,12 à 17 ans,Femmes,28.6
2016,Île-du-Prince-Édouard,12 à 17 ans,Femmes,39.5
2017,Île-du-Prince-Édouard,12 à 17 ans,Femmes,28.3
2018,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,29.2
2016,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,30.0
2017,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,28.3
2018,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,24.1
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,24.5
2016,Île-du-Prince-Édouard,18 à 34 ans,Hommes,30.5
2017,Île-du-Prince-Édouard,18 à 34 ans,Hommes,18.8
2018,Île-du-Prince-Édouard,18 à 34 ans,Hommes,
2019,Île-du-Prince-Édouard,18 à 34 ans,Hommes,19.4
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,33.7
2016,Île-du-Prince-Édouard,18 à 34 ans,Femmes,29.5
2017,Île-du-Prince-Édouard,18 à 34 ans,Femmes,36.9
2018,Île-du-Prince-Édouard,18 à 34 ans,Femmes,
2019,Île-du-Prince-Édouard,18 à 34 ans,Femmes,29.3
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,30.2
2016,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,30.1
2017,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,33.1
2018,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,19.9
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,21.2
2016,Île-du-Prince-Édouard,35 à 49 ans,Hommes,29.1
2017,Île-du-Prince-Édouard,35 à 49 ans,Hommes,22.7
2018,Île-du-Prince-Édouard,35 à 49 ans,Hommes,
2019,Île-du-Prince-Édouard,35 à 49 ans,Hommes,
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,38.7
2016,Île-du-Prince-Édouard,35 à 49 ans,Femmes,31.0
2017,Île-du-Prince-Édouard,35 à 49 ans,Femmes,43.0
2018,Île-du-Prince-Édouard,35 à 49 ans,Femmes,
2019,Île-du-Prince-Édouard,35 à 49 ans,Femmes,29.7
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,23.0
2016,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,35.0
2017,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,23.2
2018,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,18.6
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,19.4
2016,Île-du-Prince-Édouard,50 à 64 ans,Hommes,23.0
2017,Île-du-Prince-Édouard,50 à 64 ans,Hommes,15.5
2018,Île-du-Prince-Édouard,50 à 64 ans,Hommes,
2019,Île-du-Prince-Édouard,50 à 64 ans,Hommes,19.5
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,26.6
2016,Île-du-Prince-Édouard,50 à 64 ans,Femmes,45.5
2017,Île-du-Prince-Édouard,50 à 64 ans,Femmes,30.6
2018,Île-du-Prince-Édouard,50 à 64 ans,Femmes,
2019,Île-du-Prince-Édouard,50 à 64 ans,Femmes,17.7
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,27.5
2016,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,24.7
2017,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,19.8
2018,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,
2019,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,21.6
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,18.8
2016,Île-du-Prince-Édouard,65 ans et plus,Hommes,21.3
2017,Île-du-Prince-Édouard,65 ans et plus,Hommes,10.0
2018,Île-du-Prince-Édouard,65 ans et plus,Hommes,
2019,Île-du-Prince-Édouard,65 ans et plus,Hommes,14.6
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,34.6
2016,Île-du-Prince-Édouard,65 ans et plus,Femmes,27.4
2017,Île-du-Prince-Édouard,65 ans et plus,Femmes,28.3
2018,Île-du-Prince-Édouard,65 ans et plus,Femmes,
2019,Île-du-Prince-Édouard,65 ans et plus,Femmes,27.2
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,25.3
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,22.9
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,25.5
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,23.2
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,17.2
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,16.8
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,21.1
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,17.8
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,32.9
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,28.4
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,29.5
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,28.0
2015,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,21.2
2016,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,21.7
2017,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,27.3
2018,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,
2019,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,15.5
2015,Nouvelle-Écosse,12 à 17 ans,Hommes,21.5
2016,Nouvelle-Écosse,12 à 17 ans,Hommes,25.1
2017,Nouvelle-Écosse,12 à 17 ans,Hommes,26.0
2018,Nouvelle-Écosse,12 à 17 ans,Hommes,
2019,Nouvelle-Écosse,12 à 17 ans,Hommes,17.0
2015,Nouvelle-Écosse,12 à 17 ans,Femmes,20.8
2016,Nouvelle-Écosse,12 à 17 ans,Femmes,18.1
2017,Nouvelle-Écosse,12 à 17 ans,Femmes,28.7
2018,Nouvelle-Écosse,12 à 17 ans,Femmes,
2019,Nouvelle-Écosse,12 à 17 ans,Femmes,
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,26.3
2016,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,20.2
2017,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,22.7
2018,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,
2019,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,18.5
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,18.8
2016,Nouvelle-Écosse,18 à 34 ans,Hommes,16.8
2017,Nouvelle-Écosse,18 à 34 ans,Hommes,16.0
2018,Nouvelle-Écosse,18 à 34 ans,Hommes,
2019,Nouvelle-Écosse,18 à 34 ans,Hommes,14.2
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,33.9
2016,Nouvelle-Écosse,18 à 34 ans,Femmes,23.6
2017,Nouvelle-Écosse,18 à 34 ans,Femmes,29.2
2018,Nouvelle-Écosse,18 à 34 ans,Femmes,
2019,Nouvelle-Écosse,18 à 34 ans,Femmes,22.6
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,27.3
2016,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,27.0
2017,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,31.5
2018,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,
2019,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,25.6
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,12.7
2016,Nouvelle-Écosse,35 à 49 ans,Hommes,16.3
2017,Nouvelle-Écosse,35 à 49 ans,Hommes,31.0
2018,Nouvelle-Écosse,35 à 49 ans,Hommes,
2019,Nouvelle-Écosse,35 à 49 ans,Hommes,18.8
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,40.9
2016,Nouvelle-Écosse,35 à 49 ans,Femmes,36.9
2017,Nouvelle-Écosse,35 à 49 ans,Femmes,31.9
2018,Nouvelle-Écosse,35 à 49 ans,Femmes,
2019,Nouvelle-Écosse,35 à 49 ans,Femmes,31.8
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,24.7
2016,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,22.5
2017,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,23.8
2018,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,
2019,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,24.9
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,16.1
2016,Nouvelle-Écosse,50 à 64 ans,Hommes,15.4
2017,Nouvelle-Écosse,50 à 64 ans,Hommes,17.1
2018,Nouvelle-Écosse,50 à 64 ans,Hommes,
2019,Nouvelle-Écosse,50 à 64 ans,Hommes,18.6
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,32.6
2016,Nouvelle-Écosse,50 à 64 ans,Femmes,29.1
2017,Nouvelle-Écosse,50 à 64 ans,Femmes,30.1
2018,Nouvelle-Écosse,50 à 64 ans,Femmes,
2019,Nouvelle-Écosse,50 à 64 ans,Femmes,30.5
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,24.4
2016,Nouvelle-Écosse,65 ans et plus,Les deux sexes,22.4
2017,Nouvelle-Écosse,65 ans et plus,Les deux sexes,24.3
2018,Nouvelle-Écosse,65 ans et plus,Les deux sexes,
2019,Nouvelle-Écosse,65 ans et plus,Les deux sexes,26.0
2015,Nouvelle-Écosse,65 ans et plus,Hommes,20.1
2016,Nouvelle-Écosse,65 ans et plus,Hommes,16.6
2017,Nouvelle-Écosse,65 ans et plus,Hommes,21.0
2018,Nouvelle-Écosse,65 ans et plus,Hommes,
2019,Nouvelle-Écosse,65 ans et plus,Hommes,20.3
2015,Nouvelle-Écosse,65 ans et plus,Femmes,27.8
2016,Nouvelle-Écosse,65 ans et plus,Femmes,27.0
2017,Nouvelle-Écosse,65 ans et plus,Femmes,26.9
2018,Nouvelle-Écosse,65 ans et plus,Femmes,
2019,Nouvelle-Écosse,65 ans et plus,Femmes,30.8
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,28.8
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,25.1
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,25.3
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,23.0
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,16.9
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,17.6
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,34.1
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,32.5
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,32.4
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,
2015,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,33.1
2016,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,30.0
2017,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,28.5
2018,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2019,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2015,Nouveau-Brunswick,12 à 17 ans,Hommes,24.6
2016,Nouveau-Brunswick,12 à 17 ans,Hommes,23.3
2017,Nouveau-Brunswick,12 à 17 ans,Hommes,30.1
2018,Nouveau-Brunswick,12 à 17 ans,Hommes,
2019,Nouveau-Brunswick,12 à 17 ans,Hommes,
2015,Nouveau-Brunswick,12 à 17 ans,Femmes,41.6
2016,Nouveau-Brunswick,12 à 17 ans,Femmes,36.9
2017,Nouveau-Brunswick,12 à 17 ans,Femmes,26.9
2018,Nouveau-Brunswick,12 à 17 ans,Femmes,
2019,Nouveau-Brunswick,12 à 17 ans,Femmes,
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,37.6
2016,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,30.2
2017,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,22.7
2018,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,
2019,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,29.9
2016,Nouveau-Brunswick,18 à 34 ans,Hommes,23.8
2017,Nouveau-Brunswick,18 à 34 ans,Hommes,11.9
2018,Nouveau-Brunswick,18 à 34 ans,Hommes,
2019,Nouveau-Brunswick,18 à 34 ans,Hommes,
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,45.5
2016,Nouveau-Brunswick,18 à 34 ans,Femmes,36.4
2017,Nouveau-Brunswick,18 à 34 ans,Femmes,33.0
2018,Nouveau-Brunswick,18 à 34 ans,Femmes,
2019,Nouveau-Brunswick,18 à 34 ans,Femmes,
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,26.2
2016,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,28.4
2017,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,23.3
2018,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,
2019,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,18.4
2016,Nouveau-Brunswick,35 à 49 ans,Hommes,18.1
2017,Nouveau-Brunswick,35 à 49 ans,Hommes,16.1
2018,Nouveau-Brunswick,35 à 49 ans,Hommes,
2019,Nouveau-Brunswick,35 à 49 ans,Hommes,
2015,Nouveau-Brunswick,35 à 49 ans,Femmes,33.0
2016,Nouveau-Brunswick,35 à 49 ans,Femmes,37.9
2017,Nouveau-Brunswick,35 à 49 ans,Femmes,29.6
2018,Nouveau-Brunswick,35 à 49 ans,Femmes,
2019,Nouveau-Brunswick,35 à 49 ans,Femmes,
2015,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,23.8
2016,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,20.3
2017,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,26.7
