Year,Géographie,Actif,GeoCode,Value
2015,Ontario,Total des actifs,35,0.3682
2015,Ontario,Immeubles commerciaux,35,0.3464
2015,Ontario,Bâtiments institutionnels,35,0.3464
2015,Ontario,Infrastructures de génie maritime,35,0.3763
2015,Ontario,Infrastructures de génie liées aux transports,35,0.3659
2015,Ontario,Infrastructure d'adduction et de distribution d'eau,35,0.3763
2015,Ontario,Infrastructures pour les eaux usées,35,0.3763
2015,Ontario,Réseaux de communication,35,0.3437
2015,Ontario,Infrastructure liées à l'énergie électrique,35,0.3417
2015,Ontario,Construction liée aux installations de pétrole et de gaz,35,0.3232
2015,Ontario,Autres travaux de génie,35,0.3763
2015,Ontario,Autres machines et matériel,35,0.5892
2015,Ontario,Machines et matériel de transport,35,0.6122
2015,Manitoba,Total des actifs,46,0.3708
2015,Manitoba,Immeubles commerciaux,46,0.3645
2015,Manitoba,Bâtiments institutionnels,46,0.3645
2015,Manitoba,Infrastructures de génie maritime,46,0.3806
2015,Manitoba,Infrastructures de génie liées aux transports,46,0.3607
2015,Manitoba,Infrastructure d'adduction et de distribution d'eau,46,0.3806
2015,Manitoba,Infrastructures pour les eaux usées,46,0.3806
2015,Manitoba,Réseaux de communication,46,0.3451
2015,Manitoba,Infrastructure liées à l'énergie électrique,46,0.3565
2015,Manitoba,Construction liée aux installations de pétrole et de gaz,46,0.4515
2015,Manitoba,Autres travaux de génie,46,0.3806
2015,Manitoba,Autres machines et matériel,46,0.5947
2015,Manitoba,Machines et matériel de transport,46,0.5414
2015,Saskatchewan,Total des actifs,47,0.3805
2015,Saskatchewan,Immeubles commerciaux,47,0.3535
2015,Saskatchewan,Bâtiments institutionnels,47,0.3535
2015,Saskatchewan,Infrastructures de génie maritime,47,0.417
2015,Saskatchewan,Infrastructures de génie liées aux transports,47,0.3683
2015,Saskatchewan,Infrastructure d'adduction et de distribution d'eau,47,0.417
2015,Saskatchewan,Infrastructures pour les eaux usées,47,0.417
2015,Saskatchewan,Réseaux de communication,47,0.3673
2015,Saskatchewan,Infrastructure liées à l'énergie électrique,47,0.3599
2015,Saskatchewan,Construction liée aux installations de pétrole et de gaz,47,0.4808
2015,Saskatchewan,Autres travaux de génie,47,0.417
2015,Saskatchewan,Autres machines et matériel,47,0.548
2015,Saskatchewan,Machines et matériel de transport,47,0.6062
2015,Alberta,Total des actifs,48,0.3776
2015,Alberta,Immeubles commerciaux,48,0.376
2015,Alberta,Bâtiments institutionnels,48,0.376
2015,Alberta,Infrastructures de génie maritime,48,0.3736
2015,Alberta,Infrastructures de génie liées aux transports,48,0.3739
2015,Alberta,Infrastructure d'adduction et de distribution d'eau,48,0.3736
2015,Alberta,Infrastructures pour les eaux usées,48,0.3736
2015,Alberta,Réseaux de communication,48,0.3567
2015,Alberta,Infrastructure liées à l'énergie électrique,48,0.3459
2015,Alberta,Construction liée aux installations de pétrole et de gaz,48,0.3937
2015,Alberta,Autres travaux de génie,48,0.3736
2015,Alberta,Autres machines et matériel,48,0.5876
2015,Alberta,Machines et matériel de transport,48,0.5569
2015,Colombie-Britannique,Total des actifs,59,0.3555
2015,Colombie-Britannique,Immeubles commerciaux,59,0.3464
2015,Colombie-Britannique,Bâtiments institutionnels,59,0.3464
2015,Colombie-Britannique,Infrastructures de génie maritime,59,0.359
2015,Colombie-Britannique,Infrastructures de génie liées aux transports,59,0.3464
2015,Colombie-Britannique,Infrastructure d'adduction et de distribution d'eau,59,0.359
2015,Colombie-Britannique,Infrastructures pour les eaux usées,59,0.359
2015,Colombie-Britannique,Réseaux de communication,59,0.3419
2015,Colombie-Britannique,Infrastructure liées à l'énergie électrique,59,0.3414
2015,Colombie-Britannique,Construction liée aux installations de pétrole et de gaz,59,0.4416
2015,Colombie-Britannique,Autres travaux de génie,59,0.359
2015,Colombie-Britannique,Autres machines et matériel,59,0.5436
2015,Colombie-Britannique,Machines et matériel de transport,59,0.6088
2015,Yukon,Total des actifs,60,0.3605
2015,Yukon,Immeubles commerciaux,60,0.3299
2015,Yukon,Bâtiments institutionnels,60,0.3299
2015,Yukon,Infrastructures de génie maritime,60,0.4647
2015,Yukon,Infrastructures de génie liées aux transports,60,0.3131
2015,Yukon,Infrastructure d'adduction et de distribution d'eau,60,0.4647
2015,Yukon,Infrastructures pour les eaux usées,60,0.4647
2015,Yukon,Réseaux de communication,60,0.296
2015,Yukon,Infrastructure liées à l'énergie électrique,60,0.3161
2015,Yukon,Construction liée aux installations de pétrole et de gaz,60,0.4085
2015,Yukon,Autres travaux de génie,60,0.4647
2015,Yukon,Autres machines et matériel,60,0.554
2015,Yukon,Machines et matériel de transport,60,0.5772
2015,Territoires du Nord-Ouest,Total des actifs,61,0.4158
2015,Territoires du Nord-Ouest,Immeubles commerciaux,61,0.3828
2015,Territoires du Nord-Ouest,Bâtiments institutionnels,61,0.3828
2015,Territoires du Nord-Ouest,Infrastructures de génie maritime,61,0.4399
2015,Territoires du Nord-Ouest,Infrastructures de génie liées aux transports,61,0.3291
2015,Territoires du Nord-Ouest,Infrastructure d'adduction et de distribution d'eau,61,0.4399
2015,Territoires du Nord-Ouest,Infrastructures pour les eaux usées,61,0.4399
2015,Territoires du Nord-Ouest,Réseaux de communication,61,0.3405
2015,Territoires du Nord-Ouest,Infrastructure liées à l'énergie électrique,61,0.3423
2015,Territoires du Nord-Ouest,Construction liée aux installations de pétrole et de gaz,61,0.3518
2015,Territoires du Nord-Ouest,Autres travaux de génie,61,0.4399
2015,Territoires du Nord-Ouest,Autres machines et matériel,61,0.5593
2015,Territoires du Nord-Ouest,Machines et matériel de transport,61,0.5688
2015,Nunavut,Total des actifs,62,0.3683
2015,Nunavut,Immeubles commerciaux,62,0.3749
2015,Nunavut,Bâtiments institutionnels,62,0.3749
2015,Nunavut,Infrastructures de génie maritime,62,0.4081
2015,Nunavut,Infrastructures de génie liées aux transports,62,0.3465
2015,Nunavut,Infrastructure d'adduction et de distribution d'eau,62,0.4081
2015,Nunavut,Infrastructures pour les eaux usées,62,0.4081
2015,Nunavut,Réseaux de communication,62,0.3389
2015,Nunavut,Infrastructure liées à l'énergie électrique,62,0.3159
2015,Nunavut,Construction liée aux installations de pétrole et de gaz,62,0.4085
2015,Nunavut,Autres travaux de génie,62,0.4081
2015,Nunavut,Autres machines et matériel,62,0.5291
2015,Nunavut,Machines et matériel de transport,62,0.6059
2016,Canada,Immeubles commerciaux,,0.3519
2016,Canada,Bâtiments institutionnels,,0.3488
2016,Canada,Infrastructures de génie maritime,,0.3767
2016,Canada,Infrastructures de génie liées aux transports,,0.3525
2016,Canada,Infrastructure d'adduction et de distribution d'eau,,0.379
2016,Canada,Infrastructures pour les eaux usées,,0.3774
2016,Canada,Réseaux de communication,,0.3354
2016,Canada,Infrastructure liées à l'énergie électrique,,0.3355
2016,Canada,Construction liée aux installations de pétrole et de gaz,,0.3895
2016,Canada,Autres travaux de génie,,0.3768
2016,Canada,Autres machines et matériel,,0.5678
2016,Canada,Machines et matériel de transport,,0.5725
2016,Terre-Neuve-et-Labrador,Total des actifs,10,0.338
2016,Terre-Neuve-et-Labrador,Immeubles commerciaux,10,0.3565
2016,Terre-Neuve-et-Labrador,Bâtiments institutionnels,10,0.3565
2016,Terre-Neuve-et-Labrador,Infrastructures de génie maritime,10,0.3864
2016,Terre-Neuve-et-Labrador,Infrastructures de génie liées aux transports,10,0.3315
2016,Terre-Neuve-et-Labrador,Infrastructure d'adduction et de distribution d'eau,10,0.3864
2016,Terre-Neuve-et-Labrador,Infrastructures pour les eaux usées,10,0.3864
2016,Terre-Neuve-et-Labrador,Réseaux de communication,10,0.319
2016,Terre-Neuve-et-Labrador,Infrastructure liées à l'énergie électrique,10,0.3304
2016,Terre-Neuve-et-Labrador,Construction liée aux installations de pétrole et de gaz,10,0.3895
2016,Terre-Neuve-et-Labrador,Autres travaux de génie,10,0.3864
2016,Terre-Neuve-et-Labrador,Autres machines et matériel,10,0.573
2016,Terre-Neuve-et-Labrador,Machines et matériel de transport,10,0.5732
2016,Île-du-Prince-Édouard,Total des actifs,11,0.3655
2016,Île-du-Prince-Édouard,Immeubles commerciaux,11,0.3504
2016,Île-du-Prince-Édouard,Bâtiments institutionnels,11,0.3504
2016,Île-du-Prince-Édouard,Infrastructures de génie maritime,11,0.34
2016,Île-du-Prince-Édouard,Infrastructures de génie liées aux transports,11,0.4007
2016,Île-du-Prince-Édouard,Infrastructure d'adduction et de distribution d'eau,11,0.34
2016,Île-du-Prince-Édouard,Infrastructures pour les eaux usées,11,0.34
2016,Île-du-Prince-Édouard,Réseaux de communication,11,0.3297
2016,Île-du-Prince-Édouard,Infrastructure liées à l'énergie électrique,11,0.3346
2016,Île-du-Prince-Édouard,Construction liée aux installations de pétrole et de gaz,11,0.3895
2016,Île-du-Prince-Édouard,Autres travaux de génie,11,0.34
2016,Île-du-Prince-Édouard,Autres machines et matériel,11,0.595
2016,Île-du-Prince-Édouard,Machines et matériel de transport,11,0.4433
2016,Nouvelle-Écosse,Total des actifs,12,0.3443
2016,Nouvelle-Écosse,Immeubles commerciaux,12,0.3578
2016,Nouvelle-Écosse,Bâtiments institutionnels,12,0.3578
2016,Nouvelle-Écosse,Infrastructures de génie maritime,12,0.316
2016,Nouvelle-Écosse,Infrastructures de génie liées aux transports,12,0.342
2016,Nouvelle-Écosse,Infrastructure d'adduction et de distribution d'eau,12,0.316
2016,Nouvelle-Écosse,Infrastructures pour les eaux usées,12,0.316
2016,Nouvelle-Écosse,Réseaux de communication,12,0.3181
2016,Nouvelle-Écosse,Infrastructure liées à l'énergie électrique,12,0.3447
2016,Nouvelle-Écosse,Construction liée aux installations de pétrole et de gaz,12,0.3126
2016,Nouvelle-Écosse,Autres travaux de génie,12,0.316
2016,Nouvelle-Écosse,Autres machines et matériel,12,0.5139
2016,Nouvelle-Écosse,Machines et matériel de transport,12,0.5573
2016,Nouveau-Brunswick,Total des actifs,13,0.336
2016,Nouveau-Brunswick,Immeubles commerciaux,13,0.3429
2016,Nouveau-Brunswick,Bâtiments institutionnels,13,0.3429
2016,Nouveau-Brunswick,Infrastructures de génie maritime,13,0.3754
2016,Nouveau-Brunswick,Infrastructures de génie liées aux transports,13,0.3286
2016,Nouveau-Brunswick,Infrastructure d'adduction et de distribution d'eau,13,0.3754
2016,Nouveau-Brunswick,Infrastructures pour les eaux usées,13,0.3754
2016,Nouveau-Brunswick,Réseaux de communication,13,0.3228
2016,Nouveau-Brunswick,Infrastructure liées à l'énergie électrique,13,0.3239
2016,Nouveau-Brunswick,Construction liée aux installations de pétrole et de gaz,13,0.2989
2016,Nouveau-Brunswick,Autres travaux de génie,13,0.3754
2016,Nouveau-Brunswick,Autres machines et matériel,13,0.5447
2016,Nouveau-Brunswick,Machines et matériel de transport,13,0.5341
2016,Québec,Total des actifs,24,0.3463
2016,Québec,Immeubles commerciaux,24,0.3478
2016,Québec,Bâtiments institutionnels,24,0.3478
2016,Québec,Infrastructures de génie maritime,24,0.3722
2016,Québec,Infrastructures de génie liées aux transports,24,0.3394
2016,Québec,Infrastructure d'adduction et de distribution d'eau,24,0.3722
2016,Québec,Infrastructures pour les eaux usées,24,0.3722
2016,Québec,Réseaux de communication,24,0.3333
2016,Québec,Infrastructure liées à l'énergie électrique,24,0.323
2016,Québec,Construction liée aux installations de pétrole et de gaz,24,0.3131
2016,Québec,Autres travaux de génie,24,0.3722
2016,Québec,Autres machines et matériel,24,0.594
2016,Québec,Machines et matériel de transport,24,0.5499
2016,Ontario,Total des actifs,35,0.3623
2016,Ontario,Immeubles commerciaux,35,0.34
2016,Ontario,Bâtiments institutionnels,35,0.34
2016,Ontario,Infrastructures de génie maritime,35,0.372
2016,Ontario,Infrastructures de génie liées aux transports,35,0.3605
2016,Ontario,Infrastructure d'adduction et de distribution d'eau,35,0.372
2016,Ontario,Infrastructures pour les eaux usées,35,0.372
2016,Ontario,Réseaux de communication,35,0.3362
2016,Ontario,Infrastructure liées à l'énergie électrique,35,0.3365
2016,Ontario,Construction liée aux installations de pétrole et de gaz,35,0.3188
2016,Ontario,Autres travaux de génie,35,0.372
2016,Ontario,Autres machines et matériel,35,0.5637
2016,Ontario,Machines et matériel de transport,35,0.5875
2016,Manitoba,Total des actifs,46,0.3649
2016,Manitoba,Immeubles commerciaux,46,0.3544
2016,Manitoba,Bâtiments institutionnels,46,0.3544
2016,Manitoba,Infrastructures de génie maritime,46,0.3831
2016,Manitoba,Infrastructures de génie liées aux transports,46,0.3539
2016,Manitoba,Infrastructure d'adduction et de distribution d'eau,46,0.3831
2016,Manitoba,Infrastructures pour les eaux usées,46,0.3831
2016,Manitoba,Réseaux de communication,46,0.3385
2016,Manitoba,Infrastructure liées à l'énergie électrique,46,0.349
2016,Manitoba,Construction liée aux installations de pétrole et de gaz,46,0.4387
2016,Manitoba,Autres travaux de génie,46,0.3831
2016,Manitoba,Autres machines et matériel,46,0.5867
2016,Manitoba,Machines et matériel de transport,46,0.5225
2016,Saskatchewan,Total des actifs,47,0.374
2016,Saskatchewan,Immeubles commerciaux,47,0.3468
2016,Saskatchewan,Bâtiments institutionnels,47,0.3468
2016,Saskatchewan,Infrastructures de génie maritime,47,0.4183
2016,Saskatchewan,Infrastructures de génie liées aux transports,47,0.3565
2016,Saskatchewan,Infrastructure d'adduction et de distribution d'eau,47,0.4183
2016,Saskatchewan,Infrastructures pour les eaux usées,47,0.4183
2016,Saskatchewan,Réseaux de communication,47,0.3492
2016,Saskatchewan,Infrastructure liées à l'énergie électrique,47,0.3524
2016,Saskatchewan,Construction liée aux installations de pétrole et de gaz,47,0.4669
2016,Saskatchewan,Autres travaux de génie,47,0.4183
2016,Saskatchewan,Autres machines et matériel,47,0.5891
2016,Saskatchewan,Machines et matériel de transport,47,0.5916
2016,Alberta,Total des actifs,48,0.3658
2016,Alberta,Immeubles commerciaux,48,0.3671
2016,Alberta,Bâtiments institutionnels,48,0.3671
2016,Alberta,Infrastructures de génie maritime,48,0.3661
2016,Alberta,Infrastructures de génie liées aux transports,48,0.3621
2016,Alberta,Infrastructure d'adduction et de distribution d'eau,48,0.3661
2016,Alberta,Infrastructures pour les eaux usées,48,0.3661
2016,Alberta,Réseaux de communication,48,0.3459
2016,Alberta,Infrastructure liées à l'énergie électrique,48,0.3429
2016,Alberta,Construction liée aux installations de pétrole et de gaz,48,0.3775
2016,Alberta,Autres travaux de génie,48,0.3661
2016,Alberta,Autres machines et matériel,48,0.5591
2016,Alberta,Machines et matériel de transport,48,0.5342
2016,Colombie-Britannique,Total des actifs,59,0.357
2016,Colombie-Britannique,Immeubles commerciaux,59,0.345
2016,Colombie-Britannique,Bâtiments institutionnels,59,0.345
2016,Colombie-Britannique,Infrastructures de génie maritime,59,0.414
2016,Colombie-Britannique,Infrastructures de génie liées aux transports,59,0.3437
2016,Colombie-Britannique,Infrastructure d'adduction et de distribution d'eau,59,0.414
2016,Colombie-Britannique,Infrastructures pour les eaux usées,59,0.414
2016,Colombie-Britannique,Réseaux de communication,59,0.3365
2016,Colombie-Britannique,Infrastructure liées à l'énergie électrique,59,0.3384
2016,Colombie-Britannique,Construction liée aux installations de pétrole et de gaz,59,0.4463
2016,Colombie-Britannique,Autres travaux de génie,59,0.414
2016,Colombie-Britannique,Autres machines et matériel,59,0.5399
2016,Colombie-Britannique,Machines et matériel de transport,59,0.5714
2016,Yukon,Total des actifs,60,0.3423
2016,Yukon,Immeubles commerciaux,60,0.3331
2016,Yukon,Bâtiments institutionnels,60,0.3331
2016,Yukon,Infrastructures de génie maritime,60,0.4763
2016,Yukon,Infrastructures de génie liées aux transports,60,0.311
2016,Yukon,Infrastructure d'adduction et de distribution d'eau,60,0.4763
2016,Yukon,Infrastructures pour les eaux usées,60,0.4763
2016,Yukon,Réseaux de communication,60,0.2853
2016,Yukon,Infrastructure liées à l'énergie électrique,60,0.3156
2016,Yukon,Construction liée aux installations de pétrole et de gaz,60,0.3895
2016,Yukon,Autres travaux de génie,60,0.4763
2016,Yukon,Autres machines et matériel,60,0.5567
2016,Yukon,Machines et matériel de transport,60,0.5582
2016,Territoires du Nord-Ouest,Total des actifs,61,0.3722
2016,Territoires du Nord-Ouest,Immeubles commerciaux,61,0.3739
2016,Territoires du Nord-Ouest,Bâtiments institutionnels,61,0.3739
2016,Territoires du Nord-Ouest,Infrastructures de génie maritime,61,0.4545
2016,Territoires du Nord-Ouest,Infrastructures de génie liées aux transports,61,0.3227
2016,Territoires du Nord-Ouest,Infrastructure d'adduction et de distribution d'eau,61,0.4545
2016,Territoires du Nord-Ouest,Infrastructures pour les eaux usées,61,0.4545
2016,Territoires du Nord-Ouest,Réseaux de communication,61,0.3293
2016,Territoires du Nord-Ouest,Infrastructure liées à l'énergie électrique,61,0.3363
2016,Territoires du Nord-Ouest,Construction liée aux installations de pétrole et de gaz,61,0.3478
2016,Territoires du Nord-Ouest,Autres travaux de génie,61,0.4545
2016,Territoires du Nord-Ouest,Autres machines et matériel,61,0.5538
2016,Territoires du Nord-Ouest,Machines et matériel de transport,61,0.5598
2016,Nunavut,Total des actifs,62,0.3657
2016,Nunavut,Immeubles commerciaux,62,0.3665
2016,Nunavut,Bâtiments institutionnels,62,0.3665
2016,Nunavut,Infrastructures de génie maritime,62,0.4297
2016,Nunavut,Infrastructures de génie liées aux transports,62,0.3379
2016,Nunavut,Infrastructure d'adduction et de distribution d'eau,62,0.4297
2016,Nunavut,Infrastructures pour les eaux usées,62,0.4297
2016,Nunavut,Réseaux de communication,62,0.3274
2016,Nunavut,Infrastructure liées à l'énergie électrique,62,0.3156
2016,Nunavut,Construction liée aux installations de pétrole et de gaz,62,0.3895
2016,Nunavut,Autres travaux de génie,62,0.4297
2016,Nunavut,Autres machines et matériel,62,0.5956
2016,Nunavut,Machines et matériel de transport,62,0.4394
2017,Canada,Immeubles commerciaux,,0.3315
2017,Canada,Bâtiments institutionnels,,0.3292
2017,Canada,Infrastructures de génie maritime,,0.3578
2017,Canada,Infrastructures de génie liées aux transports,,0.3334
2017,Canada,Infrastructure d'adduction et de distribution d'eau,,0.3562
2017,Canada,Infrastructures pour les eaux usées,,0.3542
2017,Canada,Réseaux de communication,,0.3196
2017,Canada,Infrastructure liées à l'énergie électrique,,0.3183
2017,Canada,Construction liée aux installations de pétrole et de gaz,,0.3718
2017,Canada,Autres travaux de génie,,0.3551
2017,Canada,Autres machines et matériel,,0.5336
2017,Canada,Machines et matériel de transport,,0.5411
2017,Terre-Neuve-et-Labrador,Total des actifs,10,0.3205
2017,Terre-Neuve-et-Labrador,Immeubles commerciaux,10,0.3298
2017,Terre-Neuve-et-Labrador,Bâtiments institutionnels,10,0.3298
2017,Terre-Neuve-et-Labrador,Infrastructures de génie maritime,10,0.3561
2017,Terre-Neuve-et-Labrador,Infrastructures de génie liées aux transports,10,0.3175
2017,Terre-Neuve-et-Labrador,Infrastructure d'adduction et de distribution d'eau,10,0.3561
2017,Terre-Neuve-et-Labrador,Infrastructures pour les eaux usées,10,0.3561
2017,Terre-Neuve-et-Labrador,Réseaux de communication,10,0.3043
2017,Terre-Neuve-et-Labrador,Infrastructure liées à l'énergie électrique,10,0.3137
2017,Terre-Neuve-et-Labrador,Construction liée aux installations de pétrole et de gaz,10,0.3718
2017,Terre-Neuve-et-Labrador,Autres travaux de génie,10,0.3561
2017,Terre-Neuve-et-Labrador,Autres machines et matériel,10,0.5402
2017,Terre-Neuve-et-Labrador,Machines et matériel de transport,10,0.5383
2017,Île-du-Prince-Édouard,Total des actifs,11,0.3498
2017,Île-du-Prince-Édouard,Immeubles commerciaux,11,0.3346
2017,Île-du-Prince-Édouard,Bâtiments institutionnels,11,0.3346
2017,Île-du-Prince-Édouard,Infrastructures de génie maritime,11,0.3208
2017,Île-du-Prince-Édouard,Infrastructures de génie liées aux transports,11,0.3766
2017,Île-du-Prince-Édouard,Infrastructure d'adduction et de distribution d'eau,11,0.3208
2017,Île-du-Prince-Édouard,Infrastructures pour les eaux usées,11,0.3208
2017,Île-du-Prince-Édouard,Réseaux de communication,11,0.3128
2017,Île-du-Prince-Édouard,Infrastructure liées à l'énergie électrique,11,0.318
2017,Île-du-Prince-Édouard,Construction liée aux installations de pétrole et de gaz,11,0.3718
2017,Île-du-Prince-Édouard,Autres travaux de génie,11,0.3208
2017,Île-du-Prince-Édouard,Autres machines et matériel,11,0.5439
2017,Île-du-Prince-Édouard,Machines et matériel de transport,11,0.5335
2017,Nouvelle-Écosse,Total des actifs,12,0.3228
2017,Nouvelle-Écosse,Immeubles commerciaux,12,0.3364
2017,Nouvelle-Écosse,Bâtiments institutionnels,12,0.3364
2017,Nouvelle-Écosse,Infrastructures de génie maritime,12,0.3001
2017,Nouvelle-Écosse,Infrastructures de génie liées aux transports,12,0.3225
2017,Nouvelle-Écosse,Infrastructure d'adduction et de distribution d'eau,12,0.3001
2017,Nouvelle-Écosse,Infrastructures pour les eaux usées,12,0.3001
2017,Nouvelle-Écosse,Réseaux de communication,12,0.2981
2017,Nouvelle-Écosse,Infrastructure liées à l'énergie électrique,12,0.3249
2017,Nouvelle-Écosse,Construction liée aux installations de pétrole et de gaz,12,0.2946
2017,Nouvelle-Écosse,Autres travaux de génie,12,0.3001
2017,Nouvelle-Écosse,Autres machines et matériel,12,0.5232
2017,Nouvelle-Écosse,Machines et matériel de transport,12,0.5181
2017,Nouveau-Brunswick,Total des actifs,13,0.3223
2017,Nouveau-Brunswick,Immeubles commerciaux,13,0.3272
2017,Nouveau-Brunswick,Bâtiments institutionnels,13,0.3272
2017,Nouveau-Brunswick,Infrastructures de génie maritime,13,0.3493
2017,Nouveau-Brunswick,Infrastructures de génie liées aux transports,13,0.3121
2017,Nouveau-Brunswick,Infrastructure d'adduction et de distribution d'eau,13,0.3493
2017,Nouveau-Brunswick,Infrastructures pour les eaux usées,13,0.3493
2017,Nouveau-Brunswick,Réseaux de communication,13,0.3092
2017,Nouveau-Brunswick,Infrastructure liées à l'énergie électrique,13,0.3083
2017,Nouveau-Brunswick,Construction liée aux installations de pétrole et de gaz,13,0.2824
2017,Nouveau-Brunswick,Autres travaux de génie,13,0.3493
2017,Nouveau-Brunswick,Autres machines et matériel,13,0.5192
2017,Nouveau-Brunswick,Machines et matériel de transport,13,0.4639
2017,Québec,Total des actifs,24,0.3289
2017,Québec,Immeubles commerciaux,24,0.3308
2017,Québec,Bâtiments institutionnels,24,0.3308
2017,Québec,Infrastructures de génie maritime,24,0.35
2017,Québec,Infrastructures de génie liées aux transports,24,0.3211
