Year,Géographie,Genre de travail,Classification nationale des professions (CNP),Âge,GeoCode,Value
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 à 24 ans,10,1.24
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",25 à 54 ans,10,0.86
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",55 ans et plus,10,0.62
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,10,0.91
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,10,0.94
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 ans et plus,10,1.07
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,25 à 54 ans,10,1.14
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,10,0.56
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,10,0.99
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,10,0.62
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,10,0.53
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,10,0.92
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 ans et plus,10,0.86
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 à 24 ans,10,0.96
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Vente et services,25 à 54 ans,10,0.75
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Vente et services,55 ans et plus,10,0.72
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,10,0.8
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,10,0.76
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,10,0.48
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,10,0.65
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,10,0.58
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,10,0.69
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Total des employés, toutes les professions",15 ans et plus,10,0.77
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Total des employés, toutes les professions",15 à 24 ans,10,0.85
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Total des employés, toutes les professions",25 à 54 ans,10,0.78
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Total des employés, toutes les professions",55 ans et plus,10,0.65
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Gestion,15 ans et plus,10,0.82
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Gestion,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Gestion,25 à 54 ans,10,0.88
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Gestion,55 ans et plus,10,0.71
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Affaires, finance et administration",15 ans et plus,10,0.86
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Affaires, finance et administration",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Affaires, finance et administration",25 à 54 ans,10,0.86
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Affaires, finance et administration",55 ans et plus,10,0.62
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,10,0.93
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,10,0.94
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Secteur de la santé,15 ans et plus,10,1.07
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Secteur de la santé,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Secteur de la santé,25 à 54 ans,10,1.11
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Secteur de la santé,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,10,0.67
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,10,1.05
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,10,0.73
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,10,0.56
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Arts, culture, sports et loisirs",15 ans et plus,10,0.6
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Arts, culture, sports et loisirs",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Arts, culture, sports et loisirs",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Arts, culture, sports et loisirs",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Vente et services,15 ans et plus,10,0.78
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Vente et services,15 à 24 ans,10,0.96
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Vente et services,25 à 54 ans,10,0.78
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Vente et services,55 ans et plus,10,0.72
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,10,0.77
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,10,0.74
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 ans et plus,10,0.48
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Fabrication et services d'utilité publique,15 ans et plus,10,0.62
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Fabrication et services d'utilité publique,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Fabrication et services d'utilité publique,25 à 54 ans,10,0.58
2015,Terre-Neuve-et-Labrador,Employés à temps plein,Fabrication et services d'utilité publique,55 ans et plus,10,0.68
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Total des employés, toutes les professions",15 ans et plus,10,1.02
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,10,0.96
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,10,0.66
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Total des employés, toutes les professions",55 ans et plus,10,0.86
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Gestion,15 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Gestion,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Gestion,25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Gestion,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Affaires, finance et administration",15 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Affaires, finance et administration",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Affaires, finance et administration",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Affaires, finance et administration",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Secteur de la santé,15 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Secteur de la santé,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Secteur de la santé,25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Secteur de la santé,55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,10,0.33
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,10,0.36
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Vente et services,15 ans et plus,10,0.98
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Vente et services,15 à 24 ans,10,0.97
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Vente et services,25 à 54 ans,10,0.98
2015,Terre-Neuve-et-Labrador,Employés à temps partiel,Vente et services,55 ans et plus,10,0.87
