Year,Géographie,Sexe,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,Canada,Hommes,15 à 24 ans,Résidents non permanents,,84.4
2016,Canada,Hommes,15 à 24 ans,Total de la population des minorités visibles,,68.4
2016,Canada,Hommes,15 à 24 ans,Pas une minorité visible,,61.4
2016,Canada,Hommes,15 à 24 ans,data.Total Aboriginal identity,,44.3
2016,Canada,Hommes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),,39.8
2016,Canada,Hommes,15 à 24 ans,Métis,,53.8
2016,Canada,Hommes,15 à 24 ans,Inuk (Inuit),,27.1
2016,Canada,Hommes,15 à 24 ans,data.Non-Aboriginal identity,,64.7
2016,Canada,Hommes,25 à 64 ans,"Total, toutes les personnes",,84.1
2016,Canada,Hommes,25 à 64 ans,Non-immigrants,,82.8
2016,Canada,Hommes,25 à 64 ans,Immigrants,,87.3
2016,Canada,Hommes,25 à 64 ans,Résidents non permanents,,91.9
2016,Canada,Hommes,25 à 64 ans,Total de la population des minorités visibles,,88.3
2016,Canada,Hommes,25 à 64 ans,Pas une minorité visible,,82.9
2016,Canada,Hommes,25 à 64 ans,data.Total Aboriginal identity,,63.9
2016,Canada,Hommes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),,58.5
2016,Canada,Hommes,25 à 64 ans,Métis,,73.0
2016,Canada,Hommes,25 à 64 ans,Inuk (Inuit),,42.3
2016,Canada,Hommes,25 à 64 ans,data.Non-Aboriginal identity,,85.0
2016,Canada,Hommes,65 à 74 ans,"Total, toutes les personnes",,73.0
2016,Canada,Hommes,65 à 74 ans,Non-immigrants,,71.4
2016,Canada,Hommes,65 à 74 ans,Immigrants,,76.9
2016,Canada,Hommes,65 à 74 ans,Résidents non permanents,,70.4
2016,Canada,Hommes,65 à 74 ans,Total de la population des minorités visibles,,77.5
2016,Canada,Hommes,65 à 74 ans,Pas une minorité visible,,72.3
2016,Canada,Hommes,65 à 74 ans,data.Total Aboriginal identity,,50.8
2016,Canada,Hommes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),,46.4
2016,Canada,Hommes,65 à 74 ans,Métis,,55.9
2016,Canada,Hommes,65 à 74 ans,Inuk (Inuit),,33.0
2016,Canada,Hommes,65 à 74 ans,data.Non-Aboriginal identity,,73.5
2016,Canada,Hommes,75 ans et plus,"Total, toutes les personnes",,55.7
2016,Canada,Hommes,75 ans et plus,Non-immigrants,,53.1
2016,Canada,Hommes,75 ans et plus,Immigrants,,60.6
2016,Canada,Hommes,75 ans et plus,Résidents non permanents,,62.1
2016,Canada,Hommes,75 ans et plus,Total de la population des minorités visibles,,66.0
2016,Canada,Hommes,75 ans et plus,Pas une minorité visible,,54.3
2016,Canada,Hommes,75 ans et plus,data.Total Aboriginal identity,,30.9
2016,Canada,Hommes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),,27.0
2016,Canada,Hommes,75 ans et plus,Métis,,34.4
2016,Canada,Hommes,75 ans et plus,Inuk (Inuit),,20.5
2016,Canada,Hommes,75 ans et plus,data.Non-Aboriginal identity,,56.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",,80.8
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,,80.9
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,,80.2
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,,89.3
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,,81.8
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,,80.5
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,,65.5
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),,61.0
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Métis,,74.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),,43.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,,81.5
2016,Canada,Femmes,15 à 24 ans,"Total, toutes les personnes",,67.1
2016,Canada,Femmes,15 à 24 ans,Non-immigrants,,65.9
2016,Canada,Femmes,15 à 24 ans,Immigrants,,70.2
2016,Canada,Femmes,15 à 24 ans,Résidents non permanents,,84.6
2016,Canada,Femmes,15 à 24 ans,Total de la population des minorités visibles,,70.5
2016,Canada,Femmes,15 à 24 ans,Pas une minorité visible,,65.8
2016,Canada,Femmes,15 à 24 ans,data.Total Aboriginal identity,,49.8
2016,Canada,Femmes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),,45.0
2016,Canada,Femmes,15 à 24 ans,Métis,,60.0
2016,Canada,Femmes,15 à 24 ans,Inuk (Inuit),,33.5
2016,Canada,Femmes,15 à 24 ans,data.Non-Aboriginal identity,,68.4
2016,Canada,Femmes,25 à 64 ans,"Total, toutes les personnes",,88.4
2016,Canada,Femmes,25 à 64 ans,Non-immigrants,,88.6
2016,Canada,Femmes,25 à 64 ans,Immigrants,,87.5
2016,Canada,Femmes,25 à 64 ans,Résidents non permanents,,92.9
2016,Canada,Femmes,25 à 64 ans,Total de la population des minorités visibles,,88.2
2016,Canada,Femmes,25 à 64 ans,Pas une minorité visible,,88.5
2016,Canada,Femmes,25 à 64 ans,data.Total Aboriginal identity,,73.2
2016,Canada,Femmes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),,68.8
2016,Canada,Femmes,25 à 64 ans,Métis,,81.4
2016,Canada,Femmes,25 à 64 ans,Inuk (Inuit),,48.3
2016,Canada,Femmes,25 à 64 ans,data.Non-Aboriginal identity,,89.1
2016,Canada,Femmes,65 à 74 ans,"Total, toutes les personnes",,73.3
2016,Canada,Femmes,65 à 74 ans,Non-immigrants,,74.3
2016,Canada,Femmes,65 à 74 ans,Immigrants,,71.1
2016,Canada,Femmes,65 à 74 ans,Résidents non permanents,,62.3
2016,Canada,Femmes,65 à 74 ans,Total de la population des minorités visibles,,68.2
2016,Canada,Femmes,65 à 74 ans,Pas une minorité visible,,74.1
2016,Canada,Femmes,65 à 74 ans,data.Total Aboriginal identity,,55.1
2016,Canada,Femmes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),,51.4
2016,Canada,Femmes,65 à 74 ans,Métis,,60.1
2016,Canada,Femmes,65 à 74 ans,Inuk (Inuit),,33.8
2016,Canada,Femmes,65 à 74 ans,data.Non-Aboriginal identity,,73.8
2016,Canada,Femmes,75 ans et plus,"Total, toutes les personnes",,54.2
2016,Canada,Femmes,75 ans et plus,Non-immigrants,,55.8
2016,Canada,Femmes,75 ans et plus,Immigrants,,50.8
2016,Canada,Femmes,75 ans et plus,Résidents non permanents,,47.1
2016,Canada,Femmes,75 ans et plus,Total de la population des minorités visibles,,48.0
2016,Canada,Femmes,75 ans et plus,Pas une minorité visible,,55.0
2016,Canada,Femmes,75 ans et plus,data.Total Aboriginal identity,,33.5
2016,Canada,Femmes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),,30.3
2016,Canada,Femmes,75 ans et plus,Métis,,36.7
2016,Canada,Femmes,75 ans et plus,Inuk (Inuit),,23.9
2016,Canada,Femmes,75 ans et plus,data.Non-Aboriginal identity,,54.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",10,74.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,10,73.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Immigrants,10,88.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,10,96.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,10,88.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,10,73.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,10,69.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),10,70.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Métis,10,72.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),10,62.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,10,74.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,"Total, toutes les personnes",10,64.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Non-immigrants,10,63.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Immigrants,10,59.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Résidents non permanents,10,90.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Total de la population des minorités visibles,10,76.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Pas une minorité visible,10,63.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,data.Total Aboriginal identity,10,60.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),10,61.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Métis,10,65.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,Inuk (Inuit),10,48.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,data.Non-Aboriginal identity,10,64.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,"Total, toutes les personnes",10,81.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Non-immigrants,10,81.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Résidents non permanents,10,97.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Total de la population des minorités visibles,10,92.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Pas une minorité visible,10,81.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,data.Total Aboriginal identity,10,76.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),10,77.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Métis,10,79.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Inuk (Inuit),10,69.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,data.Non-Aboriginal identity,10,82.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",10,62.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Non-immigrants,10,61.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Immigrants,10,89.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Résidents non permanents,10,100.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,10,71.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Pas une minorité visible,10,62.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,data.Total Aboriginal identity,10,52.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),10,53.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Métis,10,56.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Inuk (Inuit),10,48.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,data.Non-Aboriginal identity,10,62.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,"Total, toutes les personnes",10,46.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Non-immigrants,10,45.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Immigrants,10,82.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,10,72.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Pas une minorité visible,10,46.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,data.Total Aboriginal identity,10,34.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),10,39.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Métis,10,20.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Inuk (Inuit),10,31.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,data.Non-Aboriginal identity,10,47.4
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",10,72.1
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,10,71.3
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,10,89.4
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,10,96.7
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,10,89.0
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,10,71.7
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,10,66.0
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),10,67.8
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Métis,10,68.3
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),10,55.8
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,10,72.6
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,"Total, toutes les personnes",10,62.1
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Non-immigrants,10,61.7
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Immigrants,10,58.8
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Résidents non permanents,10,89.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Total de la population des minorités visibles,10,76.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Pas une minorité visible,10,61.5
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,data.Total Aboriginal identity,10,58.1
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),10,60.4
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Métis,10,61.3
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,Inuk (Inuit),10,38.9
2016,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,data.Non-Aboriginal identity,10,62.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,"Total, toutes les personnes",10,78.8
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Non-immigrants,10,78.1
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Résidents non permanents,10,98.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Total de la population des minorités visibles,10,93.3
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Pas une minorité visible,10,78.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,data.Total Aboriginal identity,10,71.9
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),10,73.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Métis,10,73.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Inuk (Inuit),10,63.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,data.Non-Aboriginal identity,10,79.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,"Total, toutes les personnes",10,62.6
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Non-immigrants,10,61.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Immigrants,10,91.8
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Total de la population des minorités visibles,10,84.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Pas une minorité visible,10,62.5
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,data.Total Aboriginal identity,10,54.3
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),10,55.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Métis,10,60.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Inuk (Inuit),10,46.2
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,data.Non-Aboriginal identity,10,63.1
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,"Total, toutes les personnes",10,46.9
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Non-immigrants,10,45.4
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Immigrants,10,89.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Résidents non permanents,10,0.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Total de la population des minorités visibles,10,75.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Pas une minorité visible,10,46.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,data.Total Aboriginal identity,10,34.3
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),10,39.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Métis,10,23.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Inuk (Inuit),10,21.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,data.Non-Aboriginal identity,10,47.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",10,76.1
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,10,75.7
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,10,87.7
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,10,95.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,10,87.3
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,10,75.8
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,10,72.6
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),10,72.8
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Métis,10,76.1
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),10,68.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,10,76.4
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,"Total, toutes les personnes",10,66.2
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Non-immigrants,10,66.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Immigrants,10,57.5
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Résidents non permanents,10,94.9
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Total de la population des minorités visibles,10,77.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Pas une minorité visible,10,65.8
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,data.Total Aboriginal identity,10,63.3
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),10,63.0
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Métis,10,69.3
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,Inuk (Inuit),10,55.9
2016,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,data.Non-Aboriginal identity,10,66.6
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,"Total, toutes les personnes",10,84.5
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Non-immigrants,10,84.2
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Immigrants,10,93.0
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Résidents non permanents,10,96.1
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Total de la population des minorités visibles,10,92.0
