Year,Géographie,Type de violence entre partenaires intimes,Groupe d'âge,Groupe autochtone,Minorité visible,Status d'immigrant,Incapacité,Plus haut grade obtenu,Revenu du ménage,Lieu de résidence,État matrimonial,GeoCode,Value
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,,4.65
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,,10.45
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,,20.74
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,,15.4
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,,12.76
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,,9.69
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,,6.08
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,,4.65
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,3.28
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,7.76
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,6.74
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,3.61
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,2.33
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,1.31
2018,Provinces de l'Atlantique,Violence physique,"Total, toutes les personnes",,,,,,,,,,2.63
2018,Provinces de l'Atlantique,Violence physique,Âgée de 15 à 24 ans,,,,,,,,,,6.11
2018,Provinces de l'Atlantique,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,,5.03
2018,Provinces de l'Atlantique,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,,2.7
2018,Provinces de l'Atlantique,Violence physique,Âgée de 45 à 54 ans,,,,,,,,,,2.11
2018,Provinces de l'Atlantique,Violence physique,Âgée de 55 à 64 ans,,,,,,,,,,1.31
2018,Provinces de l'Atlantique,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,,1.13
2018,Québec,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,24,12.54
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,24,33.05
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,24,15.89
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,24,14.1
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,24,9.15
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,24,7.94
2018,Québec,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,24,5.44
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,24,12.26
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,24,30.79
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,24,15.83
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,24,13.91
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,24,9.05
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,24,7.94
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,24,5.44
2018,Québec,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,24,2.42
2018,Québec,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,24,2.68
2018,Québec,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,24,3.37
2018,Québec,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,24,1.44
2018,Québec,Violence physique,"Total, toutes les personnes",,,,,,,,,24,1.63
2018,Québec,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,24,2.43
2018,Québec,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,24,2.61
2018,Québec,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,24,1.09
2018,Ontario,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,35,11.47
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,35,29.69
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,35,10.65
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,35,11.95
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,35,10.81
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,35,8.93
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,35,5.02
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,35,11.27
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,35,27.67
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,35,10.65
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,35,11.95
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,35,10.79
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,35,8.93
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,35,4.86
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,35,3.17
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,35,11.03
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,35,2.62
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,35,3.47
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,35,2.78
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,35,1.55
2018,Ontario,Violence physique,"Total, toutes les personnes",,,,,,,,,35,2.5
2018,Ontario,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,35,1.76
2018,Ontario,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,35,2.95
2018,Ontario,Violence physique,Âgée de 45 à 54 ans,,,,,,,,,35,2.73
2018,Ontario,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,35,1.17
2018,Ontario,Violence sexuelle,Âgée de 25 à 34 ans,,,,,,,,,35,1.61
2018,Ontario,Violence sexuelle,Âgée de 35 à 44 ans,,,,,,,,,35,1.37
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,13.4
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,27.05
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,17.05
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,14.01
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,10.17
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,8.93
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,,4.85
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",Âgée de 75 ans et plus,,,,,,,,,,5.96
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,,13.19
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,,26.59
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,,16.92
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,,13.63
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,,10.13
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,,8.66
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,,4.71
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 75 ans et plus,,,,,,,,,,5.96
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,3.57
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,12.64
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,3.57
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,3.78
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,2.11
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,1.34
2018,Provinces des Prairies,Violence physique,"Total, toutes les personnes",,,,,,,,,,2.79
2018,Provinces des Prairies,Violence physique,Âgée de 15 à 24 ans,,,,,,,,,,8.36
2018,Provinces des Prairies,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,,3.16
2018,Provinces des Prairies,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,,3.2
2018,Provinces des Prairies,Violence physique,Âgée de 45 à 54 ans,,,,,,,,,,1.6
2018,Provinces des Prairies,Violence physique,Âgée de 55 à 64 ans,,,,,,,,,,1.2
2018,Provinces des Prairies,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,,1.42
2018,Provinces des Prairies,Violence sexuelle,Âgée de 15 à 24 ans,,,,,,,,,,6.75
2018,Provinces des Prairies,Violence sexuelle,Âgée de 25 à 34 ans,,,,,,,,,,1.48
2018,Provinces des Prairies,Violence sexuelle,Âgée de 35 à 44 ans,,,,,,,,,,0.91
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,59,12.1
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,59,28.31
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,59,16.18
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,59,11.76
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,59,10.93
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,59,8.55
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,59,5.11
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,59,12.07
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,59,28.31
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,59,16.18
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,59,11.64
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,59,10.93
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,59,8.55
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,59,5.11
2018,Colombie-Britannique,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,59,3.23
2018,Colombie-Britannique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,59,2.75
2018,Colombie-Britannique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,59,4.34
2018,Colombie-Britannique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,59,2.72
2018,Colombie-Britannique,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,59,2.84
2018,Colombie-Britannique,Violence physique,"Total, toutes les personnes",,,,,,,,,59,2.77
2018,Colombie-Britannique,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,59,2.52
2018,Colombie-Britannique,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,59,4.12
2018,Colombie-Britannique,Violence physique,Âgée de 45 à 54 ans,,,,,,,,,59,2.39
2018,Colombie-Britannique,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,59,0.82
2018,Territoires,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,15.25
2018,Territoires,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,33.01
2018,Territoires,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,15.48
2018,Territoires,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,17.38
2018,Territoires,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,15.8
2018,Territoires,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,,14.57
2018,Territoires,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,,33.01
2018,Territoires,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,,12.95
2018,Territoires,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,,17.38
2018,Territoires,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,,15.41
2018,Territoires,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,7.65
2018,Territoires,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,16.07
2018,Territoires,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,9.98
2018,Territoires,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,10.06
2018,Territoires,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,4.77
2018,Territoires,Violence physique,"Total, toutes les personnes",,,,,,,,,,6.41
2018,Territoires,Violence physique,Âgée de 15 à 24 ans,,,,,,,,,,12.15
2018,Territoires,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,,8.89
2018,Territoires,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,,9.22
2018,Territoires,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,,2.79
2018,Territoires,Violence sexuelle,Âgée de 25 à 34 ans,,,,,,,,,,3.38
2018,Canada,"Total, tous les types de violence entre partenaires intimes",,Personne autochtone,,,,,,,,,16.81
2018,Canada,"Total, tous les types de violence entre partenaires intimes",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,15.72
2018,Canada,"Total, tous les types de violence entre partenaires intimes",,Métis,,,,,,,,,15.42
2018,Canada,"Total, tous les types de violence entre partenaires intimes",,Inuk (Inuit),,,,,,,,,12.01
2018,Canada,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,,11.92
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",,Personne autochtone,,,,,,,,,16.77
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,15.72
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",,Métis,,,,,,,,,15.42
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",,Inuk (Inuit),,,,,,,,,11.21
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",,Personne non autochtone,,,,,,,,,11.71
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne autochtone,,,,,,,,,4.86
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,8.33
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",,Métis,,,,,,,,,1.33
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",,Inuk (Inuit),,,,,,,,,5.9
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne non autochtone,,,,,,,,,3.04
2018,Canada,Violence physique,,Personne autochtone,,,,,,,,,3.58
2018,Canada,Violence physique,,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,5.93
2018,Canada,Violence physique,,Inuk (Inuit),,,,,,,,,5.9
2018,Canada,Violence physique,,Personne non autochtone,,,,,,,,,2.37
2018,Canada,Violence sexuelle,,Personne autochtone,,,,,,,,,2.36
2018,Canada,Violence sexuelle,,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,4.35
2018,Canada,Violence sexuelle,,Inuk (Inuit),,,,,,,,,1.65
2018,Canada,Violence sexuelle,,Personne non autochtone,,,,,,,,,1.12
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",,Personne autochtone,,,,,,,,,15.71
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,16.35
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,,10.46
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",,Personne autochtone,,,,,,,,,15.71
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,16.35
2018,Provinces de l'Atlantique,"Violence émotionnelle, psychologique ou exploitation financière",,Personne non autochtone,,,,,,,,,10.24
2018,Provinces de l'Atlantique,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne non autochtone,,,,,,,,,3.13
2018,Provinces de l'Atlantique,Violence physique,,Personne non autochtone,,,,,,,,,2.65
2018,Provinces de l'Atlantique,Violence sexuelle,,Personne non autochtone,,,,,,,,,0.95
2018,Québec,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,24,12.54
2018,Québec,"Violence émotionnelle, psychologique ou exploitation financière",,Personne non autochtone,,,,,,,,24,12.26
2018,Québec,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne non autochtone,,,,,,,,24,2.41
2018,Québec,Violence physique,,Personne non autochtone,,,,,,,,24,1.6
2018,Québec,Violence sexuelle,,Personne non autochtone,,,,,,,,24,1.12
2018,Ontario,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,35,11.41
2018,Ontario,"Violence émotionnelle, psychologique ou exploitation financière",,Personne non autochtone,,,,,,,,35,11.2
2018,Ontario,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne non autochtone,,,,,,,,35,3.16
2018,Ontario,Violence physique,,Personne non autochtone,,,,,,,,35,2.54
2018,Ontario,Violence sexuelle,,Personne non autochtone,,,,,,,,35,1.14
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",,Personne autochtone,,,,,,,,,17.12
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,14.42
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",,Métis,,,,,,,,,19.69
2018,Provinces des Prairies,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,,13.08
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",,Personne autochtone,,,,,,,,,17.12
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",,Premières Nations (Indien de l'Amérique du Nord),,,,,,,,,14.42
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",,Métis,,,,,,,,,19.69
2018,Provinces des Prairies,"Violence émotionnelle, psychologique ou exploitation financière",,Personne non autochtone,,,,,,,,,12.86
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne autochtone,,,,,,,,,5.53
2018,Provinces des Prairies,"Total, violence physique ou sexuelle entre partenaires intimes",,Personne non autochtone,,,,,,,,,3.45
2018,Provinces des Prairies,Violence physique,,Personne autochtone,,,,,,,,,5.42
2018,Provinces des Prairies,Violence physique,,Personne non autochtone,,,,,,,,,2.62
2018,Provinces des Prairies,Violence sexuelle,,Personne non autochtone,,,,,,,,,1.41
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",,Personne autochtone,,,,,,,,59,21.69
2018,Colombie-Britannique,"Total, tous les types de violence entre partenaires intimes",,Personne non autochtone,,,,,,,,59,11.62
2018,Colombie-Britannique,"Violence émotionnelle, psychologique ou exploitation financière",,Personne autochtone,,,,,,,,59,21.69
