Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2019,Alberta,Total,Homme,Personnes hors famille économique,48,22.9
2019,Alberta,Total,Femme,Personnes hors famille économique,48,19.0
2019,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.7
2019,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,25.5
2019,Alberta,,Homme,Personnes non âgées hors famille économique,48,25.1
2019,Alberta,,Femme,Personnes non âgées hors famille économique,48,26.0
2020,Alberta,Total,Les deux sexes,Total,48,5.5
2020,Alberta,Moins de 18 ans,Les deux sexes,Total,48,4.2
2020,Alberta,18 à 64 ans,Les deux sexes,Total,48,6.5
2020,Alberta,65 ans et plus,Les deux sexes,Total,48,2.9
2020,Alberta,Total,Homme,Total,48,5.5
2020,Alberta,Moins de 18 ans,Homme,Total,48,4.3
2020,Alberta,18 à 64 ans,Homme,Total,48,6.6
2020,Alberta,65 ans et plus,Homme,Total,48,2.3
2020,Alberta,Total,Femme,Total,48,5.5
2020,Alberta,Moins de 18 ans,Femme,Total,48,4.2
2020,Alberta,18 à 64 ans,Femme,Total,48,6.5
2020,Alberta,65 ans et plus,Femme,Total,48,3.5
2020,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,3.3
2020,Alberta,Total,Homme,Personnes dans les familles économiques,48,3.2
2020,Alberta,Total,Femme,Personnes dans les familles économiques,48,3.4
2020,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,4.1
2020,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,2.3
2020,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,25.0
2020,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,3.4
2020,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,3.1
2020,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,3.6
2020,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,19.1
2020,Alberta,Total,Homme,Personnes hors famille économique,48,18.2
2020,Alberta,Total,Femme,Personnes hors famille économique,48,20.2
2020,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,8.3
2020,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,9.3
2020,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,22.8
2020,Alberta,,Homme,Personnes non âgées hors famille économique,48,20.7
2020,Alberta,,Femme,Personnes non âgées hors famille économique,48,26.1
2021,Alberta,Total,Les deux sexes,Total,48,7.8
2021,Alberta,Moins de 18 ans,Les deux sexes,Total,48,7.5
2021,Alberta,18 à 64 ans,Les deux sexes,Total,48,8.3
2021,Alberta,65 ans et plus,Les deux sexes,Total,48,5.9
2021,Alberta,Total,Homme,Total,48,7.5
2021,Alberta,Moins de 18 ans,Homme,Total,48,6.9
2021,Alberta,18 à 64 ans,Homme,Total,48,8.1
2021,Alberta,65 ans et plus,Homme,Total,48,5.5
2021,Alberta,Total,Femme,Total,48,8.1
2021,Alberta,Moins de 18 ans,Femme,Total,48,8.1
2021,Alberta,18 à 64 ans,Femme,Total,48,8.6
2021,Alberta,65 ans et plus,Femme,Total,48,6.3
2021,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,4.9
2021,Alberta,Total,Homme,Personnes dans les familles économiques,48,4.4
2021,Alberta,Total,Femme,Personnes dans les familles économiques,48,5.4
2021,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,2.4
2021,Alberta,65 ans et plus,Homme,Personnes âgées dans les familles économiques,48,2.6
2021,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,7.4
2021,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,5.1
2021,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,36.2
2021,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,4.4
2021,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,3.7
2021,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,5.0
2021,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,25.3
2021,Alberta,Total,Homme,Personnes hors famille économique,48,25.6
2021,Alberta,Total,Femme,Personnes hors famille économique,48,24.9
2021,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,17.7
2021,Alberta,65 ans et plus,Homme,Personnes âgées hors famille économique,48,20.9
2021,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,16.1
2021,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,27.5
2021,Alberta,,Homme,Personnes non âgées hors famille économique,48,26.4
2021,Alberta,,Femme,Personnes non âgées hors famille économique,48,29.0
2022,Alberta,Total,Les deux sexes,Total,48,9.7
2022,Alberta,Moins de 18 ans,Les deux sexes,Total,48,11.2
2022,Alberta,18 à 64 ans,Les deux sexes,Total,48,10.2
2022,Alberta,65 ans et plus,Les deux sexes,Total,48,5.6
2022,Alberta,Total,Homme,Total,48,9.3
2022,Alberta,Moins de 18 ans,Homme,Total,48,10.1
2022,Alberta,18 à 64 ans,Homme,Total,48,9.8
2022,Alberta,65 ans et plus,Homme,Total,48,5.3
2022,Alberta,Total,Femme,Total,48,10.2
2022,Alberta,Moins de 18 ans,Femme,Total,48,12.4
2022,Alberta,18 à 64 ans,Femme,Total,48,10.5
2022,Alberta,65 ans et plus,Femme,Total,48,5.9
2022,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,7.1
2022,Alberta,Total,Homme,Personnes dans les familles économiques,48,6.5
2022,Alberta,Total,Femme,Personnes dans les familles économiques,48,7.8
2022,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,3.0
2022,Alberta,65 ans et plus,Homme,Personnes âgées dans les familles économiques,48,3.2
2022,Alberta,65 ans et plus,Femme,Personnes âgées dans les familles économiques,48,2.9
2022,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,11.1
2022,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,8.1
2022,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,38.2
2022,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.3
2022,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,5.6
2022,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,7.0
2022,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,25.6
2022,Alberta,Total,Homme,Personnes hors famille économique,48,25.1
2022,Alberta,Total,Femme,Personnes hors famille économique,48,26.2
2022,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,16.6
2022,Alberta,65 ans et plus,Homme,Personnes âgées hors famille économique,48,18.9
2022,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,15.4
2022,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,27.9
2022,Alberta,,Homme,Personnes non âgées hors famille économique,48,26.0
2022,Alberta,,Femme,Personnes non âgées hors famille économique,48,30.5
2023,Alberta,Total,Les deux sexes,Total,48,8.9
2023,Alberta,Moins de 18 ans,Les deux sexes,Total,48,10.3
2023,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.5
2023,Alberta,65 ans et plus,Les deux sexes,Total,48,4.2
2023,Alberta,Total,Homme,Total,48,8.7
2023,Alberta,Moins de 18 ans,Homme,Total,48,11.2
2023,Alberta,18 à 64 ans,Homme,Total,48,8.8
2023,Alberta,65 ans et plus,Homme,Total,48,3.9
2023,Alberta,Total,Femme,Total,48,9.1
2023,Alberta,Moins de 18 ans,Femme,Total,48,9.4
2023,Alberta,18 à 64 ans,Femme,Total,48,10.1
2023,Alberta,65 ans et plus,Femme,Total,48,4.5
2023,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,6.3
2023,Alberta,Total,Homme,Personnes dans les familles économiques,48,6.2
2023,Alberta,Total,Femme,Personnes dans les familles économiques,48,6.4
2023,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,1.8
2023,Alberta,65 ans et plus,Homme,Personnes âgées dans les familles économiques,48,1.7
2023,Alberta,65 ans et plus,Femme,Personnes âgées dans les familles économiques,48,1.9
2023,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,10.2
2023,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,7.7
2023,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,33.6
2023,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,48,9.8
2023,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,5.7
2023,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,5.1
2023,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,6.3
2023,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,24.3
2023,Alberta,Total,Homme,Personnes hors famille économique,48,22.5
2023,Alberta,Total,Femme,Personnes hors famille économique,48,26.3
2023,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,14.6
2023,Alberta,65 ans et plus,Homme,Personnes âgées hors famille économique,48,18.6
2023,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,12.6
2023,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,26.7
2023,Alberta,,Homme,Personnes non âgées hors famille économique,48,23.1
2023,Alberta,,Femme,Personnes non âgées hors famille économique,48,31.8
2015,Provinces de l'Atlantique,Total,Les deux sexes,Total,,15.7
2015,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Total,,19.0
2015,Provinces de l'Atlantique,18 à 64 ans,Les deux sexes,Total,,16.3
2015,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Total,,10.5
2015,Provinces de l'Atlantique,Total,Homme,Total,,15.0
2015,Provinces de l'Atlantique,Moins de 18 ans,Homme,Total,,18.7
2015,Provinces de l'Atlantique,18 à 64 ans,Homme,Total,,15.8
2015,Provinces de l'Atlantique,65 ans et plus,Homme,Total,,8.2
2015,Provinces de l'Atlantique,Total,Femme,Total,,16.3
2015,Provinces de l'Atlantique,Moins de 18 ans,Femme,Total,,19.3
2015,Provinces de l'Atlantique,18 à 64 ans,Femme,Total,,16.7
2015,Provinces de l'Atlantique,65 ans et plus,Femme,Total,,12.4
2015,Provinces de l'Atlantique,Total,Les deux sexes,Personnes dans les familles économiques,,11.3
2015,Provinces de l'Atlantique,Total,Homme,Personnes dans les familles économiques,,10.7
2015,Provinces de l'Atlantique,Total,Femme,Personnes dans les familles économiques,,11.9
2015,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,4.7
2015,Provinces de l'Atlantique,65 ans et plus,Homme,Personnes âgées dans les familles économiques,,4.5
2015,Provinces de l'Atlantique,65 ans et plus,Femme,Personnes âgées dans les familles économiques,,4.9
2015,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,18.9
2015,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,12.7
2015,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,,50.5
2015,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,,19.5
2015,Provinces de l'Atlantique,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,10.5
2015,Provinces de l'Atlantique,18 à 64 ans,Homme,Personnes dans les familles économiques,,9.5
2015,Provinces de l'Atlantique,18 à 64 ans,Femme,Personnes dans les familles économiques,,11.4
2015,Provinces de l'Atlantique,Total,Les deux sexes,Personnes hors famille économique,,38.3
2015,Provinces de l'Atlantique,Total,Homme,Personnes hors famille économique,,38.6
2015,Provinces de l'Atlantique,Total,Femme,Personnes hors famille économique,,38.0
2015,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,26.5
2015,Provinces de l'Atlantique,65 ans et plus,Homme,Personnes âgées hors famille économique,,24.9
2015,Provinces de l'Atlantique,65 ans et plus,Femme,Personnes âgées hors famille économique,,27.2
2015,Provinces de l'Atlantique,,Les deux sexes,Personnes non âgées hors famille économique,,43.5
2015,Provinces de l'Atlantique,,Homme,Personnes non âgées hors famille économique,,42.2
2015,Provinces de l'Atlantique,,Femme,Personnes non âgées hors famille économique,,45.0
2016,Provinces de l'Atlantique,Total,Les deux sexes,Total,,14.5
2016,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Total,,17.2
2016,Provinces de l'Atlantique,18 à 64 ans,Les deux sexes,Total,,15.6
2016,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Total,,8.6
2016,Provinces de l'Atlantique,Total,Homme,Total,,14.0
2016,Provinces de l'Atlantique,Moins de 18 ans,Homme,Total,,17.9
2016,Provinces de l'Atlantique,18 à 64 ans,Homme,Total,,14.7
2016,Provinces de l'Atlantique,65 ans et plus,Homme,Total,,7.4
2016,Provinces de l'Atlantique,Total,Femme,Total,,15.0
2016,Provinces de l'Atlantique,Moins de 18 ans,Femme,Total,,16.4
2016,Provinces de l'Atlantique,18 à 64 ans,Femme,Total,,16.3
2016,Provinces de l'Atlantique,65 ans et plus,Femme,Total,,9.7
2016,Provinces de l'Atlantique,Total,Les deux sexes,Personnes dans les familles économiques,,10.5
2016,Provinces de l'Atlantique,Total,Homme,Personnes dans les familles économiques,,9.7
2016,Provinces de l'Atlantique,Total,Femme,Personnes dans les familles économiques,,11.3
2016,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,4.0
2016,Provinces de l'Atlantique,65 ans et plus,Homme,Personnes âgées dans les familles économiques,,4.4
2016,Provinces de l'Atlantique,65 ans et plus,Femme,Personnes âgées dans les familles économiques,,3.6
2016,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,17.1
2016,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,8.5
2016,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,,48.3
2016,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,,19.2
2016,Provinces de l'Atlantique,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,10.1
2016,Provinces de l'Atlantique,18 à 64 ans,Homme,Personnes dans les familles économiques,,8.3
2016,Provinces de l'Atlantique,18 à 64 ans,Femme,Personnes dans les familles économiques,,11.7
2016,Provinces de l'Atlantique,Total,Les deux sexes,Personnes hors famille économique,,34.7
2016,Provinces de l'Atlantique,Total,Homme,Personnes hors famille économique,,36.5
2016,Provinces de l'Atlantique,Total,Femme,Personnes hors famille économique,,33.1
2016,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,22.1
2016,Provinces de l'Atlantique,65 ans et plus,Homme,Personnes âgées hors famille économique,,21.2
2016,Provinces de l'Atlantique,65 ans et plus,Femme,Personnes âgées hors famille économique,,22.5
2016,Provinces de l'Atlantique,,Les deux sexes,Personnes non âgées hors famille économique,,40.1
2016,Provinces de l'Atlantique,,Homme,Personnes non âgées hors famille économique,,40.6
2016,Provinces de l'Atlantique,,Femme,Personnes non âgées hors famille économique,,39.6
2017,Provinces de l'Atlantique,Total,Les deux sexes,Total,,13.5
2017,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Total,,16.5
2017,Provinces de l'Atlantique,18 à 64 ans,Les deux sexes,Total,,14.7
2017,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Total,,7.0
2017,Provinces de l'Atlantique,Total,Homme,Total,,12.3
2017,Provinces de l'Atlantique,Moins de 18 ans,Homme,Total,,15.6
2017,Provinces de l'Atlantique,18 à 64 ans,Homme,Total,,13.4
2017,Provinces de l'Atlantique,65 ans et plus,Homme,Total,,5.6
2017,Provinces de l'Atlantique,Total,Femme,Total,,14.6
2017,Provinces de l'Atlantique,Moins de 18 ans,Femme,Total,,17.5
2017,Provinces de l'Atlantique,18 à 64 ans,Femme,Total,,16.0
2017,Provinces de l'Atlantique,65 ans et plus,Femme,Total,,8.3
2017,Provinces de l'Atlantique,Total,Les deux sexes,Personnes dans les familles économiques,,9.6
2017,Provinces de l'Atlantique,Total,Homme,Personnes dans les familles économiques,,8.6
2017,Provinces de l'Atlantique,Total,Femme,Personnes dans les familles économiques,,10.5
2017,Provinces de l'Atlantique,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,3.1
2017,Provinces de l'Atlantique,65 ans et plus,Homme,Personnes âgées dans les familles économiques,,3.0
2017,Provinces de l'Atlantique,65 ans et plus,Femme,Personnes âgées dans les familles économiques,,3.2
2017,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,16.0
2017,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,9.8
2017,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,,44.1
2017,Provinces de l'Atlantique,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,,13.7
