Year,Géographie,Âge,Sexe,Value
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,35.5
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,28.6
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,15.1
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,18.5
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,17.8
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,19.9
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,18.7
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,40.0
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,33.4
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,36.2
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,40.5
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,33.5
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,48.6
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,37.3
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,41.7
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,47.0
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,34.8
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,31.2
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,29.3
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,30.6
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,33.3
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,32.1
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,31.3
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,38.4
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,35.3
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,33.8
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,30.4
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,46.7
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,47.3
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,41.8
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,45.5
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,38.7
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,16.8
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,29.9
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,29.2
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,23.1
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,22.4
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,22.9
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,27.2
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,28.5
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,33.1
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,28.2
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,35.1
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,40.2
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,42.4
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,41.0
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,32.7
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,11.0
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,14.9
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,15.1
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,25.1
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,23.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,12.9
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,9.8
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,9.1
2018,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,11.2
2019,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,9.1
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,23.0
2016,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,15.6
2017,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,16.8
2018,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,18.4
2019,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,15.7
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,
2016,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,
2017,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,
2018,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,4.9
2019,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,3.3
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,18.8
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,20.1
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,16.7
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,17.5
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,20.8
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,25.0
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,22.7
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,22.4
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,25.5
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,28.2
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,12.9
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,17.6
2017,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,11.3
2018,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,9.8
2019,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,13.6
2015,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2016,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2017,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2018,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,
2015,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2016,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2017,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2018,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Hommes,
2015,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2016,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2017,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2018,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2019,Île-du-Prince-Édouard,12 à 17 ans,Femmes,
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,31.4
2016,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,35.7
2017,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,30.7
2018,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,29.9
2019,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,35.5
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,34.8
2016,Île-du-Prince-Édouard,18 à 34 ans,Hommes,33.6
2017,Île-du-Prince-Édouard,18 à 34 ans,Hommes,40.2
2018,Île-du-Prince-Édouard,18 à 34 ans,Hommes,42.1
2019,Île-du-Prince-Édouard,18 à 34 ans,Hommes,50.1
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,28.2
2016,Île-du-Prince-Édouard,18 à 34 ans,Femmes,37.7
2017,Île-du-Prince-Édouard,18 à 34 ans,Femmes,21.1
2018,Île-du-Prince-Édouard,18 à 34 ans,Femmes,17.3
2019,Île-du-Prince-Édouard,18 à 34 ans,Femmes,20.0
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,23.2
2016,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,24.9
2017,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,16.8
2018,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,15.6
2019,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,26.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,36.3
2016,Île-du-Prince-Édouard,35 à 49 ans,Hommes,25.4
2017,Île-du-Prince-Édouard,35 à 49 ans,Hommes,22.5
2018,Île-du-Prince-Édouard,35 à 49 ans,Hommes,23.0
2019,Île-du-Prince-Édouard,35 à 49 ans,Hommes,28.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,10.9
2016,Île-du-Prince-Édouard,35 à 49 ans,Femmes,24.4
2017,Île-du-Prince-Édouard,35 à 49 ans,Femmes,11.7
2018,Île-du-Prince-Édouard,35 à 49 ans,Femmes,8.6
2019,Île-du-Prince-Édouard,35 à 49 ans,Femmes,24.4
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,17.1
2016,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,19.5
2017,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,13.7
2018,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,19.6
2019,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,16.6
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,22.5
2016,Île-du-Prince-Édouard,50 à 64 ans,Hommes,31.3
2017,Île-du-Prince-Édouard,50 à 64 ans,Hommes,17.5
2018,Île-du-Prince-Édouard,50 à 64 ans,Hommes,27.3
2019,Île-du-Prince-Édouard,50 à 64 ans,Hommes,25.8
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,11.9
2016,Île-du-Prince-Édouard,50 à 64 ans,Femmes,8.3
2017,Île-du-Prince-Édouard,50 à 64 ans,Femmes,
2018,Île-du-Prince-Édouard,50 à 64 ans,Femmes,12.3
2019,Île-du-Prince-Édouard,50 à 64 ans,Femmes,7.7
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,6.6
2016,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,4.0
2017,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,9.8
2018,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,7.8
2019,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,8.3
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,
2016,Île-du-Prince-Édouard,65 ans et plus,Hommes,
2017,Île-du-Prince-Édouard,65 ans et plus,Hommes,15.7
2018,Île-du-Prince-Édouard,65 ans et plus,Hommes,15.0
2019,Île-du-Prince-Édouard,65 ans et plus,Hommes,13.1
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,
2016,Île-du-Prince-Édouard,65 ans et plus,Femmes,
2017,Île-du-Prince-Édouard,65 ans et plus,Femmes,
2018,Île-du-Prince-Édouard,65 ans et plus,Femmes,
2019,Île-du-Prince-Édouard,65 ans et plus,Femmes,4.2
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,20.6
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,21.1
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,22.3
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,19.2
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,22.0
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,24.1
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,27.4
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,28.4
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,25.5
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,27.7
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,17.3
2016,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,15.1
2017,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,16.7
2018,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,13.3
2019,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,16.6
2015,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,5.8
2016,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,
2017,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,
2018,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,
2019,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,
2015,Nouvelle-Écosse,12 à 17 ans,Hommes,
2016,Nouvelle-Écosse,12 à 17 ans,Hommes,
2017,Nouvelle-Écosse,12 à 17 ans,Hommes,
2018,Nouvelle-Écosse,12 à 17 ans,Hommes,
2019,Nouvelle-Écosse,12 à 17 ans,Hommes,
2015,Nouvelle-Écosse,12 à 17 ans,Femmes,
2016,Nouvelle-Écosse,12 à 17 ans,Femmes,
2017,Nouvelle-Écosse,12 à 17 ans,Femmes,
2018,Nouvelle-Écosse,12 à 17 ans,Femmes,
2019,Nouvelle-Écosse,12 à 17 ans,Femmes,
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,31.1
2016,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,37.0
2017,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,33.0
2018,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,29.1
2019,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,38.2
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,35.1
2016,Nouvelle-Écosse,18 à 34 ans,Hommes,45.3
2017,Nouvelle-Écosse,18 à 34 ans,Hommes,40.5
2018,Nouvelle-Écosse,18 à 34 ans,Hommes,36.0
2019,Nouvelle-Écosse,18 à 34 ans,Hommes,41.4
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,27.0
2016,Nouvelle-Écosse,18 à 34 ans,Femmes,28.6
2017,Nouvelle-Écosse,18 à 34 ans,Femmes,25.5
2018,Nouvelle-Écosse,18 à 34 ans,Femmes,22.4
2019,Nouvelle-Écosse,18 à 34 ans,Femmes,34.9
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,24.2
2016,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,24.2
2017,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,31.6
2018,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,20.8
2019,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,23.4
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,30.1
2016,Nouvelle-Écosse,35 à 49 ans,Hommes,31.4
2017,Nouvelle-Écosse,35 à 49 ans,Hommes,34.8
2018,Nouvelle-Écosse,35 à 49 ans,Hommes,26.8
2019,Nouvelle-Écosse,35 à 49 ans,Hommes,32.7
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,18.6
2016,Nouvelle-Écosse,35 à 49 ans,Femmes,17.4
2017,Nouvelle-Écosse,35 à 49 ans,Femmes,28.6
2018,Nouvelle-Écosse,35 à 49 ans,Femmes,15.2
2019,Nouvelle-Écosse,35 à 49 ans,Femmes,14.6
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,23.2
2016,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,19.8
2017,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,21.6
2018,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,22.5
2019,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,21.8
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,24.2
2016,Nouvelle-Écosse,50 à 64 ans,Hommes,26.4
2017,Nouvelle-Écosse,50 à 64 ans,Hommes,29.6
2018,Nouvelle-Écosse,50 à 64 ans,Hommes,29.8
2019,Nouvelle-Écosse,50 à 64 ans,Hommes,28.6
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,22.4
2016,Nouvelle-Écosse,50 à 64 ans,Femmes,13.7
2017,Nouvelle-Écosse,50 à 64 ans,Femmes,14.2
2018,Nouvelle-Écosse,50 à 64 ans,Femmes,15.6
2019,Nouvelle-Écosse,50 à 64 ans,Femmes,15.4
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,6.5
2016,Nouvelle-Écosse,65 ans et plus,Les deux sexes,7.5
2017,Nouvelle-Écosse,65 ans et plus,Les deux sexes,9.0
2018,Nouvelle-Écosse,65 ans et plus,Les deux sexes,8.5
2019,Nouvelle-Écosse,65 ans et plus,Les deux sexes,9.8
2015,Nouvelle-Écosse,65 ans et plus,Hommes,10.0
2016,Nouvelle-Écosse,65 ans et plus,Hommes,12.0
2017,Nouvelle-Écosse,65 ans et plus,Hommes,14.4
2018,Nouvelle-Écosse,65 ans et plus,Hommes,14.5
2019,Nouvelle-Écosse,65 ans et plus,Hommes,14.0
2015,Nouvelle-Écosse,65 ans et plus,Femmes,3.5
2016,Nouvelle-Écosse,65 ans et plus,Femmes,
2017,Nouvelle-Écosse,65 ans et plus,Femmes,4.4
2018,Nouvelle-Écosse,65 ans et plus,Femmes,3.5
2019,Nouvelle-Écosse,65 ans et plus,Femmes,6.2
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,17.5
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,20.1
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,20.5
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,18.1
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,18.6
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,23.0
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,27.9
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,27.1
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,24.5
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,25.1
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,12.2
2016,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,12.6
2017,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,14.3
2018,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,11.9
2019,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,12.3
2015,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2016,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2017,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2018,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2019,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,
2015,Nouveau-Brunswick,12 à 17 ans,Hommes,
2016,Nouveau-Brunswick,12 à 17 ans,Hommes,
2017,Nouveau-Brunswick,12 à 17 ans,Hommes,
2018,Nouveau-Brunswick,12 à 17 ans,Hommes,
2019,Nouveau-Brunswick,12 à 17 ans,Hommes,
2015,Nouveau-Brunswick,12 à 17 ans,Femmes,
2016,Nouveau-Brunswick,12 à 17 ans,Femmes,
2017,Nouveau-Brunswick,12 à 17 ans,Femmes,
2018,Nouveau-Brunswick,12 à 17 ans,Femmes,
2019,Nouveau-Brunswick,12 à 17 ans,Femmes,
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,27.1
2016,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,29.1
2017,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,27.9
2018,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,30.3
2019,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,27.5
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,31.6
2016,Nouveau-Brunswick,18 à 34 ans,Hommes,37.3
2017,Nouveau-Brunswick,18 à 34 ans,Hommes,32.7
2018,Nouveau-Brunswick,18 à 34 ans,Hommes,38.8
2019,Nouveau-Brunswick,18 à 34 ans,Hommes,35.7
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,22.4
2016,Nouveau-Brunswick,18 à 34 ans,Femmes,20.6
2017,Nouveau-Brunswick,18 à 34 ans,Femmes,23.1
2018,Nouveau-Brunswick,18 à 34 ans,Femmes,21.4
2019,Nouveau-Brunswick,18 à 34 ans,Femmes,19.1
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,17.7
2016,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,29.4
2017,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,29.6
2018,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,21.6
2019,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,19.2
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,24.6
2016,Nouveau-Brunswick,35 à 49 ans,Hommes,38.2
2017,Nouveau-Brunswick,35 à 49 ans,Hommes,36.6
2018,Nouveau-Brunswick,35 à 49 ans,Hommes,34.1
2019,Nouveau-Brunswick,35 à 49 ans,Hommes,28.6
2015,Nouveau-Brunswick,35 à 49 ans,Femmes,11.3
2016,Nouveau-Brunswick,35 à 49 ans,Femmes,21.2
2017,Nouveau-Brunswick,35 à 49 ans,Femmes,23.0
