Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,Value
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,113.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,122.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,126.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,129.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,171.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,98.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,196.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,121.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,129.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,149.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,150.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,139.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,136.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",129.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",132.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",143.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",148.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",151.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,132.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,134.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,148.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,153.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,156.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,113.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,113.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,127.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,132.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,155.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,150.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,159.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,151.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,150.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",120.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",122.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",131.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",133.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",135.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,120.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,123.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,132.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,134.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,137.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,109.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,114.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,125.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,127.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,133.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,145.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,145.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,145.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,133.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",122.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",124.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",132.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,122.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,123.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,135.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,135.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,113.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,116.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,125.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,127.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,130.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,151.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,152.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,139.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,131.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",120.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",123.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",135.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",140.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",140.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,123.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,124.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,139.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,143.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,141.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,105.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,113.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,120.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,127.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,129.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,149.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,147.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,156.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,135.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,141.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",113.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",114.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",124.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",126.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",126.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,117.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,120.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,128.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,131.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,131.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,86.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,83.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,93.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,99.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,102.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,148.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,159.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,162.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,143.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,127.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",174.0
2015/2016,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",173.0
2016/2017,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",183.0
2017/2018,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",183.0
2018/2019,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",178.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,178.0
2015/2016,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,177.0
2016/2017,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,189.0
