Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Pourcentage,Canada,Total,Bonne,35
2016-2018,Pourcentage,Canada,Total,Satisfaisante,40
2016-2018,Pourcentage,Canada,Total,Douteuse,17
2016-2018,Pourcentage,Canada,Total,Mauvaise,2
2016-2018,Nombre,Canada,Agriculture,Excellente,0
2016-2018,Nombre,Canada,Agriculture,Bonne,11
2016-2018,Nombre,Canada,Agriculture,Satisfaisante,15
2016-2018,Nombre,Canada,Agriculture,Douteuse,4
2016-2018,Nombre,Canada,Agriculture,Mauvaise,1
2016-2018,Nombre,Canada,Foresterie,Excellente,1
2016-2018,Nombre,Canada,Foresterie,Bonne,11
2016-2018,Nombre,Canada,Foresterie,Satisfaisante,4
2016-2018,Nombre,Canada,Foresterie,Douteuse,1
2016-2018,Nombre,Canada,Foresterie,Mauvaise,0
2016-2018,Nombre,Canada,Exploitation minière,Excellente,0
2016-2018,Nombre,Canada,Exploitation minière,Bonne,4
2016-2018,Nombre,Canada,Exploitation minière,Satisfaisante,4
2016-2018,Nombre,Canada,Exploitation minière,Douteuse,2
2016-2018,Nombre,Canada,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Canada,Peuplé,Excellente,0
2016-2018,Nombre,Canada,Peuplé,Bonne,0
2016-2018,Nombre,Canada,Peuplé,Satisfaisante,1
2016-2018,Nombre,Canada,Peuplé,Douteuse,3
2016-2018,Nombre,Canada,Peuplé,Mauvaise,0
2016-2018,Nombre,Canada,Pressions mixtes,Excellente,3
2016-2018,Nombre,Canada,Pressions mixtes,Bonne,22
2016-2018,Nombre,Canada,Pressions mixtes,Satisfaisante,40
2016-2018,Nombre,Canada,Pressions mixtes,Douteuse,20
2016-2018,Nombre,Canada,Pressions mixtes,Mauvaise,3
2016-2018,Nombre,Canada,Non aménagés,Excellente,5
2016-2018,Nombre,Canada,Non aménagés,Bonne,13
2016-2018,Nombre,Canada,Non aménagés,Satisfaisante,6
2016-2018,Nombre,Canada,Non aménagés,Douteuse,0
2016-2018,Nombre,Canada,Non aménagés,Mauvaise,0
2016-2018,Nombre,Canada,Total,Excellente,9
2016-2018,Nombre,Canada,Total,Bonne,61
2016-2018,Nombre,Canada,Total,Satisfaisante,70
2016-2018,Nombre,Canada,Total,Douteuse,30
2016-2018,Nombre,Canada,Total,Mauvaise,4
2016-2018,Pourcentage,Océan Atlantique,Total,Excellente,4
2016-2018,Pourcentage,Océan Atlantique,Total,Bonne,53
2016-2018,Pourcentage,Océan Atlantique,Total,Satisfaisante,29
2016-2018,Pourcentage,Océan Atlantique,Total,Douteuse,13
2016-2018,Pourcentage,Océan Atlantique,Total,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Total,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Total,Bonne,29
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Total,Satisfaisante,45
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Total,Douteuse,22
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Total,Mauvaise,3
2016-2018,Pourcentage,Baie d'Hudson,Total,Excellente,11
2016-2018,Pourcentage,Baie d'Hudson,Total,Bonne,31
2016-2018,Pourcentage,Baie d'Hudson,Total,Satisfaisante,40
2016-2018,Pourcentage,Baie d'Hudson,Total,Douteuse,16
2016-2018,Pourcentage,Baie d'Hudson,Total,Mauvaise,2
2016-2018,Pourcentage,Fleuve Mackenzie,Total,Excellente,15
2016-2018,Pourcentage,Fleuve Mackenzie,Total,Bonne,35
2016-2018,Pourcentage,Fleuve Mackenzie,Total,Satisfaisante,50
2016-2018,Pourcentage,Fleuve Mackenzie,Total,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Total,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Total,Excellente,8
2016-2018,Pourcentage,Océan Pacifique,Total,Bonne,28
2016-2018,Pourcentage,Océan Pacifique,Total,Satisfaisante,40
2016-2018,Pourcentage,Océan Pacifique,Total,Douteuse,20
2016-2018,Pourcentage,Océan Pacifique,Total,Mauvaise,4
2016-2018,Nombre,Océan Atlantique,Total,Excellente,2
2016-2018,Nombre,Océan Atlantique,Total,Bonne,24
2016-2018,Nombre,Océan Atlantique,Total,Satisfaisante,13
2016-2018,Nombre,Océan Atlantique,Total,Douteuse,6
2016-2018,Nombre,Océan Atlantique,Total,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Total,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Total,Bonne,17
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Total,Satisfaisante,26
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Total,Douteuse,13
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Total,Mauvaise,2
2016-2018,Nombre,Baie d'Hudson,Total,Excellente,5
2016-2018,Nombre,Baie d'Hudson,Total,Bonne,14
2016-2018,Nombre,Baie d'Hudson,Total,Satisfaisante,18
2016-2018,Nombre,Baie d'Hudson,Total,Douteuse,7
2016-2018,Nombre,Baie d'Hudson,Total,Mauvaise,1
2016-2018,Nombre,Fleuve Mackenzie,Total,Excellente,3
2016-2018,Nombre,Fleuve Mackenzie,Total,Bonne,7
2016-2018,Nombre,Fleuve Mackenzie,Total,Satisfaisante,10
2016-2018,Nombre,Fleuve Mackenzie,Total,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Total,Mauvaise,0
2016-2018,Nombre,Océan Pacifique,Total,Excellente,2
2016-2018,Nombre,Océan Pacifique,Total,Bonne,7
2016-2018,Nombre,Océan Pacifique,Total,Satisfaisante,10
2016-2018,Nombre,Océan Pacifique,Total,Douteuse,5
2016-2018,Nombre,Océan Pacifique,Total,Mauvaise,1
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Bonne,7
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Satisfaisante,2
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Douteuse,0
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Excellente,2
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Bonne,18
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Satisfaisante,9
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Douteuse,2
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Bonne,2
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Satisfaisante,2
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Douteuse,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Douteuse,7
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Bonne,9
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Satisfaisante,4
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Douteuse,4
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Excellente,2
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Bonne,18
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Satisfaisante,11
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Nombre,Océan Atlantique,Agriculture,Bonne,3
2016-2018,Nombre,Océan Atlantique,Agriculture,Satisfaisante,1
2016-2018,Nombre,Océan Atlantique,Agriculture,Douteuse,0
2016-2018,Nombre,Océan Atlantique,Agriculture,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Foresterie,Excellente,1
2016-2018,Nombre,Océan Atlantique,Foresterie,Bonne,8
2016-2018,Nombre,Océan Atlantique,Foresterie,Satisfaisante,4
2016-2018,Nombre,Océan Atlantique,Foresterie,Douteuse,1
2016-2018,Nombre,Océan Atlantique,Foresterie,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Nombre,Océan Atlantique,Exploitation minière,Bonne,1
2016-2018,Nombre,Océan Atlantique,Exploitation minière,Satisfaisante,1
2016-2018,Nombre,Océan Atlantique,Exploitation minière,Douteuse,0
2016-2018,Nombre,Océan Atlantique,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Nombre,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Nombre,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Nombre,Océan Atlantique,Peuplé,Douteuse,3
2016-2018,Nombre,Océan Atlantique,Peuplé,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Nombre,Océan Atlantique,Pressions mixtes,Bonne,4
2016-2018,Nombre,Océan Atlantique,Pressions mixtes,Satisfaisante,2
2016-2018,Nombre,Océan Atlantique,Pressions mixtes,Douteuse,2
2016-2018,Nombre,Océan Atlantique,Pressions mixtes,Mauvaise,0
2016-2018,Nombre,Océan Atlantique,Non aménagés,Excellente,1
2016-2018,Nombre,Océan Atlantique,Non aménagés,Bonne,8
2016-2018,Nombre,Océan Atlantique,Non aménagés,Satisfaisante,5
2016-2018,Nombre,Océan Atlantique,Non aménagés,Douteuse,0
2016-2018,Nombre,Océan Atlantique,Non aménagés,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Agriculture,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Agriculture,Bonne,5
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Agriculture,Satisfaisante,7
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Agriculture,Douteuse,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Agriculture,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Foresterie,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Foresterie,Bonne,2
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Foresterie,Satisfaisante,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Foresterie,Douteuse,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Bonne,5
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Satisfaisante,3
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Douteuse,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Peuplé,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Peuplé,Bonne,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Peuplé,Satisfaisante,2
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Peuplé,Douteuse,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Bonne,10
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Satisfaisante,31
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Douteuse,22
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Mauvaise,3
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Excellente,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Bonne,7
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Satisfaisante,2
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Agriculture,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Agriculture,Bonne,3
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Agriculture,Satisfaisante,4
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Agriculture,Douteuse,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Agriculture,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Foresterie,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Foresterie,Bonne,1
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Foresterie,Satisfaisante,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Foresterie,Douteuse,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Foresterie,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Bonne,3
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Satisfaisante,2
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Douteuse,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Peuplé,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Peuplé,Bonne,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Peuplé,Satisfaisante,1
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Peuplé,Douteuse,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Peuplé,Mauvaise,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Bonne,6
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Satisfaisante,18
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Douteuse,13
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Pressions mixtes,Mauvaise,2
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Excellente,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Bonne,4
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Satisfaisante,1
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Douteuse,0
2016-2018,Nombre,Grands Lacs et fleuve Saint-Laurent,Non aménagés,Mauvaise,0
2016-2018,Pourcentage,Baie d'Hudson,Agriculture,Excellente,0
2016-2018,Pourcentage,Baie d'Hudson,Agriculture,Bonne,11
2016-2018,Pourcentage,Baie d'Hudson,Agriculture,Satisfaisante,22
2016-2018,Pourcentage,Baie d'Hudson,Agriculture,Douteuse,9
2016-2018,Pourcentage,Baie d'Hudson,Agriculture,Mauvaise,2
2016-2018,Pourcentage,Baie d'Hudson,Foresterie,Excellente,0
2016-2018,Pourcentage,Baie d'Hudson,Foresterie,Bonne,0
2016-2018,Pourcentage,Baie d'Hudson,Foresterie,Satisfaisante,0
2016-2018,Pourcentage,Baie d'Hudson,Foresterie,Douteuse,0
2016-2018,Pourcentage,Baie d'Hudson,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Baie d'Hudson,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Baie d'Hudson,Exploitation minière,Bonne,0
2016-2018,Pourcentage,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2016-2018,Pourcentage,Baie d'Hudson,Exploitation minière,Douteuse,0
2016-2018,Pourcentage,Baie d'Hudson,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Baie d'Hudson,Peuplé,Excellente,0
2016-2018,Pourcentage,Baie d'Hudson,Peuplé,Bonne,0
2016-2018,Pourcentage,Baie d'Hudson,Peuplé,Satisfaisante,0
2016-2018,Pourcentage,Baie d'Hudson,Peuplé,Douteuse,0
2016-2018,Pourcentage,Baie d'Hudson,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Baie d'Hudson,Pressions mixtes,Excellente,7
2016-2018,Pourcentage,Baie d'Hudson,Pressions mixtes,Bonne,20
2016-2018,Pourcentage,Baie d'Hudson,Pressions mixtes,Satisfaisante,18
2016-2018,Pourcentage,Baie d'Hudson,Pressions mixtes,Douteuse,7
2016-2018,Pourcentage,Baie d'Hudson,Pressions mixtes,Mauvaise,0
2016-2018,Pourcentage,Baie d'Hudson,Non aménagés,Excellente,4
2016-2018,Pourcentage,Baie d'Hudson,Non aménagés,Bonne,0
2016-2018,Pourcentage,Baie d'Hudson,Non aménagés,Satisfaisante,0
2016-2018,Pourcentage,Baie d'Hudson,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Baie d'Hudson,Non aménagés,Mauvaise,0
2016-2018,Nombre,Baie d'Hudson,Agriculture,Excellente,0
2016-2018,Nombre,Baie d'Hudson,Agriculture,Bonne,5
2016-2018,Nombre,Baie d'Hudson,Agriculture,Satisfaisante,10
2016-2018,Nombre,Baie d'Hudson,Agriculture,Douteuse,4
2016-2018,Nombre,Baie d'Hudson,Agriculture,Mauvaise,1
2016-2018,Nombre,Baie d'Hudson,Foresterie,Excellente,0
2016-2018,Nombre,Baie d'Hudson,Foresterie,Bonne,0
2016-2018,Nombre,Baie d'Hudson,Foresterie,Satisfaisante,0
2016-2018,Nombre,Baie d'Hudson,Foresterie,Douteuse,0
2016-2018,Nombre,Baie d'Hudson,Foresterie,Mauvaise,0
2016-2018,Nombre,Baie d'Hudson,Exploitation minière,Excellente,0
2016-2018,Nombre,Baie d'Hudson,Exploitation minière,Bonne,0
2016-2018,Nombre,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2016-2018,Nombre,Baie d'Hudson,Exploitation minière,Douteuse,0
2016-2018,Nombre,Baie d'Hudson,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Baie d'Hudson,Peuplé,Excellente,0
2016-2018,Nombre,Baie d'Hudson,Peuplé,Bonne,0
2016-2018,Nombre,Baie d'Hudson,Peuplé,Satisfaisante,0
2016-2018,Nombre,Baie d'Hudson,Peuplé,Douteuse,0
2016-2018,Nombre,Baie d'Hudson,Peuplé,Mauvaise,0
2016-2018,Nombre,Baie d'Hudson,Pressions mixtes,Excellente,3
2016-2018,Nombre,Baie d'Hudson,Pressions mixtes,Bonne,9
2016-2018,Nombre,Baie d'Hudson,Pressions mixtes,Satisfaisante,8
2016-2018,Nombre,Baie d'Hudson,Pressions mixtes,Douteuse,3
2016-2018,Nombre,Baie d'Hudson,Pressions mixtes,Mauvaise,0
2016-2018,Nombre,Baie d'Hudson,Non aménagés,Excellente,2
2016-2018,Nombre,Baie d'Hudson,Non aménagés,Bonne,0
2016-2018,Nombre,Baie d'Hudson,Non aménagés,Satisfaisante,0
2016-2018,Nombre,Baie d'Hudson,Non aménagés,Douteuse,0
2016-2018,Nombre,Baie d'Hudson,Non aménagés,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Agriculture,Excellente,0
2016-2018,Pourcentage,Fleuve Mackenzie,Agriculture,Bonne,0
2016-2018,Pourcentage,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2016-2018,Pourcentage,Fleuve Mackenzie,Agriculture,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Agriculture,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Foresterie,Excellente,0
2016-2018,Pourcentage,Fleuve Mackenzie,Foresterie,Bonne,0
2016-2018,Pourcentage,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2016-2018,Pourcentage,Fleuve Mackenzie,Foresterie,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Fleuve Mackenzie,Exploitation minière,Bonne,10
2016-2018,Pourcentage,Fleuve Mackenzie,Exploitation minière,Satisfaisante,10
2016-2018,Pourcentage,Fleuve Mackenzie,Exploitation minière,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Peuplé,Excellente,0
2016-2018,Pourcentage,Fleuve Mackenzie,Peuplé,Bonne,0
2016-2018,Pourcentage,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2016-2018,Pourcentage,Fleuve Mackenzie,Peuplé,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Pressions mixtes,Excellente,5
2016-2018,Pourcentage,Fleuve Mackenzie,Pressions mixtes,Bonne,10
2016-2018,Pourcentage,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,25
2016-2018,Pourcentage,Fleuve Mackenzie,Pressions mixtes,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Pressions mixtes,Mauvaise,0
2016-2018,Pourcentage,Fleuve Mackenzie,Non aménagés,Excellente,10
2016-2018,Pourcentage,Fleuve Mackenzie,Non aménagés,Bonne,15
2016-2018,Pourcentage,Fleuve Mackenzie,Non aménagés,Satisfaisante,15
2016-2018,Pourcentage,Fleuve Mackenzie,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Fleuve Mackenzie,Non aménagés,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Agriculture,Excellente,0
2016-2018,Nombre,Fleuve Mackenzie,Agriculture,Bonne,0
2016-2018,Nombre,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2016-2018,Nombre,Fleuve Mackenzie,Agriculture,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Agriculture,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Foresterie,Excellente,0
2016-2018,Nombre,Fleuve Mackenzie,Foresterie,Bonne,0
2016-2018,Nombre,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2016-2018,Nombre,Fleuve Mackenzie,Foresterie,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Foresterie,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Exploitation minière,Excellente,0
2016-2018,Nombre,Fleuve Mackenzie,Exploitation minière,Bonne,2
2016-2018,Nombre,Fleuve Mackenzie,Exploitation minière,Satisfaisante,2
2016-2018,Nombre,Fleuve Mackenzie,Exploitation minière,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Exploitation minière,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Peuplé,Excellente,0
2016-2018,Nombre,Fleuve Mackenzie,Peuplé,Bonne,0
2016-2018,Nombre,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2016-2018,Nombre,Fleuve Mackenzie,Peuplé,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Peuplé,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Pressions mixtes,Excellente,1
2016-2018,Nombre,Fleuve Mackenzie,Pressions mixtes,Bonne,2
2016-2018,Nombre,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,5
2016-2018,Nombre,Fleuve Mackenzie,Pressions mixtes,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Pressions mixtes,Mauvaise,0
2016-2018,Nombre,Fleuve Mackenzie,Non aménagés,Excellente,2
2016-2018,Nombre,Fleuve Mackenzie,Non aménagés,Bonne,3
2016-2018,Nombre,Fleuve Mackenzie,Non aménagés,Satisfaisante,3
2016-2018,Nombre,Fleuve Mackenzie,Non aménagés,Douteuse,0
2016-2018,Nombre,Fleuve Mackenzie,Non aménagés,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Agriculture,Excellente,0
2016-2018,Pourcentage,Océan Pacifique,Agriculture,Bonne,0
2016-2018,Pourcentage,Océan Pacifique,Agriculture,Satisfaisante,0
2016-2018,Pourcentage,Océan Pacifique,Agriculture,Douteuse,0
2016-2018,Pourcentage,Océan Pacifique,Agriculture,Mauvaise,0
2016-2018,Pourcentage,Océan Pacifique,Foresterie,Excellente,0
2016-2018,Pourcentage,Océan Pacifique,Foresterie,Bonne,8
2016-2018,Pourcentage,Océan Pacifique,Foresterie,Satisfaisante,0
2016-2018,Pourcentage,Océan Pacifique,Foresterie,Douteuse,0
