Year,Âge,Génération,Type de ménage,Statut de propriété,Quintile de revenu,Source principale de revenu du ménage,Value
2015 Q4,,,,Locataire,,,57.3
2016 Q4,,,,Propriétaire,,,221.5
2016 Q4,,,,Propriétaire avec hypothèque,,,315.0
2016 Q4,,,,Propriétaire sans hypothèque,,,87.2
2016 Q4,,,,Locataire,,,57.4
2017 Q4,,,,Propriétaire,,,222.1
2017 Q4,,,,Propriétaire avec hypothèque,,,316.0
2017 Q4,,,,Propriétaire sans hypothèque,,,87.2
2017 Q4,,,,Locataire,,,56.7
2018 Q4,,,,Propriétaire,,,222.4
2018 Q4,,,,Propriétaire avec hypothèque,,,321.6
2018 Q4,,,,Propriétaire sans hypothèque,,,81.9
2018 Q4,,,,Locataire,,,62.8
2019 Q4,,,,Propriétaire,,,220.1
2019 Q4,,,,Propriétaire avec hypothèque,,,324.0
2019 Q4,,,,Propriétaire sans hypothèque,,,75.6
2019 Q4,,,,Locataire,,,66.5
2020 Q4,,,,Propriétaire,,,207.3
2020 Q4,,,,Propriétaire avec hypothèque,,,308.7
2020 Q4,,,,Propriétaire sans hypothèque,,,61.0
2020 Q4,,,,Locataire,,,59.4
2021 Q4,,,,Propriétaire,,,214.1
2021 Q4,,,,Propriétaire avec hypothèque,,,314.7
2021 Q4,,,,Propriétaire sans hypothèque,,,62.5
2021 Q4,,,,Locataire,,,61.4
2022 Q4,,,,Propriétaire,,,211.3
2022 Q4,,,,Propriétaire avec hypothèque,,,318.7
2022 Q4,,,,Propriétaire sans hypothèque,,,59.0
2022 Q4,,,,Locataire,,,58.5
2023 Q4,,,,Propriétaire,,,205.6
2023 Q4,,,,Propriétaire avec hypothèque,,,312.0
2023 Q4,,,,Propriétaire sans hypothèque,,,56.6
2023 Q4,,,,Locataire,,,58.0
2015 Q4,,,,,Quintile de revenu inférieur,,272.0
2015 Q4,,,,,Deuxième quintile de revenu,,196.6
2015 Q4,,,,,Troisième quintile de revenu,,205.4
2015 Q4,,,,,Quatrième quintile de revenu,,185.1
2015 Q4,,,,,Quintile de revenu supérieur,,143.7
2015 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,243.4
2015 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,391.3
2015 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,442.0
2015 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,320.4
2015 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,92.1
2015 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,217.5
2015 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,247.6
2015 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,279.5
2015 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,209.2
2015 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,66.1
2015 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,238.3
2015 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,271.6
2015 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,236.0
2015 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,214.9
2015 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,61.0
2015 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,204.9
2015 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,254.0
2015 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,184.9
2015 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,174.0
2015 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,81.9
2015 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,165.0
2015 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,204.5
2015 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,159.4
2015 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,128.0
2015 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,64.9
2016 Q4,,,,,Quintile de revenu inférieur,,260.7
2016 Q4,,,,,Deuxième quintile de revenu,,197.3
2016 Q4,,,,,Troisième quintile de revenu,,217.3
2016 Q4,,,,,Quatrième quintile de revenu,,195.8
2016 Q4,,,,,Quintile de revenu supérieur,,153.8
2016 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,248.3
2016 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,326.9
2016 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,437.6
2016 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,318.0
2016 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,90.2
2016 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,213.3
2016 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,216.5
2016 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,315.5
2016 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,232.4
2016 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,62.8
2016 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,255.7
2016 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,297.4
2016 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,257.4
2016 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,220.7
2016 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,54.2
2016 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,207.9
2016 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,255.3
2016 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,199.5
2016 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,193.7
2016 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,101.1
2016 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,168.4
2016 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,221.7
2016 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,171.9
2016 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,141.2
2016 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,71.1
2017 Q4,,,,,Quintile de revenu inférieur,,254.1
2017 Q4,,,,,Deuxième quintile de revenu,,201.9
2017 Q4,,,,,Troisième quintile de revenu,,226.1
2017 Q4,,,,,Quatrième quintile de revenu,,192.0
2017 Q4,,,,,Quintile de revenu supérieur,,153.0
2017 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,248.8
2017 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,276.4
2017 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,452.2
2017 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,333.3
2017 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,91.3
2017 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,211.5
2017 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,221.6
2017 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,327.5
2017 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,255.8
2017 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,64.6
2017 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,262.7
2017 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,304.6
2017 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,285.9
2017 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,228.2
2017 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,56.8
2017 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,198.4
2017 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,248.7
2017 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,192.9
2017 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,193.2
2017 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,103.9
2017 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,167.2
2017 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,212.7
2017 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,173.0
2017 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,142.8
2017 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,71.2
2018 Q4,,,,,Quintile de revenu inférieur,,267.3
2018 Q4,,,,,Deuxième quintile de revenu,,205.5
2018 Q4,,,,,Troisième quintile de revenu,,226.6
2018 Q4,,,,,Quatrième quintile de revenu,,195.2
2018 Q4,,,,,Quintile de revenu supérieur,,150.9
2018 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,243.6
2018 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,363.2
2018 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,501.7
2018 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,323.3
2018 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,84.3
2018 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,189.9
2018 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,271.5
2018 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,338.0
2018 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,250.7
2018 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,62.5
2018 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,255.8
2018 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,309.5
2018 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,280.3
2018 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,217.2
2018 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,77.6
2018 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,211.7
2018 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,247.8
2018 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,213.5
2018 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,181.1
2018 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,91.6
2018 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,158.4
2018 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,202.1
2018 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,186.4
2018 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,137.9
2018 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,65.9
2019 Q4,,,,,Quintile de revenu inférieur,,293.6
2019 Q4,,,,,Deuxième quintile de revenu,,204.5
2019 Q4,,,,,Troisième quintile de revenu,,219.3
2019 Q4,,,,,Quatrième quintile de revenu,,195.7
2019 Q4,,,,,Quintile de revenu supérieur,,147.9
2019 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,243.4
2019 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,447.9
2019 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,585.5
2019 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,322.8
2019 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,82.1
2019 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,190.1
2019 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,287.0
2019 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,322.2
2019 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,254.9
2019 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,55.1
2019 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,254.7
2019 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,318.2
2019 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,258.1
2019 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,192.2
2019 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,81.7
2019 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,217.2
2019 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,245.6
2019 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,227.3
2019 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,177.4
2019 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,84.4
2019 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,149.3
2019 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,197.2
2019 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,195.3
2019 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,129.1
2019 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,63.7
2020 Q4,,,,,Quintile de revenu inférieur,,405.3
2020 Q4,,,,,Deuxième quintile de revenu,,165.4
2020 Q4,,,,,Troisième quintile de revenu,,167.6
2020 Q4,,,,,Quatrième quintile de revenu,,181.5
2020 Q4,,,,,Quintile de revenu supérieur,,142.8
2020 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,362.4
2020 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,628.2
2020 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,847.3
2020 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,535.5
2020 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,98.2
2020 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,177.3
2020 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,192.6
2020 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,299.7
2020 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,175.1
2020 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,62.0
2020 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,144.3
2020 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,208.9
2020 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,203.3
2020 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,223.7
2020 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,76.0
2020 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,226.2
2020 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,221.9
2020 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,206.5
2020 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,135.8
2020 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,89.9
2020 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,152.7
2020 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,216.9
2020 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,148.7
2020 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,130.8
2020 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,56.6
2021 Q4,,,,,Quintile de revenu inférieur,,399.0
2021 Q4,,,,,Deuxième quintile de revenu,,159.2
2021 Q4,,,,,Troisième quintile de revenu,,166.1
2021 Q4,,,,,Quatrième quintile de revenu,,189.1
2021 Q4,,,,,Quintile de revenu supérieur,,157.3
2021 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,359.1
2021 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,566.7
2021 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,940.8
2021 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,616.7
2021 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,100.9
2021 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,114.8
2021 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,216.1
2021 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,276.0
2021 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,159.4
2021 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,80.7
2021 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,175.2
2021 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,206.3
2021 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,189.4
2021 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,183.3
2021 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,75.2
2021 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,214.3
2021 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,232.4
2021 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,207.3
2021 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,160.4
2021 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,98.8
2021 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,175.9
2021 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,239.3
2021 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,165.2
2021 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,137.4
2021 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,55.3
2022 Q4,,,,,Quintile de revenu inférieur,,426.5
2022 Q4,,,,,Deuxième quintile de revenu,,166.0
2022 Q4,,,,,Troisième quintile de revenu,,165.0
2022 Q4,,,,,Quatrième quintile de revenu,,187.1
2022 Q4,,,,,Quintile de revenu supérieur,,142.3
2022 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,374.1
2022 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,645.7
2022 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,910.7
2022 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,534.4
2022 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,122.4
2022 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,109.8
2022 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,240.4
2022 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,318.6
2022 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,158.1
2022 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,74.5
2022 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,195.1
2022 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,199.7
2022 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,178.0
2022 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,191.9
2022 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,68.9
2022 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,210.3
2022 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,256.7
2022 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,193.9
2022 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,149.3
2022 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,86.1
2022 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,153.1
2022 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,203.6
2022 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,152.7
2022 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,134.5
2022 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,54.7
2023 Q4,,,,,Quintile de revenu inférieur,,523.2
2023 Q4,,,,,Deuxième quintile de revenu,,179.6
2023 Q4,,,,,Troisième quintile de revenu,,165.1
2023 Q4,,,,,Quatrième quintile de revenu,,176.6
2023 Q4,,,,,Quintile de revenu supérieur,,129.4
2023 Q4,,,,,"Quintile de revenu inférieur, moins de 35 ans",,410.0
2023 Q4,,,,,"Quintile de revenu inférieur, 35 à 44 ans",,762.6
2023 Q4,,,,,"Quintile de revenu inférieur, 45 à 54 ans",,1175.8
2023 Q4,,,,,"Quintile de revenu inférieur, 55 à 64 ans",,696.3
2023 Q4,,,,,"Quintile de revenu inférieur, 65 ans et plus",,141.8
2023 Q4,,,,,"Deuxième quintile de revenu, moins de 35 ans",,163.7
2023 Q4,,,,,"Deuxième quintile de revenu, 35 à 44 ans",,256.8
2023 Q4,,,,,"Deuxième quintile de revenu, 45 à 54 ans",,255.7
2023 Q4,,,,,"Deuxième quintile de revenu, 55 à 64 ans",,225.5
2023 Q4,,,,,"Deuxième quintile de revenu, 65 ans et plus",,74.7
2023 Q4,,,,,"Troisième quintile de revenu, moins de 35 ans",,168.8
2023 Q4,,,,,"Troisième quintile de revenu, 35 à 44 ans",,230.4
2023 Q4,,,,,"Troisième quintile de revenu, 45 à 54 ans",,175.3
2023 Q4,,,,,"Troisième quintile de revenu, 55 à 64 ans",,190.4
2023 Q4,,,,,"Troisième quintile de revenu, 65 ans et plus",,66.0
2023 Q4,,,,,"Quatrième quintile de revenu, moins de 35 ans",,188.3
2023 Q4,,,,,"Quatrième quintile de revenu, 35 à 44 ans",,215.6
2023 Q4,,,,,"Quatrième quintile de revenu, 45 à 54 ans",,214.3
2023 Q4,,,,,"Quatrième quintile de revenu, 55 à 64 ans",,153.0
2023 Q4,,,,,"Quatrième quintile de revenu, 65 ans et plus",,79.3
2023 Q4,,,,,"Quintile de revenu supérieur, moins de 35 ans",,129.2
2023 Q4,,,,,"Quintile de revenu supérieur, 35 à 44 ans",,202.8
2023 Q4,,,,,"Quintile de revenu supérieur, 45 à 54 ans",,135.9
2023 Q4,,,,,"Quintile de revenu supérieur, 55 à 64 ans",,129.3
2023 Q4,,,,,"Quintile de revenu supérieur, 65 ans et plus",,51.8
2015 Q4,,,,,,Salaires et traitements,202.8
2015 Q4,,,,,,Revenu de travail autonome,298.7
2015 Q4,,,,,,Revenu net de la propriété,101.7
2015 Q4,,,,,,Transferts courants reçus - prestations de retraite,76.6
2015 Q4,,,,,,Transferts courants reçus - autres,154.9
2016 Q4,,,,,,Salaires et traitements,215.3
2016 Q4,,,,,,Revenu de travail autonome,308.6
2016 Q4,,,,,,Revenu net de la propriété,115.1
