Year,Géographie,Centres de population,GeoCode,Value
2020,Nouvelle-Écosse,Total centre de population,12,99.7
2021,Nouvelle-Écosse,Total centre de population,12,99.1
2016,Nunavut,Total centre de population,62,0.0
2017,Nunavut,Total centre de population,62,0.0
2018,Nunavut,Total centre de population,62,66.2
2019,Nunavut,Total centre de population,62,99.8
2020,Nunavut,Total centre de population,62,99.8
2021,Nunavut,Total centre de population,62,99.8
2016,Ontario,Total centre de population,35,99.7
2017,Ontario,Total centre de population,35,99.8
2018,Ontario,Total centre de population,35,99.8
2019,Ontario,Total centre de population,35,99.8
2020,Ontario,Total centre de population,35,99.8
2021,Ontario,Total centre de population,35,99.8
2016,Île-du-Prince-Édouard,Total centre de population,11,100.0
2017,Île-du-Prince-Édouard,Total centre de population,11,100.0
2018,Île-du-Prince-Édouard,Total centre de population,11,100.0
2019,Île-du-Prince-Édouard,Total centre de population,11,100.0
2020,Île-du-Prince-Édouard,Total centre de population,11,100.0
2021,Île-du-Prince-Édouard,Total centre de population,11,100.0
2016,Québec,Total centre de population,24,98.9
2017,Québec,Total centre de population,24,99.4
2018,Québec,Total centre de population,24,99.4
2019,Québec,Total centre de population,24,99.5
2020,Québec,Total centre de population,24,99.5
2021,Québec,Total centre de population,24,99.4
2016,Saskatchewan,Total centre de population,47,86.2
2017,Saskatchewan,Total centre de population,47,99.6
2018,Saskatchewan,Total centre de population,47,99.6
2019,Saskatchewan,Total centre de population,47,99.8
2020,Saskatchewan,Total centre de population,47,99.8
2021,Saskatchewan,Total centre de population,47,99.8
2016,Yukon,Total centre de population,60,93.7
2017,Yukon,Total centre de population,60,94.1
2018,Yukon,Total centre de population,60,95.5
2019,Yukon,Total centre de population,60,94.8
2020,Yukon,Total centre de population,60,95.2
2021,Yukon,Total centre de population,60,95.0
2016,Alberta,Réserves des Premières Nations Régions rurales,48,91.4
2017,Alberta,Réserves des Premières Nations Régions rurales,48,90.1
2018,Alberta,Réserves des Premières Nations Régions rurales,48,90.0
2019,Alberta,Réserves des Premières Nations Régions rurales,48,92.5
2020,Alberta,Réserves des Premières Nations Régions rurales,48,94.9
2021,Alberta,Réserves des Premières Nations Régions rurales,48,91.5
2016,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,72.1
2017,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,75.0
2018,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,74.9
2019,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,79.6
2020,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,78.6
2021,Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,70.0
2016,Canada,Réserves des Premières Nations Régions rurales,,57.6
2017,Canada,Réserves des Premières Nations Régions rurales,,68.9
2018,Canada,Réserves des Premières Nations Régions rurales,,72.7
2019,Canada,Réserves des Premières Nations Régions rurales,,78.0
2020,Canada,Réserves des Premières Nations Régions rurales,,83.5
2021,Canada,Réserves des Premières Nations Régions rurales,,83.5
2016,Manitoba,Réserves des Premières Nations Régions rurales,46,19.8
2017,Manitoba,Réserves des Premières Nations Régions rurales,46,20.6
2018,Manitoba,Réserves des Premières Nations Régions rurales,46,34.9
2019,Manitoba,Réserves des Premières Nations Régions rurales,46,53.5
2020,Manitoba,Réserves des Premières Nations Régions rurales,46,76.8
2021,Manitoba,Réserves des Premières Nations Régions rurales,46,78.9
2016,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.7
2017,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.7
2018,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.5
2019,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.9
2020,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.9
2021,Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,99.6
2016,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.9
2017,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.9
2018,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.9
2019,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.9
2020,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.9
2021,Terre-Neuve-et-Labrador,Réserves des Premières Nations Régions rurales,10,67.7
2016,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2017,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2018,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2019,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2020,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2021,Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,100.0
2016,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,99.8
2017,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,99.6
2018,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,100.0
2019,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,99.9
2020,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,99.8
2021,Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,99.5
2016,Ontario,Réserves des Premières Nations Régions rurales,35,59.5
2017,Ontario,Réserves des Premières Nations Régions rurales,35,62.1
2018,Ontario,Réserves des Premières Nations Régions rurales,35,66.3
2019,Ontario,Réserves des Premières Nations Régions rurales,35,66.5
2020,Ontario,Réserves des Premières Nations Régions rurales,35,67.5
2021,Ontario,Réserves des Premières Nations Régions rurales,35,66.1
2016,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2017,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2018,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2019,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2020,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2021,Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,100.0
2016,Québec,Réserves des Premières Nations Régions rurales,24,64.8
2017,Québec,Réserves des Premières Nations Régions rurales,24,77.9
2018,Québec,Réserves des Premières Nations Régions rurales,24,77.9
2019,Québec,Réserves des Premières Nations Régions rurales,24,79.0
2020,Québec,Réserves des Premières Nations Régions rurales,24,83.6
2021,Québec,Réserves des Premières Nations Régions rurales,24,88.6
2016,Saskatchewan,Réserves des Premières Nations Régions rurales,47,36.9
2017,Saskatchewan,Réserves des Premières Nations Régions rurales,47,95.2
2018,Saskatchewan,Réserves des Premières Nations Régions rurales,47,96.1
2019,Saskatchewan,Réserves des Premières Nations Régions rurales,47,98.1
2020,Saskatchewan,Réserves des Premières Nations Régions rurales,47,98.1
2021,Saskatchewan,Réserves des Premières Nations Régions rurales,47,97.8
2016,Yukon,Réserves des Premières Nations Régions rurales,60,90.4
2017,Yukon,Réserves des Premières Nations Régions rurales,60,90.4
2018,Yukon,Réserves des Premières Nations Régions rurales,60,90.4
2019,Yukon,Réserves des Premières Nations Régions rurales,60,90.4
2020,Yukon,Réserves des Premières Nations Régions rurales,60,90.4
2021,Yukon,Réserves des Premières Nations Régions rurales,60,100.0
2016,Alberta,Réserves des Premières Nations,48,91.4
2017,Alberta,Réserves des Premières Nations,48,90.1
2018,Alberta,Réserves des Premières Nations,48,90.0
2019,Alberta,Réserves des Premières Nations,48,92.5
2020,Alberta,Réserves des Premières Nations,48,94.9
2021,Alberta,Réserves des Premières Nations,48,91.5
2016,Colombie-Britannique,Réserves des Premières Nations,59,84.1
2017,Colombie-Britannique,Réserves des Premières Nations,59,85.8
2018,Colombie-Britannique,Réserves des Premières Nations,59,85.8
2019,Colombie-Britannique,Réserves des Premières Nations,59,88.4
2020,Colombie-Britannique,Réserves des Premières Nations,59,87.8
2021,Colombie-Britannique,Réserves des Premières Nations,59,88.1
2016,Canada,Réserves des Premières Nations,,62.1
2017,Canada,Réserves des Premières Nations,,72.8
2018,Canada,Réserves des Premières Nations,,75.8
2019,Canada,Réserves des Premières Nations,,80.6
2020,Canada,Réserves des Premières Nations,,85.2
2021,Canada,Réserves des Premières Nations,,85.1
2016,Manitoba,Réserves des Premières Nations,46,18.8
2017,Manitoba,Réserves des Premières Nations,46,19.5
2018,Manitoba,Réserves des Premières Nations,46,32.9
2019,Manitoba,Réserves des Premières Nations,46,53.2
2020,Manitoba,Réserves des Premières Nations,46,76.6
2021,Manitoba,Réserves des Premières Nations,46,78.6
2016,Nouveau-Brunswick,Réserves des Premières Nations,13,99.7
2017,Nouveau-Brunswick,Réserves des Premières Nations,13,99.8
2018,Nouveau-Brunswick,Réserves des Premières Nations,13,99.6
2019,Nouveau-Brunswick,Réserves des Premières Nations,13,99.9
2020,Nouveau-Brunswick,Réserves des Premières Nations,13,99.9
2021,Nouveau-Brunswick,Réserves des Premières Nations,13,99.7
2016,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.9
2017,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.9
2018,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.9
2019,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.9
2020,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.9
2021,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,67.7
2016,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2017,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2018,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2019,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2020,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2021,Territoires du Nord-Ouest,Réserves des Premières Nations,61,100.0
2016,Nouvelle-Écosse,Réserves des Premières Nations,12,99.9
2017,Nouvelle-Écosse,Réserves des Premières Nations,12,99.8
2018,Nouvelle-Écosse,Réserves des Premières Nations,12,100.0
2019,Nouvelle-Écosse,Réserves des Premières Nations,12,99.9
2020,Nouvelle-Écosse,Réserves des Premières Nations,12,99.9
2021,Nouvelle-Écosse,Réserves des Premières Nations,12,99.7
2016,Ontario,Réserves des Premières Nations,35,59.8
2017,Ontario,Réserves des Premières Nations,35,62.3
2018,Ontario,Réserves des Premières Nations,35,66.2
2019,Ontario,Réserves des Premières Nations,35,66.3
2020,Ontario,Réserves des Premières Nations,35,67.3
2021,Ontario,Réserves des Premières Nations,35,66.1
2016,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2017,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2018,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2019,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2020,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2021,Île-du-Prince-Édouard,Réserves des Premières Nations,11,100.0
2016,Québec,Réserves des Premières Nations,24,68.8
2017,Québec,Réserves des Premières Nations,24,80.0
2018,Québec,Réserves des Premières Nations,24,80.0
2019,Québec,Réserves des Premières Nations,24,80.5
2020,Québec,Réserves des Premières Nations,24,82.7
2021,Québec,Réserves des Premières Nations,24,85.2
2016,Saskatchewan,Réserves des Premières Nations,47,36.3
2017,Saskatchewan,Réserves des Premières Nations,47,95.8
2018,Saskatchewan,Réserves des Premières Nations,47,96.5
2019,Saskatchewan,Réserves des Premières Nations,47,98.3
2020,Saskatchewan,Réserves des Premières Nations,47,98.3
2021,Saskatchewan,Réserves des Premières Nations,47,98.0
2016,Yukon,Réserves des Premières Nations,60,90.4
2017,Yukon,Réserves des Premières Nations,60,90.4
2018,Yukon,Réserves des Premières Nations,60,90.4
2019,Yukon,Réserves des Premières Nations,60,90.4
2020,Yukon,Réserves des Premières Nations,60,90.4
2021,Yukon,Réserves des Premières Nations,60,100.0
2016,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2017,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2018,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2019,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2020,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2021,Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,100.0
2016,Canada,Réserves des Premières Nations Régions urbaines,,79.8
2017,Canada,Réserves des Premières Nations Régions urbaines,,87.9
2018,Canada,Réserves des Premières Nations Régions urbaines,,87.9
2019,Canada,Réserves des Premières Nations Régions urbaines,,90.2
2020,Canada,Réserves des Premières Nations Régions urbaines,,91.5
2021,Canada,Réserves des Premières Nations Régions urbaines,,91.5
2016,Manitoba,Réserves des Premières Nations Régions urbaines,46,3.6
2017,Manitoba,Réserves des Premières Nations Régions urbaines,46,3.6
2018,Manitoba,Réserves des Premières Nations Régions urbaines,46,3.6
2019,Manitoba,Réserves des Premières Nations Régions urbaines,46,48.1
2020,Manitoba,Réserves des Premières Nations Régions urbaines,46,73.4
2021,Manitoba,Réserves des Premières Nations Régions urbaines,46,73.4
2016,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2017,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2018,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2019,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2020,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2021,Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2016,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2017,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2018,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2019,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2020,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2021,Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,100.0
2016,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2017,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2018,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2019,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2020,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2021,Ontario,Réserves des Premières Nations Régions urbaines,35,64.5
2016,Québec,Réserves des Premières Nations Régions urbaines,24,72.6
2017,Québec,Réserves des Premières Nations Régions urbaines,24,81.9
2018,Québec,Réserves des Premières Nations Régions urbaines,24,81.9
2019,Québec,Réserves des Premières Nations Régions urbaines,24,81.9
2020,Québec,Réserves des Premières Nations Régions urbaines,24,81.9
2021,Québec,Réserves des Premières Nations Régions urbaines,24,81.9
2016,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,31.7
2017,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,100.0
2018,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,100.0
2019,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,100.0
2020,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,100.0
2021,Saskatchewan,Réserves des Premières Nations Régions urbaines,47,100.0
2018,Alberta,Principales routes et autoroutes,48,95.3
2019,Alberta,Principales routes et autoroutes,48,96.0
2018,Colombie-Britannique,Principales routes et autoroutes,59,68.9
2019,Colombie-Britannique,Principales routes et autoroutes,59,71.8
2018,Canada,Principales routes et autoroutes,,87.2
2019,Canada,Principales routes et autoroutes,,88.8
2020,Canada,Principales routes et autoroutes,,88.5
2021,Canada,Principales routes et autoroutes,,87.2
2018,Manitoba,Principales routes et autoroutes,46,83.3
2019,Manitoba,Principales routes et autoroutes,46,93.2
2018,Nouveau-Brunswick,Principales routes et autoroutes,13,99.4
2019,Nouveau-Brunswick,Principales routes et autoroutes,13,99.4
2018,Terre-Neuve-et-Labrador,Principales routes et autoroutes,10,64.7
2019,Terre-Neuve-et-Labrador,Principales routes et autoroutes,10,66.5
2018,Territoires du Nord-Ouest,Principales routes et autoroutes,61,30.4
2019,Territoires du Nord-Ouest,Principales routes et autoroutes,61,31.7
2018,Nouvelle-Écosse,Principales routes et autoroutes,12,98.1
2019,Nouvelle-Écosse,Principales routes et autoroutes,12,98.3
2018,Ontario,Principales routes et autoroutes,35,92.7
2019,Ontario,Principales routes et autoroutes,35,93.4
2018,Île-du-Prince-Édouard,Principales routes et autoroutes,11,99.9
2019,Île-du-Prince-Édouard,Principales routes et autoroutes,11,99.9
2018,Québec,Principales routes et autoroutes,24,88.6
2019,Québec,Principales routes et autoroutes,24,89.3
2018,Saskatchewan,Principales routes et autoroutes,47,98.4
2019,Saskatchewan,Principales routes et autoroutes,47,98.8
2018,Yukon,Principales routes et autoroutes,60,34.7
2019,Yukon,Principales routes et autoroutes,60,34.9
2016,Alberta,Communautés rurales,48,98.8
2017,Alberta,Communautés rurales,48,98.6
2018,Alberta,Communautés rurales,48,98.7
2019,Alberta,Communautés rurales,48,98.9
2020,Alberta,Communautés rurales,48,99.0
2021,Alberta,Communautés rurales,48,98.7
2016,Colombie-Britannique,Communautés rurales,59,92.7
2017,Colombie-Britannique,Communautés rurales,59,92.9
2018,Colombie-Britannique,Communautés rurales,59,93.1
2019,Colombie-Britannique,Communautés rurales,59,94.4
2020,Colombie-Britannique,Communautés rurales,59,93.7
2021,Colombie-Britannique,Communautés rurales,59,94.0
2015,Canada,Communautés rurales,,88.9
2016,Canada,Communautés rurales,,93.3
2017,Canada,Communautés rurales,,95.9
2018,Canada,Communautés rurales,,96.5
2019,Canada,Communautés rurales,,97.4
2020,Canada,Communautés rurales,,97.7
2021,Canada,Communautés rurales,,97.1
2016,Manitoba,Communautés rurales,46,76.1
2017,Manitoba,Communautés rurales,46,77.1
2018,Manitoba,Communautés rurales,46,83.2
2019,Manitoba,Communautés rurales,46,89.1
2020,Manitoba,Communautés rurales,46,93.3
2021,Manitoba,Communautés rurales,46,94.1
2016,Nouveau-Brunswick,Communautés rurales,13,97.9
2017,Nouveau-Brunswick,Communautés rurales,13,98.3
2018,Nouveau-Brunswick,Communautés rurales,13,98.5
2019,Nouveau-Brunswick,Communautés rurales,13,99.0
2020,Nouveau-Brunswick,Communautés rurales,13,99.1
2021,Nouveau-Brunswick,Communautés rurales,13,97.8
2016,Terre-Neuve-et-Labrador,Communautés rurales,10,86.9
2017,Terre-Neuve-et-Labrador,Communautés rurales,10,87.8
2018,Terre-Neuve-et-Labrador,Communautés rurales,10,88.1
2019,Terre-Neuve-et-Labrador,Communautés rurales,10,89.9
2020,Terre-Neuve-et-Labrador,Communautés rurales,10,90.3
2021,Terre-Neuve-et-Labrador,Communautés rurales,10,83.3
2016,Territoires du Nord-Ouest,Communautés rurales,61,83.9
2017,Territoires du Nord-Ouest,Communautés rurales,61,83.8
2018,Territoires du Nord-Ouest,Communautés rurales,61,84.4
2019,Territoires du Nord-Ouest,Communautés rurales,61,84.4
2020,Territoires du Nord-Ouest,Communautés rurales,61,84.4
2021,Territoires du Nord-Ouest,Communautés rurales,61,84.2
2016,Nouvelle-Écosse,Communautés rurales,12,98.8
2017,Nouvelle-Écosse,Communautés rurales,12,98.9
2018,Nouvelle-Écosse,Communautés rurales,12,98.8
2019,Nouvelle-Écosse,Communautés rurales,12,99.1
2020,Nouvelle-Écosse,Communautés rurales,12,99.2
2021,Nouvelle-Écosse,Communautés rurales,12,97.8
2016,Nunavut,Communautés rurales,62,0.0
2017,Nunavut,Communautés rurales,62,0.0
2018,Nunavut,Communautés rurales,62,40.2
2019,Nunavut,Communautés rurales,62,99.6
2020,Nunavut,Communautés rurales,62,99.6
2021,Nunavut,Communautés rurales,62,99.6
2016,Ontario,Communautés rurales,35,98.2
2017,Ontario,Communautés rurales,35,98.4
2018,Ontario,Communautés rurales,35,98.6
2019,Ontario,Communautés rurales,35,98.8
2020,Ontario,Communautés rurales,35,98.9
2021,Ontario,Communautés rurales,35,98.6
2016,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2017,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2018,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2019,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2020,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2021,Île-du-Prince-Édouard,Communautés rurales,11,100.0
2016,Québec,Communautés rurales,24,95.3
2017,Québec,Communautés rurales,24,97.5
2018,Québec,Communautés rurales,24,97.6
2019,Québec,Communautés rurales,24,98.1
2020,Québec,Communautés rurales,24,98.2
2021,Québec,Communautés rurales,24,97.7
2016,Saskatchewan,Communautés rurales,47,64.2
2017,Saskatchewan,Communautés rurales,47,98.7
2018,Saskatchewan,Communautés rurales,47,98.9
2019,Saskatchewan,Communautés rurales,47,99.4
2020,Saskatchewan,Communautés rurales,47,99.4
2021,Saskatchewan,Communautés rurales,47,99.3
2016,Yukon,Communautés rurales,60,84.0
2017,Yukon,Communautés rurales,60,85.0
2018,Yukon,Communautés rurales,60,88.5
2019,Yukon,Communautés rurales,60,86.8
2020,Yukon,Communautés rurales,60,87.7
2021,Yukon,Communautés rurales,60,87.4
2016,Alberta,Régions urbaines,48,100.0
2017,Alberta,Régions urbaines,48,100.0
2018,Alberta,Régions urbaines,48,100.0
2019,Alberta,Régions urbaines,48,100.0
2020,Alberta,Régions urbaines,48,100.0
2021,Alberta,Régions urbaines,48,100.0
2016,Colombie-Britannique,Régions urbaines,59,100.0
2017,Colombie-Britannique,Régions urbaines,59,100.0
2018,Colombie-Britannique,Régions urbaines,59,100.0
2019,Colombie-Britannique,Régions urbaines,59,100.0
2020,Colombie-Britannique,Régions urbaines,59,100.0
2021,Colombie-Britannique,Régions urbaines,59,100.0
2015,Canada,Régions urbaines,,99.4
2016,Canada,Régions urbaines,,99.8
2017,Canada,Régions urbaines,,99.9
2018,Canada,Régions urbaines,,99.9
2019,Canada,Régions urbaines,,100.0
2020,Canada,Régions urbaines,,100.0
2021,Canada,Régions urbaines,,100.0
2016,Manitoba,Régions urbaines,46,99.4
2017,Manitoba,Régions urbaines,46,99.4
2018,Manitoba,Régions urbaines,46,99.4
2019,Manitoba,Régions urbaines,46,99.7
2020,Manitoba,Régions urbaines,46,99.9
2021,Manitoba,Régions urbaines,46,99.9
2016,Nouveau-Brunswick,Régions urbaines,13,100.0
2017,Nouveau-Brunswick,Régions urbaines,13,100.0
2018,Nouveau-Brunswick,Régions urbaines,13,100.0
2019,Nouveau-Brunswick,Régions urbaines,13,100.0
2020,Nouveau-Brunswick,Régions urbaines,13,100.0
2021,Nouveau-Brunswick,Régions urbaines,13,100.0
2016,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2017,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2018,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2019,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2020,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2021,Terre-Neuve-et-Labrador,Régions urbaines,10,100.0
2016,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2017,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2018,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2019,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2020,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2021,Territoires du Nord-Ouest,Régions urbaines,61,100.0
2016,Nouvelle-Écosse,Régions urbaines,12,100.0
2017,Nouvelle-Écosse,Régions urbaines,12,100.0
2018,Nouvelle-Écosse,Régions urbaines,12,100.0
2019,Nouvelle-Écosse,Régions urbaines,12,100.0
2020,Nouvelle-Écosse,Régions urbaines,12,100.0
2021,Nouvelle-Écosse,Régions urbaines,12,100.0
2016,Nunavut,Régions urbaines,62,0.0
2017,Nunavut,Régions urbaines,62,0.0
2018,Nunavut,Régions urbaines,62,93.2
2019,Nunavut,Régions urbaines,62,100.0
2020,Nunavut,Régions urbaines,62,100.0
2021,Nunavut,Régions urbaines,62,100.0
2016,Ontario,Régions urbaines,35,100.0
2017,Ontario,Régions urbaines,35,100.0
2018,Ontario,Régions urbaines,35,100.0
2019,Ontario,Régions urbaines,35,100.0
2020,Ontario,Régions urbaines,35,100.0
2021,Ontario,Régions urbaines,35,100.0
2016,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2017,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2018,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2019,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2020,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2021,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2016,Québec,Régions urbaines,24,99.7
2017,Québec,Régions urbaines,24,99.9
2018,Québec,Régions urbaines,24,99.9
2019,Québec,Régions urbaines,24,99.9
2020,Québec,Régions urbaines,24,99.9
2021,Québec,Régions urbaines,24,99.9
2016,Saskatchewan,Régions urbaines,47,97.1
2017,Saskatchewan,Régions urbaines,47,100.0
2018,Saskatchewan,Régions urbaines,47,100.0
2019,Saskatchewan,Régions urbaines,47,100.0
2020,Saskatchewan,Régions urbaines,47,100.0
2021,Saskatchewan,Régions urbaines,47,100.0
2016,Yukon,Régions urbaines,60,100.0
2017,Yukon,Régions urbaines,60,100.0
2018,Yukon,Régions urbaines,60,100.0
2019,Yukon,Régions urbaines,60,100.0
2020,Yukon,Régions urbaines,60,100.0
2021,Yukon,Régions urbaines,60,100.0
2015,,,,97.4
2016,,,,98.6
2017,,,,99.1
