Year,Géographie,Caractéristiques de la population,Niveau de scolarité,Groupe d'âge,Sexe,GeoCode,Value
2010,Canada,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Femme,,31.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Les deux sexes,,26.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Homme,,22.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Femme,,30.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Les deux sexes,,24.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Homme,,20.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Femme,,28.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Les deux sexes,,20.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Homme,,17.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Femme,,24.0
2010,Canada,Population totale,Baccalauréat,"Total, 25 à 64 ans",Les deux sexes,,18.0
2010,Canada,Population totale,Baccalauréat,"Total, 25 à 64 ans",Homme,,16.0
2010,Canada,Population totale,Baccalauréat,"Total, 25 à 64 ans",Femme,,19.0
2010,Canada,Population totale,Baccalauréat,25 à 34 ans,Les deux sexes,,23.0
2010,Canada,Population totale,Baccalauréat,25 à 34 ans,Homme,,19.0
2010,Canada,Population totale,Baccalauréat,25 à 34 ans,Femme,,26.0
2010,Canada,Population totale,Baccalauréat,30 à 34 ans,Les deux sexes,,22.0
2010,Canada,Population totale,Baccalauréat,30 à 34 ans,Homme,,19.0
2010,Canada,Population totale,Baccalauréat,30 à 34 ans,Femme,,25.0
2010,Canada,Population totale,Baccalauréat,35 à 44 ans,Les deux sexes,,21.0
2010,Canada,Population totale,Baccalauréat,35 à 44 ans,Homme,,19.0
2010,Canada,Population totale,Baccalauréat,35 à 44 ans,Femme,,23.0
2010,Canada,Population totale,Baccalauréat,45 à 54 ans,Les deux sexes,,15.0
2010,Canada,Population totale,Baccalauréat,45 à 54 ans,Homme,,14.0
2010,Canada,Population totale,Baccalauréat,45 à 54 ans,Femme,,15.0
2010,Canada,Population totale,Baccalauréat,55 à 64 ans,Les deux sexes,,14.0
2010,Canada,Population totale,Baccalauréat,55 à 64 ans,Homme,,14.0
2010,Canada,Population totale,Baccalauréat,55 à 64 ans,Femme,,13.0
2010,Canada,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Les deux sexes,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Homme,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Femme,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,25 à 34 ans,Les deux sexes,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,25 à 34 ans,Homme,,7.0
2010,Canada,Population totale,Maîtrise ou doctorat,25 à 34 ans,Femme,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,30 à 34 ans,Les deux sexes,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,30 à 34 ans,Homme,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,30 à 34 ans,Femme,,10.0
2010,Canada,Population totale,Maîtrise ou doctorat,35 à 44 ans,Les deux sexes,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,35 à 44 ans,Homme,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,35 à 44 ans,Femme,,9.0
2010,Canada,Population totale,Maîtrise ou doctorat,45 à 54 ans,Les deux sexes,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,45 à 54 ans,Homme,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,45 à 54 ans,Femme,,7.0
2010,Canada,Population totale,Maîtrise ou doctorat,55 à 64 ans,Les deux sexes,,8.0
2010,Canada,Population totale,Maîtrise ou doctorat,55 à 64 ans,Homme,,10.0
2010,Canada,Population totale,Maîtrise ou doctorat,55 à 64 ans,Femme,,6.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,"Total, 25 à 64 ans",Les deux sexes,10,36.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,"Total, 25 à 64 ans",Homme,10,30.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,"Total, 25 à 64 ans",Femme,10,42.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,25 à 34 ans,Les deux sexes,10,47.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,25 à 34 ans,Homme,10,38.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,25 à 34 ans,Femme,10,56.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,30 à 34 ans,Les deux sexes,10,48.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,30 à 34 ans,Homme,10,41.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,30 à 34 ans,Femme,10,55.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,35 à 44 ans,Les deux sexes,10,43.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,35 à 44 ans,Homme,10,36.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,35 à 44 ans,Femme,10,51.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,45 à 54 ans,Les deux sexes,10,31.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,45 à 54 ans,Homme,10,26.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,45 à 54 ans,Femme,10,36.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,55 à 64 ans,Les deux sexes,10,26.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,55 à 64 ans,Homme,10,23.0
2010,Terre-Neuve-et-Labrador,Population totale,Études tertiaires,55 à 64 ans,Femme,10,28.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Les deux sexes,10,21.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Homme,10,17.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Femme,10,25.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Les deux sexes,10,24.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Homme,10,21.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Femme,10,27.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Les deux sexes,10,26.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Homme,10,24.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Femme,10,29.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Les deux sexes,10,28.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Homme,10,22.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Femme,10,33.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Les deux sexes,10,19.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Homme,10,15.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Femme,10,23.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Les deux sexes,10,14.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Homme,10,10.0
2010,Terre-Neuve-et-Labrador,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Femme,10,18.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,"Total, 25 à 64 ans",Les deux sexes,10,10.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,"Total, 25 à 64 ans",Homme,10,9.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,"Total, 25 à 64 ans",Femme,10,12.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,25 à 34 ans,Les deux sexes,10,18.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,25 à 34 ans,Homme,10,12.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,25 à 34 ans,Femme,10,23.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,30 à 34 ans,Les deux sexes,10,15.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,30 à 34 ans,Homme,10,11.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,30 à 34 ans,Femme,10,19.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,35 à 44 ans,Les deux sexes,10,11.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,35 à 44 ans,Homme,10,9.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,35 à 44 ans,Femme,10,13.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,45 à 54 ans,Les deux sexes,10,7.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,45 à 54 ans,Homme,10,6.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,45 à 54 ans,Femme,10,7.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,55 à 64 ans,Les deux sexes,10,8.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,55 à 64 ans,Homme,10,7.0
2010,Terre-Neuve-et-Labrador,Population totale,Baccalauréat,55 à 64 ans,Femme,10,8.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Les deux sexes,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Homme,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Femme,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,25 à 34 ans,Les deux sexes,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,25 à 34 ans,Homme,10,4.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,25 à 34 ans,Femme,10,6.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,30 à 34 ans,Les deux sexes,10,7.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,30 à 34 ans,Homme,10,6.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,30 à 34 ans,Femme,10,8.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,35 à 44 ans,Les deux sexes,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,35 à 44 ans,Homme,10,4.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,35 à 44 ans,Femme,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,45 à 54 ans,Les deux sexes,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,45 à 54 ans,Homme,10,4.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,45 à 54 ans,Femme,10,5.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,55 à 64 ans,Les deux sexes,10,4.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,55 à 64 ans,Homme,10,6.0
2010,Terre-Neuve-et-Labrador,Population totale,Maîtrise ou doctorat,55 à 64 ans,Femme,10,3.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,"Total, 25 à 64 ans",Les deux sexes,11,48.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,"Total, 25 à 64 ans",Homme,11,40.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,"Total, 25 à 64 ans",Femme,11,56.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,25 à 34 ans,Les deux sexes,11,57.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,25 à 34 ans,Homme,11,47.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,25 à 34 ans,Femme,11,67.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,30 à 34 ans,Les deux sexes,11,58.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,30 à 34 ans,Homme,11,49.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,30 à 34 ans,Femme,11,66.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,35 à 44 ans,Les deux sexes,11,56.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,35 à 44 ans,Homme,11,47.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,35 à 44 ans,Femme,11,65.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,45 à 54 ans,Les deux sexes,11,45.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,45 à 54 ans,Homme,11,37.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,45 à 54 ans,Femme,11,53.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,55 à 64 ans,Les deux sexes,11,38.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,55 à 64 ans,Homme,11,33.0
2010,Île-du-Prince-Édouard,Population totale,Études tertiaires,55 à 64 ans,Femme,11,43.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Les deux sexes,11,26.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Homme,11,20.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Femme,11,32.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Les deux sexes,11,29.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Homme,11,26.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Femme,11,32.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Les deux sexes,11,30.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Homme,11,28.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Femme,11,32.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Les deux sexes,11,30.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Homme,11,26.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Femme,11,35.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Les deux sexes,11,28.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Homme,11,20.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Femme,11,36.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Les deux sexes,11,19.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Homme,11,12.0
2010,Île-du-Prince-Édouard,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Femme,11,25.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,"Total, 25 à 64 ans",Les deux sexes,11,15.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,"Total, 25 à 64 ans",Homme,11,14.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,"Total, 25 à 64 ans",Femme,11,17.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,25 à 34 ans,Les deux sexes,11,22.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,25 à 34 ans,Homme,11,18.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,25 à 34 ans,Femme,11,26.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,30 à 34 ans,Les deux sexes,11,21.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,30 à 34 ans,Homme,11,17.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,30 à 34 ans,Femme,11,24.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,35 à 44 ans,Les deux sexes,11,17.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,35 à 44 ans,Homme,11,15.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,35 à 44 ans,Femme,11,20.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,45 à 54 ans,Les deux sexes,11,12.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,45 à 54 ans,Homme,11,11.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,45 à 54 ans,Femme,11,13.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,55 à 64 ans,Les deux sexes,11,12.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,55 à 64 ans,Homme,11,13.0
2010,Île-du-Prince-Édouard,Population totale,Baccalauréat,55 à 64 ans,Femme,11,11.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Les deux sexes,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Homme,11,6.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,"Total, 25 à 64 ans",Femme,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,25 à 34 ans,Les deux sexes,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,25 à 34 ans,Homme,11,4.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,25 à 34 ans,Femme,11,9.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,30 à 34 ans,Les deux sexes,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,30 à 34 ans,Homme,11,
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,30 à 34 ans,Femme,11,10.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,35 à 44 ans,Les deux sexes,11,9.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,35 à 44 ans,Homme,11,6.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,35 à 44 ans,Femme,11,11.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,45 à 54 ans,Les deux sexes,11,5.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,45 à 54 ans,Homme,11,6.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,45 à 54 ans,Femme,11,4.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,55 à 64 ans,Les deux sexes,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,55 à 64 ans,Homme,11,7.0
2010,Île-du-Prince-Édouard,Population totale,Maîtrise ou doctorat,55 à 64 ans,Femme,11,6.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,"Total, 25 à 64 ans",Les deux sexes,12,48.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,"Total, 25 à 64 ans",Homme,12,42.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,"Total, 25 à 64 ans",Femme,12,55.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,25 à 34 ans,Les deux sexes,12,60.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,25 à 34 ans,Homme,12,52.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,25 à 34 ans,Femme,12,68.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,30 à 34 ans,Les deux sexes,12,61.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,30 à 34 ans,Homme,12,53.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,30 à 34 ans,Femme,12,68.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,35 à 44 ans,Les deux sexes,12,54.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,35 à 44 ans,Homme,12,46.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,35 à 44 ans,Femme,12,62.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,45 à 54 ans,Les deux sexes,12,43.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,45 à 54 ans,Homme,12,37.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,45 à 54 ans,Femme,12,49.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,55 à 64 ans,Les deux sexes,12,40.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,55 à 64 ans,Homme,12,35.0
2010,Nouvelle-Écosse,Population totale,Études tertiaires,55 à 64 ans,Femme,12,45.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Les deux sexes,12,25.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Homme,12,21.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Femme,12,29.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Les deux sexes,12,29.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Homme,12,28.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Femme,12,30.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Les deux sexes,12,30.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Homme,12,30.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Femme,12,31.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Les deux sexes,12,28.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Homme,12,24.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,35 à 44 ans,Femme,12,32.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Les deux sexes,12,24.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Homme,12,20.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,45 à 54 ans,Femme,12,29.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Les deux sexes,12,19.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Homme,12,14.0
2010,Nouvelle-Écosse,Population totale,Enseignement tertiaire de cycle court,55 à 64 ans,Femme,12,24.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,"Total, 25 à 64 ans",Les deux sexes,12,15.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,"Total, 25 à 64 ans",Homme,12,12.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,"Total, 25 à 64 ans",Femme,12,17.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,25 à 34 ans,Les deux sexes,12,21.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,25 à 34 ans,Homme,12,16.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,25 à 34 ans,Femme,12,27.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,30 à 34 ans,Les deux sexes,12,20.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,30 à 34 ans,Homme,12,15.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,30 à 34 ans,Femme,12,25.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,35 à 44 ans,Les deux sexes,12,17.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,35 à 44 ans,Homme,12,14.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,35 à 44 ans,Femme,12,19.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,45 à 54 ans,Les deux sexes,12,12.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,45 à 54 ans,Homme,12,9.0
2010,Nouvelle-Écosse,Population totale,Baccalauréat,45 à 54 ans,Femme,12,14.0
