Year,Géographie,Sexe,Niveaux de scolarité,Type de cigarettes,Value
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,Tous les niveaux,Avec nicotine,26.2
2018-2019,Terre-Neuve-et-Labrador,Homme,Tous les niveaux,Avec nicotine,28.6
2018-2019,Terre-Neuve-et-Labrador,Femme,Tous les niveaux,Avec nicotine,23.7
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,Tous les niveaux,Sans nicotine,19.1
2018-2019,Terre-Neuve-et-Labrador,Homme,Tous les niveaux,Sans nicotine,20.5
2018-2019,Terre-Neuve-et-Labrador,Femme,Tous les niveaux,Sans nicotine,17.7
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,7e à 9e année,Les deux types,17.0
2018-2019,Terre-Neuve-et-Labrador,Homme,7e à 9e année,Les deux types,18.8
2018-2019,Terre-Neuve-et-Labrador,Femme,7e à 9e année,Les deux types,15.1
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,7e à 9e année,Avec nicotine,13.6
2018-2019,Terre-Neuve-et-Labrador,Homme,7e à 9e année,Avec nicotine,14.4
2018-2019,Terre-Neuve-et-Labrador,Femme,7e à 9e année,Avec nicotine,12.7
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,7e à 9e année,Sans nicotine,12.4
2018-2019,Terre-Neuve-et-Labrador,Homme,7e à 9e année,Sans nicotine,13.8
2018-2019,Terre-Neuve-et-Labrador,Femme,7e à 9e année,Sans nicotine,10.9
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,10e à 12e année,Les deux types,42.1
2018-2019,Terre-Neuve-et-Labrador,Homme,10e à 12e année,Les deux types,46.3
2018-2019,Terre-Neuve-et-Labrador,Femme,10e à 12e année,Les deux types,37.6
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,10e à 12e année,Avec nicotine,38.0
2018-2019,Terre-Neuve-et-Labrador,Homme,10e à 12e année,Avec nicotine,41.9
2018-2019,Terre-Neuve-et-Labrador,Femme,10e à 12e année,Avec nicotine,34.0
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,10e à 12e année,Sans nicotine,25.4
2018-2019,Terre-Neuve-et-Labrador,Homme,10e à 12e année,Sans nicotine,26.7
2018-2019,Terre-Neuve-et-Labrador,Femme,10e à 12e année,Sans nicotine,24.1
2018-2019,Île-du-Prince-Édouard,Les deux sexes,Tous les niveaux,Les deux types,26.7
2018-2019,Île-du-Prince-Édouard,Homme,Tous les niveaux,Les deux types,27.7
2018-2019,Île-du-Prince-Édouard,Femme,Tous les niveaux,Les deux types,25.6
2018-2019,Île-du-Prince-Édouard,Les deux sexes,Tous les niveaux,Avec nicotine,23.6
2018-2019,Île-du-Prince-Édouard,Homme,Tous les niveaux,Avec nicotine,25.2
2018-2019,Île-du-Prince-Édouard,Femme,Tous les niveaux,Avec nicotine,21.9
2018-2019,Île-du-Prince-Édouard,Les deux sexes,Tous les niveaux,Sans nicotine,15.6
2018-2019,Île-du-Prince-Édouard,Homme,Tous les niveaux,Sans nicotine,14.8
2018-2019,Île-du-Prince-Édouard,Femme,Tous les niveaux,Sans nicotine,16.3
2018-2019,Île-du-Prince-Édouard,Les deux sexes,7e à 9e année,Les deux types,13.7
2018-2019,Île-du-Prince-Édouard,Homme,7e à 9e année,Les deux types,13.8
2018-2019,Île-du-Prince-Édouard,Femme,7e à 9e année,Les deux types,13.7
2018-2019,Île-du-Prince-Édouard,Les deux sexes,7e à 9e année,Avec nicotine,10.8
2018-2019,Île-du-Prince-Édouard,Homme,7e à 9e année,Avec nicotine,11.3
2018-2019,Île-du-Prince-Édouard,Femme,7e à 9e année,Avec nicotine,10.3
2018-2019,Île-du-Prince-Édouard,Les deux sexes,7e à 9e année,Sans nicotine,10.4
2018-2019,Île-du-Prince-Édouard,Homme,7e à 9e année,Sans nicotine,10.1
2018-2019,Île-du-Prince-Édouard,Femme,7e à 9e année,Sans nicotine,10.6
2018-2019,Île-du-Prince-Édouard,Les deux sexes,10e à 12e année,Les deux types,39.3
2018-2019,Île-du-Prince-Édouard,Homme,10e à 12e année,Les deux types,41.3
2018-2019,Île-du-Prince-Édouard,Femme,10e à 12e année,Les deux types,37.3
2018-2019,Île-du-Prince-Édouard,Les deux sexes,10e à 12e année,Avec nicotine,36.0
2018-2019,Île-du-Prince-Édouard,Homme,10e à 12e année,Avec nicotine,38.9
2018-2019,Île-du-Prince-Édouard,Femme,10e à 12e année,Avec nicotine,33.2
2018-2019,Île-du-Prince-Édouard,Les deux sexes,10e à 12e année,Sans nicotine,20.7
2018-2019,Île-du-Prince-Édouard,Homme,10e à 12e année,Sans nicotine,19.5
2018-2019,Île-du-Prince-Édouard,Femme,10e à 12e année,Sans nicotine,21.9
2018-2019,Nouvelle-Écosse,Les deux sexes,Tous les niveaux,Les deux types,25.1
2018-2019,Nouvelle-Écosse,Homme,Tous les niveaux,Les deux types,24.9
2018-2019,Nouvelle-Écosse,Femme,Tous les niveaux,Les deux types,25.3
2018-2019,Nouvelle-Écosse,Les deux sexes,Tous les niveaux,Avec nicotine,22.2
2018-2019,Nouvelle-Écosse,Homme,Tous les niveaux,Avec nicotine,22.7
2018-2019,Nouvelle-Écosse,Femme,Tous les niveaux,Avec nicotine,21.8
2018-2019,Nouvelle-Écosse,Les deux sexes,Tous les niveaux,Sans nicotine,14.7
2018-2019,Nouvelle-Écosse,Homme,Tous les niveaux,Sans nicotine,13.7
2018-2019,Nouvelle-Écosse,Femme,Tous les niveaux,Sans nicotine,15.6
2018-2019,Nouvelle-Écosse,Les deux sexes,7e à 9e année,Les deux types,12.4
2018-2019,Nouvelle-Écosse,Homme,7e à 9e année,Les deux types,11.8
2018-2019,Nouvelle-Écosse,Femme,7e à 9e année,Les deux types,13.1
2018-2019,Nouvelle-Écosse,Les deux sexes,7e à 9e année,Avec nicotine,9.9
2018-2019,Nouvelle-Écosse,Homme,7e à 9e année,Avec nicotine,9.8
2018-2019,Nouvelle-Écosse,Femme,7e à 9e année,Avec nicotine,10.0
2018-2019,Nouvelle-Écosse,Les deux sexes,7e à 9e année,Sans nicotine,8.4
2018-2019,Nouvelle-Écosse,Homme,7e à 9e année,Sans nicotine,7.8
2018-2019,Nouvelle-Écosse,Femme,7e à 9e année,Sans nicotine,9.0
2018-2019,Nouvelle-Écosse,Les deux sexes,10e à 12e année,Les deux types,37.1
2018-2019,Nouvelle-Écosse,Homme,10e à 12e année,Les deux types,37.2
2018-2019,Nouvelle-Écosse,Femme,10e à 12e année,Les deux types,37.1
2018-2019,Nouvelle-Écosse,Les deux sexes,10e à 12e année,Avec nicotine,34.0
2018-2019,Nouvelle-Écosse,Homme,10e à 12e année,Avec nicotine,34.9
2018-2019,Nouvelle-Écosse,Femme,10e à 12e année,Avec nicotine,33.2
2018-2019,Nouvelle-Écosse,Les deux sexes,10e à 12e année,Sans nicotine,20.6
2018-2019,Nouvelle-Écosse,Homme,10e à 12e année,Sans nicotine,19.2
2018-2019,Nouvelle-Écosse,Femme,10e à 12e année,Sans nicotine,22.1
2018-2019,Nouveau-Brunswick,Les deux sexes,Tous les niveaux,Les deux types,27.7
2018-2019,Nouveau-Brunswick,Homme,Tous les niveaux,Les deux types,30.4
2018-2019,Nouveau-Brunswick,Femme,Tous les niveaux,Les deux types,25.0
2018-2019,Nouveau-Brunswick,Les deux sexes,Tous les niveaux,Avec nicotine,24.5
2018-2019,Nouveau-Brunswick,Homme,Tous les niveaux,Avec nicotine,27.3
2018-2019,Nouveau-Brunswick,Femme,Tous les niveaux,Avec nicotine,21.6
2018-2019,Nouveau-Brunswick,Les deux sexes,Tous les niveaux,Sans nicotine,17.7
2018-2019,Nouveau-Brunswick,Homme,Tous les niveaux,Sans nicotine,19.0
2018-2019,Nouveau-Brunswick,Femme,Tous les niveaux,Sans nicotine,16.5
2018-2019,Nouveau-Brunswick,Les deux sexes,7e à 9e année,Les deux types,14.4
2018-2019,Nouveau-Brunswick,Homme,7e à 9e année,Les deux types,15.5
2018-2019,Nouveau-Brunswick,Femme,7e à 9e année,Les deux types,13.4
2018-2019,Nouveau-Brunswick,Les deux sexes,7e à 9e année,Avec nicotine,11.2
2018-2019,Nouveau-Brunswick,Homme,7e à 9e année,Avec nicotine,12.0
2018-2019,Nouveau-Brunswick,Femme,7e à 9e année,Avec nicotine,10.4
2018-2019,Nouveau-Brunswick,Les deux sexes,7e à 9e année,Sans nicotine,11.4
2018-2019,Nouveau-Brunswick,Homme,7e à 9e année,Sans nicotine,12.9
2018-2019,Nouveau-Brunswick,Femme,7e à 9e année,Sans nicotine,9.9
2018-2019,Nouveau-Brunswick,Les deux sexes,10e à 12e année,Les deux types,39.4
2018-2019,Nouveau-Brunswick,Homme,10e à 12e année,Les deux types,43.7
2018-2019,Nouveau-Brunswick,Femme,10e à 12e année,Les deux types,35.1
2018-2019,Nouveau-Brunswick,Les deux sexes,10e à 12e année,Avec nicotine,36.2
2018-2019,Nouveau-Brunswick,Homme,10e à 12e année,Avec nicotine,41.0
2018-2019,Nouveau-Brunswick,Femme,10e à 12e année,Avec nicotine,31.4
2018-2019,Nouveau-Brunswick,Les deux sexes,10e à 12e année,Sans nicotine,23.3
2018-2019,Nouveau-Brunswick,Homme,10e à 12e année,Sans nicotine,24.4
2018-2019,Nouveau-Brunswick,Femme,10e à 12e année,Sans nicotine,22.2
2018-2019,Québec,Les deux sexes,Tous les niveaux,Les deux types,16.7
2018-2019,Québec,Homme,Tous les niveaux,Les deux types,19.0
2018-2019,Québec,Femme,Tous les niveaux,Les deux types,14.5
2018-2019,Québec,Les deux sexes,Tous les niveaux,Avec nicotine,13.4
2018-2019,Québec,Homme,Tous les niveaux,Avec nicotine,14.9
2018-2019,Québec,Femme,Tous les niveaux,Avec nicotine,11.8
2018-2019,Québec,Les deux sexes,Tous les niveaux,Sans nicotine,12.6
2018-2019,Québec,Homme,Tous les niveaux,Sans nicotine,14.6
2018-2019,Québec,Femme,Tous les niveaux,Sans nicotine,10.5
2018-2019,Québec,Les deux sexes,7e à 9e année,Les deux types,13.5
2018-2019,Québec,Homme,7e à 9e année,Les deux types,14.3
2018-2019,Québec,Femme,7e à 9e année,Les deux types,12.6
2018-2019,Québec,Les deux sexes,7e à 9e année,Avec nicotine,10.4
2018-2019,Québec,Homme,7e à 9e année,Avec nicotine,10.6
2018-2019,Québec,Femme,7e à 9e année,Avec nicotine,10.2
2018-2019,Québec,Les deux sexes,7e à 9e année,Sans nicotine,10.7
2018-2019,Québec,Homme,7e à 9e année,Sans nicotine,11.9
2018-2019,Québec,Femme,7e à 9e année,Sans nicotine,9.5
2018-2019,Québec,Les deux sexes,10e à 12e année,Les deux types,22.4
2018-2019,Québec,Homme,10e à 12e année,Les deux types,26.9
2018-2019,Québec,Femme,10e à 12e année,Les deux types,17.7
2018-2019,Québec,Les deux sexes,10e à 12e année,Avec nicotine,18.6
2018-2019,Québec,Homme,10e à 12e année,Avec nicotine,22.4
2018-2019,Québec,Femme,10e à 12e année,Avec nicotine,14.7
2018-2019,Québec,Les deux sexes,10e à 12e année,Sans nicotine,15.8
2018-2019,Québec,Homme,10e à 12e année,Sans nicotine,19.2
2018-2019,Québec,Femme,10e à 12e année,Sans nicotine,12.2
2018-2019,Ontario,Les deux sexes,Tous les niveaux,Les deux types,17.8
2018-2019,Ontario,Homme,Tous les niveaux,Les deux types,18.6
2018-2019,Ontario,Femme,Tous les niveaux,Les deux types,16.9
2018-2019,Ontario,Les deux sexes,Tous les niveaux,Avec nicotine,15.4
2018-2019,Ontario,Homme,Tous les niveaux,Avec nicotine,16.0
2018-2019,Ontario,Femme,Tous les niveaux,Avec nicotine,14.7
2018-2019,Ontario,Les deux sexes,Tous les niveaux,Sans nicotine,9.1
2018-2019,Ontario,Homme,Tous les niveaux,Sans nicotine,9.6
2018-2019,Ontario,Femme,Tous les niveaux,Sans nicotine,8.6
2018-2019,Ontario,Les deux sexes,7e à 9e année,Les deux types,7.6
2018-2019,Ontario,Homme,7e à 9e année,Les deux types,8.8
2018-2019,Ontario,Femme,7e à 9e année,Les deux types,6.4
2018-2019,Ontario,Les deux sexes,7e à 9e année,Avec nicotine,5.5
2018-2019,Ontario,Homme,7e à 9e année,Avec nicotine,6.1
2018-2019,Ontario,Femme,7e à 9e année,Avec nicotine,4.8
2018-2019,Ontario,Les deux sexes,7e à 9e année,Sans nicotine,5.2
2018-2019,Ontario,Homme,7e à 9e année,Sans nicotine,6.4
2018-2019,Ontario,Femme,7e à 9e année,Sans nicotine,4.0
2018-2019,Ontario,Les deux sexes,10e à 12e année,Les deux types,26.4
2018-2019,Ontario,Homme,10e à 12e année,Les deux types,26.8
2018-2019,Ontario,Femme,10e à 12e année,Les deux types,26.0
2018-2019,Ontario,Les deux sexes,10e à 12e année,Avec nicotine,23.8
2018-2019,Ontario,Homme,10e à 12e année,Avec nicotine,24.4
2018-2019,Ontario,Femme,10e à 12e année,Avec nicotine,23.2
2018-2019,Ontario,Les deux sexes,10e à 12e année,Sans nicotine,12.4
2018-2019,Ontario,Homme,10e à 12e année,Sans nicotine,12.3
2018-2019,Ontario,Femme,10e à 12e année,Sans nicotine,12.5
2018-2019,Manitoba,Les deux sexes,Tous les niveaux,Les deux types,21.5
2018-2019,Manitoba,Homme,Tous les niveaux,Les deux types,24.1
2018-2019,Manitoba,Femme,Tous les niveaux,Les deux types,18.8
2018-2019,Manitoba,Les deux sexes,Tous les niveaux,Avec nicotine,19.1
2018-2019,Manitoba,Homme,Tous les niveaux,Avec nicotine,21.3
2018-2019,Manitoba,Femme,Tous les niveaux,Avec nicotine,16.8
2018-2019,Manitoba,Les deux sexes,Tous les niveaux,Sans nicotine,12.1
2018-2019,Manitoba,Homme,Tous les niveaux,Sans nicotine,12.2
2018-2019,Manitoba,Femme,Tous les niveaux,Sans nicotine,12.0
2018-2019,Manitoba,Les deux sexes,7e à 9e année,Les deux types,12.4
2018-2019,Manitoba,Homme,7e à 9e année,Les deux types,13.3
2018-2019,Manitoba,Femme,7e à 9e année,Les deux types,11.6
2018-2019,Manitoba,Les deux sexes,7e à 9e année,Avec nicotine,9.9
2018-2019,Manitoba,Homme,7e à 9e année,Avec nicotine,10.8
2018-2019,Manitoba,Femme,7e à 9e année,Avec nicotine,8.9
2018-2019,Manitoba,Les deux sexes,7e à 9e année,Sans nicotine,9.3
2018-2019,Manitoba,Homme,7e à 9e année,Sans nicotine,9.8
2018-2019,Manitoba,Femme,7e à 9e année,Sans nicotine,8.9
2018-2019,Manitoba,Les deux sexes,10e à 12e année,Les deux types,29.2
2018-2019,Manitoba,Homme,10e à 12e année,Les deux types,33.3
2018-2019,Manitoba,Femme,10e à 12e année,Les deux types,25.0
2018-2019,Manitoba,Les deux sexes,10e à 12e année,Avec nicotine,26.9
2018-2019,Manitoba,Homme,10e à 12e année,Avec nicotine,30.0
2018-2019,Manitoba,Femme,10e à 12e année,Avec nicotine,23.5
2018-2019,Manitoba,Les deux sexes,10e à 12e année,Sans nicotine,14.5
2018-2019,Manitoba,Homme,10e à 12e année,Sans nicotine,14.3
2018-2019,Manitoba,Femme,10e à 12e année,Sans nicotine,14.7
2018-2019,Saskatchewan,Les deux sexes,Tous les niveaux,Les deux types,29.6
2018-2019,Saskatchewan,Homme,Tous les niveaux,Les deux types,29.1
2018-2019,Saskatchewan,Femme,Tous les niveaux,Les deux types,30.0
2018-2019,Saskatchewan,Les deux sexes,Tous les niveaux,Avec nicotine,26.8
2018-2019,Saskatchewan,Homme,Tous les niveaux,Avec nicotine,27.0
2018-2019,Saskatchewan,Femme,Tous les niveaux,Avec nicotine,26.6
2018-2019,Saskatchewan,Les deux sexes,Tous les niveaux,Sans nicotine,14.4
2018-2019,Saskatchewan,Homme,Tous les niveaux,Sans nicotine,13.3
2018-2019,Saskatchewan,Femme,Tous les niveaux,Sans nicotine,15.6
2018-2019,Saskatchewan,Les deux sexes,7e à 9e année,Les deux types,18.0
2018-2019,Saskatchewan,Homme,7e à 9e année,Les deux types,15.6
2018-2019,Saskatchewan,Femme,7e à 9e année,Les deux types,20.5
2018-2019,Saskatchewan,Les deux sexes,7e à 9e année,Avec nicotine,14.7
2018-2019,Saskatchewan,Homme,7e à 9e année,Avec nicotine,13.4
2018-2019,Saskatchewan,Femme,7e à 9e année,Avec nicotine,16.1
2018-2019,Saskatchewan,Les deux sexes,7e à 9e année,Sans nicotine,11.6
2018-2019,Saskatchewan,Homme,7e à 9e année,Sans nicotine,9.2
2018-2019,Saskatchewan,Femme,7e à 9e année,Sans nicotine,14.1
2018-2019,Saskatchewan,Les deux sexes,10e à 12e année,Les deux types,39.9
2018-2019,Saskatchewan,Homme,10e à 12e année,Les deux types,41.1
2018-2019,Saskatchewan,Femme,10e à 12e année,Les deux types,38.7
2018-2019,Saskatchewan,Les deux sexes,10e à 12e année,Avec nicotine,37.6
2018-2019,Saskatchewan,Homme,10e à 12e année,Avec nicotine,39.2
2018-2019,Saskatchewan,Femme,10e à 12e année,Avec nicotine,36.0
2018-2019,Saskatchewan,Les deux sexes,10e à 12e année,Sans nicotine,17.0
2018-2019,Saskatchewan,Homme,10e à 12e année,Sans nicotine,16.9
2018-2019,Saskatchewan,Femme,10e à 12e année,Sans nicotine,17.0
2018-2019,Alberta,Les deux sexes,Tous les niveaux,Les deux types,19.9
2018-2019,Alberta,Homme,Tous les niveaux,Les deux types,21.7
2018-2019,Alberta,Femme,Tous les niveaux,Les deux types,17.9
2018-2019,Alberta,Les deux sexes,Tous les niveaux,Avec nicotine,17.5
2018-2019,Alberta,Homme,Tous les niveaux,Avec nicotine,19.7
2018-2019,Alberta,Femme,Tous les niveaux,Avec nicotine,15.3
2018-2019,Alberta,Les deux sexes,Tous les niveaux,Sans nicotine,11.2
2018-2019,Alberta,Homme,Tous les niveaux,Sans nicotine,11.3
2018-2019,Alberta,Femme,Tous les niveaux,Sans nicotine,11.1
2018-2019,Alberta,Les deux sexes,7e à 9e année,Les deux types,9.8
2018-2019,Alberta,Homme,7e à 9e année,Les deux types,10.0
2018-2019,Alberta,Femme,7e à 9e année,Les deux types,9.5
2018-2019,Alberta,Les deux sexes,7e à 9e année,Avec nicotine,7.3
2018-2019,Alberta,Homme,7e à 9e année,Avec nicotine,8.2
2018-2019,Alberta,Femme,7e à 9e année,Avec nicotine,6.5
2018-2019,Alberta,Les deux sexes,7e à 9e année,Sans nicotine,6.9
2018-2019,Alberta,Homme,7e à 9e année,Sans nicotine,6.5
2018-2019,Alberta,Femme,7e à 9e année,Sans nicotine,7.2
2018-2019,Alberta,Les deux sexes,10e à 12e année,Les deux types,30.4
2018-2019,Alberta,Homme,10e à 12e année,Les deux types,33.9
2018-2019,Alberta,Femme,10e à 12e année,Les deux types,26.8
2018-2019,Alberta,Les deux sexes,10e à 12e année,Avec nicotine,28.2
2018-2019,Alberta,Homme,10e à 12e année,Avec nicotine,31.8
2018-2019,Alberta,Femme,10e à 12e année,Avec nicotine,24.5
2018-2019,Alberta,Les deux sexes,10e à 12e année,Sans nicotine,15.8
2018-2019,Alberta,Homme,10e à 12e année,Sans nicotine,16.4
2018-2019,Alberta,Femme,10e à 12e année,Sans nicotine,15.2
2018-2019,Colombie-Britannique,Les deux sexes,Tous les niveaux,Les deux types,27.6
2018-2019,Colombie-Britannique,Homme,Tous les niveaux,Les deux types,28.4
2018-2019,Colombie-Britannique,Femme,Tous les niveaux,Les deux types,26.8
2018-2019,Colombie-Britannique,Les deux sexes,Tous les niveaux,Avec nicotine,25.8
2018-2019,Colombie-Britannique,Homme,Tous les niveaux,Avec nicotine,26.6
2018-2019,Colombie-Britannique,Femme,Tous les niveaux,Avec nicotine,25.1
2018-2019,Colombie-Britannique,Les deux sexes,Tous les niveaux,Sans nicotine,13.1
2018-2019,Colombie-Britannique,Homme,Tous les niveaux,Sans nicotine,12.9
2018-2019,Colombie-Britannique,Femme,Tous les niveaux,Sans nicotine,13.3
2018-2019,Colombie-Britannique,Les deux sexes,7e à 9e année,Les deux types,15.4
2018-2019,Colombie-Britannique,Homme,7e à 9e année,Les deux types,15.0
2018-2019,Colombie-Britannique,Femme,7e à 9e année,Les deux types,15.8
2018-2019,Colombie-Britannique,Les deux sexes,7e à 9e année,Avec nicotine,13.6
2018-2019,Colombie-Britannique,Homme,7e à 9e année,Avec nicotine,13.1
2018-2019,Colombie-Britannique,Femme,7e à 9e année,Avec nicotine,14.0
2018-2019,Colombie-Britannique,Les deux sexes,7e à 9e année,Sans nicotine,10.2
2018-2019,Colombie-Britannique,Homme,7e à 9e année,Sans nicotine,10.1
2018-2019,Colombie-Britannique,Femme,7e à 9e année,Sans nicotine,10.4
2018-2019,Colombie-Britannique,Les deux sexes,10e à 12e année,Les deux types,38.5
2018-2019,Colombie-Britannique,Homme,10e à 12e année,Les deux types,40.3
2018-2019,Colombie-Britannique,Femme,10e à 12e année,Les deux types,36.7
2018-2019,Colombie-Britannique,Les deux sexes,10e à 12e année,Avec nicotine,36.8
2018-2019,Colombie-Britannique,Homme,10e à 12e année,Avec nicotine,38.6
2018-2019,Colombie-Britannique,Femme,10e à 12e année,Avec nicotine,35.0
2018-2019,Colombie-Britannique,Les deux sexes,10e à 12e année,Sans nicotine,15.7
2018-2019,Colombie-Britannique,Homme,10e à 12e année,Sans nicotine,15.5
2018-2019,Colombie-Britannique,Femme,10e à 12e année,Sans nicotine,15.9
