Year,Géographie,Groupe d'âge,Genre,Groupe autochtone,Niveau de scolarité atteint,Minorité visible,Status d'immigrant,GeoCode,Value
2016,"Edmonton, Alberta",,,,,,,,67.4
2016,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,69.3
2016,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,56.1
2016,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,63.4
2016,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,57.6
2016,"Kootenay, Colombie-Britannique",,,,,,,,55.0
2016,"Cariboo, Colombie-Britannique",,,,,,,,61.8
2016,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.5
2016,"Nord-est, Colombie-Britannique",,,,,,,,69.9
2017,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,55.9
2017,"Côte-sud-Burin Peninsula et Notre Dame-Central-Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,41.4
2017,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,49.2
2017,"Cape Breton, Nouvelle-Écosse",,,,,,,,45.2
2017,"Côte-nord, Nouvelle-Écosse",,,,,,,,53.9
2017,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,56.2
2017,"Sud, Nouvelle-Écosse",,,,,,,,49.5
2017,"Halifax, Nouvelle-Écosse",,,,,,,,62.7
2017,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,47.7
2017,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.3
2017,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,60.0
2017,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,58.8
2017,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,57.8
2017,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,47.8
2017,"Bas-Saint-Laurent, Québec",,,,,,,,50.1
2017,"Capitale-Nationale, Québec",,,,,,,,64.5
2017,"Chaudière-Appalaches, Québec",,,,,,,,61.1
2017,"Estrie, Quebec",,,,,,,,57.5
2017,"Centre-du-Québec, Québec",,,,,,,,60.0
2017,"Montérégie, Québec",,,,,,,,63.4
2017,"Montréal, Québec",,,,,,,,61.2
2017,"Laval, Québec",,,,,,,,61.5
2017,"Lanaudière, Québec",,,,,,,,62.3
2017,"Laurentides, Québec",,,,,,,,60.6
2017,"Outaouais, Québec",,,,,,,,61.9
2017,"Abitibi-Témiscamingue, Québec",,,,,,,,62.2
2017,"Mauricie, Quebec",,,,,,,,53.3
2017,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,55.7
2017,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,60.4
2017,"Ottawa, Ontario",,,,,,,,62.0
2017,"Kingston-Pembroke, Ontario",,,,,,,,54.7
2017,"Muskoka-Kawarthas, Ontario",,,,,,,,55.0
2017,"Toronto, Ontario",,,,,,,,62.4
2017,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.6
2017,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.5
2017,"London, Ontario",,,,,,,,58.8
2017,"Windsor-Sarnia, Ontario",,,,,,,,57.1
2017,"Stratford-Bruce Peninsula, Ontario",,,,,,,,60.2
2017,"Nord-est, Ontario",,,,,,,,53.9
2017,"Nord-ouest, Ontario",,,,,,,,59.9
2017,"Sud-est, Manitoba",,,,,,,,66.4
2017,"Centre sud et Centre nord, Manitoba",,,,,,,,65.0
2017,"Sud-ouest, Manitoba",,,,,,,,62.1
2017,"Winnipeg, Manitoba",,,,,,,,64.0
2017,"Interlake, Manitoba",,,,,,,,61.5
2017,"Parklands et Nord, Manitoba",,,,,,,,64.4
2017,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.2
2017,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.6
2017,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.8
2017,"Yorkton-Melville, Saskatchewan",,,,,,,,63.2
2017,"Prince Albert et Nord, Saskatchewan",,,,,,,,61.0
2017,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.4
2017,"Camrose-Drumheller, Alberta",,,,,,,,61.7
2017,"Calgary, Alberta",,,,,,,,67.2
2017,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,66.1
2017,"Red Deer, Alberta",,,,,,,,65.7
2017,"Edmonton, Alberta",,,,,,,,66.4
2017,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,70.4
2017,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,58.3
2017,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,64.5
2017,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,58.9
2017,"Kootenay, Colombie-Britannique",,,,,,,,58.9
2017,"Cariboo, Colombie-Britannique",,,,,,,,63.3
2017,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.5
2017,"Nord-est, Colombie-Britannique",,,,,,,,68.3
2018,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,55.3
2018,"Côte-sud-Burin Peninsula et Notre Dame-Central-Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,43.9
2018,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.6
2018,"Cape Breton, Nouvelle-Écosse",,,,,,,,44.2
2018,"Côte-nord, Nouvelle-Écosse",,,,,,,,51.7
2018,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,54.1
2018,"Sud, Nouvelle-Écosse",,,,,,,,52.7
2018,"Halifax, Nouvelle-Écosse",,,,,,,,63.8
2018,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,48.7
2018,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.5
2018,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.2
2018,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,58.0
2018,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,57.9
2018,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,45.2
2018,"Bas-Saint-Laurent, Québec",,,,,,,,54.4
2018,"Capitale-Nationale, Québec",,,,,,,,63.9
2018,"Chaudière-Appalaches, Québec",,,,,,,,63.1
2018,"Estrie, Quebec",,,,,,,,59.4
2018,"Centre-du-Québec, Québec",,,,,,,,58.0
2018,"Montérégie, Québec",,,,,,,,63.4
2018,"Montréal, Québec",,,,,,,,62.1
2018,"Laval, Québec",,,,,,,,66.2
2018,"Lanaudière, Québec",,,,,,,,60.4
2018,"Laurentides, Québec",,,,,,,,61.0
2018,"Outaouais, Québec",,,,,,,,62.7
2018,"Abitibi-Témiscamingue, Québec",,,,,,,,64.1
2018,"Mauricie, Quebec",,,,,,,,53.4
2018,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,54.4
2018,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,61.3
2018,"Ottawa, Ontario",,,,,,,,62.2
2018,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2018,"Muskoka-Kawarthas, Ontario",,,,,,,,53.4
2018,"Toronto, Ontario",,,,,,,,62.5
2018,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.5
2018,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.8
2018,"London, Ontario",,,,,,,,59.1
2018,"Windsor-Sarnia, Ontario",,,,,,,,57.4
2018,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.6
2018,"Nord-est, Ontario",,,,,,,,54.7
2018,"Nord-ouest, Ontario",,,,,,,,60.6
2018,"Sud-est, Manitoba",,,,,,,,66.0
2018,"Centre sud et Centre nord, Manitoba",,,,,,,,63.5
2018,"Sud-ouest, Manitoba",,,,,,,,62.8
2018,"Winnipeg, Manitoba",,,,,,,,63.8
2018,"Interlake, Manitoba",,,,,,,,59.7
2018,"Parklands et Nord, Manitoba",,,,,,,,63.3
2018,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.1
2018,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.0
2018,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.9
2018,"Yorkton-Melville, Saskatchewan",,,,,,,,59.3
2018,"Prince Albert et Nord, Saskatchewan",,,,,,,,61.9
2018,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.7
2018,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2018,"Calgary, Alberta",,,,,,,,67.1
2018,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.1
2018,"Red Deer, Alberta",,,,,,,,68.7
2018,"Edmonton, Alberta",,,,,,,,67.3
2018,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.3
2018,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,59.2
2018,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,64.6
2018,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,57.5
2018,"Kootenay, Colombie-Britannique",,,,,,,,58.1
2018,"Cariboo, Colombie-Britannique",,,,,,,,63.3
2018,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,64.9
2018,"Nord-est, Colombie-Britannique",,,,,,,,71.4
2019,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,57.6
2019,"Côte-sud-Burin Peninsula et Notre Dame-Central-Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,42.1
2019,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.6
2019,"Cape Breton, Nouvelle-Écosse",,,,,,,,47.1
2019,"Côte-nord, Nouvelle-Écosse",,,,,,,,53.8
2019,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,56.1
2019,"Sud, Nouvelle-Écosse",,,,,,,,49.5
2019,"Halifax, Nouvelle-Écosse",,,,,,,,64.2
2019,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,45.4
2019,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.3
2019,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,60.6
2019,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,59.1
2019,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,56.2
2019,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,44.3
2019,"Bas-Saint-Laurent, Québec",,,,,,,,55.4
2019,"Capitale-Nationale, Québec",,,,,,,,65.2
2019,"Chaudière-Appalaches, Québec",,,,,,,,63.0
2019,"Estrie, Quebec",,,,,,,,59.6
2019,"Centre-du-Québec, Québec",,,,,,,,61.6
2019,"Montérégie, Québec",,,,,,,,63.2
2019,"Montréal, Québec",,,,,,,,62.8
2019,"Laval, Québec",,,,,,,,60.0
2019,"Lanaudière, Québec",,,,,,,,62.2
2019,"Laurentides, Québec",,,,,,,,61.6
2019,"Outaouais, Québec",,,,,,,,63.7
2019,"Abitibi-Témiscamingue, Québec",,,,,,,,63.9
2019,"Mauricie, Quebec",,,,,,,,53.8
2019,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,56.1
2019,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,61.2
2019,"Ottawa, Ontario",,,,,,,,63.8
2019,"Kingston-Pembroke, Ontario",,,,,,,,55.9
2019,"Muskoka-Kawarthas, Ontario",,,,,,,,51.0
2019,"Toronto, Ontario",,,,,,,,63.1
2019,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.0
2019,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.9
2019,"London, Ontario",,,,,,,,58.0
2019,"Windsor-Sarnia, Ontario",,,,,,,,56.4
2019,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.0
2019,"Nord-est, Ontario",,,,,,,,54.7
2019,"Nord-ouest, Ontario",,,,,,,,59.5
2019,"Sud-est, Manitoba",,,,,,,,63.1
2019,"Centre sud et Centre nord, Manitoba",,,,,,,,62.8
2019,"Sud-ouest, Manitoba",,,,,,,,65.2
2019,"Winnipeg, Manitoba",,,,,,,,64.2
2019,"Interlake, Manitoba",,,,,,,,59.7
2019,"Parklands et Nord, Manitoba",,,,,,,,59.2
2019,"Regina-Moose Mountain, Saskatchewan",,,,,,,,67.8
2019,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,63.8
2019,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.4
2019,"Yorkton-Melville, Saskatchewan",,,,,,,,63.0
2019,"Prince Albert et Nord, Saskatchewan",,,,,,,,62.2
