Year,Géographie,Emplacement,Genre,Démographique and socio-économique,GeoCode,Value
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,65 ans et plus,001,62.8
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),001,61.6
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",0 à 14 ans,001,53.2
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",15 à 64 ans,001,61.5
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",15 à 19 ans,001,55.2
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",20 à 24 ans,001,68.7
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,"Total, genre",65 ans et plus,001,68.4
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,61.2
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,0 à 14 ans,001,53.2
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,15 à 64 ans,001,61.7
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,15 à 19 ans,001,55.7
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,20 à 24 ans,001,69.5
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Hommes+,65 ans et plus,001,66.6
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,61.9
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,0 à 14 ans,001,53.1
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,15 à 64 ans,001,61.3
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,15 à 19 ans,001,54.8
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,20 à 24 ans,001,68.0
2023,"St. John's, Terre-Neuve-et-Labrador",Urbain,Femmes+,65 ans et plus,001,69.7
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),001,7.8
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",0 à 14 ans,001,7.5
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",15 à 64 ans,001,8.2
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",15 à 19 ans,001,7.5
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",20 à 24 ans,001,14.0
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,"Total, genre",65 ans et plus,001,6.2
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,7.4
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,0 à 14 ans,001,7.4
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,15 à 64 ans,001,7.7
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,15 à 19 ans,001,6.8
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,20 à 24 ans,001,12.4
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Hommes+,65 ans et plus,001,6.1
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,8.1
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,0 à 14 ans,001,7.5
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,15 à 64 ans,001,8.8
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,15 à 19 ans,001,8.2
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,20 à 24 ans,001,17.5
2023,"St. John's, Terre-Neuve-et-Labrador",Rurale,Femmes+,65 ans et plus,001,6.0
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11,40.3
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",0 à 14 ans,11,36.3
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",15 à 64 ans,11,40.6
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",15 à 19 ans,11,38.2
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",20 à 24 ans,11,52.2
2023,Île-du-Prince-Édouard,"Total, emplacement","Total, genre",65 ans et plus,11,42.4
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,39.5
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,0 à 14 ans,11,36.1
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,15 à 64 ans,11,40.4
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,15 à 19 ans,11,38.3
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,20 à 24 ans,11,52.8
2023,Île-du-Prince-Édouard,"Total, emplacement",Hommes+,65 ans et plus,11,39.5
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,41.1
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,0 à 14 ans,11,36.6
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,15 à 64 ans,11,40.8
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,15 à 19 ans,11,38.1
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,20 à 24 ans,11,51.5
2023,Île-du-Prince-Édouard,"Total, emplacement",Femmes+,65 ans et plus,11,44.8
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11,65.8
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",0 à 14 ans,11,63.0
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",15 à 64 ans,11,66.9
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",15 à 19 ans,11,63.1
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",20 à 24 ans,11,72.5
2023,Île-du-Prince-Édouard,Urbain,"Total, genre",65 ans et plus,11,64.5
2023,Île-du-Prince-Édouard,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,65.8
2023,Île-du-Prince-Édouard,Urbain,Hommes+,0 à 14 ans,11,62.2
2023,Île-du-Prince-Édouard,Urbain,Hommes+,15 à 64 ans,11,67.3
2023,Île-du-Prince-Édouard,Urbain,Hommes+,15 à 19 ans,11,63.2
2023,Île-du-Prince-Édouard,Urbain,Hommes+,20 à 24 ans,11,72.5
2023,Île-du-Prince-Édouard,Urbain,Hommes+,65 ans et plus,11,63.7
2023,Île-du-Prince-Édouard,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,65.8
2023,Île-du-Prince-Édouard,Urbain,Femmes+,0 à 14 ans,11,63.7
2023,Île-du-Prince-Édouard,Urbain,Femmes+,15 à 64 ans,11,66.4
2023,Île-du-Prince-Édouard,Urbain,Femmes+,15 à 19 ans,11,63.0
2023,Île-du-Prince-Édouard,Urbain,Femmes+,20 à 24 ans,11,72.3
2023,Île-du-Prince-Édouard,Urbain,Femmes+,65 ans et plus,11,65.1
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11,11.7
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",0 à 14 ans,11,10.0
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",15 à 64 ans,11,10.9
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",15 à 19 ans,11,10.2
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",20 à 24 ans,11,13.4
2023,Île-du-Prince-Édouard,Rurale,"Total, genre",65 ans et plus,11,15.7
2023,Île-du-Prince-Édouard,Rurale,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,11.2
2023,Île-du-Prince-Édouard,Rurale,Hommes+,0 à 14 ans,11,10.0
2023,Île-du-Prince-Édouard,Rurale,Hommes+,15 à 64 ans,11,10.6
2023,Île-du-Prince-Édouard,Rurale,Hommes+,15 à 19 ans,11,10.6
2023,Île-du-Prince-Édouard,Rurale,Hommes+,20 à 24 ans,11,14.2
2023,Île-du-Prince-Édouard,Rurale,Hommes+,65 ans et plus,11,13.9
2023,Île-du-Prince-Édouard,Rurale,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11,12.3
2023,Île-du-Prince-Édouard,Rurale,Femmes+,0 à 14 ans,11,9.8
2023,Île-du-Prince-Édouard,Rurale,Femmes+,15 à 64 ans,11,11.3
2023,Île-du-Prince-Édouard,Rurale,Femmes+,15 à 19 ans,11,9.8
2023,Île-du-Prince-Édouard,Rurale,Femmes+,20 à 24 ans,11,12.4
2023,Île-du-Prince-Édouard,Rurale,Femmes+,65 ans et plus,11,17.4
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),12,58.6
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",0 à 14 ans,12,54.8
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",15 à 64 ans,12,59.9
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",15 à 19 ans,12,53.8
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",20 à 24 ans,12,71.3
2023,Nouvelle-Écosse,"Total, emplacement","Total, genre",65 ans et plus,12,57.3
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,57.9
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,0 à 14 ans,12,54.8
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,15 à 64 ans,12,59.6
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,15 à 19 ans,12,53.0
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,20 à 24 ans,12,70.3
2023,Nouvelle-Écosse,"Total, emplacement",Hommes+,65 ans et plus,12,54.5
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,59.3
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,0 à 14 ans,12,54.8
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,15 à 64 ans,12,60.1
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,15 à 19 ans,12,54.6
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,20 à 24 ans,12,72.4
2023,Nouvelle-Écosse,"Total, emplacement",Femmes+,65 ans et plus,12,59.6
2023,Nouvelle-Écosse,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),12,76.5
2023,Nouvelle-Écosse,Urbain,"Total, genre",0 à 14 ans,12,72.2
2023,Nouvelle-Écosse,Urbain,"Total, genre",15 à 64 ans,12,77.4
2023,Nouvelle-Écosse,Urbain,"Total, genre",15 à 19 ans,12,71.0
2023,Nouvelle-Écosse,Urbain,"Total, genre",20 à 24 ans,12,84.0
2023,Nouvelle-Écosse,Urbain,"Total, genre",65 ans et plus,12,76.6
2023,Nouvelle-Écosse,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,76.2
2023,Nouvelle-Écosse,Urbain,Hommes+,0 à 14 ans,12,72.1
2023,Nouvelle-Écosse,Urbain,Hommes+,15 à 64 ans,12,77.4
2023,Nouvelle-Écosse,Urbain,Hommes+,15 à 19 ans,12,70.7
2023,Nouvelle-Écosse,Urbain,Hommes+,20 à 24 ans,12,83.6
2023,Nouvelle-Écosse,Urbain,Hommes+,65 ans et plus,12,75.3
2023,Nouvelle-Écosse,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,76.7
2023,Nouvelle-Écosse,Urbain,Femmes+,0 à 14 ans,12,72.3
2023,Nouvelle-Écosse,Urbain,Femmes+,15 à 64 ans,12,77.3
2023,Nouvelle-Écosse,Urbain,Femmes+,15 à 19 ans,12,71.4
2023,Nouvelle-Écosse,Urbain,Femmes+,20 à 24 ans,12,84.4
2023,Nouvelle-Écosse,Urbain,Femmes+,65 ans et plus,12,77.7
2023,Nouvelle-Écosse,Rurale,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),12,13.0
2023,Nouvelle-Écosse,Rurale,"Total, genre",0 à 14 ans,12,11.6
2023,Nouvelle-Écosse,Rurale,"Total, genre",15 à 64 ans,12,12.4
2023,Nouvelle-Écosse,Rurale,"Total, genre",15 à 19 ans,12,11.3
2023,Nouvelle-Écosse,Rurale,"Total, genre",20 à 24 ans,12,13.8
2023,Nouvelle-Écosse,Rurale,"Total, genre",65 ans et plus,12,15.5
2023,Nouvelle-Écosse,Rurale,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,12.7
2023,Nouvelle-Écosse,Rurale,Hommes+,0 à 14 ans,12,11.9
2023,Nouvelle-Écosse,Rurale,Hommes+,15 à 64 ans,12,12.3
2023,Nouvelle-Écosse,Rurale,Hommes+,15 à 19 ans,12,11.2
2023,Nouvelle-Écosse,Rurale,Hommes+,20 à 24 ans,12,13.2
2023,Nouvelle-Écosse,Rurale,Hommes+,65 ans et plus,12,14.2
2023,Nouvelle-Écosse,Rurale,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),12,13.2
2023,Nouvelle-Écosse,Rurale,Femmes+,0 à 14 ans,12,11.3
2023,Nouvelle-Écosse,Rurale,Femmes+,15 à 64 ans,12,12.4
2023,Nouvelle-Écosse,Rurale,Femmes+,15 à 19 ans,12,11.5
2023,Nouvelle-Écosse,Rurale,Femmes+,20 à 24 ans,12,14.5
2023,Nouvelle-Écosse,Rurale,Femmes+,65 ans et plus,12,16.7
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),205,65.5
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",0 à 14 ans,205,60.7
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",15 à 64 ans,205,66.5
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",15 à 19 ans,205,59.1
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",20 à 24 ans,205,77.7
2023,"Halifax, Nouvelle-Écosse","Total, emplacement","Total, genre",65 ans et plus,205,65.6
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),205,64.8
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,0 à 14 ans,205,60.5
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,15 à 64 ans,205,66.2
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,15 à 19 ans,205,58.2
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,20 à 24 ans,205,76.9
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Hommes+,65 ans et plus,205,63.0
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),205,66.1
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,0 à 14 ans,205,60.9
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,15 à 64 ans,205,66.7
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,15 à 19 ans,205,60.1
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,20 à 24 ans,205,78.6
2023,"Halifax, Nouvelle-Écosse","Total, emplacement",Femmes+,65 ans et plus,205,67.8
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),205,81.3
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",0 à 14 ans,205,77.1
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",15 à 64 ans,205,81.8
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",15 à 19 ans,205,75.7
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",20 à 24 ans,205,88.0
2023,"Halifax, Nouvelle-Écosse",Urbain,"Total, genre",65 ans et plus,205,82.7
