Year,Rôles de leadership,Value
2021,Membres des corps législatifs et cadres supérieures,29.9
2021,Cadres intermédiaires spécialisées,49.2
2021,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.1
2021,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.1
2022,Gestion,35.3
2022,Membres des corps législatifs et cadres supérieures,31.5
2022,Cadres intermédiaires spécialisées,47.9
2022,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.8
2022,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.8
2023,Gestion,35.1
2023,Membres des corps législatifs et cadres supérieures,29.8
2023,Cadres intermédiaires spécialisées,47.8
2023,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",37.5
2023,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2024,Gestion,36.4
2024,Membres des corps législatifs et cadres supérieures,29.2
2024,Cadres intermédiaires spécialisées,48.7
2024,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.3
2024,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.7
2021,Juges nommées par le gouvernement fédéral,43.8
2022,Juges nommées par le gouvernement fédéral,45.3
2023,Juges nommées par le gouvernement fédéral,46.7
2002,Chefs dans les communautés des Premières Nations,14.9
2002,Membres de conseil des Premières Nations,27.0
2003,Chefs dans les communautés des Premières Nations,16.4
2003,Membres de conseil des Premières Nations,27.1
2004,Chefs dans les communautés des Premières Nations,15.5
2004,Membres de conseil des Premières Nations,27.6
2005,Chefs dans les communautés des Premières Nations,16.0
2005,Membres de conseil des Premières Nations,28.6
2006,Chefs dans les communautés des Premières Nations,17.3
2006,Membres de conseil des Premières Nations,29.2
2007,Chefs dans les communautés des Premières Nations,18.7
2007,Membres de conseil des Premières Nations,30.3
2008,Chefs dans les communautés des Premières Nations,20.1
2008,Membres de conseil des Premières Nations,31.0
2009,Chefs dans les communautés des Premières Nations,18.8
2009,Membres de conseil des Premières Nations,31.0
2010,Chefs dans les communautés des Premières Nations,19.0
2010,Membres de conseil des Premières Nations,29.0
2011,Chefs dans les communautés des Premières Nations,17.8
2011,Membres de conseil des Premières Nations,29.1
2012,Chefs dans les communautés des Premières Nations,16.5
2012,Membres de conseil des Premières Nations,29.4
2013,Chefs dans les communautés des Premières Nations,17.1
2013,Membres de conseil des Premières Nations,28.7
2014,Chefs dans les communautés des Premières Nations,18.6
2014,Membres de conseil des Premières Nations,29.0
2015,Chefs dans les communautés des Premières Nations,19.5
2015,Membres de conseil des Premières Nations,30.5
2016,Chefs dans les communautés des Premières Nations,19.7
2016,Membres de conseil des Premières Nations,30.7
2017,Chefs dans les communautés des Premières Nations,18.8
2017,Membres de conseil des Premières Nations,28.6
2018,Chefs dans les communautés des Premières Nations,20.4
2018,Membres de conseil des Premières Nations,28.2
2019,Chefs dans les communautés des Premières Nations,18.5
2019,Membres de conseil des Premières Nations,27.4
