Year,Sexe,Groupe d'âge,Value
2011,Femmes,40 à 59 ans,28.0
2011,Femmes,60 à 79 ans,32.0
2013,Les deux sexes,5 à 17 ans,12.6
2013,Les deux sexes,5 à 11 ans,8.9
2013,Les deux sexes,12 à 17 ans,16.5
2013,Les deux sexes,18 à 79 ans,26.4
2013,Les deux sexes,18 à 39 ans,21.5
2013,Les deux sexes,40 à 59 ans,30.1
2013,Les deux sexes,60 à 79 ans,28.6
2013,Hommes,5 à 79 ans,24.6
2013,Hommes,5 à 17 ans,14.6
2013,Hommes,5 à 11 ans,8.4
2013,Hommes,12 à 17 ans,21.0
2013,Hommes,18 à 79 ans,26.5
2013,Hommes,18 à 39 ans,19.6
2013,Hommes,40 à 59 ans,31.4
2013,Hommes,60 à 79 ans,30.5
2013,Femmes,5 à 79 ans,23.8
2013,Femmes,5 à 17 ans,10.5
2013,Femmes,5 à 11 ans,9.4
2013,Femmes,12 à 17 ans,11.7
2013,Femmes,18 à 79 ans,26.3
2013,Femmes,18 à 39 ans,23.4
2013,Femmes,40 à 59 ans,28.8
2013,Femmes,60 à 79 ans,26.8
2015,Les deux sexes,5 à 17 ans,13.0
2015,Les deux sexes,5 à 11 ans,12.4
2015,Les deux sexes,12 à 17 ans,13.8
2015,Les deux sexes,18 à 79 ans,28.1
2015,Les deux sexes,18 à 39 ans,24.2
2015,Les deux sexes,40 à 59 ans,29.0
2015,Les deux sexes,60 à 79 ans,33.2
2015,Hommes,5 à 79 ans,26.2
2015,Hommes,5 à 17 ans,14.6
2015,Hommes,5 à 11 ans,13.9
2015,Hommes,12 à 17 ans,15.3
2015,Hommes,18 à 79 ans,28.5
2015,Hommes,18 à 39 ans,24.7
2015,Hommes,40 à 59 ans,29.4
2015,Hommes,60 à 79 ans,33.4
2015,Femmes,5 à 79 ans,25.3
2015,Femmes,5 à 17 ans,11.4
2015,Femmes,5 à 11 ans,10.6
2015,Femmes,12 à 17 ans,12.1
2015,Femmes,18 à 79 ans,27.8
2015,Femmes,18 à 39 ans,23.7
2015,Femmes,40 à 59 ans,28.6
2015,Femmes,60 à 79 ans,32.9
2017,Les deux sexes,5 à 17 ans,10.6
2017,Les deux sexes,5 à 11 ans,9.6
2017,Les deux sexes,12 à 17 ans,11.8
2017,Les deux sexes,18 à 79 ans,26.9
2017,Les deux sexes,18 à 39 ans,19.8
2017,Les deux sexes,40 à 59 ans,30.5
2017,Les deux sexes,60 à 79 ans,32.6
2017,Hommes,5 à 79 ans,24.6
2017,Hommes,5 à 17 ans,12.0
2017,Hommes,5 à 11 ans,11.5
2017,Hommes,12 à 17 ans,12.6
2017,Hommes,18 à 79 ans,26.9
2017,Hommes,18 à 39 ans,20.8
2017,Hommes,40 à 59 ans,29.5
2017,Hommes,60 à 79 ans,33.0
2017,Femmes,5 à 79 ans,24.2
2017,Femmes,5 à 17 ans,9.1
2017,Femmes,5 à 11 ans,7.6
2017,Femmes,12 à 17 ans,10.9
2017,Femmes,18 à 79 ans,27.0
2017,Femmes,18 à 39 ans,18.7
2017,Femmes,40 à 59 ans,31.4
2017,Femmes,60 à 79 ans,32.3
2019,Les deux sexes,5 à 17 ans,10.1
2019,Les deux sexes,5 à 11 ans,9.1
2019,Les deux sexes,12 à 17 ans,11.2
2019,Les deux sexes,18 à 79 ans,24.3
2019,Les deux sexes,18 à 39 ans,19.8
2019,Les deux sexes,40 à 59 ans,25.5
2019,Les deux sexes,60 à 79 ans,29.3
2019,Hommes,5 à 79 ans,24.5
2019,Hommes,5 à 17 ans,13.1
2019,Hommes,5 à 11 ans,11.1
2019,Hommes,12 à 17 ans,15.4
2019,Hommes,18 à 79 ans,26.7
2019,Hommes,18 à 39 ans,23.5
2019,Hommes,40 à 59 ans,29.2
2019,Hommes,60 à 79 ans,28.1
2019,Femmes,5 à 79 ans,19.6
2019,Femmes,5 à 17 ans,7.0
2019,Femmes,5 à 11 ans,7.0
2019,Femmes,12 à 17 ans,7.0
2019,Femmes,18 à 79 ans,22.0
2019,Femmes,18 à 39 ans,15.8
2019,Femmes,40 à 59 ans,21.8
2019,Femmes,60 à 79 ans,30.4
