Year,Géographie,Antigène ou vaccin,Âge,GeoCode,Value
2021,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,,92.8
2017,Canada,Haemophilus influenzae de type B (Hib),2 ans,,73.4
2019,Canada,Haemophilus influenzae de type B (Hib),2 ans,,74.4
2021,Canada,Haemophilus influenzae de type B (Hib),2 ans,,75.3
2017,Canada,Haemophilus influenzae de type B (Hib),7 ans,,83.9
2019,Canada,Haemophilus influenzae de type B (Hib),7 ans,,80.0
2021,Canada,Haemophilus influenzae de type B (Hib),7 ans,,78.5
2017,Canada,Hépatite B,14 ans,,83.1
2019,Canada,Hépatite B,14 ans,,84.5
2021,Canada,Hépatite B,14 ans,,89.0
2017,Canada,Hépatite B,2 ans,,74.1
2019,Canada,Hépatite B,2 ans,,83.6
2021,Canada,Hépatite B,2 ans,,82.6
2021,Canada,Hépatite B,7 ans,,78.4
2019,Canada,Virus du papillome humain (VPH),14 ans,,80.2
2021,Canada,Virus du papillome humain (VPH),14 ans,,84.0
2017,Canada,Rougeole,2 ans,,90.2
2019,Canada,Rougeole,2 ans,,90.2
2021,Canada,Rougeole,2 ans,,91.6
2017,Canada,Rougeole,7 ans,,87.0
2019,Canada,Rougeole,7 ans,,83.3
2021,Canada,Rougeole,7 ans,,79.2
2019,Canada,Méningite de type C,17 ans,,89.3
2021,Canada,Méningite de type C,17 ans,,89.0
2017,Canada,Méningite de type C,2 ans,,87.6
2019,Canada,Méningite de type C,2 ans,,91.1
2021,Canada,Méningite de type C,2 ans,,90.5
2017,Canada,Rubéole,2 ans,,89.9
2019,Canada,Rubéole,2 ans,,89.2
2021,Canada,Rubéole,2 ans,,91.5
2017,Canada,Rubéole,7 ans,,86.4
2019,Canada,Rubéole,7 ans,,83.1
2021,Canada,Rubéole,7 ans,,79.5
2017,Canada,Coqueluche,2 ans,,75.8
2019,Canada,Coqueluche,2 ans,,77.5
2021,Canada,Coqueluche,2 ans,,77.1
2017,Canada,Coqueluche,7 ans,,80.5
2019,Canada,Coqueluche,7 ans,,78.1
2021,Canada,Coqueluche,7 ans,,71.9
2017,Canada,Pneumocoque,2 ans,,81.4
2019,Canada,Pneumocoque,2 ans,,84.4
2021,Canada,Pneumocoque,2 ans,,85.1
2017,Canada,Polio,2 ans,,90.7
2019,Canada,Polio,2 ans,,91.9
2021,Canada,Polio,2 ans,,91.8
2017,Canada,Polio,7 ans,,92.3
2019,Canada,Polio,7 ans,,89.3
2021,Canada,Polio,7 ans,,87.3
2017,Canada,Rotavirus,2 ans,,78.8
2019,Canada,Rotavirus,2 ans,,84.5
2021,Canada,Rotavirus,2 ans,,85.6
2017,Canada,Oreillons,2 ans,,90.0
2019,Canada,Oreillons,2 ans,,89.4
2021,Canada,Oreillons,2 ans,,91.5
2017,Canada,Oreillons,7 ans,,94.5
2019,Canada,Oreillons,7 ans,,95.9
2021,Canada,Oreillons,7 ans,,94.0
2017,Canada,Tétanos,2 ans,,75.8
2019,Canada,Tétanos,2 ans,,77.5
2021,Canada,Tétanos,2 ans,,77.1
2017,Canada,Tétanos,7 ans,,80.5
2019,Canada,Tétanos,7 ans,,78.1
2021,Canada,Tétanos,7 ans,,71.9
2017,Canada,Varicelle,2 ans,,82.9
2019,Canada,Varicelle,2 ans,,82.7
2021,Canada,Varicelle,2 ans,,87.5
2021,Canada,Varicelle,7 ans,,90.7
2017,Manitoba,Diphtérie,2 ans,46,67.5
2021,Manitoba,Diphtérie,2 ans,46,75.5
2017,Manitoba,Haemophilus influenzae de type B (Hib),2 ans,46,62.2
2021,Manitoba,Haemophilus influenzae de type B (Hib),2 ans,46,75.3
2017,Manitoba,Rougeole,2 ans,46,86.1
2021,Manitoba,Rougeole,2 ans,46,87.1
2017,Manitoba,Méningite de type C,2 ans,46,82.2
2021,Manitoba,Méningite de type C,2 ans,46,88.8
2017,Manitoba,Rubéole,2 ans,46,85.9
2021,Manitoba,Rubéole,2 ans,46,86.6
2017,Manitoba,Coqueluche,2 ans,46,67.5
2021,Manitoba,Coqueluche,2 ans,46,75.5
2017,Manitoba,Pneumocoque,2 ans,46,74.6
2021,Manitoba,Pneumocoque,2 ans,46,81.7
2017,Manitoba,Polio,2 ans,46,85.6
2021,Manitoba,Polio,2 ans,46,87.9
2017,Manitoba,Rotavirus,2 ans,46,68.4
2021,Manitoba,Rotavirus,2 ans,46,82.2
2017,Manitoba,Oreillons,2 ans,46,86.2
2021,Manitoba,Oreillons,2 ans,46,86.6
2017,Manitoba,Tétanos,2 ans,46,67.5
2021,Manitoba,Tétanos,2 ans,46,75.5
2017,Manitoba,Varicelle,2 ans,46,81.6
2021,Manitoba,Varicelle,2 ans,46,86.9
2017,Nouveau-Brunswick,Diphtérie,2 ans,13,75.5
2021,Nouveau-Brunswick,Diphtérie,2 ans,13,78.1
2017,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),2 ans,13,74.7
2021,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),2 ans,13,75.9
2017,Nouveau-Brunswick,Hépatite B,2 ans,13,81.0
2021,Nouveau-Brunswick,Hépatite B,2 ans,13,79.8
2017,Nouveau-Brunswick,Rougeole,2 ans,13,92.0
2021,Nouveau-Brunswick,Rougeole,2 ans,13,94.3
2017,Nouveau-Brunswick,Méningite de type C,2 ans,13,88.3
2021,Nouveau-Brunswick,Méningite de type C,2 ans,13,90.6
2017,Nouveau-Brunswick,Rubéole,2 ans,13,92.0
2021,Nouveau-Brunswick,Rubéole,2 ans,13,94.3
2017,Nouveau-Brunswick,Coqueluche,2 ans,13,75.5
2021,Nouveau-Brunswick,Coqueluche,2 ans,13,78.1
2017,Nouveau-Brunswick,Pneumocoque,2 ans,13,82.2
2021,Nouveau-Brunswick,Pneumocoque,2 ans,13,86.7
2017,Nouveau-Brunswick,Polio,2 ans,13,90.1
2021,Nouveau-Brunswick,Polio,2 ans,13,89.6
2021,Nouveau-Brunswick,Rotavirus,2 ans,13,66.6
2017,Nouveau-Brunswick,Oreillons,2 ans,13,92.0
2021,Nouveau-Brunswick,Oreillons,2 ans,13,94.3
2017,Nouveau-Brunswick,Tétanos,2 ans,13,75.5
2021,Nouveau-Brunswick,Tétanos,2 ans,13,78.1
2017,Nouveau-Brunswick,Varicelle,2 ans,13,90.9
2021,Nouveau-Brunswick,Varicelle,2 ans,13,91.2
2017,Terre-Neuve-et-Labrador,Diphtérie,2 ans,10,88.9
2021,Terre-Neuve-et-Labrador,Diphtérie,2 ans,10,80.0
2017,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),2 ans,10,87.7
2021,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),2 ans,10,76.8
2017,Terre-Neuve-et-Labrador,Rougeole,2 ans,10,96.9
2021,Terre-Neuve-et-Labrador,Rougeole,2 ans,10,97.0
2017,Terre-Neuve-et-Labrador,Méningite de type C,2 ans,10,93.2
2021,Terre-Neuve-et-Labrador,Méningite de type C,2 ans,10,93.6
2017,Terre-Neuve-et-Labrador,Rubéole,2 ans,10,96.9
2021,Terre-Neuve-et-Labrador,Rubéole,2 ans,10,97.0
2017,Terre-Neuve-et-Labrador,Coqueluche,2 ans,10,88.9
2021,Terre-Neuve-et-Labrador,Coqueluche,2 ans,10,80.0
2017,Terre-Neuve-et-Labrador,Pneumocoque,2 ans,10,90.2
2021,Terre-Neuve-et-Labrador,Pneumocoque,2 ans,10,87.8
2017,Terre-Neuve-et-Labrador,Polio,2 ans,10,96.9
2021,Terre-Neuve-et-Labrador,Polio,2 ans,10,95.4
2021,Terre-Neuve-et-Labrador,Rotavirus,2 ans,10,93.3
2017,Terre-Neuve-et-Labrador,Oreillons,2 ans,10,96.9
2021,Terre-Neuve-et-Labrador,Oreillons,2 ans,10,97.0
2017,Terre-Neuve-et-Labrador,Tétanos,2 ans,10,88.9
2021,Terre-Neuve-et-Labrador,Tétanos,2 ans,10,80.0
2017,Terre-Neuve-et-Labrador,Varicelle,2 ans,10,95.1
2021,Terre-Neuve-et-Labrador,Varicelle,2 ans,10,96.4
2017,Territoires du Nord-Ouest,Diphtérie,2 ans,61,76.7
2021,Territoires du Nord-Ouest,Diphtérie,2 ans,61,66.0
2017,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),2 ans,61,75.5
2021,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),2 ans,61,60.0
2017,Territoires du Nord-Ouest,Hépatite B,2 ans,61,80.5
2021,Territoires du Nord-Ouest,Hépatite B,2 ans,61,81.0
2017,Territoires du Nord-Ouest,Rougeole,2 ans,61,91.8
2021,Territoires du Nord-Ouest,Rougeole,2 ans,61,90.8
2017,Territoires du Nord-Ouest,Méningite de type C,2 ans,61,95.2
2021,Territoires du Nord-Ouest,Méningite de type C,2 ans,61,88.8
2017,Territoires du Nord-Ouest,Rubéole,2 ans,61,91.8
2021,Territoires du Nord-Ouest,Rubéole,2 ans,61,89.5
2017,Territoires du Nord-Ouest,Coqueluche,2 ans,61,76.7
2021,Territoires du Nord-Ouest,Coqueluche,2 ans,61,66.0
2017,Territoires du Nord-Ouest,Pneumocoque,2 ans,61,63.8
2021,Territoires du Nord-Ouest,Pneumocoque,2 ans,61,59.9
2017,Territoires du Nord-Ouest,Polio,2 ans,61,91.1
2021,Territoires du Nord-Ouest,Polio,2 ans,61,80.4
2017,Territoires du Nord-Ouest,Rotavirus,2 ans,61,66.3
2021,Territoires du Nord-Ouest,Rotavirus,2 ans,61,75.6
2017,Territoires du Nord-Ouest,Oreillons,2 ans,61,91.8
2021,Territoires du Nord-Ouest,Oreillons,2 ans,61,88.2
2017,Territoires du Nord-Ouest,Tétanos,2 ans,61,76.7
2021,Territoires du Nord-Ouest,Tétanos,2 ans,61,66.0
2017,Territoires du Nord-Ouest,Varicelle,2 ans,61,88.9
2021,Territoires du Nord-Ouest,Varicelle,2 ans,61,80.2
2017,Nouvelle-Écosse,Diphtérie,2 ans,12,73.8
2021,Nouvelle-Écosse,Diphtérie,2 ans,12,70.3
2017,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),2 ans,12,68.5
2021,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),2 ans,12,66.8
2017,Nouvelle-Écosse,Rougeole,2 ans,12,87.1
2021,Nouvelle-Écosse,Rougeole,2 ans,12,93.6
2017,Nouvelle-Écosse,Méningite de type C,2 ans,12,81.8
2021,Nouvelle-Écosse,Méningite de type C,2 ans,12,89.4
2017,Nouvelle-Écosse,Rubéole,2 ans,12,86.8
2021,Nouvelle-Écosse,Rubéole,2 ans,12,93.6
2017,Nouvelle-Écosse,Coqueluche,2 ans,12,73.8
2021,Nouvelle-Écosse,Coqueluche,2 ans,12,70.3
2017,Nouvelle-Écosse,Pneumocoque,2 ans,12,80.4
2021,Nouvelle-Écosse,Pneumocoque,2 ans,12,79.0
2017,Nouvelle-Écosse,Polio,2 ans,12,93.5
2021,Nouvelle-Écosse,Polio,2 ans,12,87.9
2017,Nouvelle-Écosse,Oreillons,2 ans,12,86.8
2021,Nouvelle-Écosse,Oreillons,2 ans,12,93.6
2017,Nouvelle-Écosse,Tétanos,2 ans,12,73.8
2021,Nouvelle-Écosse,Tétanos,2 ans,12,70.3
2017,Nouvelle-Écosse,Varicelle,2 ans,12,84.8
2021,Nouvelle-Écosse,Varicelle,2 ans,12,93.2
2017,Nunavut,Diphtérie,2 ans,62,63.8
2021,Nunavut,Diphtérie,2 ans,62,24.1
2017,Nunavut,Haemophilus influenzae de type B (Hib),2 ans,62,57.2
2021,Nunavut,Haemophilus influenzae de type B (Hib),2 ans,62,24.1
2017,Nunavut,Hépatite B,2 ans,62,70.8
2021,Nunavut,Hépatite B,2 ans,62,32.5
2017,Nunavut,Rougeole,2 ans,62,88.7
2021,Nunavut,Rougeole,2 ans,62,34.6
2017,Nunavut,Méningite de type C,2 ans,62,80.1
2021,Nunavut,Méningite de type C,2 ans,62,34.5
2017,Nunavut,Rubéole,2 ans,62,88.7
2021,Nunavut,Rubéole,2 ans,62,34.6
2017,Nunavut,Coqueluche,2 ans,62,63.8
2021,Nunavut,Coqueluche,2 ans,62,24.1
2017,Nunavut,Pneumocoque,2 ans,62,62.4
2021,Nunavut,Pneumocoque,2 ans,62,21.0
2017,Nunavut,Polio,2 ans,62,82.1
2021,Nunavut,Polio,2 ans,62,33.5
2017,Nunavut,Oreillons,2 ans,62,88.7
2021,Nunavut,Oreillons,2 ans,62,34.6
2017,Nunavut,Tétanos,2 ans,62,63.8
2021,Nunavut,Tétanos,2 ans,62,24.1
2017,Nunavut,Varicelle,2 ans,62,82.1
2021,Nunavut,Varicelle,2 ans,62,21.2
2017,Ontario,Diphtérie,2 ans,35,75.7
2021,Ontario,Diphtérie,2 ans,35,76.7
2017,Ontario,Haemophilus influenzae de type B (Hib),2 ans,35,72.9
2021,Ontario,Haemophilus influenzae de type B (Hib),2 ans,35,73.8
2017,Ontario,Rougeole,2 ans,35,90.9
2021,Ontario,Rougeole,2 ans,35,92.0
2017,Ontario,Méningite de type C,2 ans,35,85.7
2021,Ontario,Méningite de type C,2 ans,35,90.1
2017,Ontario,Rubéole,2 ans,35,90.5
2021,Ontario,Rubéole,2 ans,35,91.7
2017,Ontario,Coqueluche,2 ans,35,75.7
2021,Ontario,Coqueluche,2 ans,35,76.7
2017,Ontario,Pneumocoque,2 ans,35,80.5
2021,Ontario,Pneumocoque,2 ans,35,86.1
2017,Ontario,Polio,2 ans,35,91.0
2021,Ontario,Polio,2 ans,35,94.4
2017,Ontario,Rotavirus,2 ans,35,77.7
2021,Ontario,Rotavirus,2 ans,35,84.7
2017,Ontario,Oreillons,2 ans,35,90.5
2021,Ontario,Oreillons,2 ans,35,91.7
2017,Ontario,Tétanos,2 ans,35,75.7
2021,Ontario,Tétanos,2 ans,35,76.7
2017,Ontario,Varicelle,2 ans,35,84.3
2021,Ontario,Varicelle,2 ans,35,85.9
2017,Île-du-Prince-Édouard,Diphtérie,2 ans,11,81.2
2021,Île-du-Prince-Édouard,Diphtérie,2 ans,11,95.8
2017,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),2 ans,11,79.8
2021,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),2 ans,11,95.8
2017,Île-du-Prince-Édouard,Hépatite B,2 ans,11,86.7
2021,Île-du-Prince-Édouard,Hépatite B,2 ans,11,97.7
2017,Île-du-Prince-Édouard,Rougeole,2 ans,11,93.2
2021,Île-du-Prince-Édouard,Rougeole,2 ans,11,98.0
2017,Île-du-Prince-Édouard,Méningite de type C,2 ans,11,92.7
2017,Île-du-Prince-Édouard,Rubéole,2 ans,11,92.6
2021,Île-du-Prince-Édouard,Rubéole,2 ans,11,98.0
2017,Île-du-Prince-Édouard,Coqueluche,2 ans,11,81.2
2021,Île-du-Prince-Édouard,Coqueluche,2 ans,11,95.8
2017,Île-du-Prince-Édouard,Pneumocoque,2 ans,11,89.5
2021,Île-du-Prince-Édouard,Pneumocoque,2 ans,11,97.4
2017,Île-du-Prince-Édouard,Polio,2 ans,11,93.9
2017,Île-du-Prince-Édouard,Rotavirus,2 ans,11,85.9
2021,Île-du-Prince-Édouard,Rotavirus,2 ans,11,96.4
2017,Île-du-Prince-Édouard,Oreillons,2 ans,11,92.6
2021,Île-du-Prince-Édouard,Oreillons,2 ans,11,98.0
2017,Île-du-Prince-Édouard,Tétanos,2 ans,11,81.2
2021,Île-du-Prince-Édouard,Tétanos,2 ans,11,95.8
2017,Île-du-Prince-Édouard,Varicelle,2 ans,11,92.0
2021,Île-du-Prince-Édouard,Varicelle,2 ans,11,96.7
2017,Québec,Diphtérie,2 ans,24,73.7
2021,Québec,Diphtérie,2 ans,24,76.2
2017,Québec,Haemophilus influenzae de type B (Hib),2 ans,24,71.3
2021,Québec,Haemophilus influenzae de type B (Hib),2 ans,24,75.8
2017,Québec,Hépatite B,2 ans,24,75.7
2021,Québec,Hépatite B,2 ans,24,80.6
2017,Québec,Rougeole,2 ans,24,91.0
2021,Québec,Rougeole,2 ans,24,93.2
2017,Québec,Méningite de type C,2 ans,24,89.9
2021,Québec,Méningite de type C,2 ans,24,90.2
2017,Québec,Rubéole,2 ans,24,90.5
2021,Québec,Rubéole,2 ans,24,93.2
2017,Québec,Coqueluche,2 ans,24,73.7
2021,Québec,Coqueluche,2 ans,24,76.2
2017,Québec,Pneumocoque,2 ans,24,83.3
2021,Québec,Pneumocoque,2 ans,24,85.3
2017,Québec,Polio,2 ans,24,90.9
2021,Québec,Polio,2 ans,24,91.7
2017,Québec,Rotavirus,2 ans,24,81.0
2021,Québec,Rotavirus,2 ans,24,86.0
2017,Québec,Oreillons,2 ans,24,90.5
2021,Québec,Oreillons,2 ans,24,93.2
2017,Québec,Tétanos,2 ans,24,73.7
2021,Québec,Tétanos,2 ans,24,76.2
2017,Québec,Varicelle,2 ans,24,76.1
2021,Québec,Varicelle,2 ans,24,89.9
2017,Saskatchewan,Diphtérie,2 ans,47,78.6
2021,Saskatchewan,Diphtérie,2 ans,47,80.9
2017,Saskatchewan,Haemophilus influenzae de type B (Hib),2 ans,47,75.1
2021,Saskatchewan,Haemophilus influenzae de type B (Hib),2 ans,47,80.6
2017,Saskatchewan,Rougeole,2 ans,47,89.5
2021,Saskatchewan,Rougeole,2 ans,47,91.4
2017,Saskatchewan,Méningite de type C,2 ans,47,81.1
2021,Saskatchewan,Méningite de type C,2 ans,47,89.1
2017,Saskatchewan,Rubéole,2 ans,47,89.5
2021,Saskatchewan,Rubéole,2 ans,47,91.0
2017,Saskatchewan,Coqueluche,2 ans,47,78.6
2021,Saskatchewan,Coqueluche,2 ans,47,80.9
2017,Saskatchewan,Pneumocoque,2 ans,47,83.7
2021,Saskatchewan,Pneumocoque,2 ans,47,83.7
2017,Saskatchewan,Polio,2 ans,47,90.0
2021,Saskatchewan,Polio,2 ans,47,91.0
2017,Saskatchewan,Rotavirus,2 ans,47,84.0
2021,Saskatchewan,Rotavirus,2 ans,47,88.2
2017,Saskatchewan,Oreillons,2 ans,47,89.5
2021,Saskatchewan,Oreillons,2 ans,47,91.0
2017,Saskatchewan,Tétanos,2 ans,47,78.6
2021,Saskatchewan,Tétanos,2 ans,47,80.9
2017,Saskatchewan,Varicelle,2 ans,47,84.8
2021,Saskatchewan,Varicelle,2 ans,47,80.9
2017,Yukon,Diphtérie,2 ans,60,70.7
2021,Yukon,Diphtérie,2 ans,60,66.6
2017,Yukon,Haemophilus influenzae de type B (Hib),2 ans,60,69.3
2021,Yukon,Haemophilus influenzae de type B (Hib),2 ans,60,64.0
2017,Yukon,Hépatite B,2 ans,60,62.8
2021,Yukon,Hépatite B,2 ans,60,71.3
2017,Yukon,Rougeole,2 ans,60,91.0
2021,Yukon,Rougeole,2 ans,60,85.3
2017,Yukon,Méningite de type C,2 ans,60,93.7
2021,Yukon,Méningite de type C,2 ans,60,90.0
2017,Yukon,Rubéole,2 ans,60,91.0
2021,Yukon,Rubéole,2 ans,60,85.3
2017,Yukon,Coqueluche,2 ans,60,70.7
2021,Yukon,Coqueluche,2 ans,60,66.6
2017,Yukon,Pneumocoque,2 ans,60,83.2
2021,Yukon,Pneumocoque,2 ans,60,73.2
2017,Yukon,Polio,2 ans,60,93.7
2021,Yukon,Polio,2 ans,60,86.3
2017,Yukon,Rotavirus,2 ans,60,76.6
2021,Yukon,Rotavirus,2 ans,60,86.7
2017,Yukon,Oreillons,2 ans,60,91.0
2021,Yukon,Oreillons,2 ans,60,85.3
2017,Yukon,Tétanos,2 ans,60,70.7
2021,Yukon,Tétanos,2 ans,60,66.6
2017,Yukon,Varicelle,2 ans,60,85.5
2021,Yukon,Varicelle,2 ans,60,81.8
