Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles de personnes âgées,,61000.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Couples de personnes âgées,,60100.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Autres familles de personnes âgées,,64900.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles de personnes non âgées,,94700.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Couples,,84200.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Couples avec des enfants,,111900.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Couples avec d'autres personnes apparentées,,127400.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles monoparentales,,47700.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles monoparentales ayant un homme à leur tête,,58000.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles monoparentales ayant une femme à leur tête,,46200.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Autres familles de personnes non âgées,,70500.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Personnes hors famille économique,,29900.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Personnes âgées hors famille économique,,29100.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Hommes âgés hors famille économique,,32300.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Femmes âgées hors famille économique,,27900.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Personnes non âgées hors famille économique,,30700.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Hommes non âgés hors famille économique,,32900.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Femmes non âgées hors famille économique,,29300.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles économiques et personnes hors famille économique,10,66900.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles économiques,10,94500.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles de personnes âgées,10,52100.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Couples de personnes âgées,10,49700.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Autres familles de personnes âgées,10,67800.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles de personnes non âgées,10,106600.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Couples,10,88000.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Couples avec des enfants,10,120300.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Couples avec d'autres personnes apparentées,10,156600.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles monoparentales,10,41600.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles monoparentales ayant un homme à leur tête,10,
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Familles monoparentales ayant une femme à leur tête,10,36300.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Autres familles de personnes non âgées,10,84900.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Personnes hors famille économique,10,28200.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Personnes âgées hors famille économique,10,27300.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Hommes âgés hors famille économique,10,31700.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Femmes âgées hors famille économique,10,25700.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Personnes non âgées hors famille économique,10,29300.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Hommes non âgés hors famille économique,10,33000.0
2015,Dollars constants de 2023,Terre-Neuve-et-Labrador,Femmes non âgées hors famille économique,10,26100.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles économiques et personnes hors famille économique,11,63800.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles économiques,11,82300.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles de personnes âgées,11,66600.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Couples de personnes âgées,11,66100.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Autres familles de personnes âgées,11,69500.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles de personnes non âgées,11,88700.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Couples,11,78000.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Couples avec des enfants,11,102300.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Couples avec d'autres personnes apparentées,11,120300.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles monoparentales,11,46400.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles monoparentales ayant un homme à leur tête,11,
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Familles monoparentales ayant une femme à leur tête,11,46400.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Autres familles de personnes non âgées,11,
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Personnes hors famille économique,11,31000.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Personnes âgées hors famille économique,11,29700.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Hommes âgés hors famille économique,11,31500.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Femmes âgées hors famille économique,11,28600.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Personnes non âgées hors famille économique,11,31700.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Hommes non âgés hors famille économique,11,32800.0
2015,Dollars constants de 2023,Île-du-Prince-Édouard,Femmes non âgées hors famille économique,11,28600.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles économiques et personnes hors famille économique,12,59300.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles économiques,12,85300.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles de personnes âgées,12,63800.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Couples de personnes âgées,12,61600.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Autres familles de personnes âgées,12,71000.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles de personnes non âgées,12,91600.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Couples,12,82300.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Couples avec des enfants,12,110200.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Couples avec d'autres personnes apparentées,12,127400.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles monoparentales,12,47500.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles monoparentales ayant un homme à leur tête,12,
2015,Dollars constants de 2023,Nouvelle-Écosse,Familles monoparentales ayant une femme à leur tête,12,47500.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Autres familles de personnes non âgées,12,74800.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Personnes hors famille économique,12,30900.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Personnes âgées hors famille économique,12,29700.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Hommes âgés hors famille économique,12,31900.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Femmes âgées hors famille économique,12,29100.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Personnes non âgées hors famille économique,12,32100.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Hommes non âgés hors famille économique,12,33700.0
2015,Dollars constants de 2023,Nouvelle-Écosse,Femmes non âgées hors famille économique,12,29300.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles économiques et personnes hors famille économique,13,62300.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles économiques,13,82500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles de personnes âgées,13,62600.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Couples de personnes âgées,13,63500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Autres familles de personnes âgées,13,53300.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles de personnes non âgées,13,90600.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Couples,13,83500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Couples avec des enfants,13,104600.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Couples avec d'autres personnes apparentées,13,108500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles monoparentales,13,54500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles monoparentales ayant un homme à leur tête,13,
2015,Dollars constants de 2023,Nouveau-Brunswick,Familles monoparentales ayant une femme à leur tête,13,48600.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Autres familles de personnes non âgées,13,60900.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Personnes hors famille économique,13,30100.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Personnes âgées hors famille économique,13,29800.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Hommes âgés hors famille économique,13,33300.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Femmes âgées hors famille économique,13,27500.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Personnes non âgées hors famille économique,13,30100.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Hommes non âgés hors famille économique,13,31100.0
2015,Dollars constants de 2023,Nouveau-Brunswick,Femmes non âgées hors famille économique,13,29700.0
2015,Dollars constants de 2023,Québec,Familles économiques et personnes hors famille économique,24,59900.0
2015,Dollars constants de 2023,Québec,Familles économiques,24,85600.0
2015,Dollars constants de 2023,Québec,Familles de personnes âgées,24,62600.0
2015,Dollars constants de 2023,Québec,Couples de personnes âgées,24,61400.0
2015,Dollars constants de 2023,Québec,Autres familles de personnes âgées,24,70000.0
2015,Dollars constants de 2023,Québec,Familles de personnes non âgées,24,91800.0
2015,Dollars constants de 2023,Québec,Couples,24,82200.0
2015,Dollars constants de 2023,Québec,Couples avec des enfants,24,107100.0
2015,Dollars constants de 2023,Québec,Couples avec d'autres personnes apparentées,24,118400.0
2015,Dollars constants de 2023,Québec,Familles monoparentales,24,59200.0
2015,Dollars constants de 2023,Québec,Familles monoparentales ayant un homme à leur tête,24,76000.0
2015,Dollars constants de 2023,Québec,Familles monoparentales ayant une femme à leur tête,24,57200.0
2015,Dollars constants de 2023,Québec,Autres familles de personnes non âgées,24,80600.0
2015,Dollars constants de 2023,Québec,Personnes hors famille économique,24,33400.0
2015,Dollars constants de 2023,Québec,Personnes âgées hors famille économique,24,30600.0
2015,Dollars constants de 2023,Québec,Hommes âgés hors famille économique,24,30600.0
2015,Dollars constants de 2023,Québec,Femmes âgées hors famille économique,24,30600.0
2015,Dollars constants de 2023,Québec,Personnes non âgées hors famille économique,24,35700.0
2015,Dollars constants de 2023,Québec,Hommes non âgés hors famille économique,24,37800.0
2015,Dollars constants de 2023,Québec,Femmes non âgées hors famille économique,24,32900.0
2015,Dollars constants de 2023,Ontario,Familles économiques et personnes hors famille économique,35,72500.0
2015,Dollars constants de 2023,Ontario,Familles économiques,35,99900.0
2015,Dollars constants de 2023,Ontario,Familles de personnes âgées,35,79300.0
2015,Dollars constants de 2023,Ontario,Couples de personnes âgées,35,77500.0
2015,Dollars constants de 2023,Ontario,Autres familles de personnes âgées,35,87500.0
2015,Dollars constants de 2023,Ontario,Familles de personnes non âgées,35,105400.0
2015,Dollars constants de 2023,Ontario,Couples,35,93100.0
2015,Dollars constants de 2023,Ontario,Couples avec des enfants,35,119000.0
2015,Dollars constants de 2023,Ontario,Couples avec d'autres personnes apparentées,35,152200.0
2015,Dollars constants de 2023,Ontario,Familles monoparentales,35,54000.0
2015,Dollars constants de 2023,Ontario,Familles monoparentales ayant un homme à leur tête,35,62300.0
2015,Dollars constants de 2023,Ontario,Familles monoparentales ayant une femme à leur tête,35,51300.0
2015,Dollars constants de 2023,Ontario,Autres familles de personnes non âgées,35,84000.0
2015,Dollars constants de 2023,Ontario,Personnes hors famille économique,35,35800.0
2015,Dollars constants de 2023,Ontario,Personnes âgées hors famille économique,35,36100.0
2015,Dollars constants de 2023,Ontario,Hommes âgés hors famille économique,35,39400.0
2015,Dollars constants de 2023,Ontario,Femmes âgées hors famille économique,35,34100.0
2015,Dollars constants de 2023,Ontario,Personnes non âgées hors famille économique,35,35700.0
2015,Dollars constants de 2023,Ontario,Hommes non âgés hors famille économique,35,42700.0
2015,Dollars constants de 2023,Ontario,Femmes non âgées hors famille économique,35,31200.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles économiques et personnes hors famille économique,,83100.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles économiques,,111300.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles de personnes âgées,,78600.0
2015,Dollars constants de 2023,Provinces des Prairies,Couples de personnes âgées,,76900.0
2015,Dollars constants de 2023,Provinces des Prairies,Autres familles de personnes âgées,,89100.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles de personnes non âgées,,118100.0
2015,Dollars constants de 2023,Provinces des Prairies,Couples,,111000.0
2015,Dollars constants de 2023,Provinces des Prairies,Couples avec des enfants,,125200.0
2015,Dollars constants de 2023,Provinces des Prairies,Couples avec d'autres personnes apparentées,,164800.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles monoparentales,,58000.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles monoparentales ayant un homme à leur tête,,89000.0
2015,Dollars constants de 2023,Provinces des Prairies,Familles monoparentales ayant une femme à leur tête,,52300.0
2015,Dollars constants de 2023,Provinces des Prairies,Autres familles de personnes non âgées,,101300.0
2015,Dollars constants de 2023,Provinces des Prairies,Personnes hors famille économique,,44400.0
2015,Dollars constants de 2023,Provinces des Prairies,Personnes âgées hors famille économique,,37200.0
2015,Dollars constants de 2023,Provinces des Prairies,Hommes âgés hors famille économique,,42300.0
2015,Dollars constants de 2023,Provinces des Prairies,Femmes âgées hors famille économique,,35700.0
2015,Dollars constants de 2023,Provinces des Prairies,Personnes non âgées hors famille économique,,47600.0
2015,Dollars constants de 2023,Provinces des Prairies,Hommes non âgés hors famille économique,,51300.0
2015,Dollars constants de 2023,Provinces des Prairies,Femmes non âgées hors famille économique,,43000.0
2015,Dollars constants de 2023,Manitoba,Familles économiques et personnes hors famille économique,46,69000.0
2015,Dollars constants de 2023,Manitoba,Familles économiques,46,91000.0
2015,Dollars constants de 2023,Manitoba,Familles de personnes âgées,46,74900.0
2015,Dollars constants de 2023,Manitoba,Couples de personnes âgées,46,73400.0
2015,Dollars constants de 2023,Manitoba,Autres familles de personnes âgées,46,95000.0
2015,Dollars constants de 2023,Manitoba,Familles de personnes non âgées,46,95200.0
2015,Dollars constants de 2023,Manitoba,Couples,46,91200.0
2015,Dollars constants de 2023,Manitoba,Couples avec des enfants,46,104100.0
2015,Dollars constants de 2023,Manitoba,Couples avec d'autres personnes apparentées,46,139900.0
2015,Dollars constants de 2023,Manitoba,Familles monoparentales,46,47200.0
2015,Dollars constants de 2023,Manitoba,Familles monoparentales ayant un homme à leur tête,46,
2015,Dollars constants de 2023,Manitoba,Familles monoparentales ayant une femme à leur tête,46,46100.0
2015,Dollars constants de 2023,Manitoba,Autres familles de personnes non âgées,46,77600.0
2015,Dollars constants de 2023,Manitoba,Personnes hors famille économique,46,39300.0
2015,Dollars constants de 2023,Manitoba,Personnes âgées hors famille économique,46,34800.0
2015,Dollars constants de 2023,Manitoba,Hommes âgés hors famille économique,46,40600.0
2015,Dollars constants de 2023,Manitoba,Femmes âgées hors famille économique,46,32500.0
2015,Dollars constants de 2023,Manitoba,Personnes non âgées hors famille économique,46,41100.0
2015,Dollars constants de 2023,Manitoba,Hommes non âgés hors famille économique,46,43300.0
2015,Dollars constants de 2023,Manitoba,Femmes non âgées hors famille économique,46,38200.0
2015,Dollars constants de 2023,Saskatchewan,Familles économiques et personnes hors famille économique,47,75700.0
2015,Dollars constants de 2023,Saskatchewan,Familles économiques,47,104300.0
2015,Dollars constants de 2023,Saskatchewan,Familles de personnes âgées,47,74500.0
2015,Dollars constants de 2023,Saskatchewan,Couples de personnes âgées,47,73000.0
2015,Dollars constants de 2023,Saskatchewan,Autres familles de personnes âgées,47,93700.0
2015,Dollars constants de 2023,Saskatchewan,Familles de personnes non âgées,47,110600.0
2015,Dollars constants de 2023,Saskatchewan,Couples,47,98200.0
2015,Dollars constants de 2023,Saskatchewan,Couples avec des enfants,47,120100.0
2015,Dollars constants de 2023,Saskatchewan,Couples avec d'autres personnes apparentées,47,152500.0
2015,Dollars constants de 2023,Saskatchewan,Familles monoparentales,47,55900.0
2015,Dollars constants de 2023,Saskatchewan,Familles monoparentales ayant un homme à leur tête,47,
2015,Dollars constants de 2023,Saskatchewan,Familles monoparentales ayant une femme à leur tête,47,53300.0
2015,Dollars constants de 2023,Saskatchewan,Autres familles de personnes non âgées,47,101200.0
2015,Dollars constants de 2023,Saskatchewan,Personnes hors famille économique,47,42100.0
2015,Dollars constants de 2023,Saskatchewan,Personnes âgées hors famille économique,47,36600.0
2015,Dollars constants de 2023,Saskatchewan,Hommes âgés hors famille économique,47,41200.0
2015,Dollars constants de 2023,Saskatchewan,Femmes âgées hors famille économique,47,35700.0
2015,Dollars constants de 2023,Saskatchewan,Personnes non âgées hors famille économique,47,44900.0
2015,Dollars constants de 2023,Saskatchewan,Hommes non âgés hors famille économique,47,47800.0
2015,Dollars constants de 2023,Saskatchewan,Femmes non âgées hors famille économique,47,39900.0
2015,Dollars constants de 2023,Alberta,Familles économiques et personnes hors famille économique,48,90900.0
2015,Dollars constants de 2023,Alberta,Familles économiques,48,119900.0
2015,Dollars constants de 2023,Alberta,Familles de personnes âgées,48,81900.0
2015,Dollars constants de 2023,Alberta,Couples de personnes âgées,48,79200.0
2015,Dollars constants de 2023,Alberta,Autres familles de personnes âgées,48,89100.0
2015,Dollars constants de 2023,Alberta,Familles de personnes non âgées,48,125500.0
2015,Dollars constants de 2023,Alberta,Couples,48,123600.0
2015,Dollars constants de 2023,Alberta,Couples avec des enfants,48,132000.0
2015,Dollars constants de 2023,Alberta,Couples avec d'autres personnes apparentées,48,170300.0
2015,Dollars constants de 2023,Alberta,Familles monoparentales,48,67700.0
2015,Dollars constants de 2023,Alberta,Familles monoparentales ayant un homme à leur tête,48,93500.0
2015,Dollars constants de 2023,Alberta,Familles monoparentales ayant une femme à leur tête,48,56800.0
2015,Dollars constants de 2023,Alberta,Autres familles de personnes non âgées,48,105200.0
2015,Dollars constants de 2023,Alberta,Personnes hors famille économique,48,47600.0
2015,Dollars constants de 2023,Alberta,Personnes âgées hors famille économique,48,39700.0
2015,Dollars constants de 2023,Alberta,Hommes âgés hors famille économique,48,43400.0
2015,Dollars constants de 2023,Alberta,Femmes âgées hors famille économique,48,36700.0
2015,Dollars constants de 2023,Alberta,Personnes non âgées hors famille économique,48,51300.0
2015,Dollars constants de 2023,Alberta,Hommes non âgés hors famille économique,48,55700.0
2015,Dollars constants de 2023,Alberta,Femmes non âgées hors famille économique,48,45000.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles économiques et personnes hors famille économique,59,66000.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles économiques,59,98800.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles de personnes âgées,59,72700.0
2015,Dollars constants de 2023,Colombie-Britannique,Couples de personnes âgées,59,72700.0
2015,Dollars constants de 2023,Colombie-Britannique,Autres familles de personnes âgées,59,72700.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles de personnes non âgées,59,110600.0
2015,Dollars constants de 2023,Colombie-Britannique,Couples,59,102200.0
2015,Dollars constants de 2023,Colombie-Britannique,Couples avec des enfants,59,119700.0
2015,Dollars constants de 2023,Colombie-Britannique,Couples avec d'autres personnes apparentées,59,149300.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles monoparentales,59,64000.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles monoparentales ayant un homme à leur tête,59,75400.0
2015,Dollars constants de 2023,Colombie-Britannique,Familles monoparentales ayant une femme à leur tête,59,59400.0
2015,Dollars constants de 2023,Colombie-Britannique,Autres familles de personnes non âgées,59,74200.0
2015,Dollars constants de 2023,Colombie-Britannique,Personnes hors famille économique,59,29700.0
2015,Dollars constants de 2023,Colombie-Britannique,Personnes âgées hors famille économique,59,30400.0
2015,Dollars constants de 2023,Colombie-Britannique,Hommes âgés hors famille économique,59,28100.0
2015,Dollars constants de 2023,Colombie-Britannique,Femmes âgées hors famille économique,59,30700.0
2015,Dollars constants de 2023,Colombie-Britannique,Personnes non âgées hors famille économique,59,29300.0
2015,Dollars constants de 2023,Colombie-Britannique,Hommes non âgés hors famille économique,59,29700.0
2015,Dollars constants de 2023,Colombie-Britannique,Femmes non âgées hors famille économique,59,29200.0
2015,Dollars constants de 2023,"Québec, Québec",Familles économiques et personnes hors famille économique,,58900.0
2015,Dollars constants de 2023,"Québec, Québec",Familles économiques,,89700.0
2015,Dollars constants de 2023,"Québec, Québec",Familles de personnes âgées,,72000.0
2015,Dollars constants de 2023,"Québec, Québec",Couples de personnes âgées,,71200.0
2015,Dollars constants de 2023,"Québec, Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2023,"Québec, Québec",Familles de personnes non âgées,,100300.0
2015,Dollars constants de 2023,"Québec, Québec",Couples,,92200.0
2015,Dollars constants de 2023,"Québec, Québec",Couples avec des enfants,,122900.0
2015,Dollars constants de 2023,"Québec, Québec",Couples avec d'autres personnes apparentées,,
2015,Dollars constants de 2023,"Québec, Québec",Familles monoparentales,,74300.0
2015,Dollars constants de 2023,"Québec, Québec",Familles monoparentales ayant un homme à leur tête,,
2015,Dollars constants de 2023,"Québec, Québec",Familles monoparentales ayant une femme à leur tête,,
2015,Dollars constants de 2023,"Québec, Québec",Autres familles de personnes non âgées,,
2015,Dollars constants de 2023,"Québec, Québec",Personnes hors famille économique,,35000.0
2015,Dollars constants de 2023,"Québec, Québec",Personnes âgées hors famille économique,,30900.0
2015,Dollars constants de 2023,"Québec, Québec",Hommes âgés hors famille économique,,
2015,Dollars constants de 2023,"Québec, Québec",Femmes âgées hors famille économique,,32100.0
2015,Dollars constants de 2023,"Québec, Québec",Personnes non âgées hors famille économique,,39200.0
2015,Dollars constants de 2023,"Québec, Québec",Hommes non âgés hors famille économique,,35000.0
2015,Dollars constants de 2023,"Québec, Québec",Femmes non âgées hors famille économique,,43100.0
2015,Dollars constants de 2023,"Montréal, Québec",Familles économiques et personnes hors famille économique,,62000.0
2015,Dollars constants de 2023,"Montréal, Québec",Familles économiques,,87400.0
2015,Dollars constants de 2023,"Montréal, Québec",Familles de personnes âgées,,64900.0
2015,Dollars constants de 2023,"Montréal, Québec",Couples de personnes âgées,,63500.0
2015,Dollars constants de 2023,"Montréal, Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2023,"Montréal, Québec",Familles de personnes non âgées,,92100.0
2015,Dollars constants de 2023,"Montréal, Québec",Couples,,87000.0
2015,Dollars constants de 2023,"Montréal, Québec",Couples avec des enfants,,102300.0
2015,Dollars constants de 2023,"Montréal, Québec",Couples avec d'autres personnes apparentées,,112300.0
2015,Dollars constants de 2023,"Montréal, Québec",Familles monoparentales,,68900.0
2015,Dollars constants de 2023,"Montréal, Québec",Familles monoparentales ayant un homme à leur tête,,
2015,Dollars constants de 2023,"Montréal, Québec",Familles monoparentales ayant une femme à leur tête,,61700.0
2015,Dollars constants de 2023,"Montréal, Québec",Autres familles de personnes non âgées,,84100.0
2015,Dollars constants de 2023,"Montréal, Québec",Personnes hors famille économique,,34900.0
2015,Dollars constants de 2023,"Montréal, Québec",Personnes âgées hors famille économique,,33600.0
2015,Dollars constants de 2023,"Montréal, Québec",Hommes âgés hors famille économique,,32200.0
2015,Dollars constants de 2023,"Montréal, Québec",Femmes âgées hors famille économique,,35100.0
2015,Dollars constants de 2023,"Montréal, Québec",Personnes non âgées hors famille économique,,35500.0
2015,Dollars constants de 2023,"Montréal, Québec",Hommes non âgés hors famille économique,,40100.0
2015,Dollars constants de 2023,"Montréal, Québec",Femmes non âgées hors famille économique,,31300.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles économiques et personnes hors famille économique,,73800.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles économiques,,112600.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles de personnes âgées,,96500.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Couples de personnes âgées,,90900.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles de personnes non âgées,,119200.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Couples,,108600.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Couples avec des enfants,,140200.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Couples avec d'autres personnes apparentées,,174600.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles monoparentales,,60300.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles monoparentales ayant un homme à leur tête,,
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Familles monoparentales ayant une femme à leur tête,,44900.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Autres familles de personnes non âgées,,66000.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Personnes hors famille économique,,38500.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Personnes âgées hors famille économique,,38700.0
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Hommes âgés hors famille économique,,
2015,Dollars constants de 2023,"Ottawa-Gatineau, Ontario/Québec",Femmes âgées hors famille économique,,42900.0
