Year,Géographie,Genre,Groupe d'âge,GeoCode,Value
2015,Canada,Hommes+,25 ans et plus,,34.03
2015,Canada,Hommes+,45 ans et plus,,26.43
2015,Canada,Hommes+,55 à 64 ans,,28.72
2015,Canada,Hommes+,55 ans et plus,,18.73
2015,Canada,Hommes+,65 ans et plus,,8.31
2015,Canada,Total - Genre,15 à 24 ans,,19.3
2015,Canada,Total - Genre,25 à 44 ans,,37.04
2015,Canada,Total - Genre,25 à 54 ans,,37.06
2015,Canada,Total - Genre,25 ans et plus,,30.48
2015,Canada,Total - Genre,45 ans et plus,,25.66
2015,Canada,Total - Genre,55 à 64 ans,,24.91
2015,Canada,Total - Genre,55 ans et plus,,18.66
2015,Canada,Total - Genre,65 ans et plus,,8.42
2015,Canada,Femmes+,15 à 24 ans,,18.6
2015,Canada,Femmes+,15 ans et plus,,25.73
2015,Canada,Femmes+,25 à 44 ans,,33.5
2015,Canada,Femmes+,25 à 54 ans,,33.59
2015,Canada,Femmes+,25 ans et plus,,28.96
2015,Canada,Femmes+,45 ans et plus,,25.27
2015,Canada,Femmes+,55 à 64 ans,,23.12
2015,Canada,Femmes+,55 ans et plus,,18.61
2015,Canada,Femmes+,65 ans et plus,,6.75
2015,Manitoba,Hommes+,15 à 24 ans,46,23.76
2015,Manitoba,Hommes+,15 ans et plus,46,27.7
2015,Manitoba,Hommes+,25 à 44 ans,46,37.18
2015,Manitoba,Hommes+,25 à 54 ans,46,47.27
2015,Manitoba,Hommes+,25 ans et plus,46,31.28
2015,Manitoba,Hommes+,45 ans et plus,46,18.0
2015,Manitoba,Hommes+,55 à 64 ans,46,17.74
2015,Manitoba,Hommes+,55 ans et plus,46,11.11
2015,Manitoba,Hommes+,65 ans et plus,46,0.0
2015,Manitoba,Total - Genre,15 à 24 ans,46,21.58
2015,Manitoba,Total - Genre,15 ans et plus,46,24.53
2015,Manitoba,Total - Genre,25 à 44 ans,46,32.27
2015,Manitoba,Total - Genre,25 à 54 ans,46,32.86
2015,Manitoba,Total - Genre,25 ans et plus,46,26.24
2015,Manitoba,Total - Genre,45 ans et plus,46,21.57
2015,Manitoba,Total - Genre,55 à 64 ans,46,16.85
2015,Manitoba,Total - Genre,55 ans et plus,46,13.99
2015,Manitoba,Total - Genre,65 ans et plus,46,0.0
2015,Manitoba,Femmes+,15 à 24 ans,46,20.0
2015,Manitoba,Femmes+,15 ans et plus,46,22.66
2015,Manitoba,Femmes+,25 à 44 ans,46,28.2
2015,Manitoba,Femmes+,25 à 54 ans,46,28.76
2015,Manitoba,Femmes+,25 ans et plus,46,24.2
2015,Manitoba,Femmes+,45 ans et plus,46,21.02
2015,Manitoba,Femmes+,55 à 64 ans,46,13.11
2015,Manitoba,Femmes+,55 ans et plus,46,9.71
2015,Manitoba,Femmes+,65 ans et plus,46,0.0
2015,Nouveau-Brunswick,Hommes+,15 à 24 ans,13,11.84
2015,Nouveau-Brunswick,Hommes+,15 ans et plus,13,30.69
2015,Nouveau-Brunswick,Hommes+,25 à 44 ans,13,42.86
2015,Nouveau-Brunswick,Hommes+,25 à 54 ans,13,39.22
2015,Nouveau-Brunswick,Hommes+,25 ans et plus,13,35.4
2015,Nouveau-Brunswick,Hommes+,45 ans et plus,13,18.18
2015,Nouveau-Brunswick,Hommes+,55 à 64 ans,13,0.0
2015,Nouveau-Brunswick,Hommes+,55 ans et plus,13,9.68
2015,Nouveau-Brunswick,Hommes+,65 ans et plus,13,0.0
2015,Nouveau-Brunswick,Total - Genre,15 à 24 ans,13,21.62
2015,Nouveau-Brunswick,Total - Genre,15 ans et plus,13,31.08
2015,Nouveau-Brunswick,Total - Genre,25 à 44 ans,13,50.0
2015,Nouveau-Brunswick,Total - Genre,25 à 54 ans,13,46.38
2015,Nouveau-Brunswick,Total - Genre,25 ans et plus,13,35.64
2015,Nouveau-Brunswick,Total - Genre,45 ans et plus,13,27.19
2015,Nouveau-Brunswick,Total - Genre,55 à 64 ans,13,21.51
2015,Nouveau-Brunswick,Total - Genre,55 ans et plus,13,18.59
2015,Nouveau-Brunswick,Total - Genre,65 ans et plus,13,0.0
2015,Nouveau-Brunswick,Femmes+,15 à 24 ans,13,9.17
2015,Nouveau-Brunswick,Femmes+,15 ans et plus,13,30.92
2015,Nouveau-Brunswick,Femmes+,25 à 44 ans,13,47.47
2015,Nouveau-Brunswick,Femmes+,25 à 54 ans,13,43.59
2015,Nouveau-Brunswick,Femmes+,25 ans et plus,13,36.0
2015,Nouveau-Brunswick,Femmes+,45 ans et plus,13,28.48
2015,Nouveau-Brunswick,Femmes+,55 à 64 ans,13,16.92
2015,Nouveau-Brunswick,Femmes+,55 ans et plus,13,13.83
2015,Nouveau-Brunswick,Femmes+,65 ans et plus,13,0.0
2015,Terre-Neuve-et-Labrador,Hommes+,15 à 24 ans,10,0.0
2015,Terre-Neuve-et-Labrador,Hommes+,15 ans et plus,10,23.42
2015,Terre-Neuve-et-Labrador,Hommes+,25 à 44 ans,10,28.0
2015,Terre-Neuve-et-Labrador,Hommes+,25 à 54 ans,10,45.16
2015,Terre-Neuve-et-Labrador,Hommes+,25 ans et plus,10,32.76
2015,Terre-Neuve-et-Labrador,Hommes+,45 ans et plus,10,15.62
2015,Terre-Neuve-et-Labrador,Hommes+,55 à 64 ans,10,0.0
2015,Terre-Neuve-et-Labrador,Hommes+,55 ans et plus,10,0.0
2015,Terre-Neuve-et-Labrador,Hommes+,65 ans et plus,10,0.0
2015,Terre-Neuve-et-Labrador,Total - Genre,15 à 24 ans,10,16.3
2015,Terre-Neuve-et-Labrador,Total - Genre,15 ans et plus,10,33.52
2015,Terre-Neuve-et-Labrador,Total - Genre,25 à 44 ans,10,46.24
2015,Terre-Neuve-et-Labrador,Total - Genre,25 à 54 ans,10,50.76
2015,Terre-Neuve-et-Labrador,Total - Genre,25 ans et plus,10,42.4
2015,Terre-Neuve-et-Labrador,Total - Genre,45 ans et plus,10,30.65
2015,Terre-Neuve-et-Labrador,Total - Genre,55 à 64 ans,10,22.81
2015,Terre-Neuve-et-Labrador,Total - Genre,55 ans et plus,10,24.71
2015,Terre-Neuve-et-Labrador,Total - Genre,65 ans et plus,10,0.0
2015,Terre-Neuve-et-Labrador,Femmes+,15 à 24 ans,10,18.29
2015,Terre-Neuve-et-Labrador,Femmes+,15 ans et plus,10,35.68
2015,Terre-Neuve-et-Labrador,Femmes+,25 à 44 ans,10,38.81
2015,Terre-Neuve-et-Labrador,Femmes+,25 à 54 ans,10,51.0
2015,Terre-Neuve-et-Labrador,Femmes+,25 ans et plus,10,44.65
2015,Terre-Neuve-et-Labrador,Femmes+,45 ans et plus,10,33.7
2015,Terre-Neuve-et-Labrador,Femmes+,55 à 64 ans,10,22.73
2015,Terre-Neuve-et-Labrador,Femmes+,55 ans et plus,10,20.34
2015,Terre-Neuve-et-Labrador,Femmes+,65 ans et plus,10,0.0
2015,Nouvelle-Écosse,Hommes+,15 à 24 ans,12,25.0
2015,Nouvelle-Écosse,Hommes+,15 ans et plus,12,31.16
2015,Nouvelle-Écosse,Hommes+,25 à 44 ans,12,42.22
2015,Nouvelle-Écosse,Hommes+,25 à 54 ans,12,42.31
2015,Nouvelle-Écosse,Hommes+,25 ans et plus,12,32.32
2015,Nouvelle-Écosse,Hommes+,45 ans et plus,12,24.37
2015,Nouvelle-Écosse,Hommes+,55 à 64 ans,12,20.0
2015,Nouvelle-Écosse,Hommes+,55 ans et plus,12,12.79
2015,Nouvelle-Écosse,Hommes+,65 ans et plus,12,0.0
2015,Nouvelle-Écosse,Total - Genre,15 à 24 ans,12,24.64
2015,Nouvelle-Écosse,Total - Genre,15 ans et plus,12,30.79
2015,Nouvelle-Écosse,Total - Genre,25 à 44 ans,12,40.0
2015,Nouvelle-Écosse,Total - Genre,25 à 54 ans,12,41.4
2015,Nouvelle-Écosse,Total - Genre,25 ans et plus,12,34.4
2015,Nouvelle-Écosse,Total - Genre,45 ans et plus,12,30.86
2015,Nouvelle-Écosse,Total - Genre,55 à 64 ans,12,28.78
2015,Nouvelle-Écosse,Total - Genre,55 ans et plus,12,22.02
2015,Nouvelle-Écosse,Total - Genre,65 ans et plus,12,7.5
2015,Nouvelle-Écosse,Femmes+,15 à 24 ans,12,17.26
2015,Nouvelle-Écosse,Femmes+,15 ans et plus,12,30.41
2015,Nouvelle-Écosse,Femmes+,25 à 44 ans,12,38.67
2015,Nouvelle-Écosse,Femmes+,25 à 54 ans,12,38.56
2015,Nouvelle-Écosse,Femmes+,25 ans et plus,12,34.51
2015,Nouvelle-Écosse,Femmes+,45 ans et plus,12,31.05
2015,Nouvelle-Écosse,Femmes+,55 à 64 ans,12,24.47
2015,Nouvelle-Écosse,Femmes+,55 ans et plus,12,20.3
2015,Nouvelle-Écosse,Femmes+,65 ans et plus,12,0.0
2015,Ontario,Hommes+,15 à 24 ans,35,22.07
2015,Ontario,Hommes+,15 ans et plus,35,29.91
2015,Ontario,Hommes+,25 à 44 ans,35,49.55
2015,Ontario,Hommes+,25 à 54 ans,35,49.62
2015,Ontario,Hommes+,25 ans et plus,35,36.3
2015,Ontario,Hommes+,45 ans et plus,35,29.03
2015,Ontario,Hommes+,55 à 64 ans,35,25.47
2015,Ontario,Hommes+,55 ans et plus,35,21.19
2015,Ontario,Hommes+,65 ans et plus,35,9.01
2015,Ontario,Total - Genre,15 à 24 ans,35,21.83
2015,Ontario,Total - Genre,15 ans et plus,35,30.12
2015,Ontario,Total - Genre,25 à 44 ans,35,43.19
2015,Ontario,Total - Genre,25 à 54 ans,35,42.66
2015,Ontario,Total - Genre,25 ans et plus,35,34.93
2015,Ontario,Total - Genre,45 ans et plus,35,29.09
2015,Ontario,Total - Genre,55 à 64 ans,35,28.12
2015,Ontario,Total - Genre,55 ans et plus,35,21.2
2015,Ontario,Total - Genre,65 ans et plus,35,9.5
2015,Ontario,Femmes+,15 à 24 ans,35,21.68
2015,Ontario,Femmes+,15 ans et plus,35,30.21
2015,Ontario,Femmes+,25 à 44 ans,35,40.95
2015,Ontario,Femmes+,25 à 54 ans,35,40.31
2015,Ontario,Femmes+,25 ans et plus,35,34.35
2015,Ontario,Femmes+,45 ans et plus,35,29.15
2015,Ontario,Femmes+,55 à 64 ans,35,26.97
2015,Ontario,Femmes+,55 ans et plus,35,21.14
2015,Ontario,Femmes+,65 ans et plus,35,6.7
2015,Île-du-Prince-Édouard,Hommes+,15 à 24 ans,11,10.53
2015,Île-du-Prince-Édouard,Hommes+,15 ans et plus,11,28.89
2015,Île-du-Prince-Édouard,Hommes+,25 à 44 ans,11,50.0
2015,Île-du-Prince-Édouard,Hommes+,25 à 54 ans,11,46.15
2015,Île-du-Prince-Édouard,Hommes+,25 ans et plus,11,30.77
2015,Île-du-Prince-Édouard,Hommes+,45 ans et plus,11,17.65
2015,Île-du-Prince-Édouard,Hommes+,55 à 64 ans,11,0.0
2015,Île-du-Prince-Édouard,Hommes+,55 ans et plus,11,15.38
2015,Île-du-Prince-Édouard,Hommes+,65 ans et plus,11,0.0
2015,Île-du-Prince-Édouard,Total - Genre,15 à 24 ans,11,24.44
2015,Île-du-Prince-Édouard,Total - Genre,15 ans et plus,11,33.06
2015,Île-du-Prince-Édouard,Total - Genre,25 à 44 ans,11,50.0
2015,Île-du-Prince-Édouard,Total - Genre,25 à 54 ans,11,48.89
2015,Île-du-Prince-Édouard,Total - Genre,25 ans et plus,11,39.74
2015,Île-du-Prince-Édouard,Total - Genre,45 ans et plus,11,24.0
2015,Île-du-Prince-Édouard,Total - Genre,55 à 64 ans,11,21.05
2015,Île-du-Prince-Édouard,Total - Genre,55 ans et plus,11,17.65
2015,Île-du-Prince-Édouard,Total - Genre,65 ans et plus,11,14.29
2015,Île-du-Prince-Édouard,Femmes+,15 à 24 ans,11,19.23
2015,Île-du-Prince-Édouard,Femmes+,15 ans et plus,11,34.18
2015,Île-du-Prince-Édouard,Femmes+,25 à 44 ans,11,35.0
2015,Île-du-Prince-Édouard,Femmes+,25 à 54 ans,11,43.75
2015,Île-du-Prince-Édouard,Femmes+,25 ans et plus,11,35.85
2015,Île-du-Prince-Édouard,Femmes+,45 ans et plus,11,27.27
2015,Île-du-Prince-Édouard,Femmes+,55 à 64 ans,11,21.43
2015,Île-du-Prince-Édouard,Femmes+,55 ans et plus,11,19.05
2015,Île-du-Prince-Édouard,Femmes+,65 ans et plus,11,0.0
2015,Québec,Hommes+,15 à 24 ans,24,16.53
2015,Québec,Hommes+,15 ans et plus,24,25.46
2015,Québec,Hommes+,25 à 44 ans,24,44.29
2015,Québec,Hommes+,25 à 54 ans,24,44.67
2015,Québec,Hommes+,25 ans et plus,24,32.65
2015,Québec,Hommes+,45 ans et plus,24,24.69
2015,Québec,Hommes+,55 à 64 ans,24,24.87
2015,Québec,Hommes+,55 ans et plus,24,15.24
2015,Québec,Hommes+,65 ans et plus,24,0.0
2015,Québec,Total - Genre,15 à 24 ans,24,14.48
2015,Québec,Total - Genre,15 ans et plus,24,24.31
2015,Québec,Total - Genre,25 à 44 ans,24,38.48
2015,Québec,Total - Genre,25 à 54 ans,24,37.39
2015,Québec,Total - Genre,25 ans et plus,24,30.51
2015,Québec,Total - Genre,45 ans et plus,24,24.49
2015,Québec,Total - Genre,55 à 64 ans,24,24.83
2015,Québec,Total - Genre,55 ans et plus,24,18.38
2015,Québec,Total - Genre,65 ans et plus,24,2.86
2015,Québec,Femmes+,15 à 24 ans,24,13.01
2015,Québec,Femmes+,15 ans et plus,24,23.66
2015,Québec,Femmes+,25 à 44 ans,24,35.88
2015,Québec,Femmes+,25 à 54 ans,24,34.6
2015,Québec,Femmes+,25 ans et plus,24,29.47
2015,Québec,Femmes+,45 ans et plus,24,24.5
2015,Québec,Femmes+,55 à 64 ans,24,22.15
2015,Québec,Femmes+,55 ans et plus,24,18.39
2015,Québec,Femmes+,65 ans et plus,24,0.0
2015,Saskatchewan,Hommes+,15 à 24 ans,47,7.52
2015,Saskatchewan,Hommes+,15 ans et plus,47,22.33
2015,Saskatchewan,Hommes+,25 à 44 ans,47,44.26
2015,Saskatchewan,Hommes+,25 à 54 ans,47,41.18
2015,Saskatchewan,Hommes+,25 ans et plus,47,25.95
2015,Saskatchewan,Hommes+,45 ans et plus,47,16.94
2015,Saskatchewan,Hommes+,55 à 64 ans,47,14.58
2015,Saskatchewan,Hommes+,55 ans et plus,47,10.0
2015,Saskatchewan,Hommes+,65 ans et plus,47,0.0
2015,Saskatchewan,Total - Genre,15 à 24 ans,47,14.56
2015,Saskatchewan,Total - Genre,15 ans et plus,47,19.94
2015,Saskatchewan,Total - Genre,25 à 44 ans,47,29.82
2015,Saskatchewan,Total - Genre,25 à 54 ans,47,28.71
2015,Saskatchewan,Total - Genre,25 ans et plus,47,22.27
2015,Saskatchewan,Total - Genre,45 ans et plus,47,17.12
2015,Saskatchewan,Total - Genre,55 à 64 ans,47,14.45
2015,Saskatchewan,Total - Genre,55 ans et plus,47,11.31
2015,Saskatchewan,Total - Genre,65 ans et plus,47,5.45
2015,Saskatchewan,Femmes+,15 à 24 ans,47,12.57
2015,Saskatchewan,Femmes+,15 ans et plus,47,18.69
2015,Saskatchewan,Femmes+,25 à 44 ans,47,23.77
2015,Saskatchewan,Femmes+,25 à 54 ans,47,23.44
2015,Saskatchewan,Femmes+,25 ans et plus,47,19.52
2015,Saskatchewan,Femmes+,45 ans et plus,47,15.41
2015,Saskatchewan,Femmes+,55 à 64 ans,47,10.4
2015,Saskatchewan,Femmes+,55 ans et plus,47,8.74
2015,Saskatchewan,Femmes+,65 ans et plus,47,0.0
2016,Alberta,Hommes+,15 à 24 ans,48,20.38
2016,Alberta,Hommes+,15 ans et plus,48,33.86
2016,Alberta,Hommes+,25 à 44 ans,48,47.95
2016,Alberta,Hommes+,25 à 54 ans,48,55.89
2016,Alberta,Hommes+,25 ans et plus,48,41.63
2016,Alberta,Hommes+,45 ans et plus,48,33.65
2016,Alberta,Hommes+,55 à 64 ans,48,32.58
2016,Alberta,Hommes+,55 ans et plus,48,21.99
2016,Alberta,Hommes+,65 ans et plus,48,0.0
2016,Alberta,Total - Genre,15 à 24 ans,48,20.5
2016,Alberta,Total - Genre,15 ans et plus,48,26.98
2016,Alberta,Total - Genre,25 à 44 ans,48,32.88
2016,Alberta,Total - Genre,25 à 54 ans,48,34.5
2016,Alberta,Total - Genre,25 ans et plus,48,29.85
2016,Alberta,Total - Genre,45 ans et plus,48,27.26
2016,Alberta,Total - Genre,55 à 64 ans,48,25.58
2016,Alberta,Total - Genre,55 ans et plus,48,19.63
2016,Alberta,Total - Genre,65 ans et plus,48,6.8
2016,Alberta,Femmes+,15 à 24 ans,48,18.59
2016,Alberta,Femmes+,15 ans et plus,48,23.46
2016,Alberta,Femmes+,25 à 44 ans,48,27.33
2016,Alberta,Femmes+,25 à 54 ans,48,28.12
2016,Alberta,Femmes+,25 ans et plus,48,25.15
2016,Alberta,Femmes+,45 ans et plus,48,22.83
2016,Alberta,Femmes+,55 à 64 ans,48,14.39
2016,Alberta,Femmes+,55 ans et plus,48,12.48
2016,Alberta,Femmes+,65 ans et plus,48,0.0
2016,Colombie-Britannique,Hommes+,15 à 24 ans,59,16.18
2016,Colombie-Britannique,Hommes+,15 ans et plus,59,26.54
2016,Colombie-Britannique,Hommes+,25 à 44 ans,59,38.13
2016,Colombie-Britannique,Hommes+,25 à 54 ans,59,41.05
2016,Colombie-Britannique,Hommes+,25 ans et plus,59,31.82
2016,Colombie-Britannique,Hommes+,45 ans et plus,59,27.96
2016,Colombie-Britannique,Hommes+,55 à 64 ans,59,24.28
2016,Colombie-Britannique,Hommes+,55 ans et plus,59,15.57
2016,Colombie-Britannique,Hommes+,65 ans et plus,59,0.0
2016,Colombie-Britannique,Total - Genre,15 à 24 ans,59,17.38
2016,Colombie-Britannique,Total - Genre,15 ans et plus,59,22.1
2016,Colombie-Britannique,Total - Genre,25 à 44 ans,59,26.3
2016,Colombie-Britannique,Total - Genre,25 à 54 ans,59,28.5
2016,Colombie-Britannique,Total - Genre,25 ans et plus,59,24.19
2016,Colombie-Britannique,Total - Genre,45 ans et plus,59,22.69
2016,Colombie-Britannique,Total - Genre,55 à 64 ans,59,22.1
2016,Colombie-Britannique,Total - Genre,55 ans et plus,59,16.41
2016,Colombie-Britannique,Total - Genre,65 ans et plus,59,5.0
2016,Colombie-Britannique,Femmes+,15 à 24 ans,59,16.95
2016,Colombie-Britannique,Femmes+,15 ans et plus,59,19.93
2016,Colombie-Britannique,Femmes+,25 à 44 ans,59,22.21
2016,Colombie-Britannique,Femmes+,25 à 54 ans,59,24.14
2016,Colombie-Britannique,Femmes+,25 ans et plus,59,21.02
2016,Colombie-Britannique,Femmes+,45 ans et plus,59,20.16
2016,Colombie-Britannique,Femmes+,55 à 64 ans,59,14.44
2016,Colombie-Britannique,Femmes+,55 ans et plus,59,11.53
2016,Colombie-Britannique,Femmes+,65 ans et plus,59,0.0
2016,Canada,Hommes+,15 à 24 ans,,19.63
2016,Canada,Hommes+,15 ans et plus,,27.61
2016,Canada,Hommes+,25 à 44 ans,,45.53
2016,Canada,Hommes+,25 à 54 ans,,46.32
2016,Canada,Hommes+,25 ans et plus,,33.42
2016,Canada,Hommes+,45 ans et plus,,26.75
2016,Canada,Hommes+,55 à 64 ans,,28.54
2016,Canada,Hommes+,55 ans et plus,,19.11
2016,Canada,Hommes+,65 ans et plus,,7.68
2016,Canada,Total - Genre,15 à 24 ans,,18.49
2016,Canada,Total - Genre,25 à 44 ans,,34.47
2016,Canada,Total - Genre,25 à 54 ans,,35.21
2016,Canada,Total - Genre,25 ans et plus,,28.84
2016,Canada,Total - Genre,45 ans et plus,,24.78
2016,Canada,Total - Genre,55 à 64 ans,,24.16
2016,Canada,Total - Genre,55 ans et plus,,18.14
2016,Canada,Total - Genre,65 ans et plus,,7.43
2016,Canada,Femmes+,15 à 24 ans,,17.66
2016,Canada,Femmes+,15 ans et plus,,23.98
2016,Canada,Femmes+,25 à 44 ans,,30.53
2016,Canada,Femmes+,25 à 54 ans,,31.32
2016,Canada,Femmes+,25 ans et plus,,26.78
2016,Canada,Femmes+,45 ans et plus,,23.75
2016,Canada,Femmes+,55 à 64 ans,,22.03
2016,Canada,Femmes+,55 ans et plus,,17.48
2016,Canada,Femmes+,65 ans et plus,,5.35
2016,Manitoba,Hommes+,15 à 24 ans,46,22.6
2016,Manitoba,Hommes+,15 ans et plus,46,26.27
2016,Manitoba,Hommes+,25 à 44 ans,46,34.78
2016,Manitoba,Hommes+,25 à 54 ans,46,40.94
2016,Manitoba,Hommes+,25 ans et plus,46,27.24
2016,Manitoba,Hommes+,45 ans et plus,46,16.36
2016,Manitoba,Hommes+,55 à 64 ans,46,13.33
2016,Manitoba,Hommes+,55 ans et plus,46,8.53
2016,Manitoba,Hommes+,65 ans et plus,46,0.0
2016,Manitoba,Total - Genre,15 à 24 ans,46,22.43
2016,Manitoba,Total - Genre,15 ans et plus,46,23.58
2016,Manitoba,Total - Genre,25 à 44 ans,46,31.62
2016,Manitoba,Total - Genre,25 à 54 ans,46,31.24
2016,Manitoba,Total - Genre,25 ans et plus,46,24.45
2016,Manitoba,Total - Genre,45 ans et plus,46,19.01
2016,Manitoba,Total - Genre,55 à 64 ans,46,11.48
2016,Manitoba,Total - Genre,55 ans et plus,46,11.48
2016,Manitoba,Total - Genre,65 ans et plus,46,0.0
2016,Manitoba,Femmes+,15 à 24 ans,46,20.77
2016,Manitoba,Femmes+,15 ans et plus,46,22.28
2016,Manitoba,Femmes+,25 à 44 ans,46,28.57
2016,Manitoba,Femmes+,25 à 54 ans,46,28.08
2016,Manitoba,Femmes+,25 ans et plus,46,23.34
2016,Manitoba,Femmes+,45 ans et plus,46,18.39
2016,Manitoba,Femmes+,55 à 64 ans,46,10.66
2016,Manitoba,Femmes+,55 ans et plus,46,7.95
2016,Manitoba,Femmes+,65 ans et plus,46,0.0
2016,Nouveau-Brunswick,Hommes+,15 à 24 ans,13,11.25
2016,Nouveau-Brunswick,Hommes+,15 ans et plus,13,29.26
2016,Nouveau-Brunswick,Hommes+,25 à 44 ans,13,24.24
2016,Nouveau-Brunswick,Hommes+,25 à 54 ans,13,37.5
2016,Nouveau-Brunswick,Hommes+,25 ans et plus,13,30.28
2016,Nouveau-Brunswick,Hommes+,45 ans et plus,13,17.33
2016,Nouveau-Brunswick,Hommes+,55 à 64 ans,13,16.67
2016,Nouveau-Brunswick,Hommes+,55 ans et plus,13,13.11
2016,Nouveau-Brunswick,Hommes+,65 ans et plus,13,0.0
2016,Nouveau-Brunswick,Total - Genre,15 à 24 ans,13,20.51
2016,Nouveau-Brunswick,Total - Genre,15 ans et plus,13,27.18
2016,Nouveau-Brunswick,Total - Genre,25 à 44 ans,13,39.85
2016,Nouveau-Brunswick,Total - Genre,25 à 54 ans,13,38.25
2016,Nouveau-Brunswick,Total - Genre,25 ans et plus,13,30.61
2016,Nouveau-Brunswick,Total - Genre,45 ans et plus,13,25.61
2016,Nouveau-Brunswick,Total - Genre,55 à 64 ans,13,20.0
2016,Nouveau-Brunswick,Total - Genre,55 ans et plus,13,16.67
2016,Nouveau-Brunswick,Total - Genre,65 ans et plus,13,9.68
2016,Nouveau-Brunswick,Femmes+,15 à 24 ans,13,10.43
2016,Nouveau-Brunswick,Femmes+,15 ans et plus,13,26.23
2016,Nouveau-Brunswick,Femmes+,25 à 44 ans,13,37.37
2016,Nouveau-Brunswick,Femmes+,25 à 54 ans,13,34.32
2016,Nouveau-Brunswick,Femmes+,25 ans et plus,13,29.26
2016,Nouveau-Brunswick,Femmes+,45 ans et plus,13,24.56
2016,Nouveau-Brunswick,Femmes+,55 à 64 ans,13,14.49
2016,Nouveau-Brunswick,Femmes+,55 ans et plus,13,11.88
2016,Nouveau-Brunswick,Femmes+,65 ans et plus,13,0.0
2016,Terre-Neuve-et-Labrador,Hommes+,15 à 24 ans,10,11.29
