Year,Géographie,Groupe d'âge,Sexe,GeoCode,Value
2018,Terre-Neuve-et-Labrador,,Les deux sexes,10,5.9
2018,Terre-Neuve-et-Labrador,,Hommes,10,4.9
2018,Terre-Neuve-et-Labrador,,Femmes,10,6.8
2018,Île-du-Prince-Édouard,,Les deux sexes,11,6.5
2018,Île-du-Prince-Édouard,,Hommes,11,5.6
2018,Île-du-Prince-Édouard,,Femmes,11,7.3
2018,Nouvelle-Écosse,,Les deux sexes,12,8.0
2018,Nouvelle-Écosse,,Hommes,12,6.4
2018,Nouvelle-Écosse,,Femmes,12,9.5
2018,Nouveau-Brunswick,,Les deux sexes,13,5.6
2018,Nouveau-Brunswick,,Hommes,13,5.3
2018,Nouveau-Brunswick,,Femmes,13,5.8
2018,Québec,,Les deux sexes,24,5.7
2018,Québec,,Hommes,24,5.4
2018,Québec,,Femmes,24,6.0
2018,Ontario,,Les deux sexes,35,4.6
2018,Ontario,,Hommes,35,4.4
2018,Ontario,,Femmes,35,4.8
2018,Provinces des Prairies,,Les deux sexes,,4.3
2018,Provinces des Prairies,,Hommes,,3.5
2018,Provinces des Prairies,,Femmes,,5.2
2018,Manitoba,,Les deux sexes,46,4.0
2018,Manitoba,,Hommes,46,3.2
2018,Manitoba,,Femmes,46,4.8
2018,Saskatchewan,,Les deux sexes,47,4.4
2018,Saskatchewan,,Hommes,47,3.2
2018,Saskatchewan,,Femmes,47,5.7
2018,Alberta,,Les deux sexes,48,4.4
2018,Alberta,,Hommes,48,3.6
2018,Alberta,,Femmes,48,5.2
2018,Colombie-Britannique,,Les deux sexes,59,5.8
2018,Colombie-Britannique,,Hommes,59,4.7
2018,Colombie-Britannique,,Femmes,59,6.7
2019,Canada,,Hommes,,5.3
2019,Canada,,Femmes,,6.8
2019,Provinces de l'Atlantique,,Les deux sexes,,6.8
2019,Provinces de l'Atlantique,,Hommes,,6.5
2019,Provinces de l'Atlantique,,Femmes,,7.0
2019,Terre-Neuve-et-Labrador,,Les deux sexes,10,5.2
2019,Terre-Neuve-et-Labrador,,Hommes,10,4.2
2019,Terre-Neuve-et-Labrador,,Femmes,10,6.3
2019,Île-du-Prince-Édouard,,Les deux sexes,11,7.7
2019,Île-du-Prince-Édouard,,Hommes,11,7.2
2019,Île-du-Prince-Édouard,,Femmes,11,8.2
2019,Nouvelle-Écosse,,Les deux sexes,12,8.0
2019,Nouvelle-Écosse,,Hommes,12,8.3
2019,Nouvelle-Écosse,,Femmes,12,7.8
2019,Nouveau-Brunswick,,Les deux sexes,13,6.0
2019,Nouveau-Brunswick,,Hommes,13,5.8
2019,Nouveau-Brunswick,,Femmes,13,6.3
2019,Québec,,Les deux sexes,24,5.9
2019,Québec,,Hommes,24,5.1
2019,Québec,,Femmes,24,6.6
2019,Ontario,,Les deux sexes,35,6.6
2019,Ontario,,Hommes,35,5.6
2019,Ontario,,Femmes,35,7.5
2019,Provinces des Prairies,,Les deux sexes,,4.4
2019,Provinces des Prairies,,Hommes,,3.9
2019,Provinces des Prairies,,Femmes,,4.9
2019,Manitoba,,Les deux sexes,46,4.7
2019,Manitoba,,Hommes,46,4.4
2019,Manitoba,,Femmes,46,5.0
2019,Saskatchewan,,Les deux sexes,47,5.0
2019,Saskatchewan,,Hommes,47,4.9
2019,Saskatchewan,,Femmes,47,5.2
2019,Alberta,,Les deux sexes,48,4.2
2019,Alberta,,Hommes,48,3.6
2019,Alberta,,Femmes,48,4.8
2019,Colombie-Britannique,,Les deux sexes,59,6.7
2019,Colombie-Britannique,,Hommes,59,6.0
2019,Colombie-Britannique,,Femmes,59,7.4
2020,Canada,,Hommes,,6.3
2020,Canada,,Femmes,,8.1
2020,Provinces de l'Atlantique,,Les deux sexes,,8.5
2020,Provinces de l'Atlantique,,Hommes,,7.0
2020,Provinces de l'Atlantique,,Femmes,,9.9
2020,Terre-Neuve-et-Labrador,,Les deux sexes,10,7.0
2020,Terre-Neuve-et-Labrador,,Hommes,10,5.3
2020,Terre-Neuve-et-Labrador,,Femmes,10,8.7
2020,Île-du-Prince-Édouard,,Les deux sexes,11,7.8
2020,Île-du-Prince-Édouard,,Hommes,11,8.1
2020,Île-du-Prince-Édouard,,Femmes,11,7.5
2020,Nouvelle-Écosse,,Les deux sexes,12,10.1
2020,Nouvelle-Écosse,,Hommes,12,8.3
2020,Nouvelle-Écosse,,Femmes,12,11.8
2020,Nouveau-Brunswick,,Les deux sexes,13,7.5
2020,Nouveau-Brunswick,,Hommes,13,6.3
2020,Nouveau-Brunswick,,Femmes,13,8.7
2020,Québec,,Les deux sexes,24,7.5
2020,Québec,,Hommes,24,6.3
2020,Québec,,Femmes,24,8.7
2020,Ontario,,Les deux sexes,35,7.0
2020,Ontario,,Hommes,35,6.2
2020,Ontario,,Femmes,35,7.7
2020,Provinces des Prairies,,Les deux sexes,,6.2
2020,Provinces des Prairies,,Hommes,,5.0
2020,Provinces des Prairies,,Femmes,,7.5
2020,Manitoba,,Les deux sexes,46,6.4
2020,Manitoba,,Hommes,46,5.8
2020,Manitoba,,Femmes,46,6.9
2020,Saskatchewan,,Les deux sexes,47,6.4
2020,Saskatchewan,,Hommes,47,4.9
2020,Saskatchewan,,Femmes,47,7.9
2020,Alberta,,Les deux sexes,48,6.2
2020,Alberta,,Hommes,48,4.8
2020,Alberta,,Femmes,48,7.5
2020,Colombie-Britannique,,Les deux sexes,59,7.7
2020,Colombie-Britannique,,Hommes,59,7.4
2020,Colombie-Britannique,,Femmes,59,7.9
2021,Canada,,Hommes,,6.9
2021,Canada,,Femmes,,8.9
2021,Provinces de l'Atlantique,,Les deux sexes,,10.7
2021,Provinces de l'Atlantique,,Hommes,,9.5
2021,Provinces de l'Atlantique,,Femmes,,11.9
2021,Terre-Neuve-et-Labrador,,Les deux sexes,10,9.7
2021,Terre-Neuve-et-Labrador,,Hommes,10,9.0
2021,Terre-Neuve-et-Labrador,,Femmes,10,10.4
2021,Île-du-Prince-Édouard,,Les deux sexes,11,13.2
2021,Île-du-Prince-Édouard,,Hommes,11,11.8
2021,Île-du-Prince-Édouard,,Femmes,11,14.5
2021,Nouvelle-Écosse,,Les deux sexes,12,11.7
2021,Nouvelle-Écosse,,Hommes,12,10.7
2021,Nouvelle-Écosse,,Femmes,12,12.7
2021,Nouveau-Brunswick,,Les deux sexes,13,9.7
2021,Nouveau-Brunswick,,Hommes,13,8.0
2021,Nouveau-Brunswick,,Femmes,13,11.4
2021,Québec,,Les deux sexes,24,8.1
2021,Québec,,Hommes,24,7.5
2021,Québec,,Femmes,24,8.7
2021,Ontario,,Les deux sexes,35,7.5
2021,Ontario,,Hommes,35,6.1
2021,Ontario,,Femmes,35,8.7
2021,Provinces des Prairies,,Les deux sexes,,6.9
2021,Provinces des Prairies,,Hommes,,6.4
2021,Provinces des Prairies,,Femmes,,7.4
2021,Manitoba,,Les deux sexes,46,6.7
2021,Manitoba,,Hommes,46,6.5
2021,Manitoba,,Femmes,46,7.0
2021,Saskatchewan,,Les deux sexes,47,6.3
2021,Saskatchewan,,Hommes,47,4.9
2021,Saskatchewan,,Femmes,47,7.8
2021,Alberta,,Les deux sexes,48,7.1
2021,Alberta,,Hommes,48,6.7
2021,Alberta,,Femmes,48,7.5
2021,Colombie-Britannique,,Les deux sexes,59,8.7
2021,Colombie-Britannique,,Hommes,59,7.2
2021,Colombie-Britannique,,Femmes,59,10.1
2022,Canada,,Hommes,,8.0
2022,Canada,,Femmes,,10.4
2022,Provinces de l'Atlantique,,Les deux sexes,,12.6
2022,Provinces de l'Atlantique,,Hommes,,12.2
2022,Provinces de l'Atlantique,,Femmes,,12.9
2022,Terre-Neuve-et-Labrador,,Les deux sexes,10,10.7
2022,Terre-Neuve-et-Labrador,,Hommes,10,9.3
2022,Terre-Neuve-et-Labrador,,Femmes,10,12.1
2022,Île-du-Prince-Édouard,,Les deux sexes,11,14.1
2022,Île-du-Prince-Édouard,,Hommes,11,12.5
2022,Île-du-Prince-Édouard,,Femmes,11,15.8
2022,Nouvelle-Écosse,,Les deux sexes,12,13.7
2022,Nouvelle-Écosse,,Hommes,12,14.3
2022,Nouvelle-Écosse,,Femmes,12,13.2
2022,Nouveau-Brunswick,,Les deux sexes,13,12.1
2022,Nouveau-Brunswick,,Hommes,13,11.6
2022,Nouveau-Brunswick,,Femmes,13,12.6
2022,Québec,,Les deux sexes,24,8.7
2022,Québec,,Hommes,24,7.5
2022,Québec,,Femmes,24,10.0
2022,Ontario,,Les deux sexes,35,8.5
2022,Ontario,,Hommes,35,7.2
2022,Ontario,,Femmes,35,9.7
2022,Provinces des Prairies,,Les deux sexes,,8.8
2022,Provinces des Prairies,,Hommes,,7.4
2022,Provinces des Prairies,,Femmes,,10.2
2022,Manitoba,,Les deux sexes,46,7.7
2022,Manitoba,,Hommes,46,6.9
2022,Manitoba,,Femmes,46,8.6
2022,Saskatchewan,,Les deux sexes,47,7.6
2022,Saskatchewan,,Hommes,47,7.2
2022,Saskatchewan,,Femmes,47,8.0
2022,Alberta,,Les deux sexes,48,9.4
2022,Alberta,,Hommes,48,7.6
2022,Alberta,,Femmes,48,11.2
2022,Colombie-Britannique,,Les deux sexes,59,10.9
2022,Colombie-Britannique,,Hommes,59,9.6
2022,Colombie-Britannique,,Femmes,59,12.1
