Year,Géographie,Situation géographique,Régions métropolitaines de recensement sélectionnées,Mode d'occupation,GeoCode,Value
2018,Nouvelle-Écosse,Provinces et territoires,,"Total, mode d'occupation",12,11.0
2018,Nouvelle-Écosse,Provinces et territoires,,Propriétaire,12,5.2
2018,Nouvelle-Écosse,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,12,4.9
2018,Nouvelle-Écosse,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,12,5.2
2018,Nouvelle-Écosse,Provinces et territoires,,Locataire,12,25.0
2018,Nouvelle-Écosse,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,12,22.0
2018,Nouvelle-Écosse,Provinces et territoires,,Locataire habitant dans un logement social et abordable,12,43.0
2018,Nouveau-Brunswick,Provinces et territoires,,"Total, mode d'occupation",13,7.3
2018,Nouveau-Brunswick,Provinces et territoires,,Propriétaire,13,3.3
2018,Nouveau-Brunswick,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,13,0.6
2018,Nouveau-Brunswick,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,13,3.6
2018,Nouveau-Brunswick,Provinces et territoires,,Locataire,13,19.3
2018,Nouveau-Brunswick,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,13,17.6
2018,Nouveau-Brunswick,Provinces et territoires,,Locataire habitant dans un logement social et abordable,13,30.0
2018,Québec,Provinces et territoires,,"Total, mode d'occupation",24,7.2
2018,Québec,Provinces et territoires,,Propriétaire,24,2.0
2018,Québec,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,24,1.8
2018,Québec,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,24,2.0
2018,Québec,Provinces et territoires,,Locataire,24,15.6
2018,Québec,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,24,15.6
2018,Québec,Provinces et territoires,,Locataire habitant dans un logement social et abordable,24,15.9
2018,Ontario,Provinces et territoires,,"Total, mode d'occupation",35,13.4
2018,Ontario,Provinces et territoires,,Propriétaire,35,7.9
2018,Ontario,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,35,8.2
2018,Ontario,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,35,7.9
2018,Ontario,Provinces et territoires,,Locataire,35,26.0
2018,Ontario,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,35,26.0
2018,Ontario,Provinces et territoires,,Locataire habitant dans un logement social et abordable,35,30.0
2018,Manitoba,Provinces et territoires,,"Total, mode d'occupation",46,10.9
2018,Manitoba,Provinces et territoires,,Propriétaire,46,5.4
2018,Manitoba,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,46,6.1
2018,Manitoba,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,46,5.3
2018,Manitoba,Provinces et territoires,,Locataire,46,24.0
2018,Manitoba,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,46,21.0
2018,Manitoba,Provinces et territoires,,Locataire habitant dans un logement social et abordable,46,39.0
2018,Saskatchewan,Provinces et territoires,,"Total, mode d'occupation",47,11.7
2018,Saskatchewan,Provinces et territoires,,Propriétaire,47,6.5
2018,Saskatchewan,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,47,7.1
2018,Saskatchewan,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,47,6.4
2018,Saskatchewan,Provinces et territoires,,Locataire,47,27.0
2018,Saskatchewan,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,47,19.8
2018,Saskatchewan,Provinces et territoires,,Locataire habitant dans un logement social et abordable,47,51.0
2018,Alberta,Provinces et territoires,,"Total, mode d'occupation",48,10.2
2018,Alberta,Provinces et territoires,,Propriétaire,48,6.6
2018,Alberta,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,48,4.7
2018,Alberta,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,48,6.9
2018,Alberta,Provinces et territoires,,Locataire,48,20.0
2018,Alberta,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,48,17.5
2018,Alberta,Provinces et territoires,,Locataire habitant dans un logement social et abordable,48,45.0
2018,Colombie-Britannique,Provinces et territoires,,"Total, mode d'occupation",59,14.8
2018,Colombie-Britannique,Provinces et territoires,,Propriétaire,59,8.7
2018,Colombie-Britannique,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,59,12.1
2018,Colombie-Britannique,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,59,8.2
2018,Colombie-Britannique,Provinces et territoires,,Locataire,59,27.0
2018,Colombie-Britannique,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,59,25.0
2018,Colombie-Britannique,Provinces et territoires,,Locataire habitant dans un logement social et abordable,59,46.0
2018,Yukon,Provinces et territoires,,"Total, mode d'occupation",60,11.0
2018,Yukon,Provinces et territoires,,Propriétaire,60,3.3
2018,Yukon,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,60,3.9
2018,Yukon,Provinces et territoires,,Locataire,60,25.0
2018,Yukon,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,60,22.0
2018,Yukon,Provinces et territoires,,Locataire habitant dans un logement social et abordable,60,34.0
2018,Territoires du Nord-Ouest,Provinces et territoires,,"Total, mode d'occupation",61,15.9
2018,Territoires du Nord-Ouest,Provinces et territoires,,Propriétaire,61,12.2
2018,Territoires du Nord-Ouest,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,61,13.6
2018,Territoires du Nord-Ouest,Provinces et territoires,,Locataire,61,20.0
2018,Territoires du Nord-Ouest,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,61,15.6
2018,Territoires du Nord-Ouest,Provinces et territoires,,Locataire habitant dans un logement social et abordable,61,28.0
2018,Nunavut,Provinces et territoires,,"Total, mode d'occupation",62,46.0
2018,Nunavut,Provinces et territoires,,Propriétaire,62,27.0
2018,Nunavut,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,62,21.0
2018,Nunavut,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,62,28.0
2018,Nunavut,Provinces et territoires,,Locataire,62,51.0
2018,Nunavut,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,62,15.9
2018,Nunavut,Provinces et territoires,,Locataire habitant dans un logement social et abordable,62,64.0
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,"Total, mode d'occupation",10,7.4
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Propriétaire,10,4.0
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,10,1.5
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,10,4.2
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire,10,18.9
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,10,15.7
2021,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire habitant dans un logement social et abordable,10,33.0
2021,Île-du-Prince-Édouard,Provinces et territoires,,"Total, mode d'occupation",11,7.2
2021,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire,11,4.0
2021,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,11,4.0
2021,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,11,4.0
2021,Île-du-Prince-Édouard,Provinces et territoires,,Locataire,11,14.5
2021,Île-du-Prince-Édouard,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,11,13.2
2021,Île-du-Prince-Édouard,Provinces et territoires,,Locataire habitant dans un logement social et abordable,11,19.6
2021,Nouvelle-Écosse,Provinces et territoires,,"Total, mode d'occupation",12,9.9
2021,Nouvelle-Écosse,Provinces et territoires,,Propriétaire,12,5.9
2021,Nouvelle-Écosse,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,12,8.0
2021,Nouvelle-Écosse,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,12,5.7
2021,Nouvelle-Écosse,Provinces et territoires,,Locataire,12,18.7
2021,Nouvelle-Écosse,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,12,16.5
2021,Nouvelle-Écosse,Provinces et territoires,,Locataire habitant dans un logement social et abordable,12,34.0
2021,Nouveau-Brunswick,Provinces et territoires,,"Total, mode d'occupation",13,5.9
2021,Nouveau-Brunswick,Provinces et territoires,,Propriétaire,13,3.8
2021,Nouveau-Brunswick,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,13,3.2
2021,Nouveau-Brunswick,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,13,3.9
2021,Nouveau-Brunswick,Provinces et territoires,,Locataire,13,12.3
2021,Nouveau-Brunswick,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,13,11.1
2021,Nouveau-Brunswick,Provinces et territoires,,Locataire habitant dans un logement social et abordable,13,19.9
2021,Québec,Provinces et territoires,,"Total, mode d'occupation",24,6.0
2021,Québec,Provinces et territoires,,Propriétaire,24,2.5
2021,Québec,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,24,1.6
2021,Québec,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,24,2.6
2021,Québec,Provinces et territoires,,Locataire,24,11.5
2021,Québec,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,24,11.5
2021,Québec,Provinces et territoires,,Locataire habitant dans un logement social et abordable,24,12.1
2021,Ontario,Provinces et territoires,,"Total, mode d'occupation",35,11.9
2021,Ontario,Provinces et territoires,,Propriétaire,35,5.9
2021,Ontario,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,35,2.9
2021,Ontario,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,35,6.4
2021,Ontario,Provinces et territoires,,Locataire,35,25.0
2021,Ontario,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,35,25.0
2021,Ontario,Provinces et territoires,,Locataire habitant dans un logement social et abordable,35,29.0
2021,Manitoba,Provinces et territoires,,"Total, mode d'occupation",46,10.3
2021,Manitoba,Provinces et territoires,,Propriétaire,46,5.2
2021,Manitoba,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,46,5.2
2021,Manitoba,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,46,5.1
2021,Manitoba,Provinces et territoires,,Locataire,46,23.0
2021,Manitoba,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,46,20.0
2021,Manitoba,Provinces et territoires,,Locataire habitant dans un logement social et abordable,46,33.0
2021,Saskatchewan,Provinces et territoires,,"Total, mode d'occupation",47,10.3
2021,Saskatchewan,Provinces et territoires,,Propriétaire,47,6.6
2021,Saskatchewan,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,47,3.7
2021,Saskatchewan,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,47,7.0
2021,Saskatchewan,Provinces et territoires,,Locataire,47,21.0
2021,Saskatchewan,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,47,16.8
2021,Saskatchewan,Provinces et territoires,,Locataire habitant dans un logement social et abordable,47,36.0
2021,Alberta,Provinces et territoires,,"Total, mode d'occupation",48,9.0
2021,Alberta,Provinces et territoires,,Propriétaire,48,4.3
2021,Alberta,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,48,6.5
2021,Alberta,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,48,3.9
2021,Alberta,Provinces et territoires,,Locataire,48,21.0
2021,Alberta,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,48,19.4
2021,Alberta,Provinces et territoires,,Locataire habitant dans un logement social et abordable,48,38.0
2021,Colombie-Britannique,Provinces et territoires,,"Total, mode d'occupation",59,12.5
2021,Colombie-Britannique,Provinces et territoires,,Propriétaire,59,7.7
2021,Colombie-Britannique,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,59,8.9
2021,Colombie-Britannique,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,59,7.6
2021,Colombie-Britannique,Provinces et territoires,,Locataire,59,22.0
2021,Colombie-Britannique,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,59,21.0
2021,Colombie-Britannique,Provinces et territoires,,Locataire habitant dans un logement social et abordable,59,33.0
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement","Total, mode d'occupation",,12.3
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Propriétaire,,6.7
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Propriétaire qui est un accédant à la propriété,,7.7
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Propriétaire qui n'est pas un accédant à la propriété,,6.6
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Locataire,,23.0
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Locataire n'habitant pas dans un logement social et abordable,,22.0
2018,Canada,Régions métropolitaines de recensement,"Total, régions métropolitaines de recensement",Locataire habitant dans un logement social et abordable,,32.0
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador","Total, mode d'occupation",10,9.6
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador",Propriétaire,10,3.5
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador",Propriétaire qui n'est pas un accédant à la propriété,10,3.9
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador",Locataire,10,26.0
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador",Locataire n'habitant pas dans un logement social et abordable,10,23.0
2018,Terre-Neuve-et-Labrador,Régions métropolitaines de recensement,"St. John's, Terre-Neuve-et-Labrador",Locataire habitant dans un logement social et abordable,10,38.0
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse","Total, mode d'occupation",12,12.7
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Propriétaire,12,4.9
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Propriétaire qui est un accédant à la propriété,12,3.3
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Propriétaire qui n'est pas un accédant à la propriété,12,5.1
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Locataire,12,25.0
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Locataire n'habitant pas dans un logement social et abordable,12,23.0
2018,Nouvelle-Écosse,Régions métropolitaines de recensement,"Halifax, Nouvelle-Écosse",Locataire habitant dans un logement social et abordable,12,44.0
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick","Total, mode d'occupation",13,8.5
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick",Propriétaire,13,3.5
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick",Propriétaire qui n'est pas un accédant à la propriété,13,4.2
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick",Locataire,13,20.0
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick",Locataire n'habitant pas dans un logement social et abordable,13,18.5
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Moncton, Nouveau-Brunswick",Locataire habitant dans un logement social et abordable,13,31.0
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick","Total, mode d'occupation",13,6.5
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick",Propriétaire,13,3.2
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick",Propriétaire qui n'est pas un accédant à la propriété,13,3.6
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick",Locataire,13,14.5
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick",Locataire n'habitant pas dans un logement social et abordable,13,11.6
2018,Nouveau-Brunswick,Régions métropolitaines de recensement,"Saint John, Nouveau-Brunswick",Locataire habitant dans un logement social et abordable,13,31.0
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec","Total, mode d'occupation",,8.5
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Propriétaire,,3.0
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Propriétaire qui est un accédant à la propriété,,6.0
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Propriétaire qui n'est pas un accédant à la propriété,,2.6
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Locataire,,19.2
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Locataire n'habitant pas dans un logement social et abordable,,17.8
2018,Ontario/Quebec,Régions métropolitaines de recensement,"Ottawa-Gatineau, Ontario/Québec",Locataire habitant dans un logement social et abordable,,28.0
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario","Total, mode d'occupation",35,18.2
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Propriétaire,35,12.8
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Propriétaire qui est un accédant à la propriété,35,14.0
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Propriétaire qui n'est pas un accédant à la propriété,35,12.7
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Locataire,35,30.0
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Locataire n'habitant pas dans un logement social et abordable,35,29.0
2018,Ontario,Régions métropolitaines de recensement,"Toronto, Ontario",Locataire habitant dans un logement social et abordable,35,33.0
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario","Total, mode d'occupation",35,10.8
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Propriétaire,35,3.5
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Propriétaire qui est un accédant à la propriété,35,3.4
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Propriétaire qui n'est pas un accédant à la propriété,35,3.5
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Locataire,35,29.0
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Locataire n'habitant pas dans un logement social et abordable,35,29.0
2018,Ontario,Régions métropolitaines de recensement,"Hamilton, Ontario",Locataire habitant dans un logement social et abordable,35,33.0
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario","Total, mode d'occupation",35,9.3
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Propriétaire,35,4.8
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Propriétaire qui est un accédant à la propriété,35,2.8
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Propriétaire qui n'est pas un accédant à la propriété,35,5.1
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Locataire,35,19.0
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Locataire n'habitant pas dans un logement social et abordable,35,18.3
2018,Ontario,Régions métropolitaines de recensement,"Kitchener-Cambridge-Waterloo, Ontario",Locataire habitant dans un logement social et abordable,35,23.0
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba","Total, mode d'occupation",46,11.7
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Propriétaire,46,5.0
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Propriétaire qui est un accédant à la propriété,46,8.9
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Propriétaire qui n'est pas un accédant à la propriété,46,4.5
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Locataire,46,26.0
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Locataire n'habitant pas dans un logement social et abordable,46,22.0
2018,Manitoba,Régions métropolitaines de recensement,"Winnipeg, Manitoba",Locataire habitant dans un logement social et abordable,46,44.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan","Total, mode d'occupation",47,11.3
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Propriétaire,47,4.7
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Propriétaire qui est un accédant à la propriété,47,5.6
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Propriétaire qui n'est pas un accédant à la propriété,47,4.5
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Locataire,47,28.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Locataire n'habitant pas dans un logement social et abordable,47,20.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Regina, Saskatchewan",Locataire habitant dans un logement social et abordable,47,57.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan","Total, mode d'occupation",47,10.3
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Propriétaire,47,4.3
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Propriétaire qui est un accédant à la propriété,47,6.5
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Propriétaire qui n'est pas un accédant à la propriété,47,3.9
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Locataire,47,25.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Locataire n'habitant pas dans un logement social et abordable,47,20.0
2018,Saskatchewan,Régions métropolitaines de recensement,"Saskatoon, Saskatchewan",Locataire habitant dans un logement social et abordable,47,50.0
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta","Total, mode d'occupation",48,8.7
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Propriétaire,48,4.3
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Propriétaire qui est un accédant à la propriété,48,1.3
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Propriétaire qui n'est pas un accédant à la propriété,48,4.8
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Locataire,48,19.5
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Locataire n'habitant pas dans un logement social et abordable,48,16.0
2018,Alberta,Régions métropolitaines de recensement,"Lethbridge, Alberta",Locataire habitant dans un logement social et abordable,48,48.0
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta","Total, mode d'occupation",48,9.9
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Propriétaire,48,5.7
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Propriétaire qui est un accédant à la propriété,48,3.1
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Propriétaire qui n'est pas un accédant à la propriété,48,6.2
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Locataire,48,22.0
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Locataire n'habitant pas dans un logement social et abordable,48,19.3
2018,Alberta,Régions métropolitaines de recensement,"Calgary, Alberta",Locataire habitant dans un logement social et abordable,48,49.0
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta","Total, mode d'occupation",48,11.4
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Propriétaire,48,7.2
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Propriétaire qui est un accédant à la propriété,48,7.0
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Propriétaire qui n'est pas un accédant à la propriété,48,7.3
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Locataire,48,22.0
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Locataire n'habitant pas dans un logement social et abordable,48,18.6
2018,Alberta,Régions métropolitaines de recensement,"Edmonton, Alberta",Locataire habitant dans un logement social et abordable,48,48.0
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique","Total, mode d'occupation",59,17.8
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique",Propriétaire,59,11.8
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique",Propriétaire qui est un accédant à la propriété,59,21.0
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique",Propriétaire qui n'est pas un accédant à la propriété,59,10.3
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique",Locataire,59,28.0
2018,Colombie-Britannique,Régions métropolitaines de recensement,"Vancouver, Colombie-Britannique",Locataire n'habitant pas dans un logement social et abordable,59,25.0
