Year,Units,Geography,Type of cyber-related violation,Cyber-related violation,Value
2016,"Rate per 100,000 population",Northwest Territories,,,69.7
2017,"Rate per 100,000 population",Northwest Territories,,,75.7
2018,"Rate per 100,000 population",Northwest Territories,,,124.5
2019,"Rate per 100,000 population",Northwest Territories,,,130.9
2020,"Rate per 100,000 population",Northwest Territories,,,198.5
2021,"Rate per 100,000 population",Northwest Territories,,,223.7
2022,"Rate per 100,000 population",Northwest Territories,,,144.7
2015,"Rate per 100,000 population",Nova Scotia,,,146.0
2016,"Rate per 100,000 population",Nova Scotia,,,137.3
2017,"Rate per 100,000 population",Nova Scotia,,,177.7
2018,"Rate per 100,000 population",Nova Scotia,,,236.1
2019,"Rate per 100,000 population",Nova Scotia,,,296.6
2020,"Rate per 100,000 population",Nova Scotia,,,303.4
2021,"Rate per 100,000 population",Nova Scotia,,,295.6
2022,"Rate per 100,000 population",Nova Scotia,,,308.1
2015,"Rate per 100,000 population",Nunavut,,,16.3
2016,"Rate per 100,000 population",Nunavut,,,45.8
2017,"Rate per 100,000 population",Nunavut,,,53.3
2018,"Rate per 100,000 population",Nunavut,,,52.4
2019,"Rate per 100,000 population",Nunavut,,,77.7
2020,"Rate per 100,000 population",Nunavut,,,140.5
2021,"Rate per 100,000 population",Nunavut,,,148.6
2022,"Rate per 100,000 population",Nunavut,,,153.0
2015,"Rate per 100,000 population",Ontario,,,56.2
2016,"Rate per 100,000 population",Ontario,,,70.0
2017,"Rate per 100,000 population",Ontario,,,80.7
2018,"Rate per 100,000 population",Ontario,,,74.6
2019,"Rate per 100,000 population",Ontario,,,129.7
2020,"Rate per 100,000 population",Ontario,,,181.6
2021,"Rate per 100,000 population",Ontario,,,197.4
2022,"Rate per 100,000 population",Ontario,,,186.7
2015,"Rate per 100,000 population",Prince Edward Island,,,53.9
2016,"Rate per 100,000 population",Prince Edward Island,,,76.0
2017,"Rate per 100,000 population",Prince Edward Island,,,70.5
2018,"Rate per 100,000 population",Prince Edward Island,,,78.9
2019,"Rate per 100,000 population",Prince Edward Island,,,101.6
2020,"Rate per 100,000 population",Prince Edward Island,,,126.5
2021,"Rate per 100,000 population",Prince Edward Island,,,136.6
2022,"Rate per 100,000 population",Prince Edward Island,,,126.0
2015,"Rate per 100,000 population",Quebec,,,26.3
2016,"Rate per 100,000 population",Quebec,,,37.2
2017,"Rate per 100,000 population",Quebec,,,42.2
2018,"Rate per 100,000 population",Quebec,,,48.0
2019,"Rate per 100,000 population",Quebec,,,57.9
2020,"Rate per 100,000 population",Quebec,,,79.0
2021,"Rate per 100,000 population",Quebec,,,97.3
2022,"Rate per 100,000 population",Quebec,,,93.0
2015,"Rate per 100,000 population",Saskatchewan,,,61.3
2016,"Rate per 100,000 population",Saskatchewan,,,76.7
2017,"Rate per 100,000 population",Saskatchewan,,,78.7
2018,"Rate per 100,000 population",Saskatchewan,,,107.4
2019,"Rate per 100,000 population",Saskatchewan,,,92.1
2020,"Rate per 100,000 population",Saskatchewan,,,126.5
2021,"Rate per 100,000 population",Saskatchewan,,,161.9
2022,"Rate per 100,000 population",Saskatchewan,,,159.9
2015,"Rate per 100,000 population",Total Census metropolitan area,,,51.6
2016,"Rate per 100,000 population",Total Census metropolitan area,,,71.2
2017,"Rate per 100,000 population",Total Census metropolitan area,,,81.0
2018,"Rate per 100,000 population",Total Census metropolitan area,,,92.6
2019,"Rate per 100,000 population",Total Census metropolitan area,,,136.7
2020,"Rate per 100,000 population",Total Census metropolitan area,,,186.3
2021,"Rate per 100,000 population",Total Census metropolitan area,,,201.9
2022,"Rate per 100,000 population",Total Census metropolitan area,,,202.8
2015,"Rate per 100,000 population",Total Non-Census metropolitan area,,,66.3
2016,"Rate per 100,000 population",Total Non-Census metropolitan area,,,80.6
2017,"Rate per 100,000 population",Total Non-Census metropolitan area,,,83.6
2018,"Rate per 100,000 population",Total Non-Census metropolitan area,,,90.1
2019,"Rate per 100,000 population",Total Non-Census metropolitan area,,,110.3
2020,"Rate per 100,000 population",Total Non-Census metropolitan area,,,135.0
2021,"Rate per 100,000 population",Total Non-Census metropolitan area,,,153.0
2022,"Rate per 100,000 population",Total Non-Census metropolitan area,,,160.0
2015,"Rate per 100,000 population",Yukon,,,96.2
2016,"Rate per 100,000 population",Yukon,,,88.0
2017,"Rate per 100,000 population",Yukon,,,101.0
2018,"Rate per 100,000 population",Yukon,,,120.9
2019,"Rate per 100,000 population",Yukon,,,152.3
2020,"Rate per 100,000 population",Yukon,,,191.9
2021,"Rate per 100,000 population",Yukon,,,215.3
2022,"Rate per 100,000 population",Yukon,,,186.5
2015,Number,,,,17887.0
2016,Number,,,,23996.0
2017,Number,,,,27829.0
2018,Number,,,,33893.0
2019,Number,,,,48318.0
2020,Number,,,,65141.0
2021,Number,,,,71727.0
2022,Number,,,,74073.0
2015,"Rate per 100,000 population",,,,55.6
2016,"Rate per 100,000 population",,,,73.7
2017,"Rate per 100,000 population",,,,81.7
2018,"Rate per 100,000 population",,,,91.9
2019,"Rate per 100,000 population",,,,129.3
2020,"Rate per 100,000 population",,,,172.0
2021,"Rate per 100,000 population",,,,188.2
2022,"Rate per 100,000 population",,,,191.0
