Year,Geography,Population characteristics,Education attainment level,Age group,Gender,GeoCode,Value
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Women+,,30.0
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,,24.0
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Men+,,20.0
2010,Canada,Total population,Short-cycle tertiary,45 to 54 years,Women+,,28.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,,20.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Men+,,17.0
2010,Canada,Total population,Short-cycle tertiary,55 to 64 years,Women+,,24.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,,18.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,,16.0
2010,Canada,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,,19.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Total - Gender,,23.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Men+,,19.0
2010,Canada,Total population,Bachelor's level,25 to 34 years,Women+,,26.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Total - Gender,,22.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Men+,,19.0
2010,Canada,Total population,Bachelor's level,30 to 34 years,Women+,,25.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Total - Gender,,21.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Men+,,19.0
2010,Canada,Total population,Bachelor's level,35 to 44 years,Women+,,23.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Total - Gender,,15.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Men+,,14.0
2010,Canada,Total population,Bachelor's level,45 to 54 years,Women+,,15.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Total - Gender,,13.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Men+,,14.0
2010,Canada,Total population,Bachelor's level,55 to 64 years,Women+,,13.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,,8.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,,9.0
2010,Canada,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,,8.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,,8.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Men+,,7.0
2010,Canada,Total population,Master's or Doctoral level,25 to 34 years,Women+,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Men+,,9.0
2010,Canada,Total population,Master's or Doctoral level,30 to 34 years,Women+,,10.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,,9.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Men+,,9.0
2010,Canada,Total population,Master's or Doctoral level,35 to 44 years,Women+,,9.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,,8.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Men+,,8.0
2010,Canada,Total population,Master's or Doctoral level,45 to 54 years,Women+,,7.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,,8.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Men+,,10.0
2010,Canada,Total population,Master's or Doctoral level,55 to 64 years,Women+,,6.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,10,36.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Men+,10,30.0
2010,Newfoundland and Labrador,Total population,Tertiary education,"Total, 25 to 64 years",Women+,10,41.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Total - Gender,10,47.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Men+,10,38.0
2010,Newfoundland and Labrador,Total population,Tertiary education,25 to 34 years,Women+,10,55.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Total - Gender,10,48.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Men+,10,41.0
2010,Newfoundland and Labrador,Total population,Tertiary education,30 to 34 years,Women+,10,55.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Total - Gender,10,43.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Men+,10,35.0
2010,Newfoundland and Labrador,Total population,Tertiary education,35 to 44 years,Women+,10,51.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Total - Gender,10,31.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Men+,10,26.0
2010,Newfoundland and Labrador,Total population,Tertiary education,45 to 54 years,Women+,10,35.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Total - Gender,10,26.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Men+,10,23.0
2010,Newfoundland and Labrador,Total population,Tertiary education,55 to 64 years,Women+,10,28.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,10,21.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,10,17.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,10,25.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,10,24.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Men+,10,21.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,25 to 34 years,Women+,10,27.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,10,26.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Men+,10,24.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,30 to 34 years,Women+,10,29.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,10,28.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Men+,10,22.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,35 to 44 years,Women+,10,33.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,10,19.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Men+,10,15.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,45 to 54 years,Women+,10,23.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,10,14.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Men+,10,10.0
2010,Newfoundland and Labrador,Total population,Short-cycle tertiary,55 to 64 years,Women+,10,18.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,10,10.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,10,9.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,10,12.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Total - Gender,10,18.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Men+,10,13.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,25 to 34 years,Women+,10,23.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Total - Gender,10,15.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Men+,10,11.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,30 to 34 years,Women+,10,19.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Total - Gender,10,11.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Men+,10,9.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,35 to 44 years,Women+,10,13.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Total - Gender,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Men+,10,6.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,45 to 54 years,Women+,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Total - Gender,10,8.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Men+,10,7.0
2010,Newfoundland and Labrador,Total population,Bachelor's level,55 to 64 years,Women+,10,8.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Men+,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,25 to 34 years,Women+,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,10,7.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Men+,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,30 to 34 years,Women+,10,7.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Men+,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,35 to 44 years,Women+,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Men+,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,45 to 54 years,Women+,10,5.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,10,4.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Men+,10,6.0
2010,Newfoundland and Labrador,Total population,Master's or Doctoral level,55 to 64 years,Women+,10,3.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,11,48.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Men+,11,40.0
2010,Prince Edward Island,Total population,Tertiary education,"Total, 25 to 64 years",Women+,11,56.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Total - Gender,11,57.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Men+,11,47.0
2010,Prince Edward Island,Total population,Tertiary education,25 to 34 years,Women+,11,67.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Total - Gender,11,58.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Men+,11,49.0
2010,Prince Edward Island,Total population,Tertiary education,30 to 34 years,Women+,11,66.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Total - Gender,11,56.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Men+,11,47.0
2010,Prince Edward Island,Total population,Tertiary education,35 to 44 years,Women+,11,65.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Total - Gender,11,45.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Men+,11,37.0
2010,Prince Edward Island,Total population,Tertiary education,45 to 54 years,Women+,11,53.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Total - Gender,11,38.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Men+,11,32.0
2010,Prince Edward Island,Total population,Tertiary education,55 to 64 years,Women+,11,43.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,11,26.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,11,20.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,11,29.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Men+,11,25.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,25 to 34 years,Women+,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,11,30.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Men+,11,28.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,30 to 34 years,Women+,11,32.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,11,30.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Men+,11,26.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,35 to 44 years,Women+,11,34.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,11,28.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Men+,11,20.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,45 to 54 years,Women+,11,36.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,11,19.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Men+,11,12.0
2010,Prince Edward Island,Total population,Short-cycle tertiary,55 to 64 years,Women+,11,25.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,11,15.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,11,14.0
2010,Prince Edward Island,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Total - Gender,11,22.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Men+,11,18.0
2010,Prince Edward Island,Total population,Bachelor's level,25 to 34 years,Women+,11,26.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Total - Gender,11,21.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Men+,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,30 to 34 years,Women+,11,24.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Total - Gender,11,17.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Men+,11,15.0
2010,Prince Edward Island,Total population,Bachelor's level,35 to 44 years,Women+,11,20.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Total - Gender,11,12.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Men+,11,11.0
2010,Prince Edward Island,Total population,Bachelor's level,45 to 54 years,Women+,11,13.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Total - Gender,11,12.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Men+,11,13.0
2010,Prince Edward Island,Total population,Bachelor's level,55 to 64 years,Women+,11,12.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Men+,11,4.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Women+,11,9.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Men+,11,
2010,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Women+,11,10.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,11,9.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Men+,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Women+,11,11.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,11,5.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Men+,11,6.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Women+,11,4.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Men+,11,7.0
2010,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Women+,11,6.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,12,48.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Men+,12,42.0
2010,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Women+,12,55.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Total - Gender,12,60.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Men+,12,51.0
2010,Nova Scotia,Total population,Tertiary education,25 to 34 years,Women+,12,68.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Total - Gender,12,61.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Men+,12,53.0
2010,Nova Scotia,Total population,Tertiary education,30 to 34 years,Women+,12,68.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Total - Gender,12,54.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Men+,12,46.0
2010,Nova Scotia,Total population,Tertiary education,35 to 44 years,Women+,12,62.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Total - Gender,12,43.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Men+,12,37.0
2010,Nova Scotia,Total population,Tertiary education,45 to 54 years,Women+,12,49.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Total - Gender,12,40.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Men+,12,35.0
2010,Nova Scotia,Total population,Tertiary education,55 to 64 years,Women+,12,45.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,12,25.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,12,21.0
2010,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Men+,12,28.0
2010,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Women+,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Men+,12,30.0
2010,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Women+,12,31.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,12,28.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Men+,12,24.0
2010,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Women+,12,32.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,12,25.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Men+,12,20.0
2010,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Women+,12,29.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,12,19.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Men+,12,14.0
2010,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Women+,12,24.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,12,15.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,12,12.0
2010,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,12,17.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Total - Gender,12,21.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Men+,12,16.0
2010,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Women+,12,27.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Total - Gender,12,20.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Men+,12,15.0
2010,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Women+,12,25.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Total - Gender,12,17.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Men+,12,14.0
2010,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Women+,12,19.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Total - Gender,12,12.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Men+,12,9.0
2010,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Women+,12,14.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Total - Gender,12,11.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Men+,12,10.0
2010,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Women+,12,12.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Men+,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Women+,12,11.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Men+,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Women+,12,13.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,12,9.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Men+,12,8.0
2010,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Women+,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,12,7.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Men+,12,7.0
2010,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Women+,12,6.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,12,10.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Men+,12,11.0
2010,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Women+,12,9.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,13,46.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Men+,13,40.0
2010,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Women+,13,51.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Total - Gender,13,58.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Men+,13,50.0
2010,New Brunswick,Total population,Tertiary education,25 to 34 years,Women+,13,65.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Total - Gender,13,58.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Men+,13,50.0
2010,New Brunswick,Total population,Tertiary education,30 to 34 years,Women+,13,65.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Total - Gender,13,52.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Men+,13,47.0
2010,New Brunswick,Total population,Tertiary education,35 to 44 years,Women+,13,57.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Total - Gender,13,40.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Men+,13,34.0
2010,New Brunswick,Total population,Tertiary education,45 to 54 years,Women+,13,45.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Total - Gender,13,37.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Men+,13,34.0
2010,New Brunswick,Total population,Tertiary education,55 to 64 years,Women+,13,40.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,13,27.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,13,23.0
2010,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,13,30.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,13,31.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Men+,13,30.0
2010,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Women+,13,33.0
2010,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,13,34.0
