Year,Geography,Age group,Gender,Indigenous group,Educational attainment,Visible minority,Immigrant status,GeoCode,Value
2017,"Annapolis Valley, Nova Scotia",,,,,,,,56.2
2017,"Southern, Nova Scotia",,,,,,,,49.5
2017,"Halifax, Nova Scotia",,,,,,,,62.7
2017,"Campbellton-Miramichi, New Brunswick",,,,,,,,47.7
2017,"Moncton-Richibucto, New Brunswick",,,,,,,,59.3
2017,"Saint John-St. Stephen, New Brunswick",,,,,,,,60.0
2017,"Fredericton-Oromocto, New Brunswick",,,,,,,,58.8
2017,"Edmundston-Woodstock, New Brunswick",,,,,,,,57.8
2017,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,47.8
2017,"Bas-Saint-Laurent, Quebec",,,,,,,,50.1
2017,"Capitale-Nationale, Quebec",,,,,,,,64.5
2017,"Chaudière-Appalaches, Quebec",,,,,,,,61.1
2017,"Estrie, Quebec",,,,,,,,57.5
2017,"Centre-du-Québec, Quebec",,,,,,,,60.0
2017,"Montérégie, Quebec",,,,,,,,63.4
2017,"Montréal, Quebec",,,,,,,,61.2
2017,"Laval, Quebec",,,,,,,,61.5
2017,"Lanaudière, Quebec",,,,,,,,62.3
2017,"Laurentides, Quebec",,,,,,,,60.6
2017,"Outaouais, Quebec",,,,,,,,61.9
2017,"Abitibi-Témiscamingue, Quebec",,,,,,,,62.2
2017,"Mauricie, Quebec",,,,,,,,53.3
2017,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,55.7
2017,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,60.4
2017,"Ottawa, Ontario",,,,,,,,62.0
2017,"Kingston-Pembroke, Ontario",,,,,,,,54.7
2017,"Muskoka-Kawarthas, Ontario",,,,,,,,55.0
2017,"Toronto, Ontario",,,,,,,,62.4
2017,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.6
2017,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,61.5
2017,"London, Ontario",,,,,,,,58.8
2017,"Windsor-Sarnia, Ontario",,,,,,,,57.1
2017,"Stratford-Bruce Peninsula, Ontario",,,,,,,,60.2
2017,"Northeast, Ontario",,,,,,,,53.9
2017,"Northwest, Ontario",,,,,,,,59.9
2017,"Southeast, Manitoba",,,,,,,,66.4
2017,"South Central and North Central, Manitoba",,,,,,,,65.0
2017,"Southwest, Manitoba",,,,,,,,62.1
2017,"Winnipeg, Manitoba",,,,,,,,64.0
2017,"Interlake, Manitoba",,,,,,,,61.5
2017,"Parklands and Northern, Manitoba",,,,,,,,64.4
2017,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.2
2017,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.6
2017,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.8
2017,"Yorkton-Melville, Saskatchewan",,,,,,,,63.2
2017,"Prince Albert and Northern, Saskatchewan",,,,,,,,61.0
2017,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.4
2017,"Camrose-Drumheller, Alberta",,,,,,,,61.7
2017,"Calgary, Alberta",,,,,,,,67.2
2017,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,66.1
2017,"Red Deer, Alberta",,,,,,,,65.7
2017,"Edmonton, Alberta",,,,,,,,66.4
2017,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,70.4
2017,"Vancouver Island and Coast, British Columbia",,,,,,,,58.3
2017,"Lower Mainland-Southwest, British Columbia",,,,,,,,64.5
2017,"Thompson-Okanagan, British Columbia",,,,,,,,58.9
2017,"Kootenay, British Columbia",,,,,,,,58.9
2017,"Cariboo, British Columbia",,,,,,,,63.3
2017,"North Coast and Nechako, British Columbia",,,,,,,,63.5
2017,"Northeast, British Columbia",,,,,,,,68.3
2018,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,55.3
2018,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,43.9
2018,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.6
2018,"Cape Breton, Nova Scotia",,,,,,,,44.2
2018,"North Shore, Nova Scotia",,,,,,,,51.7
2018,"Annapolis Valley, Nova Scotia",,,,,,,,54.1
2018,"Southern, Nova Scotia",,,,,,,,52.7
2018,"Halifax, Nova Scotia",,,,,,,,63.8
2018,"Campbellton-Miramichi, New Brunswick",,,,,,,,48.7
2018,"Moncton-Richibucto, New Brunswick",,,,,,,,59.5
2018,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.2
2018,"Fredericton-Oromocto, New Brunswick",,,,,,,,58.0
2018,"Edmundston-Woodstock, New Brunswick",,,,,,,,57.9
2018,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,45.2
2018,"Bas-Saint-Laurent, Quebec",,,,,,,,54.4
2018,"Capitale-Nationale, Quebec",,,,,,,,63.9
2018,"Chaudière-Appalaches, Quebec",,,,,,,,63.1
2018,"Estrie, Quebec",,,,,,,,59.4
2018,"Centre-du-Québec, Quebec",,,,,,,,58.0
2018,"Montérégie, Quebec",,,,,,,,63.4
2018,"Montréal, Quebec",,,,,,,,62.1
2018,"Laval, Quebec",,,,,,,,66.2
2018,"Lanaudière, Quebec",,,,,,,,60.4
2018,"Laurentides, Quebec",,,,,,,,61.0
2018,"Outaouais, Quebec",,,,,,,,62.7
2018,"Abitibi-Témiscamingue, Quebec",,,,,,,,64.1
2018,"Mauricie, Quebec",,,,,,,,53.4
2018,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,54.4
2018,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,61.3
2018,"Ottawa, Ontario",,,,,,,,62.2
2018,"Kingston-Pembroke, Ontario",,,,,,,,53.4
2018,"Muskoka-Kawarthas, Ontario",,,,,,,,53.4
2018,"Toronto, Ontario",,,,,,,,62.5
2018,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.5
2018,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.8
2018,"London, Ontario",,,,,,,,59.1
2018,"Windsor-Sarnia, Ontario",,,,,,,,57.4
2018,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.6
2018,"Northeast, Ontario",,,,,,,,54.7
2018,"Northwest, Ontario",,,,,,,,60.6
2018,"Southeast, Manitoba",,,,,,,,66.0
2018,"South Central and North Central, Manitoba",,,,,,,,63.5
2018,"Southwest, Manitoba",,,,,,,,62.8
2018,"Winnipeg, Manitoba",,,,,,,,63.8
2018,"Interlake, Manitoba",,,,,,,,59.7
2018,"Parklands and Northern, Manitoba",,,,,,,,63.3
2018,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.1
2018,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,62.0
2018,"Saskatoon-Biggar, Saskatchewan",,,,,,,,64.9
2018,"Yorkton-Melville, Saskatchewan",,,,,,,,59.3
2018,"Prince Albert and Northern, Saskatchewan",,,,,,,,61.9
2018,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.7
2018,"Camrose-Drumheller, Alberta",,,,,,,,64.4
2018,"Calgary, Alberta",,,,,,,,67.1
2018,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.1
2018,"Red Deer, Alberta",,,,,,,,68.7
2018,"Edmonton, Alberta",,,,,,,,67.3
2018,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.3
2018,"Vancouver Island and Coast, British Columbia",,,,,,,,59.2
2018,"Lower Mainland-Southwest, British Columbia",,,,,,,,64.6
2018,"Thompson-Okanagan, British Columbia",,,,,,,,57.5
2018,"Kootenay, British Columbia",,,,,,,,58.1
2018,"Cariboo, British Columbia",,,,,,,,63.3
2018,"North Coast and Nechako, British Columbia",,,,,,,,64.9
2018,"Northeast, British Columbia",,,,,,,,71.4
2019,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,57.6
2019,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,42.1
2019,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.6
2019,"Cape Breton, Nova Scotia",,,,,,,,47.1
2019,"North Shore, Nova Scotia",,,,,,,,53.8
2019,"Annapolis Valley, Nova Scotia",,,,,,,,56.1
2019,"Southern, Nova Scotia",,,,,,,,49.5
2019,"Halifax, Nova Scotia",,,,,,,,64.2
2019,"Campbellton-Miramichi, New Brunswick",,,,,,,,45.4
2019,"Moncton-Richibucto, New Brunswick",,,,,,,,59.3
2019,"Saint John-St. Stephen, New Brunswick",,,,,,,,60.6
2019,"Fredericton-Oromocto, New Brunswick",,,,,,,,59.1
2019,"Edmundston-Woodstock, New Brunswick",,,,,,,,56.2
2019,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,44.3
2019,"Bas-Saint-Laurent, Quebec",,,,,,,,55.4
2019,"Capitale-Nationale, Quebec",,,,,,,,65.2
2019,"Chaudière-Appalaches, Quebec",,,,,,,,63.0
2019,"Estrie, Quebec",,,,,,,,59.6
2019,"Centre-du-Québec, Quebec",,,,,,,,61.6
2019,"Montérégie, Quebec",,,,,,,,63.2
2019,"Montréal, Quebec",,,,,,,,62.8
2019,"Laval, Quebec",,,,,,,,60.0
2019,"Lanaudière, Quebec",,,,,,,,62.2
2019,"Laurentides, Quebec",,,,,,,,61.6
2019,"Outaouais, Quebec",,,,,,,,63.7
2019,"Abitibi-Témiscamingue, Quebec",,,,,,,,63.9
2019,"Mauricie, Quebec",,,,,,,,53.8
2019,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,56.1
2019,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,61.2
2019,"Ottawa, Ontario",,,,,,,,63.8
2019,"Kingston-Pembroke, Ontario",,,,,,,,55.9
2019,"Muskoka-Kawarthas, Ontario",,,,,,,,51.0
2019,"Toronto, Ontario",,,,,,,,63.1
2019,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,65.0
2019,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.9
2019,"London, Ontario",,,,,,,,58.0
2019,"Windsor-Sarnia, Ontario",,,,,,,,56.4
2019,"Stratford-Bruce Peninsula, Ontario",,,,,,,,62.0
2019,"Northeast, Ontario",,,,,,,,54.7
2019,"Northwest, Ontario",,,,,,,,59.5
2019,"Southeast, Manitoba",,,,,,,,63.1
2019,"South Central and North Central, Manitoba",,,,,,,,62.8
2019,"Southwest, Manitoba",,,,,,,,65.2
2019,"Winnipeg, Manitoba",,,,,,,,64.2
2019,"Interlake, Manitoba",,,,,,,,59.7
2019,"Parklands and Northern, Manitoba",,,,,,,,59.2
2019,"Regina-Moose Mountain, Saskatchewan",,,,,,,,67.8
2019,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,63.8
2019,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.4
2019,"Yorkton-Melville, Saskatchewan",,,,,,,,63.0
2019,"Prince Albert and Northern, Saskatchewan",,,,,,,,62.2
2019,"Lethbridge-Medicine Hat, Alberta",,,,,,,,62.0
2019,"Camrose-Drumheller, Alberta",,,,,,,,59.3
2019,"Calgary, Alberta",,,,,,,,67.9
2019,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.1
2019,"Red Deer, Alberta",,,,,,,,64.2
2019,"Edmonton, Alberta",,,,,,,,67.0
2019,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,73.5
2019,"Vancouver Island and Coast, British Columbia",,,,,,,,57.2
2019,"Lower Mainland-Southwest, British Columbia",,,,,,,,65.4
2019,"Thompson-Okanagan, British Columbia",,,,,,,,61.0
2019,"Kootenay, British Columbia",,,,,,,,59.4
2019,"Cariboo, British Columbia",,,,,,,,63.3
2019,"North Coast and Nechako, British Columbia",,,,,,,,64.9
2019,"Northeast, British Columbia",,,,,,,,70.9
2020,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,53.5
2020,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,39.7
2020,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,46.3
2020,"Cape Breton, Nova Scotia",,,,,,,,44.9
2020,"North Shore, Nova Scotia",,,,,,,,49.9
2020,"Annapolis Valley, Nova Scotia",,,,,,,,51.3
2020,"Southern, Nova Scotia",,,,,,,,48.6
2020,"Halifax, Nova Scotia",,,,,,,,61.2
2020,"Campbellton-Miramichi, New Brunswick",,,,,,,,46.5
