Year,Geography,Economic family type,Demographic characteristics,Household food security status,GeoCode,Value
2018,Canada,Persons in non-elderly families,,"Food insecure, severe",,3.2
2018,Canada,Persons in couples,,Food secure,,88.5
2018,Canada,Persons in couples,,Food secure,,11.5
2018,Canada,Persons in couples,,"Food insecure, marginal",,3.9
2018,Canada,Persons in couples,,"Food insecure, moderate or severe",,7.6
2018,Canada,Persons in couples,,"Food insecure, moderate",,4.7
2018,Canada,Persons in couples,,"Food insecure, severe",,2.9
2018,Canada,Persons in couple families with children,,Food secure,,82.1
2018,Canada,Persons in couple families with children,,Food secure,,17.9
2018,Canada,Persons in couple families with children,,"Food insecure, marginal",,6.6
2018,Canada,Persons in couple families with children,,"Food insecure, moderate or severe",,11.2
2018,Canada,Persons in couple families with children,,"Food insecure, moderate",,8.9
2018,Canada,Persons in couple families with children,,"Food insecure, severe",,2.3
2018,Canada,Persons in couple families with other relatives,,Food secure,,89.1
2018,Canada,Persons in couple families with other relatives,,Food secure,,10.9
2018,Canada,Persons in couple families with other relatives,,"Food insecure, marginal",,2.7
2018,Canada,Persons in couple families with other relatives,,"Food insecure, moderate or severe",,8.2
2018,Canada,Persons in couple families with other relatives,,"Food insecure, moderate",,6.5
2018,Canada,Persons in couple families with other relatives,,"Food insecure, severe",,1.6
2018,Canada,Persons in lone-parent families,,Food secure,,57.8
2018,Canada,Persons in lone-parent families,,Food secure,,42.2
2018,Canada,Persons in lone-parent families,,"Food insecure, marginal",,9.8
2018,Canada,Persons in lone-parent families,,"Food insecure, moderate or severe",,32.3
2018,Canada,Persons in lone-parent families,,"Food insecure, moderate",,21.4
2018,Canada,Persons in lone-parent families,,"Food insecure, severe",,11.0
2018,Canada,Persons in male lone-parent families,,Food secure,,69.1
2018,Canada,Persons in male lone-parent families,,Food secure,,30.9
2018,Canada,Persons in male lone-parent families,,"Food insecure, marginal",,7.7
2018,Canada,Persons in male lone-parent families,,"Food insecure, moderate or severe",,23.2
2018,Canada,Persons in male lone-parent families,,"Food insecure, moderate",,17.1
2018,Canada,Persons in male lone-parent families,,"Food insecure, severe",,6.1
2018,Canada,Persons in female lone-parent families,,Food secure,,55.6
2018,Canada,Persons in female lone-parent families,,Food secure,,44.4
2018,Canada,Persons in female lone-parent families,,"Food insecure, marginal",,10.3
2018,Canada,Persons in female lone-parent families,,"Food insecure, moderate or severe",,34.1
2018,Canada,Persons in female lone-parent families,,"Food insecure, moderate",,22.2
2018,Canada,Persons in female lone-parent families,,"Food insecure, severe",,11.9
2018,Canada,Persons in other non-elderly families,,Food secure,,78.5
2018,Canada,Persons in other non-elderly families,,Food secure,,21.5
2018,Canada,Persons in other non-elderly families,,"Food insecure, marginal",,5.7
2018,Canada,Persons in other non-elderly families,,"Food insecure, moderate or severe",,15.8
2018,Canada,Persons in other non-elderly families,,"Food insecure, moderate",,10.4
2018,Canada,Persons in other non-elderly families,,"Food insecure, severe",,5.4
2018,Canada,Persons not in an economic family,,Food secure,,79.8
2018,Canada,Persons not in an economic family,,Food secure,,20.2
2018,Canada,Persons not in an economic family,,"Food insecure, marginal",,4.9
2018,Canada,Persons not in an economic family,,"Food insecure, moderate or severe",,15.3
2018,Canada,Persons not in an economic family,,"Food insecure, moderate",,8.4
2018,Canada,Persons not in an economic family,,"Food insecure, severe",,6.9
2018,Canada,Elderly persons not in an economic family,,Food secure,,89.6
2018,Canada,Elderly persons not in an economic family,,Food secure,,10.4
2018,Canada,Elderly persons not in an economic family,,"Food insecure, marginal",,3.5
2018,Canada,Elderly persons not in an economic family,,"Food insecure, moderate or severe",,6.9
2018,Canada,Elderly persons not in an economic family,,"Food insecure, moderate",,4.8
2018,Canada,Elderly persons not in an economic family,,"Food insecure, severe",,2.1
2018,Canada,Elderly males not in an economic family,,Food secure,,87.3
2018,Canada,Elderly males not in an economic family,,Food secure,,12.7
2018,Canada,Elderly males not in an economic family,,"Food insecure, marginal",,3.3
2018,Canada,Elderly males not in an economic family,,"Food insecure, moderate or severe",,9.4
2018,Canada,Elderly males not in an economic family,,"Food insecure, moderate",,6.1
2018,Canada,Elderly males not in an economic family,,"Food insecure, severe",,3.2
2018,Canada,Elderly females not in an economic family,,Food secure,,90.7
2018,Canada,Elderly females not in an economic family,,Food secure,,9.3
2018,Canada,Elderly females not in an economic family,,"Food insecure, marginal",,3.7
2018,Canada,Elderly females not in an economic family,,"Food insecure, moderate or severe",,5.6
2018,Canada,Elderly females not in an economic family,,"Food insecure, moderate",,4.1
2018,Canada,Elderly females not in an economic family,,"Food insecure, severe",,1.6
2018,Canada,Non-elderly persons not in an economic family,,Food secure,,75.5
2018,Canada,Non-elderly persons not in an economic family,,Food secure,,24.5
2018,Canada,Non-elderly persons not in an economic family,,"Food insecure, marginal",,5.5
2018,Canada,Non-elderly persons not in an economic family,,"Food insecure, moderate or severe",,18.9
2018,Canada,Non-elderly persons not in an economic family,,"Food insecure, moderate",,9.9
2018,Canada,Non-elderly persons not in an economic family,,"Food insecure, severe",,9.0
2018,Canada,Non-elderly males not in an economic family,,Food secure,,75.5
2018,Canada,Non-elderly males not in an economic family,,Food secure,,24.5
2018,Canada,Non-elderly males not in an economic family,,"Food insecure, marginal",,5.8
2018,Canada,Non-elderly males not in an economic family,,"Food insecure, moderate or severe",,18.7
2018,Canada,Non-elderly males not in an economic family,,"Food insecure, moderate",,9.0
2018,Canada,Non-elderly males not in an economic family,,"Food insecure, severe",,9.7
2018,Canada,Non-elderly females not in an economic family,,Food secure,,75.6
2018,Canada,Non-elderly females not in an economic family,,Food secure,,24.4
2018,Canada,Non-elderly females not in an economic family,,"Food insecure, marginal",,5.2
2018,Canada,Non-elderly females not in an economic family,,"Food insecure, moderate or severe",,19.2
2018,Canada,Non-elderly females not in an economic family,,"Food insecure, moderate",,11.1
2018,Canada,Non-elderly females not in an economic family,,"Food insecure, severe",,8.1
2018,Atlantic provinces,All persons,,Food secure,,80.8
2018,Atlantic provinces,All persons,,Food secure,,19.2
2018,Atlantic provinces,All persons,,"Food insecure, marginal",,5.6
2018,Atlantic provinces,All persons,,"Food insecure, moderate or severe",,13.6
2018,Atlantic provinces,All persons,,"Food insecure, moderate",,8.6
2018,Atlantic provinces,All persons,,"Food insecure, severe",,5.0
2018,Atlantic provinces,Persons in economic families,,Food secure,,81.6
2018,Atlantic provinces,Persons in economic families,,Food secure,,18.4
2018,Atlantic provinces,Persons in economic families,,"Food insecure, marginal",,5.6
2018,Atlantic provinces,Persons in economic families,,"Food insecure, moderate or severe",,12.8
2018,Atlantic provinces,Persons in economic families,,"Food insecure, moderate",,8.5
2018,Atlantic provinces,Persons in economic families,,"Food insecure, severe",,4.3
2018,Atlantic provinces,Persons in elderly families,,Food secure,,90.8
2018,Atlantic provinces,Persons in elderly families,,Food secure,,9.2
2018,Atlantic provinces,Persons in elderly families,,"Food insecure, marginal",,3.6
2018,Atlantic provinces,Persons in elderly families,,"Food insecure, moderate or severe",,5.6
2018,Atlantic provinces,Persons in elderly families,,"Food insecure, moderate",,3.7
2018,Atlantic provinces,Persons in elderly families,,"Food insecure, severe",,1.9
2018,Atlantic provinces,Persons in elderly couples,,Food secure,,92.7
2018,Atlantic provinces,Persons in elderly couples,,Food secure,,7.3
2018,Atlantic provinces,Persons in elderly couples,,"Food insecure, marginal",,2.9
2018,Atlantic provinces,Persons in elderly couples,,"Food insecure, moderate or severe",,4.5
2018,Atlantic provinces,Persons in elderly couples,,"Food insecure, moderate",,3.0
2018,Atlantic provinces,Persons in elderly couples,,"Food insecure, severe",,1.5
2018,Atlantic provinces,Persons in other elderly families,,Food secure,,84.9
2018,Atlantic provinces,Persons in other elderly families,,Food secure,,15.1
2018,Atlantic provinces,Persons in other elderly families,,"Food insecure, marginal",,6.0
2018,Atlantic provinces,Persons in other elderly families,,"Food insecure, moderate or severe",,9.1
2018,Atlantic provinces,Persons in other elderly families,,"Food insecure, moderate",,5.9
2018,Atlantic provinces,Persons in other elderly families,,"Food insecure, severe",,
2018,Atlantic provinces,Persons in non-elderly families,,Food secure,,79.6
2018,Atlantic provinces,Persons in non-elderly families,,Food secure,,20.4
2018,Atlantic provinces,Persons in non-elderly families,,"Food insecure, marginal",,6.0
2018,Atlantic provinces,Persons in non-elderly families,,"Food insecure, moderate or severe",,14.4
2018,Atlantic provinces,Persons in non-elderly families,,"Food insecure, moderate",,9.5
2018,Atlantic provinces,Persons in non-elderly families,,"Food insecure, severe",,4.8
2018,Atlantic provinces,Persons in couples,,Food secure,,85.9
2018,Atlantic provinces,Persons in couples,,Food secure,,14.1
2018,Atlantic provinces,Persons in couples,,"Food insecure, marginal",,3.9
2018,Atlantic provinces,Persons in couples,,"Food insecure, moderate or severe",,10.2
2018,Atlantic provinces,Persons in couples,,"Food insecure, moderate",,5.7
2018,Atlantic provinces,Persons in couples,,"Food insecure, severe",,4.5
2018,Atlantic provinces,Persons in couple families with children,,Food secure,,79.2
2018,Atlantic provinces,Persons in couple families with children,,Food secure,,20.8
2018,Atlantic provinces,Persons in couple families with children,,"Food insecure, marginal",,7.8
2018,Atlantic provinces,Persons in couple families with children,,"Food insecure, moderate or severe",,13.0
2018,Atlantic provinces,Persons in couple families with children,,"Food insecure, moderate",,9.5
2018,Atlantic provinces,Persons in couple families with children,,"Food insecure, severe",,3.5
2018,Atlantic provinces,Persons in couple families with other relatives,,Food secure,,88.4
2018,Atlantic provinces,Persons in couple families with other relatives,,Food secure,,11.6
2018,Atlantic provinces,Persons in couple families with other relatives,,"Food insecure, marginal",,
2018,Atlantic provinces,Persons in couple families with other relatives,,"Food insecure, moderate or severe",,9.9
2018,Atlantic provinces,Persons in couple families with other relatives,,"Food insecure, moderate",,8.3
2018,Atlantic provinces,Persons in couple families with other relatives,,"Food insecure, severe",,
2018,Atlantic provinces,Persons in lone-parent families,,Food secure,,56.3
2018,Atlantic provinces,Persons in lone-parent families,,Food secure,,43.7
2018,Atlantic provinces,Persons in lone-parent families,,"Food insecure, marginal",,7.3
2018,Atlantic provinces,Persons in lone-parent families,,"Food insecure, moderate or severe",,36.4
2018,Atlantic provinces,Persons in lone-parent families,,"Food insecure, moderate",,21.7
2018,Atlantic provinces,Persons in lone-parent families,,"Food insecure, severe",,14.7
2018,Atlantic provinces,Persons in male lone-parent families,,Food secure,,65.7
2018,Atlantic provinces,Persons in male lone-parent families,,Food secure,,34.3
2018,Atlantic provinces,Persons in male lone-parent families,,"Food insecure, marginal",,
2018,Atlantic provinces,Persons in male lone-parent families,,"Food insecure, moderate or severe",,26.4
2018,Atlantic provinces,Persons in male lone-parent families,,"Food insecure, moderate",,
2018,Atlantic provinces,Persons in male lone-parent families,,"Food insecure, severe",,
2018,Atlantic provinces,Persons in female lone-parent families,,Food secure,,54.3
2018,Atlantic provinces,Persons in female lone-parent families,,Food secure,,45.7
2018,Atlantic provinces,Persons in female lone-parent families,,"Food insecure, marginal",,7.3
2018,Atlantic provinces,Persons in female lone-parent families,,"Food insecure, moderate or severe",,38.4
2018,Atlantic provinces,Persons in female lone-parent families,,"Food insecure, moderate",,22.5
2018,Atlantic provinces,Persons in female lone-parent families,,"Food insecure, severe",,16.0
2018,Atlantic provinces,Persons in other non-elderly families,,Food secure,,73.8
2018,Atlantic provinces,Persons in other non-elderly families,,Food secure,,26.2
2018,Atlantic provinces,Persons in other non-elderly families,,"Food insecure, marginal",,8.7
2018,Atlantic provinces,Persons in other non-elderly families,,"Food insecure, moderate or severe",,17.4
2018,Atlantic provinces,Persons in other non-elderly families,,"Food insecure, moderate",,9.8
2018,Atlantic provinces,Persons in other non-elderly families,,"Food insecure, severe",,7.6
2018,Atlantic provinces,Persons not in an economic family,,Food secure,,76.6
2018,Atlantic provinces,Persons not in an economic family,,Food secure,,23.4
2018,Atlantic provinces,Persons not in an economic family,,"Food insecure, marginal",,5.7
2018,Atlantic provinces,Persons not in an economic family,,"Food insecure, moderate or severe",,17.6
2018,Atlantic provinces,Persons not in an economic family,,"Food insecure, moderate",,9.0
2018,Atlantic provinces,Persons not in an economic family,,"Food insecure, severe",,8.6
2018,Atlantic provinces,Elderly persons not in an economic family,,Food secure,,84.2
2018,Atlantic provinces,Elderly persons not in an economic family,,Food secure,,15.8
2018,Atlantic provinces,Elderly persons not in an economic family,,"Food insecure, marginal",,4.9
2018,Atlantic provinces,Elderly persons not in an economic family,,"Food insecure, moderate or severe",,10.9
2018,Atlantic provinces,Elderly persons not in an economic family,,"Food insecure, moderate",,6.6
2018,Atlantic provinces,Elderly persons not in an economic family,,"Food insecure, severe",,4.3
2018,Atlantic provinces,Elderly males not in an economic family,,Food secure,,78.9
2018,Atlantic provinces,Elderly males not in an economic family,,Food secure,,21.1
2018,Atlantic provinces,Elderly males not in an economic family,,"Food insecure, marginal",,6.8
2018,Atlantic provinces,Elderly males not in an economic family,,"Food insecure, moderate or severe",,14.3
2018,Atlantic provinces,Elderly males not in an economic family,,"Food insecure, moderate",,8.2
2018,Atlantic provinces,Elderly males not in an economic family,,"Food insecure, severe",,6.1
2018,Atlantic provinces,Elderly females not in an economic family,,Food secure,,87.2
2018,Atlantic provinces,Elderly females not in an economic family,,Food secure,,12.8
2018,Atlantic provinces,Elderly females not in an economic family,,"Food insecure, marginal",,3.9
2018,Atlantic provinces,Elderly females not in an economic family,,"Food insecure, moderate or severe",,9.0
2018,Atlantic provinces,Elderly females not in an economic family,,"Food insecure, moderate",,5.7
2018,Atlantic provinces,Elderly females not in an economic family,,"Food insecure, severe",,3.3
2018,Atlantic provinces,Non-elderly persons not in an economic family,,Food secure,,72.7
2018,Atlantic provinces,Non-elderly persons not in an economic family,,Food secure,,27.3
2018,Atlantic provinces,Non-elderly persons not in an economic family,,"Food insecure, marginal",,6.2
2018,Atlantic provinces,Non-elderly persons not in an economic family,,"Food insecure, moderate or severe",,21.1
2018,Atlantic provinces,Non-elderly persons not in an economic family,,"Food insecure, moderate",,10.3
2018,Atlantic provinces,Non-elderly persons not in an economic family,,"Food insecure, severe",,10.8
2018,Atlantic provinces,Non-elderly males not in an economic family,,Food secure,,73.2
2018,Atlantic provinces,Non-elderly males not in an economic family,,Food secure,,26.8
2018,Atlantic provinces,Non-elderly males not in an economic family,,"Food insecure, marginal",,6.2
2018,Atlantic provinces,Non-elderly males not in an economic family,,"Food insecure, moderate or severe",,20.6
2018,Atlantic provinces,Non-elderly males not in an economic family,,"Food insecure, moderate",,10.2
2018,Atlantic provinces,Non-elderly males not in an economic family,,"Food insecure, severe",,10.4
2018,Atlantic provinces,Non-elderly females not in an economic family,,Food secure,,72.1
2018,Atlantic provinces,Non-elderly females not in an economic family,,Food secure,,27.9
2018,Atlantic provinces,Non-elderly females not in an economic family,,"Food insecure, marginal",,6.1
2018,Atlantic provinces,Non-elderly females not in an economic family,,"Food insecure, moderate or severe",,21.8
2018,Atlantic provinces,Non-elderly females not in an economic family,,"Food insecure, moderate",,10.5
2018,Atlantic provinces,Non-elderly females not in an economic family,,"Food insecure, severe",,11.3
2018,Newfoundland and Labrador,All persons,,Food secure,10,81.1
2018,Newfoundland and Labrador,All persons,,Food secure,10,18.9
2018,Newfoundland and Labrador,All persons,,"Food insecure, marginal",10,6.9
2018,Newfoundland and Labrador,All persons,,"Food insecure, moderate or severe",10,12.0
2018,Newfoundland and Labrador,All persons,,"Food insecure, moderate",10,8.0
2018,Newfoundland and Labrador,All persons,,"Food insecure, severe",10,4.0
2018,Newfoundland and Labrador,Persons in economic families,,Food secure,10,81.8
2018,Newfoundland and Labrador,Persons in economic families,,Food secure,10,18.2
2018,Newfoundland and Labrador,Persons in economic families,,"Food insecure, marginal",10,7.4
2018,Newfoundland and Labrador,Persons in economic families,,"Food insecure, moderate or severe",10,10.9
2018,Newfoundland and Labrador,Persons in economic families,,"Food insecure, moderate",10,7.3
2018,Newfoundland and Labrador,Persons in economic families,,"Food insecure, severe",10,3.6
2018,Newfoundland and Labrador,Persons in elderly families,,Food secure,10,90.3
2018,Newfoundland and Labrador,Persons in elderly families,,Food secure,10,9.7
2018,Newfoundland and Labrador,Persons in elderly families,,"Food insecure, marginal",10,3.3
2018,Newfoundland and Labrador,Persons in elderly families,,"Food insecure, moderate or severe",10,6.4
2018,Newfoundland and Labrador,Persons in elderly families,,"Food insecure, moderate",10,4.5
2018,Newfoundland and Labrador,Persons in elderly families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in elderly couples,,Food secure,10,89.4
2018,Newfoundland and Labrador,Persons in elderly couples,,Food secure,10,10.6
2018,Newfoundland and Labrador,Persons in elderly couples,,"Food insecure, marginal",10,4.2
2018,Newfoundland and Labrador,Persons in elderly couples,,"Food insecure, moderate or severe",10,6.4
2018,Newfoundland and Labrador,Persons in elderly couples,,"Food insecure, moderate",10,4.0
2018,Newfoundland and Labrador,Persons in elderly couples,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in other elderly families,,Food secure,10,93.7
2018,Newfoundland and Labrador,Persons in other elderly families,,Food secure,10,
2018,Newfoundland and Labrador,Persons in other elderly families,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in other elderly families,,"Food insecure, moderate or severe",10,
2018,Newfoundland and Labrador,Persons in other elderly families,,"Food insecure, moderate",10,
2018,Newfoundland and Labrador,Persons in other elderly families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in non-elderly families,,Food secure,10,79.9
2018,Newfoundland and Labrador,Persons in non-elderly families,,Food secure,10,20.1
2018,Newfoundland and Labrador,Persons in non-elderly families,,"Food insecure, marginal",10,8.3
2018,Newfoundland and Labrador,Persons in non-elderly families,,"Food insecure, moderate or severe",10,11.9
2018,Newfoundland and Labrador,Persons in non-elderly families,,"Food insecure, moderate",10,7.9
2018,Newfoundland and Labrador,Persons in non-elderly families,,"Food insecure, severe",10,3.9
2018,Newfoundland and Labrador,Persons in couples,,Food secure,10,88.9
2018,Newfoundland and Labrador,Persons in couples,,Food secure,10,11.1
2018,Newfoundland and Labrador,Persons in couples,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in couples,,"Food insecure, moderate or severe",10,8.1
2018,Newfoundland and Labrador,Persons in couples,,"Food insecure, moderate",10,5.0
2018,Newfoundland and Labrador,Persons in couples,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in couple families with children,,Food secure,10,80.2
2018,Newfoundland and Labrador,Persons in couple families with children,,Food secure,10,19.8
2018,Newfoundland and Labrador,Persons in couple families with children,,"Food insecure, marginal",10,10.9
2018,Newfoundland and Labrador,Persons in couple families with children,,"Food insecure, moderate or severe",10,8.8
2018,Newfoundland and Labrador,Persons in couple families with children,,"Food insecure, moderate",10,5.8
2018,Newfoundland and Labrador,Persons in couple families with children,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,Food secure,10,89.1
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,Food secure,10,10.9
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,"Food insecure, moderate or severe",10,
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,"Food insecure, moderate",10,
2018,Newfoundland and Labrador,Persons in couple families with other relatives,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in lone-parent families,,Food secure,10,52.7
2018,Newfoundland and Labrador,Persons in lone-parent families,,Food secure,10,47.3
2018,Newfoundland and Labrador,Persons in lone-parent families,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in lone-parent families,,"Food insecure, moderate or severe",10,37.5
2018,Newfoundland and Labrador,Persons in lone-parent families,,"Food insecure, moderate",10,26.0
2018,Newfoundland and Labrador,Persons in lone-parent families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,Food secure,10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,Food secure,10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,"Food insecure, moderate or severe",10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,"Food insecure, moderate",10,
2018,Newfoundland and Labrador,Persons in male lone-parent families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in female lone-parent families,,Food secure,10,52.5
2018,Newfoundland and Labrador,Persons in female lone-parent families,,Food secure,10,47.5
2018,Newfoundland and Labrador,Persons in female lone-parent families,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Persons in female lone-parent families,,"Food insecure, moderate or severe",10,36.1
2018,Newfoundland and Labrador,Persons in female lone-parent families,,"Food insecure, moderate",10,22.6
2018,Newfoundland and Labrador,Persons in female lone-parent families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons in other non-elderly families,,Food secure,10,70.7
2018,Newfoundland and Labrador,Persons in other non-elderly families,,Food secure,10,29.3
2018,Newfoundland and Labrador,Persons in other non-elderly families,,"Food insecure, marginal",10,10.8
2018,Newfoundland and Labrador,Persons in other non-elderly families,,"Food insecure, moderate or severe",10,18.5
2018,Newfoundland and Labrador,Persons in other non-elderly families,,"Food insecure, moderate",10,10.6
2018,Newfoundland and Labrador,Persons in other non-elderly families,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Persons not in an economic family,,Food secure,10,77.1
2018,Newfoundland and Labrador,Persons not in an economic family,,Food secure,10,22.9
2018,Newfoundland and Labrador,Persons not in an economic family,,"Food insecure, marginal",10,4.3
2018,Newfoundland and Labrador,Persons not in an economic family,,"Food insecure, moderate or severe",10,18.6
2018,Newfoundland and Labrador,Persons not in an economic family,,"Food insecure, moderate",10,11.8
2018,Newfoundland and Labrador,Persons not in an economic family,,"Food insecure, severe",10,6.8
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,Food secure,10,82.9
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,Food secure,10,17.1
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,"Food insecure, marginal",10,4.8
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,"Food insecure, moderate or severe",10,12.3
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,"Food insecure, moderate",10,9.7
2018,Newfoundland and Labrador,Elderly persons not in an economic family,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Elderly males not in an economic family,,Food secure,10,77.7
2018,Newfoundland and Labrador,Elderly males not in an economic family,,Food secure,10,22.3
2018,Newfoundland and Labrador,Elderly males not in an economic family,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Elderly males not in an economic family,,"Food insecure, moderate or severe",10,14.3
2018,Newfoundland and Labrador,Elderly males not in an economic family,,"Food insecure, moderate",10,
2018,Newfoundland and Labrador,Elderly males not in an economic family,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Elderly females not in an economic family,,Food secure,10,86.0
2018,Newfoundland and Labrador,Elderly females not in an economic family,,Food secure,10,14.0
2018,Newfoundland and Labrador,Elderly females not in an economic family,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Elderly females not in an economic family,,"Food insecure, moderate or severe",10,11.0
2018,Newfoundland and Labrador,Elderly females not in an economic family,,"Food insecure, moderate",10,7.9
2018,Newfoundland and Labrador,Elderly females not in an economic family,,"Food insecure, severe",10,
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,Food secure,10,73.9
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,Food secure,10,26.1
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,"Food insecure, marginal",10,4.0
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,"Food insecure, moderate or severe",10,22.1
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,"Food insecure, moderate",10,13.0
2018,Newfoundland and Labrador,Non-elderly persons not in an economic family,,"Food insecure, severe",10,9.1
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,Food secure,10,77.6
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,Food secure,10,22.4
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,"Food insecure, moderate or severe",10,19.0
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,"Food insecure, moderate",10,11.8
2018,Newfoundland and Labrador,Non-elderly males not in an economic family,,"Food insecure, severe",10,7.2
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,Food secure,10,68.5
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,Food secure,10,31.5
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,"Food insecure, marginal",10,
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,"Food insecure, moderate or severe",10,26.5
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,"Food insecure, moderate",10,14.7
2018,Newfoundland and Labrador,Non-elderly females not in an economic family,,"Food insecure, severe",10,11.8
2018,Prince Edward Island,All persons,,Food secure,11,82.7
2018,Prince Edward Island,All persons,,Food secure,11,17.3
2018,Prince Edward Island,All persons,,"Food insecure, marginal",11,5.0
2018,Prince Edward Island,All persons,,"Food insecure, moderate or severe",11,12.3
2018,Prince Edward Island,All persons,,"Food insecure, moderate",11,7.4
2018,Prince Edward Island,All persons,,"Food insecure, severe",11,4.9
2018,Prince Edward Island,Persons in economic families,,Food secure,11,83.6
2018,Prince Edward Island,Persons in economic families,,Food secure,11,16.4
2018,Prince Edward Island,Persons in economic families,,"Food insecure, marginal",11,4.7
2018,Prince Edward Island,Persons in economic families,,"Food insecure, moderate or severe",11,11.7
