Year,Géographie,Antigène ou vaccin,Population cible,Genre,GeoCode,Value
2015,Canada,Hépatite B,Recommended vaccines for 17-year-old children,Total - Genre,,88.1
2017,Canada,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,,75.8
2017,Canada,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,,75.8
2017,Canada,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,,75.8
2017,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Genre,,90.7
2017,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,,73.4
2017,Canada,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,,90.2
2017,Canada,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,,89.9
2017,Canada,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,,90.0
2017,Canada,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,,74.1
2017,Canada,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,,82.9
2017,Canada,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,,87.6
2017,Canada,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,,81.4
2017,Canada,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,,78.8
2017,Canada,Diphtérie,Recommended vaccines for 7-year-old children,Total - Genre,,80.5
2017,Canada,Coqueluche,Recommended vaccines for 7-year-old children,Total - Genre,,80.5
2017,Canada,Tétanos,Recommended vaccines for 7-year-old children,Total - Genre,,80.5
2017,Canada,Polio,Recommended vaccines for 7-year-old children,Total - Genre,,92.3
2017,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 7-year-old children,Total - Genre,,83.9
2017,Canada,Rougeole,Recommended vaccines for 7-year-old children,Total - Genre,,87.0
2017,Canada,Rubéole,Recommended vaccines for 7-year-old children,Total - Genre,,86.4
2017,Canada,Oreillons,Recommended vaccines for 7-year-old children,Total - Genre,,94.5
2017,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Total - Genre,,83.1
2017,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Hommes+,,82.1
2017,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Femmes+,,84.1
2017,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Femmes+,,83.0
2017,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",Recommended vaccines for 17-year-old children,Total - Genre,,89.3
2017,Terre-Neuve-et-Labrador,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,10,88.9
2017,Terre-Neuve-et-Labrador,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,10,88.9
2017,Terre-Neuve-et-Labrador,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,10,88.9
2017,Terre-Neuve-et-Labrador,Polio,Recommended vaccines for 2-year-old children,Total - Genre,10,96.9
2017,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,10,87.7
2017,Terre-Neuve-et-Labrador,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,10,96.9
2017,Terre-Neuve-et-Labrador,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,10,96.9
2017,Terre-Neuve-et-Labrador,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,10,96.9
2017,Terre-Neuve-et-Labrador,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,10,95.1
2017,Terre-Neuve-et-Labrador,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,10,93.2
2017,Terre-Neuve-et-Labrador,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,10,90.2
2017,Île-du-Prince-Édouard,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,11,81.2
2017,Île-du-Prince-Édouard,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,11,81.2
2017,Île-du-Prince-Édouard,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,11,81.2
2017,Île-du-Prince-Édouard,Polio,Recommended vaccines for 2-year-old children,Total - Genre,11,93.9
2017,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,11,79.8
2017,Île-du-Prince-Édouard,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,11,93.2
2017,Île-du-Prince-Édouard,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,11,92.6
2017,Île-du-Prince-Édouard,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,11,92.6
2017,Île-du-Prince-Édouard,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,11,86.7
2017,Île-du-Prince-Édouard,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,11,92.0
2017,Île-du-Prince-Édouard,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,11,92.7
2017,Île-du-Prince-Édouard,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,11,89.5
2017,Île-du-Prince-Édouard,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,11,85.9
2017,Nouvelle-Écosse,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,12,73.8
2017,Nouvelle-Écosse,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,12,73.8
2017,Nouvelle-Écosse,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,12,73.8
2017,Nouvelle-Écosse,Polio,Recommended vaccines for 2-year-old children,Total - Genre,12,93.5
2017,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,12,68.5
2017,Nouvelle-Écosse,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,12,87.1
2017,Nouvelle-Écosse,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,12,86.8
2017,Nouvelle-Écosse,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,12,86.8
2017,Nouvelle-Écosse,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,12,84.8
2017,Nouvelle-Écosse,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,12,81.8
2017,Nouvelle-Écosse,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,12,80.4
2017,Nouveau-Brunswick,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,13,75.5
2017,Nouveau-Brunswick,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,13,75.5
2017,Nouveau-Brunswick,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,13,75.5
2017,Nouveau-Brunswick,Polio,Recommended vaccines for 2-year-old children,Total - Genre,13,90.1
2017,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,13,74.7
2017,Nouveau-Brunswick,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,13,92.0
2017,Nouveau-Brunswick,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,13,92.0
2017,Nouveau-Brunswick,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,13,92.0
2017,Nouveau-Brunswick,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,13,81.0
2017,Nouveau-Brunswick,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,13,90.9
2017,Nouveau-Brunswick,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,13,88.3
2017,Nouveau-Brunswick,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,13,82.2
2017,Ontario,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,35,75.7
2017,Ontario,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,35,75.7
2017,Ontario,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,35,75.7
2017,Ontario,Polio,Recommended vaccines for 2-year-old children,Total - Genre,35,91.0
2017,Ontario,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,35,72.9
2017,Ontario,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,35,90.9
2017,Ontario,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,35,90.5
2017,Ontario,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,35,90.5
2017,Ontario,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,35,84.3
2017,Ontario,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,35,85.7
2017,Ontario,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,35,80.5
2017,Ontario,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,35,77.7
2017,Québec,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,24,73.7
2017,Québec,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,24,73.7
2017,Québec,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,24,73.7
2017,Québec,Polio,Recommended vaccines for 2-year-old children,Total - Genre,24,90.9
2017,Québec,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,24,71.3
2017,Québec,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,24,91.0
2017,Québec,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,24,90.5
2017,Québec,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,24,90.5
2017,Québec,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,24,75.7
2017,Québec,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,24,76.1
2017,Québec,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,24,89.9
2017,Québec,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,24,83.3
2017,Québec,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,24,81.0
2017,Manitoba,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,46,67.5
2017,Manitoba,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,46,67.5
2017,Manitoba,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,46,67.5
2017,Manitoba,Polio,Recommended vaccines for 2-year-old children,Total - Genre,46,85.6
2017,Manitoba,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,46,62.2
2017,Manitoba,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,46,86.1
2017,Manitoba,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,46,85.9
2017,Manitoba,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,46,86.2
2017,Manitoba,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,46,81.6
2017,Manitoba,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,46,82.2
2017,Manitoba,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,46,74.6
2017,Manitoba,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,46,68.4
2017,Saskatchewan,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,47,78.6
2017,Saskatchewan,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,47,78.6
2017,Saskatchewan,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,47,78.6
2017,Saskatchewan,Polio,Recommended vaccines for 2-year-old children,Total - Genre,47,90.0
2017,Saskatchewan,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,47,75.1
2017,Saskatchewan,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,47,89.5
2017,Saskatchewan,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,47,89.5
2017,Saskatchewan,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,47,89.5
2017,Saskatchewan,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,47,84.8
2017,Saskatchewan,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,47,81.1
2017,Saskatchewan,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,47,83.7
2017,Saskatchewan,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,47,84.0
2017,Alberta,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,48,79.9
2017,Alberta,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,48,79.9
2017,Alberta,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,48,79.9
2017,Alberta,Polio,Recommended vaccines for 2-year-old children,Total - Genre,48,93.0
2017,Alberta,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,48,79.1
2017,Alberta,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,48,91.7
2017,Alberta,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,48,91.4
2017,Alberta,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,48,91.4
2017,Alberta,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,48,86.7
2017,Alberta,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,48,91.0
2017,Alberta,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,48,82.6
2017,Colombie-Britannique,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,59,76.6
2017,Colombie-Britannique,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,59,76.6
2017,Colombie-Britannique,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,59,76.6
2017,Colombie-Britannique,Polio,Recommended vaccines for 2-year-old children,Total - Genre,59,87.5
2017,Colombie-Britannique,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,59,74.4
2017,Colombie-Britannique,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,59,86.1
2017,Colombie-Britannique,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,59,86.1
2017,Colombie-Britannique,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,59,86.1
2017,Colombie-Britannique,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,59,69.7
2017,Colombie-Britannique,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,59,83.7
2017,Colombie-Britannique,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,59,89.3
2017,Colombie-Britannique,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,59,80.3
2017,Colombie-Britannique,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,59,80.2
2017,Yukon,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,60,70.7
2017,Yukon,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,60,70.7
2017,Yukon,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,60,70.7
2017,Yukon,Polio,Recommended vaccines for 2-year-old children,Total - Genre,60,93.7
2017,Yukon,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,60,69.3
2017,Yukon,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,60,91.0
2017,Yukon,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,60,91.0
2017,Yukon,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,60,91.0
2017,Yukon,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,60,62.8
2017,Yukon,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,60,85.5
2017,Yukon,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,60,93.7
2017,Yukon,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,60,83.2
2017,Yukon,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,60,76.6
2017,Territoires du Nord-Ouest,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,61,76.7
2017,Territoires du Nord-Ouest,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,61,76.7
2017,Territoires du Nord-Ouest,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,61,76.7
2017,Territoires du Nord-Ouest,Polio,Recommended vaccines for 2-year-old children,Total - Genre,61,91.1
2017,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,61,75.5
2017,Territoires du Nord-Ouest,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,61,91.8
2017,Territoires du Nord-Ouest,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,61,91.8
2017,Territoires du Nord-Ouest,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,61,91.8
2017,Territoires du Nord-Ouest,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,61,80.5
2017,Territoires du Nord-Ouest,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,61,88.9
2017,Territoires du Nord-Ouest,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,61,95.2
2017,Territoires du Nord-Ouest,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,61,63.8
2017,Territoires du Nord-Ouest,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,61,66.3
2017,Nunavut,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,62,63.8
2017,Nunavut,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,62,63.8
2017,Nunavut,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,62,63.8
2017,Nunavut,Polio,Recommended vaccines for 2-year-old children,Total - Genre,62,82.1
2017,Nunavut,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,62,57.2
2017,Nunavut,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,62,88.7
2017,Nunavut,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,62,88.7
2017,Nunavut,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,62,88.7
2017,Nunavut,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,62,70.8
2017,Nunavut,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,62,82.1
2017,Nunavut,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,62,80.1
2017,Nunavut,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,62,62.4
2019,Canada,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,,43.5
2019,Canada,Grippe,Recommended vaccines during pregnancy,Total - Genre,,45.0
2019,Canada,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,,77.5
2019,Canada,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,,77.5
2019,Canada,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,,77.5
2019,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Genre,,91.9
2019,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,,74.4
2019,Canada,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,,90.2
2019,Canada,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,,89.2
2019,Canada,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,,89.4
2019,Canada,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,,83.6
2019,Canada,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,,82.7
2019,Canada,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,,91.1
2019,Canada,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,,84.4
2019,Canada,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,,84.5
2019,Canada,Diphtérie,Recommended vaccines for 7-year-old children,Total - Genre,,78.1
2019,Canada,Coqueluche,Recommended vaccines for 7-year-old children,Total - Genre,,78.1
2019,Canada,Tétanos,Recommended vaccines for 7-year-old children,Total - Genre,,78.1
2019,Canada,Polio,Recommended vaccines for 7-year-old children,Total - Genre,,89.3
2019,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 7-year-old children,Total - Genre,,80.0
2019,Canada,Rougeole,Recommended vaccines for 7-year-old children,Total - Genre,,83.3
2019,Canada,Rubéole,Recommended vaccines for 7-year-old children,Total - Genre,,83.1
2019,Canada,Oreillons,Recommended vaccines for 7-year-old children,Total - Genre,,95.9
2019,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Total - Genre,,84.5
2019,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Total - Genre,,80.2
2019,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Hommes+,,83.0
2019,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Hommes+,,73.0
2019,Canada,Hépatite B,Recommended vaccines for 14-year-old children,Femmes+,,86.0
2019,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Femmes+,,87.1
2019,Canada,Méningite de type C,Recommended vaccines for 17-year-old children,Total - Genre,,89.3
2019,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",Recommended vaccines for 17-year-old children,Total - Genre,,95.3
2019,Terre-Neuve-et-Labrador,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,10,15.9
2019,Terre-Neuve-et-Labrador,Grippe,Recommended vaccines during pregnancy,Total - Genre,10,41.4
2019,Île-du-Prince-Édouard,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,11,76.2
2019,Île-du-Prince-Édouard,Grippe,Recommended vaccines during pregnancy,Total - Genre,11,75.2
2019,Nouvelle-Écosse,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,12,62.2
2019,Nouvelle-Écosse,Grippe,Recommended vaccines during pregnancy,Total - Genre,12,71.5
2019,Nouveau-Brunswick,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,13,71.0
2019,Nouveau-Brunswick,Grippe,Recommended vaccines during pregnancy,Total - Genre,13,58.4
2019,Ontario,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,35,40.3
2019,Ontario,Grippe,Recommended vaccines during pregnancy,Total - Genre,35,43.3
2019,Québec,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,24,48.8
2019,Québec,Grippe,Recommended vaccines during pregnancy,Total - Genre,24,32.9
2019,Manitoba,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,46,57.0
2019,Manitoba,Grippe,Recommended vaccines during pregnancy,Total - Genre,46,48.8
2019,Saskatchewan,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,47,74.0
2019,Saskatchewan,Grippe,Recommended vaccines during pregnancy,Total - Genre,47,64.9
2019,Alberta,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,48,37.9
2019,Alberta,Grippe,Recommended vaccines during pregnancy,Total - Genre,48,49.4
2019,Colombie-Britannique,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,59,25.6
2019,Colombie-Britannique,Grippe,Recommended vaccines during pregnancy,Total - Genre,59,49.8
2019,Yukon,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,60,56.5
2019,Yukon,Grippe,Recommended vaccines during pregnancy,Total - Genre,60,66.0
2019,Territoires du Nord-Ouest,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,61,80.1
2019,Territoires du Nord-Ouest,Grippe,Recommended vaccines during pregnancy,Total - Genre,61,84.8
2021,Canada,"Vaccin combiné anti-Tétanos, et à dose réduite contre la diphtérie et la coqueluche acellulaire (dcaT)",Recommended vaccines during pregnancy,Total - Genre,,64.8
2021,Canada,Grippe,Recommended vaccines during pregnancy,Total - Genre,,52.7
2021,Canada,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,,77.1
2021,Canada,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,,77.1
2021,Canada,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,,77.1
2021,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Genre,,91.8
2021,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,,75.3
2021,Canada,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,,91.6
2021,Canada,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,,91.5
2021,Canada,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,,91.5
2021,Canada,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,,82.6
