Year,data.Leadership position,Value
2008,data.Legislative and senior management occupations,29.1
2008,data.Specialized middle management occupations,45.2
2008,data.Middle management occupations in retail and wholesale trade and customer services,42.4
2008,"data.Middle management occupations in trades, transportation, production and utilities",16.3
2009,data.All management occupations,35.4
2009,data.Legislative and senior management occupations,31.1
2009,data.Specialized middle management occupations,48.4
2009,data.Middle management occupations in retail and wholesale trade and customer services,41.4
2009,"data.Middle management occupations in trades, transportation, production and utilities",17.0
2010,data.All management occupations,35.4
2010,data.Legislative and senior management occupations,31.7
2010,data.Specialized middle management occupations,48.5
2010,data.Middle management occupations in retail and wholesale trade and customer services,41.6
2010,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2011,data.All management occupations,35.6
2011,data.Legislative and senior management occupations,27.8
2011,data.Specialized middle management occupations,49.7
2011,data.Middle management occupations in retail and wholesale trade and customer services,42.2
2011,"data.Middle management occupations in trades, transportation, production and utilities",15.4
2012,data.All management occupations,35.4
2012,data.Legislative and senior management occupations,26.7
2012,data.Specialized middle management occupations,49.5
2012,data.Middle management occupations in retail and wholesale trade and customer services,40.9
2012,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2013,data.All management occupations,34.4
2013,data.Legislative and senior management occupations,28.1
2013,data.Specialized middle management occupations,47.6
2013,data.Middle management occupations in retail and wholesale trade and customer services,41.3
2013,"data.Middle management occupations in trades, transportation, production and utilities",15.5
2014,data.All management occupations,34.6
2014,data.Legislative and senior management occupations,30.6
2014,data.Specialized middle management occupations,46.0
2014,data.Middle management occupations in retail and wholesale trade and customer services,42.3
2014,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2015,data.All management occupations,34.9
2015,data.Legislative and senior management occupations,30.5
2015,data.Specialized middle management occupations,46.9
2015,data.Middle management occupations in retail and wholesale trade and customer services,41.5
2015,"data.Middle management occupations in trades, transportation, production and utilities",17.3
2016,data.All management occupations,34.7
2016,data.Legislative and senior management occupations,36.5
2016,data.Specialized middle management occupations,46.8
2016,data.Middle management occupations in retail and wholesale trade and customer services,40.2
2016,"data.Middle management occupations in trades, transportation, production and utilities",16.9
2017,data.All management occupations,34.6
2017,data.Legislative and senior management occupations,29.6
2017,data.Specialized middle management occupations,47.7
2017,data.Middle management occupations in retail and wholesale trade and customer services,38.7
2017,"data.Middle management occupations in trades, transportation, production and utilities",17.6
2018,data.All management occupations,34.8
2018,data.Legislative and senior management occupations,32.9
2018,data.Specialized middle management occupations,48.1
2018,data.Middle management occupations in retail and wholesale trade and customer services,38.1
2018,"data.Middle management occupations in trades, transportation, production and utilities",18.3
2019,data.All management occupations,35.2
2019,data.Legislative and senior management occupations,32.2
2019,data.Specialized middle management occupations,51.4
2019,data.Middle management occupations in retail and wholesale trade and customer services,38.8
2019,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2020,data.All management occupations,35.9
2020,data.Legislative and senior management occupations,28.9
2020,data.Specialized middle management occupations,50.0
2020,data.Middle management occupations in retail and wholesale trade and customer services,39.3
2020,"data.Middle management occupations in trades, transportation, production and utilities",17.5
2021,data.All management occupations,35.7
2021,data.Legislative and senior management occupations,29.9
2021,data.Specialized middle management occupations,49.3
2021,data.Middle management occupations in retail and wholesale trade and customer services,40.3
2021,"data.Middle management occupations in trades, transportation, production and utilities",17.1
2022,data.All management occupations,35.3
2022,data.Legislative and senior management occupations,31.4
2022,data.Specialized middle management occupations,47.8
2022,data.Middle management occupations in retail and wholesale trade and customer services,39.9
2022,"data.Middle management occupations in trades, transportation, production and utilities",16.8
2023,data.All management occupations,35.3
2023,data.Legislative and senior management occupations,30.1
2023,data.Specialized middle management occupations,47.9
2023,data.Middle management occupations in retail and wholesale trade and customer services,37.8
2023,"data.Middle management occupations in trades, transportation, production and utilities",17.7
2024,data.All management occupations,36.4
2024,data.Legislative and senior management occupations,28.9
2024,data.Specialized middle management occupations,48.8
2024,data.Middle management occupations in retail and wholesale trade and customer services,38.2
2024,"data.Middle management occupations in trades, transportation, production and utilities",17.6
2021,data.Federally appointed judges,43.8
2022,data.Federally appointed judges,45.3
2023,data.Federally appointed judges,46.7
2002,data.Chiefs in First Nation communities,14.9
2002,data.First Nations council members,27.0
2003,data.Chiefs in First Nation communities,16.4
2003,data.First Nations council members,27.1
2004,data.Chiefs in First Nation communities,15.5
2004,data.First Nations council members,27.6
2005,data.Chiefs in First Nation communities,16.0
2005,data.First Nations council members,28.6
2006,data.Chiefs in First Nation communities,17.3
2006,data.First Nations council members,29.2
2007,data.Chiefs in First Nation communities,18.7
2007,data.First Nations council members,30.3
2008,data.Chiefs in First Nation communities,20.1
2008,data.First Nations council members,31.0
2009,data.Chiefs in First Nation communities,18.8
2009,data.First Nations council members,31.0
2010,data.Chiefs in First Nation communities,19.0
2010,data.First Nations council members,29.0
2011,data.Chiefs in First Nation communities,17.8
2011,data.First Nations council members,29.1
2012,data.Chiefs in First Nation communities,16.5
2012,data.First Nations council members,29.4
2013,data.Chiefs in First Nation communities,17.1
2013,data.First Nations council members,28.7
2014,data.Chiefs in First Nation communities,18.6
2014,data.First Nations council members,29.0
2015,data.Chiefs in First Nation communities,19.5
2015,data.First Nations council members,30.5
2016,data.Chiefs in First Nation communities,19.7
2016,data.First Nations council members,30.7
2017,data.Chiefs in First Nation communities,18.8
2017,data.First Nations council members,28.6
2018,data.Chiefs in First Nation communities,20.4
2018,data.First Nations council members,28.2
2019,data.Chiefs in First Nation communities,18.5
2019,data.First Nations council members,27.4
