Year,Région,Biens et services (produits),Value
2016,Moyen-Orient,Produits environnementaux et de technologies propres,3.32
2016,Moyen-Orient,Produits environnementaux,0.062
2016,Moyen-Orient,Produits de technologies propres,3.257
2016,Océanie,Produits environnementaux et de technologies propres,0.375
2016,Océanie,Produits environnementaux,0.0
2016,Océanie,Produits de technologies propres,0.375
2016,Asie,Produits environnementaux et de technologies propres,777.474
2016,Asie,Produits environnementaux,612.125
2016,Asie,Produits de technologies propres,165.349
2017,Europe,Produits environnementaux et de technologies propres,1.342
2017,Europe,Produits environnementaux,0.018
2017,Europe,Produits de technologies propres,1.324
2017,Amérique du Nord,Produits environnementaux et de technologies propres,75.979
2017,Amérique du Nord,Produits environnementaux,35.163
2017,Amérique du Nord,Produits de technologies propres,40.816
2017,Afrique,Produits environnementaux et de technologies propres,64.21
2017,Afrique,Produits environnementaux,10.007
2017,Afrique,Produits de technologies propres,54.204
2017,Amérique du Sud,Produits environnementaux et de technologies propres,42.546
2017,Amérique du Sud,Produits environnementaux,1.989
2017,Amérique du Sud,Produits de technologies propres,40.557
2017,Amérique Centrale,Produits environnementaux et de technologies propres,3.469
2017,Amérique Centrale,Produits environnementaux,0.024
2017,Amérique Centrale,Produits de technologies propres,3.445
2017,Antilles,Produits environnementaux et de technologies propres,11.562
2017,Antilles,Produits environnementaux,0.699
2017,Antilles,Produits de technologies propres,10.863
2017,Moyen-Orient,Produits environnementaux et de technologies propres,2.927
2017,Moyen-Orient,Produits environnementaux,0.114
2017,Moyen-Orient,Produits de technologies propres,2.814
2017,Océanie,Produits environnementaux et de technologies propres,0.255
2017,Océanie,Produits environnementaux,0.009
2017,Océanie,Produits de technologies propres,0.246
2017,Asie,Produits environnementaux et de technologies propres,824.322
2017,Asie,Produits environnementaux,669.999
2017,Asie,Produits de technologies propres,154.326
2018,Europe,Produits environnementaux et de technologies propres,2.064
2018,Europe,Produits environnementaux,0.289
2018,Europe,Produits de technologies propres,1.775
2018,Amérique du Nord,Produits environnementaux et de technologies propres,90.869
2018,Amérique du Nord,Produits environnementaux,32.112
2018,Amérique du Nord,Produits de technologies propres,58.758
2018,Afrique,Produits environnementaux et de technologies propres,46.096
2018,Afrique,Produits environnementaux,12.791
2018,Afrique,Produits de technologies propres,33.306
2018,Amérique du Sud,Produits environnementaux et de technologies propres,79.344
2018,Amérique du Sud,Produits environnementaux,29.302
2018,Amérique du Sud,Produits de technologies propres,50.043
2018,Amérique Centrale,Produits environnementaux et de technologies propres,9.303
2018,Amérique Centrale,Produits environnementaux,6.642
2018,Amérique Centrale,Produits de technologies propres,2.662
2018,Antilles,Produits environnementaux et de technologies propres,12.359
2018,Antilles,Produits environnementaux,0.933
2018,Antilles,Produits de technologies propres,11.426
2018,Moyen-Orient,Produits environnementaux et de technologies propres,4.439
2018,Moyen-Orient,Produits environnementaux,0.167
2018,Moyen-Orient,Produits de technologies propres,4.273
2018,Océanie,Produits environnementaux et de technologies propres,0.766
2018,Océanie,Produits environnementaux,0.0
2018,Océanie,Produits de technologies propres,0.766
2018,Asie,Produits environnementaux et de technologies propres,732.722
2018,Asie,Produits environnementaux,565.344
2018,Asie,Produits de technologies propres,167.377
2019,Europe,Produits environnementaux et de technologies propres,2.267
2019,Europe,Produits environnementaux,1.054
2019,Europe,Produits de technologies propres,1.213
2019,Amérique du Nord,Produits environnementaux et de technologies propres,80.283
2019,Amérique du Nord,Produits environnementaux,15.752
2019,Amérique du Nord,Produits de technologies propres,64.531
2019,Afrique,Produits environnementaux et de technologies propres,162.128
2019,Afrique,Produits environnementaux,49.979
2019,Afrique,Produits de technologies propres,112.151
2019,Amérique du Sud,Produits environnementaux et de technologies propres,82.364
2019,Amérique du Sud,Produits environnementaux,24.256
2019,Amérique du Sud,Produits de technologies propres,58.108
2019,Amérique Centrale,Produits environnementaux et de technologies propres,3.312
2019,Amérique Centrale,Produits environnementaux,0.135
2019,Amérique Centrale,Produits de technologies propres,3.178
2019,Antilles,Produits environnementaux et de technologies propres,10.82
2019,Antilles,Produits environnementaux,0.245
2019,Antilles,Produits de technologies propres,10.573
2019,Moyen-Orient,Produits environnementaux et de technologies propres,23.491
2019,Moyen-Orient,Produits environnementaux,0.472
2019,Moyen-Orient,Produits de technologies propres,23.019
2019,Océanie,Produits environnementaux et de technologies propres,0.516
2019,Océanie,Produits environnementaux,0.0
2019,Océanie,Produits de technologies propres,0.516
2019,Asie,Produits environnementaux et de technologies propres,757.074
2019,Asie,Produits environnementaux,494.843
2019,Asie,Produits de technologies propres,262.231
2020,Europe,Produits environnementaux et de technologies propres,5.535
2020,Europe,Produits environnementaux,0.61
2020,Europe,Produits de technologies propres,4.926
2020,Amérique du Nord,Produits environnementaux et de technologies propres,73.004
2020,Amérique du Nord,Produits environnementaux,24.946
2020,Amérique du Nord,Produits de technologies propres,48.057
2020,Afrique,Produits environnementaux et de technologies propres,175.978
2020,Afrique,Produits environnementaux,53.152
2020,Afrique,Produits de technologies propres,122.825
2020,Amérique du Sud,Produits environnementaux et de technologies propres,137.326
2020,Amérique du Sud,Produits environnementaux,54.71
2020,Amérique du Sud,Produits de technologies propres,82.616
2020,Amérique Centrale,Produits environnementaux et de technologies propres,6.893
2020,Amérique Centrale,Produits environnementaux,2.627
2020,Amérique Centrale,Produits de technologies propres,4.267
2020,Antilles,Produits environnementaux et de technologies propres,44.182
2020,Antilles,Produits environnementaux,0.285
2020,Antilles,Produits de technologies propres,43.898
2020,Moyen-Orient,Produits environnementaux et de technologies propres,14.285
2020,Moyen-Orient,Produits environnementaux,0.25
2020,Moyen-Orient,Produits de technologies propres,14.034
2020,Océanie,Produits environnementaux et de technologies propres,1.035
2020,Océanie,Produits environnementaux,0.027
2020,Océanie,Produits de technologies propres,1.008
2020,Asie,Produits environnementaux et de technologies propres,555.151
2020,Asie,Produits environnementaux,336.407
2020,Asie,Produits de technologies propres,218.744
2021,Europe,Produits environnementaux et de technologies propres,6.962
2021,Europe,Produits environnementaux,0.1
2021,Europe,Produits de technologies propres,6.861
2021,Amérique du Nord,Produits environnementaux et de technologies propres,93.083
2021,Amérique du Nord,Produits environnementaux,32.344
2021,Amérique du Nord,Produits de technologies propres,60.739
2021,Afrique,Produits environnementaux et de technologies propres,165.676
2021,Afrique,Produits environnementaux,1.092
2021,Afrique,Produits de technologies propres,164.585
2021,Amérique du Sud,Produits environnementaux et de technologies propres,100.352
2021,Amérique du Sud,Produits environnementaux,19.714
2021,Amérique du Sud,Produits de technologies propres,80.638
2021,Amérique Centrale,Produits environnementaux et de technologies propres,3.984
2021,Amérique Centrale,Produits environnementaux,0.516
2021,Amérique Centrale,Produits de technologies propres,3.467
2021,Antilles,Produits environnementaux et de technologies propres,81.907
2021,Antilles,Produits environnementaux,0.219
2021,Antilles,Produits de technologies propres,81.688
2021,Moyen-Orient,Produits environnementaux et de technologies propres,9.824
2021,Moyen-Orient,Produits environnementaux,0.104
2021,Moyen-Orient,Produits de technologies propres,9.721
2021,Océanie,Produits environnementaux et de technologies propres,0.485
2021,Océanie,Produits environnementaux,0.0
2021,Océanie,Produits de technologies propres,0.485
2021,Asie,Produits environnementaux et de technologies propres,849.744
2021,Asie,Produits environnementaux,636.615
2021,Asie,Produits de technologies propres,213.128
2022,Europe,Produits environnementaux et de technologies propres,4.75
2022,Europe,Produits environnementaux,0.323
2022,Europe,Produits de technologies propres,4.426
2022,Amérique du Nord,Produits environnementaux et de technologies propres,110.377
2022,Amérique du Nord,Produits environnementaux,26.218
2022,Amérique du Nord,Produits de technologies propres,84.159
2022,Afrique,Produits environnementaux et de technologies propres,110.551
2022,Afrique,Produits environnementaux,0.793
2022,Afrique,Produits de technologies propres,109.758
2022,Amérique du Sud,Produits environnementaux et de technologies propres,96.382
2022,Amérique du Sud,Produits environnementaux,12.972
2022,Amérique du Sud,Produits de technologies propres,83.411
2022,Amérique Centrale,Produits environnementaux et de technologies propres,4.472
2022,Amérique Centrale,Produits environnementaux,0.872
2022,Amérique Centrale,Produits de technologies propres,3.601
2022,Antilles,Produits environnementaux et de technologies propres,19.455
2022,Antilles,Produits environnementaux,0.013
2022,Antilles,Produits de technologies propres,19.441
2022,Moyen-Orient,Produits environnementaux et de technologies propres,23.191
2022,Moyen-Orient,Produits environnementaux,0.014
2022,Moyen-Orient,Produits de technologies propres,23.177
2022,Océanie,Produits environnementaux et de technologies propres,0.538
2022,Océanie,Produits environnementaux,0.0
2022,Océanie,Produits de technologies propres,0.538
2022,Asie,Produits environnementaux et de technologies propres,882.676
2022,Asie,Produits environnementaux,690.433
2022,Asie,Produits de technologies propres,192.239
